Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64195279, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.02, 0.02
Ag, -286.99929315, Ag_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, -0.00, 0.00
Al, -38.21672478, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.00, 0.02
Am, -1124.95538363, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -0.00, 2.56
Ar, -42.16680134, Ar_ONCV_PBEsol-1.1.upf, 60, 240, 8.00, SG15-1.1, -0.00, 0.00
As, -17.79738583, As.pbesol-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, 0.00, 0.00
At, -220.01116517, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.01, 0.01
Au, -274.46429017, Au_ONCV_PBEsol-1.0.upf, 45, 180, 19.00, SG15, 0.00, 0.00
Ba, -429.66838057, Ba.pbesol-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, 0.00, 2.20
Be, -27.82208049, be_pbesol_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, -0.00, 0.00
Bi, -184.66411786, bi_pbesol_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.00, 0.00
Bk, -1211.71880772, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, -0.05, 2.12
B, -5.84217478, b_pbesol_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, -0.00, 0.00
Br, -40.38065431, br_pbesol_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, 0.00, 0.00
Ca, -74.77659486, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -121.55050327, Cd.pbesol-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, 0.00, 0.00
Ce, -475.04759457, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.51, 1.56
Cf, -1259.42684102, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.27, 2.03
Cl, -33.06472339, cl_pbesol_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, 0.00, 0.00
Cm, -4342.97693103, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 9.61
Co, -297.78048920, co_pbesol_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 1.00, 1.99
C, -17.41990355, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
Cr, -174.83072554, cr_pbesol_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, -0.12, 2.98
Cs, -62.91551436, cs_pbesol_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 0.01, 0.01
Cu, -210.11487556, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -0.01, 0.02
Dy, -768.99888319, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.00, 1.06
Er, -877.43533300, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 0.01, 0.54
Es, -1310.17786203, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 0.04, 1.64
Eu, -634.53790224, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 0.00, 0.78
Fe, -326.38243151, Fe.pbesol-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -0.37, 2.13
Fm, -1364.12976659, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, -2.06, 2.07
F, -48.21981659, f_pbesol_v1.4.uspp.F.UPF, 45, 360, 7.00, GBRV-1.4, -0.00, 0.00
Fr, -1059.38314230, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.01, 0.01
Ga, -274.77427307, Ga.pbesol-dn-kjpaw_psl.1.0.0.UPF, 70, 560, 13.00, 100PAW, -0.01, 0.79
Gd, -675.80655753, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, 0.20, 0.80
Ge, -212.82985617, ge_pbesol_v1.4.uspp.F.UPF, 40, 320, 14.00, GBRV-1.4, 0.00, 0.01
He, -5.51625661, He_ONCV_PBEsol-1.0.upf, 50, 200, 2.00, SG15, 0.00, 0.00
Hf, -112.26220697, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, 0.00, 0.01
Hg, -310.14418110, Hg_ONCV_PBEsol-1.0.upf, 50, 200, 20.00, SG15, -0.00, 0.00
Ho, -821.23139650, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, 0.01, 0.81
H, -0.90697063, H.pbesol-rrkjus_psl.1.0.0.UPF, 60, 480, 1.00, 100US, 0.01, 0.01
In, -144.18481513, In.pbesol-dn-rrkjus_psl.0.2.2.UPF, 50, 400, 13.00, 031US, 0.00, 0.00
