# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  1 0.025 300 2954.9
  2 0.075 296.9 2915.14
  3 0.125 304.3 3027.55
  4 0.175 302.7 3044.82
  5 0.225 299.4 2927.54
  6 0.275 301.2 2888.7
  7 0.325 299.3 2946.1
  8 0.375 296.1 2996.2
  9 0.425 303 2832.1
  10 0.475 294.6 3048.62
  11 0.525 299.3 2963.71
  12 0.575 297.6 3062.93
  13 0.625 297.5 3015.23
  14 0.675 306 3010.06
  15 0.725 297.1 2945.96
  16 0.775 302.3 3076.64
  17 0.825 300.1 3012.73
  18 0.875 297.9 3077.89
  19 0.925 302.5 2941.9
  20 0.975 302.2 2988.96
2100 20 6000
  1 0.025 300.4 2881.98
  2 0.075 299.3 2967.35
  3 0.125 302.6 2976.49
  4 0.175 304.4 2907.94
  5 0.225 296.8 2944.51
  6 0.275 296.8 2928.05
  7 0.325 299.4 2937.26
  8 0.375 297.7 3103.05
  9 0.425 302.3 2984.54
  10 0.475 298.5 2972.02
  11 0.525 291.8 3132.12
  12 0.575 305.4 2992.59
  13 0.625 298.9 2952.85
  14 0.675 305.5 2955.51
  15 0.725 299.4 2971.8
  16 0.775 300.6 2979.09
  17 0.825 303.8 3020.29
  18 0.875 294.4 3000.88
  19 0.925 303.6 3035.2
  20 0.975 298.4 3045.46
3150 20 6000
  1 0.025 297.3 3034.78
  2 0.075 300.1 2909.75
  3 0.125 299.1 2978.96
  4 0.175 305.9 2908.12
  5 0.225 300.4 2942.5
  6 0.275 295.3 2865.63
  7 0.325 300.9 2972.97
  8 0.375 300.5 3017.47
  9 0.425 294.8 3118.89
  10 0.475 293 3170.21
  11 0.525 299.3 3038.46
  12 0.575 306.5 3056.63
  13 0.625 297.7 2934.68
  14 0.675 301.9 2965.25
  15 0.725 300.3 2977.83
  16 0.775 302.4 2964.81
  17 0.825 298.7 3015.33
  18 0.875 300.5 2988.35
  19 0.925 302.2 2956.26
  20 0.975 303.2 3017.27
4200 20 6000
  1 0.025 298.3 2859.25
  2 0.075 299 2870.47
  3 0.125 305.6 2869.94
  4 0.175 301.6 2944.12
  5 0.225 303.5 3053.6
  6 0.275 292.5 3065.63
  7 0.325 299.3 3033.17
  8 0.375 297.1 3121.88
  9 0.425 300.7 3139.72
  10 0.475 295.3 2909.35
  11 0.525 291.9 3057.11
  12 0.575 303.1 3164.89
  13 0.625 296.3 3027.82
  14 0.675 302.9 3067.8
  15 0.725 299.4 2943.86
  16 0.775 302.9 3006.07
  17 0.825 299.1 3064.78
  18 0.875 299.3 2935.69
  19 0.925 301.8 2890.73
  20 0.975 310.4 2962.18
5250 20 6000
  1 0.025 297.2 2872.78
  2 0.075 304.1 2979.63
  3 0.125 305.7 2815.28
  4 0.175 303.6 2905.89
  5 0.225 302.5 3014.55
  6 0.275 295 3105.91
  7 0.325 298.1 3058.54
  8 0.375 298.2 3101.45
  9 0.425 297.3 3045.72
  10 0.475 295.8 3028.26
  11 0.525 295.8 3095.51
  12 0.575 296.3 3062.61
  13 0.625 299.7 2974.08
  14 0.675 301.5 2948.79
  15 0.725 300.4 2996.87
  16 0.775 299.3 2895.51
  17 0.825 304.3 2808.95
  18 0.875 301.2 2898.09
  19 0.925 300.9 2940.86
  20 0.975 303.1 2922.71
6300 20 6000
  1 0.025 299 2781.6
  2 0.075 301 2853.9
  3 0.125 302.3 2921.22
  4 0.175 303.9 2856
  5 0.225 300.7 2939.45
  6 0.275 296.7 2974.13
  7 0.325 299.8 3163.79
  8 0.375 299.5 3100.24
  9 0.425 302.7 2986.74
  10 0.475 296.3 3130.29
  11 0.525 298.6 3187.94
  12 0.575 300.5 3139.33
  13 0.625 293.6 3138.17
  14 0.675 305.9 3106.69
  15 0.725 295.8 3010.05
  16 0.775 298.6 2961.39
  17 0.825 301.1 2908.84
  18 0.875 302.5 2996.35
  19 0.925 297.8 2875.69
  20 0.975 303.7 2846.91
7350 20 6000
  1 0.025 296.6 2920.47
