#| No.|Asub | b0  | b1  | b2  | b3  | t1  | t2  | t3  |Cmin |Cmax | evalulate_value (min value is recommendation) |
#|iter| x0  | x1  | x2  | x3  | x4  | x5  | x6  | x7  | x8  | x9  | evalulate_value (min value is reccomendation) |
No.43: 0.86, 1.62, 0.19, 0.67, 4.59, 2.27, 0.56, 15.10, 0.86, 2.35, 0.14735245038596526
No.44: 0.99, 5.00, 4.79, 4.75, 8.04, 8.05, 18.10, 0.75, 1.58, 2.80, 17468504.31798483
No.45: 1.05, 1.00, 5.39, 0.04, 9.52, 18.11, 15.92, 18.31, 0.38, 1.29, 3.076263289413401
No.46: 0.88, 6.57, 9.06, 9.90, 7.12, 14.64, 18.19, 8.02, 0.58, 1.32, 132.83666823897346
No.47: 0.85, 8.30, 1.47, 2.65, 8.20, 6.22, 19.65, 5.34, 1.12, 1.57, 103443818.82542296
No.48: 1.17, 4.24, 4.34, 5.13, 9.39, 0.62, 14.34, 17.83, 0.16, 1.94, 2.8799070955536648
No.49: 0.94, 8.73, 5.59, 6.91, 4.53, 12.57, 5.81, 0.19, 1.20, 1.57, 106157501.84567164
No.50: 1.01, 9.24, 4.27, 2.48, 3.72, 18.64, 18.74, 16.89, 1.85, 2.80, 1440152163.5472312
No.51: 0.81, 0.91, 0.01, 0.01, 4.17, 0.37, 0.01, 17.08, 0.11, 2.73, 0.08558020059248587
No.52: 0.81, 0.91, 0.01, 0.01, 2.92, 0.01, 0.01, 20.00, 0.11, 2.80, 0.07399343271007235
No.53: 0.81, 0.91, 0.01, 0.01, 6.21, 0.01, 0.01, 20.00, 0.11, 2.80, 0.31132112526728467
No.54: 0.81, 0.94, 0.02, 0.04, 1.84, 0.29, 0.11, 18.40, 0.15, 2.72, 0.06886151298584117
No.55: 0.81, 0.91, 1.96, 0.01, 1.74, 0.01, 0.01, 19.07, 0.11, 2.80, 0.08071032982743397
No.56: 0.81, 0.91, 0.01, 2.21, 1.34, 0.01, 0.01, 19.48, 0.11, 2.80, 0.07474840116024191
No.57: 0.81, 0.91, 0.01, 0.01, 0.58, 0.01, 2.11, 20.00, 0.11, 2.80, 0.06391959569225955
No.58: 0.81, 2.74, 0.01, 0.01, 0.01, 0.01, 0.25, 20.00, 0.11, 2.80, 0.5492315575369882
