# LAMMPS data file written by OVITO Basic 3.8.4

21952 atoms
4 atom types

-25.0 25.0 xlo xhi
-50.0 50.0 ylo yhi
-25.0 25.0 zlo zhi

Masses

1 24.305  # Mg
2 26.981538  # Al
3 63.546  # Cu
4 65.409  # Zn

Atoms  # atomic

81 2 -3.20175 -42.54265 -24.8299255
82 1 -1.53455 -40.50024 -24.693106
83 1 -1.5059 -42.47566 -22.961685
84 2 -3.2782 -40.59448 -23.06245
222 2 -1.49225 -44.0272 -21.250385
249 4 -3.35015 -42.38013 -21.41244
250 4 -1.38705 -40.70381 -21.24133
85 1 -24.920092 -38.9437 -24.7269335
86 2 -22.958035 -36.9936 -24.778875
87 3 -22.94703 -38.9974 -23.157535
88 4 -24.552164 -37.078 -23.101035
89 1 -21.189975 -38.8169 -24.9137265
92 1 -21.248535 -37.0585 -22.82979
253 1 -24.586637 -38.7784 -21.29013
254 2 -22.957985 -37.0501 -21.05107
257 2 -21.362735 -38.9083 -21.44146
90 3 -19.4166 -37.0631 -24.7927235
91 4 -19.54585 -38.8032 -23.042575
93 4 -17.69345 -38.8616 -24.757599
94 1 -15.85685 -37.2315 -24.733726
95 4 -15.8102 -38.8349 -22.925025
96 4 -17.50655 -37.0602 -22.9387
258 4 -19.36665 -37.0759 -21.28245
261 4 -17.5605 -38.8204 -21.180485
262 2 -15.97825 -37.1229 -21.2409
97 4 -14.0452 -39.1781 -24.681067
98 4 -12.34735 -37.2365 -24.602153
99 4 -12.28305 -39.1016 -22.956
100 1 -14.11715 -37.0835 -22.890915
101 4 -10.5391 -38.9545 -24.7676685
104 4 -10.4172 -37.2412 -22.95994
265 4 -14.0303 -39.1464 -21.11255
266 4 -12.337 -37.2621 -21.31079
269 4 -10.548 -39.0043 -21.121165
102 4 -8.7385 -37.2622 -24.8889945
103 1 -8.68965 -38.8525 -23.060745
105 3 -6.8327 -38.8348 -24.8979615
106 4 -5.1158 -37.2081 -24.887327
107 4 -5.11225 -39.0472 -23.1333
108 1 -6.81005 -37.1698 -22.984265
270 4 -8.5041 -37.2098 -21.231525
273 2 -6.7255 -38.9777 -21.311425
274 3 -4.9776 -37.506 -21.25596
109 2 -3.44495 -38.6667 -24.852107
110 3 -1.6384 -37.2556 -24.747839
111 4 -1.61655 -38.852 -22.97503
112 2 -3.4687 -37.2019 -23.16104
277 3 -3.45855 -39.1343 -21.394185
278 1 -1.7029 -37.2336 -21.2463
113 2 -24.6397165 -35.4871 -24.6544025
114 3 -22.90743 -33.674 -24.7983465
115 4 -22.793785 -35.3476 -23.185805
116 4 -24.546828 -33.6187 -22.78308
117 3 -21.13736 -35.2709 -24.7895685
120 4 -21.137165 -33.5722 -23.04131
141 4 -24.419285 -31.9136 -24.648962
143 1 -22.81266 -31.8048 -22.87941
145 1 -21.14157 -31.7681 -24.8336
281 2 -24.574162 -35.2551 -21.051695
282 3 -22.80961 -33.5946 -21.15075
285 4 -21.185125 -35.2634 -21.26694
309 4 -24.5828485 -31.6861 -21.017625
313 4 -21.214405 -31.6163 -21.155265
118 4 -19.2755 -33.4566 -24.85745
119 4 -19.40005 -35.3866 -23.130105
121 4 -17.6417 -35.3022 -24.8456465
122 2 -15.9341 -33.4651 -24.6445245
123 3 -15.933 -35.2877 -22.994035
124 1 -17.8325 -33.5594 -22.98926
147 2 -19.64005 -31.9211 -22.94094
151 1 -15.92755 -31.8538 -22.954315
286 2 -19.31775 -33.4644 -21.332035
289 3 -17.50755 -35.3698 -21.247835
290 4 -15.95575 -33.5423 -21.20653
317 4 -17.67235 -31.6573 -21.228015
125 4 -14.1468 -35.4255 -24.821722
126 4 -12.3268 -33.7837 -24.800411
127 4 -12.3206 -35.443 -22.982725
