# Lattice constant (Angstroms), Volume (Angstrom), Cohesive energy (eV/atom)
4.59798949437144, 215.556744861061, -6.08670901414936
4.60948446810737, 217.177465504559, -6.10626471179955
4.62100817927764, 218.810371966719, -6.12485132822765
4.63256069972583, 220.455555869856, -6.1424808534052
4.64414210147514, 222.11310952517, -6.15916522539182
4.65575245672883, 223.78312593793, -6.17491632589177
4.66739183787065, 225.465698812687, -6.18974598313165
4.67906031746533, 227.160922558537, -6.20366596938249
4.69075796825899, 228.868892294413, -6.21668800108578
4.70248486317964, 230.589703854428, -6.22882373722008
4.71424107533759, 232.323453793248, -6.24008478093697
4.72602667802593, 234.070239391509, -6.25048267731805
4.737841744721, 235.830158661282, -6.26002891305884
4.7496863490828, 237.603310351563, -6.26873491616645
4.76156056495551, 239.38979395382, -6.27661205575422
4.7734644663679, 241.189709707576, -6.28367164227699
4.78539812753382, 243.003158606029, -6.28992492462873
4.79736162285265, 244.830242401722, -6.29538309222907
4.80935502690978, 246.671063612253, -6.30005727304789
4.82137841447706, 248.525725526023, -6.30395853425142
4.83343186051325, 250.394332208036, -6.30709788046051
4.84551544016453, 252.276988505736, -6.30948625429909
4.85762922876494, 254.173800054892, -6.3111345361599
4.86977330183686, 256.08487328552, -6.31205354256964
4.88194773509145, 258.010315427862, -6.31225402765471
4.89415260442918, 259.950234518396, -6.31174668070402
4.90638798594025, 261.904739405904, -6.31054212670395
4.9186539559051, 263.873939757573, -6.3086509259076
4.93095059079486, 265.857946065156, -6.30608357388732
4.94327796727185, 267.856869651164, -6.30285050070398
4.95563616219003, 269.870822675117, -6.29896207039623
4.9680252525955, 271.899918139837, -6.29442858219114
4.98044531572699, 273.944269897787, -6.28926026788749
4.99289642901631, 276.00399265746, -6.283467293086
5.00537867008885, 278.079201989816, -6.27705975698313
5.01789211676407, 280.170014334764, -6.27004769066573
5.03043684705598, 282.2765470077, -6.26244105856004
5.04301293917362, 284.398918206085, -6.25424975740595
5.05562047152155, 286.53724701608, -6.24548361589102
5.06825952270036, 288.691653419227, -6.23615239431018
5.08093017150711, 290.86225829918, -6.22626578457275
5.09363249693587, 293.049183448489, -6.21583341046732
5.10636657817821, 295.252551575436, -6.20486482627816
5.11913249462366, 297.472486310915, -6.19336951740974
5.13193032586022, 299.709112215373, -6.18135690012237
5.14476015167487, 301.962554785797, -6.16883632077617
5.15762205205406, 304.232940462758, -6.15581705686476
5.17051610718419, 306.520396637502, -6.14230831547086
5.18344239745215, 308.825051659101, -6.12831923344845
