# Time-averaged data for fix fout1
# TimeStep v_energy v_temperature
1100 -1303.01 37.7894
1200 -1304.17 26.9241
1300 -1304.8 18.0677
1400 -1305.12 14.4737
1500 -1305.22 13.9248
1600 -1305.14 14.107
1700 -1304.9 17.1471
1800 -1304.63 20.6871
1900 -1304.42 23.1442
2000 -1304.29 24.2922
2100 -1304.22 25.7007
2200 -1304.18 25.7872
2300 -1304.09 26.7983
2400 -1303.92 29.9684
2500 -1303.77 30.5669
2600 -1303.62 32.673
2700 -1303.49 34.7356
2800 -1303.42 34.2684
2900 -1303.3 37.102
3000 -1303.18 38.5697
3100 -1303.1 37.7198
3200 -1302.94 41.7435
3300 -1302.79 43.0138
3400 -1302.69 44.3361
3500 -1302.59 44.6809
3600 -1302.46 47.3907
3700 -1302.34 47.5116
3800 -1302.21 50.5937
3900 -1302.13 50.5402
4000 -1302.05 51.2807
4100 -1301.89 53.9636
4200 -1301.7 57.3212
4300 -1301.6 55.8556
4400 -1301.52 59.0531
4500 -1301.45 58.2123
4600 -1301.29 61.4788
4700 -1301.14 63.3388
4800 -1301.03 63.7482
4900 -1300.91 65.8067
5000 -1300.8 66.236
5100 -1300.67 68.6503
5200 -1300.58 69.7078
5300 -1300.45 71.305
5400 -1300.3 73.8458
5500 -1300.2 73.8305
5600 -1300.09 75.7949
5700 -1299.99 75.4029
5800 -1299.84 79.333
5900 -1299.71 80.4475
6000 -1299.58 82.0262
6100 -1299.48 81.8866
6200 -1299.38 84.2248
6300 -1299.24 86.2289
6400 -1299.1 87.6339
6500 -1298.97 89.3067
6600 -1298.85 90.3888
6700 -1298.71 92.502
6800 -1298.42 96.8508
6900 -1298.3 95.5099
7000 -1298.38 95.7375
7100 -1298.64 92.1178
7200 -1298.65 94.0979
7300 -1298.26 98.8607
7400 -1298.01 98.5699
7500 -1297.81 103.876
7600 -1297.66 104.906
7700 -1297.36 108.776
7800 -1297 113.166
7900 -1297.14 108.986
8000 -1297.6 108.269
8100 -1297.85 103.286
8200 -1297.56 105.731
8300 -1297.13 112.174
8400 -1296.77 113.896
8500 -1296.49 119.975
8600 -1296.37 118.043
8700 -1296.1 124.097
8800 -1295.7 130.8
8900 -1295.8 124.286
9000 -1296.3 122.654
9100 -1296.47 119.203
9200 -1296.22 123.429
9300 -1295.89 125.688
9400 -1295.62 129.455
9500 -1295.46 131.22
9600 -1295.29 135.746
9700 -1294.96 137.52
9800 -1294.44 143.847
9900 -1294.52 143.665
10000 -1294.99 136.104
10100 -1295.07 136.006
10200 -1294.88 139.105
10300 -1294.44 144.27
10400 -1294.09 145.85
10500 -1294.1 151.183
10600 -1294.3 144.224
10700 -1294.34 143.178
10800 -1293.95 150.289
10900 -1293.42 157.584
11000 -1293.39 155.508
11100 -1293.52 156.66
11200 -1293.94 147.677
11300 -1294.57 143.98
11400 -1294.4 146.35
11500 -1293.7 150.825
11600 -1293.2 160.338
11700 -1292.74 163.507
11800 -1292.4 168.854
11900 -1292.23 171.196
12000 -1292.42 168.746
