# Time-averaged data for fix f6
# TimeStep c_Mnmsd[1] c_Mnmsd[2] c_Mnmsd[3] c_Mnmsd[4]
41315 0.017381 0.011527 0.0153852 0.0442933
41320 0.0171967 0.0117829 0.015711 0.0446906
41325 0.016913 0.0120836 0.0159645 0.0449612
41330 0.0165353 0.0124153 0.0161516 0.0451023
41335 0.0160823 0.0127637 0.0162817 0.0451277
41340 0.0155836 0.0131162 0.0163661 0.0450659
41345 0.0150757 0.0134628 0.0164167 0.0449553
41350 0.0145974 0.0137954 0.0164445 0.0448374
41355 0.0141842 0.0141068 0.0164586 0.0447496
41360 0.0138634 0.0143894 0.0164648 0.0447176
41365 0.0136508 0.0146362 0.0164636 0.0447506
41370 0.0135488 0.0148408 0.0164491 0.0448387
41375 0.013547 0.0149988 0.016409 0.0449549
41380 0.013624 0.0151088 0.0163266 0.0450594
41385 0.0137514 0.0151721 0.0161843 0.0451078
41390 0.0138989 0.0151924 0.0159684 0.0450597
41395 0.0140391 0.0151755 0.0156736 0.0448883
41400 0.0141522 0.0151292 0.0153066 0.044588
41405 0.0142279 0.0150626 0.0148864 0.0441769
41410 0.0142651 0.0149857 0.0144426 0.0436935
41415 0.0142701 0.014909 0.0140113 0.0431905
41420 0.0142526 0.0148428 0.0136306 0.0427261
41425 0.0142229 0.0147957 0.0133366 0.0423551
41430 0.0141889 0.0147736 0.0131591 0.0421216
41435 0.0141553 0.0147784 0.0131193 0.042053
41440 0.0141235 0.0148063 0.0132265 0.0421562
41445 0.0140923 0.0148476 0.0134769 0.0424168
41450 0.01406 0.014887 0.0138534 0.0428004
41455 0.0140248 0.0149056 0.014327 0.0432574
41460 0.0139864 0.0148848 0.0148606 0.0437318
41465 0.013947 0.01481 0.0154138 0.0441707
41470 0.0139107 0.0146753 0.0159481 0.0445341
41475 0.0138837 0.0144855 0.0164316 0.0448008
41480 0.013873 0.0142562 0.0168408 0.04497
41485 0.013885 0.0140119 0.0171613 0.0450581
41490 0.0139244 0.0137821 0.0173864 0.0450929
41495 0.0139943 0.0135964 0.0175155 0.0451062
41500 0.0140956 0.0134804 0.0175518 0.0451277
41505 0.0142288 0.0134509 0.0175011 0.0451809
41510 0.0143955 0.0135145 0.0173703 0.0452804
41515 0.0145992 0.0136659 0.0171663 0.0454313
41520 0.0148453 0.0138877 0.016895 0.045628
41525 0.0151407 0.0141522 0.0165616 0.0458545
41530 0.0154909 0.0144232 0.0161709 0.046085
41535 0.0158975 0.0146594 0.0157285 0.0462854
41540 0.0163566 0.0148186 0.0152414 0.0464167
41545 0.0168572 0.0148633 0.0147194 0.0464399
41550 0.0173827 0.0147653 0.0141748 0.0463228
41555 0.0179126 0.0145112 0.0136227 0.0460465
41560 0.0184252 0.0141051 0.0130812 0.0456115
41565 0.0188996 0.013569 0.0125711 0.0450398
41570 0.0193161 0.0129408 0.0121152 0.0443721
41575 0.0196566 0.0122683 0.0117359 0.0436608
41580 0.019904 0.0116028 0.0114531 0.0429599
41585 0.0200428 0.0109921 0.0112801 0.042315
41590 0.0200605 0.0104746 0.0112212 0.0417563
41595 0.0199501 0.0100756 0.0112695 0.0412951
41600 0.0197119 0.00980622 0.0114069 0.040925
41605 0.0193555 0.00966383 0.0116064 0.0406257
41610 0.0188993 0.009635 0.0118358 0.0403701
41615 0.0183684 0.00969932 0.0120623 0.0401301
41620 0.0177921 0.00983333 0.0122574 0.0398828
41625 0.0171994 0.0100138 0.0123999 0.039613
41630 0.0166162 0.0102203 0.012478 0.0393145
41635 0.0160633 0.0104364 0.0124901 0.0389898
41640 0.0155559 0.0106509 0.0124436 0.0386503
41645 0.0151055 0.0108578 0.0123532 0.0383165
41650 0.014722 0.0110569 0.0122391 0.038018
41655 0.0144154 0.0112525 0.012124 0.0377919
41660 0.0141964 0.0114528 0.0120307 0.0376799
41665 0.0140746 0.011667 0.0119793 0.037721
41670 0.0140563 0.0119025 0.011985 0.0379438
41675 0.0141406 0.0121623 0.0120555 0.0383584
41680 0.0143168 0.0124433 0.0121908 0.0389508
41685 0.0145629 0.0127358 0.0123831 0.0396818
41690 0.0148465 0.0130251 0.0126191 0.0404907
41695 0.0151271 0.0132938 0.0128818 0.0413027
41700 0.0153607 0.0135253 0.0131543 0.0420403
41705 0.0155051 0.0137069 0.0134214 0.0426334
41710 0.0155251 0.013833 0.0136708 0.0430289
41715 0.015397 0.0139062 0.0138932 0.0431964
41720 0.0151118 0.0139375 0.0140815 0.0431308
41725 0.0146759 0.0139449 0.01423 0.0428507
41730 0.01411 0.0139489 0.0143337 0.0423926
41735 0.0134466 0.0139694 0.0143883 0.0418042
41740 0.0127255 0.0140203 0.0143902 0.041136
41745 0.0119897 0.0141074 0.0143378 0.0404349
41750 0.0112808 0.0142265 0.0142321 0.0397393
41755 0.0106355 0.0143637 0.0140779 0.039077
41760 0.0100829 0.0144982 0.0138837 0.0384648
41765 0.00964287 0.0146053 0.0136621 0.0379103
41770 0.00932575 0.0146601 0.0134285 0.0374143
41775 0.00913245 0.0146418 0.0131997 0.0369739
41780 0.0090558 0.0145359 0.0129925 0.0365841
41785 0.00908197 0.0143369 0.0128207 0.0362396
41790 0.00919209 0.0140488 0.0126938 0.0359346
41795 0.00936397 0.0136843 0.0126139 0.0356621
41800 0.00957412 0.0132635 0.0125754 0.035413
41805 0.00980047 0.0128111 0.0125649 0.0351765
41810 0.0100255 0.0123535 0.0125634 0.0349424
41815 0.0102392 0.0119166 0.0125493 0.0347052
41820 0.0104409 0.0115245 0.0125021 0.0344675
41825 0.0106391 0.0111976 0.0124065 0.0342432
41830 0.0108501 0.0109522 0.0122547 0.034057
41835 0.0110947 0.0107999 0.0120481 0.0339427
41840 0.0113939 0.0107467 0.011798 0.0339386
41845 0.0117649 0.0107933 0.011524 0.0340821
41850 0.0122181 0.0109338 0.0112514 0.0344033
41855 0.0127553 0.011156 0.0110079 0.0349192
41860 0.0133698 0.0114415 0.0108186 0.03563
41865 0.0140483 0.0117665 0.0107029 0.0365177
41870 0.0147732 0.0121034 0.0106709 0.0375475
41875 0.0155259 0.0124235 0.010722 0.0386715
41880 0.0162887 0.0126985 0.0108457 0.0398329
41885 0.0170447 0.0129037 0.011023 0.0409714
41890 0.0177775 0.01302 0.0112296 0.0420271
41895 0.0184689 0.0130354 0.0114397 0.042944
41900 0.019098 0.0129467 0.0116305 0.0436753
41905 0.0196418 0.0127596 0.0117852 0.0441866
41910 0.0200754 0.0124879 0.0118958 0.0444591
41915 0.0203747 0.0121533 0.0119636 0.0444916
41920 0.0205189 0.0117838 0.0119988 0.0443015
41925 0.0204946 0.0114118 0.0120182 0.0439246
41930 0.0202987 0.0110724 0.012043 0.0434141
41935 0.0199411 0.0108 0.0120958 0.0428369
41940 0.0194459 0.0106255 0.0121975 0.0422689
41945 0.0188503 0.0105728 0.0123646 0.0417877
41950 0.0182014 0.0106551 0.0126066 0.0414631
41955 0.0175511 0.010872 0.0129237 0.0413468
41960 0.0169498 0.0112081 0.0133062 0.0414641
41965 0.0164397 0.0116336 0.0137353 0.0418086
41970 0.0160504 0.0121075 0.0141852 0.0423431
41975 0.0157949 0.012582 0.0146275 0.0430045
41980 0.0156691 0.0130093 0.0150348 0.0437132
41985 0.0156527 0.0133464 0.0153842 0.0443833
41990 0.015712 0.0135618 0.01566 0.0449338
41995 0.0158057 0.0136386 0.0158539 0.0452982
42000 0.0158906 0.0135774 0.0159652 0.0454332
42005 0.0159288 0.0133958 0.0159995 0.0453241
42010 0.0158942 0.013126 0.0159677 0.0449879
42015 0.0157762 0.0128116 0.0158842 0.044472
42020 0.0155815 0.0125025 0.015765 0.043849
42025 0.0153324 0.0122491 0.0156252 0.0432067
42030 0.0150622 0.0120959 0.0154767 0.0426349
42035 0.0148087 0.0120753 0.0153264 0.0422104
42040 0.0146078 0.0122021 0.0151745 0.0419843
42045 0.014488 0.0124702 0.015015 0.0419733
42050 0.0144676 0.0128522 0.0148365 0.0421562
42055 0.0145528 0.0133018 0.014624 0.0424786
42060 0.0147405 0.0137606 0.0143626 0.0428636
42065 0.015021 0.0141655 0.0140416 0.0432282
42070 0.0153837 0.0144592 0.013659 0.0435019
42075 0.0158197 0.0145974 0.0132255 0.0436427
42080 0.0163239 0.0145558 0.0127667 0.0436464
42085 0.0168937 0.014331 0.0123217 0.0435464
42090 0.0175267 0.0139408 0.0119385 0.043406
42095 0.0182169 0.0134192 0.0116659 0.0433021
42100 0.0189512 0.012812 0.0115443 0.0433074
42105 0.0197068 0.0121705 0.0115968 0.043474
42110 0.0204504 0.0115464 0.0118247 0.0438215
42115 0.02114 0.0109873 0.0122059 0.0443332
42120 0.021728 0.0105332 0.012697 0.0449582
