# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
41000 0 0 0 0
41005 0.000131686 8.4898e-05 0.000123033 0.000339617
41010 0.000519887 0.000352462 0.000471877 0.00134423
41015 0.00115133 0.000820705 0.00101364 0.00298567
41020 0.00200795 0.00150155 0.00171438 0.00522388
41025 0.00306564 0.00239628 0.00254104 0.00800296
41030 0.00429336 0.00349289 0.00346257 0.0112488
41035 0.0056532 0.00476589 0.00445034 0.0148694
41040 0.00710167 0.00617844 0.00547832 0.0187584
41045 0.00859202 0.00768684 0.00652322 0.0228021
41050 0.0100766 0.00924656 0.00756506 0.0268882
41055 0.0115098 0.0108186 0.00858916 0.0309175
41060 0.0128519 0.0123738 0.00958664 0.0348124
41065 0.0140729 0.0138951 0.0105535 0.0385215
41070 0.0151548 0.0153753 0.0114894 0.0420195
41075 0.0160926 0.0168133 0.0123952 0.0453012
41080 0.0168945 0.0182071 0.013271 0.0483726
41085 0.0175789 0.0195482 0.0141147 0.0512417
41090 0.0181712 0.0208205 0.0149221 0.0539138
41095 0.0186997 0.0220018 0.0156874 0.0563889
41100 0.0191893 0.0230681 0.0164037 0.0586612
41105 0.019656 0.0239965 0.0170634 0.0607159
41110 0.0201024 0.0247672 0.0176575 0.062527
41115 0.0205168 0.0253644 0.0181764 0.0640576
41120 0.0208769 0.0257784 0.0186106 0.0652659
41125 0.021156 0.0260077 0.0189518 0.0661155
41130 0.0213318 0.02606 0.0191945 0.0665863
41135 0.0213931 0.0259511 0.0193376 0.0666818
41140 0.0213427 0.0257012 0.0193848 0.0664287
41145 0.0211981 0.0253288 0.0193424 0.0658693
41150 0.0209891 0.0248503 0.0192189 0.0650583
41155 0.0207541 0.0242807 0.0190261 0.064061
41160 0.0205357 0.0236351 0.0187774 0.0629482
41165 0.0203746 0.0229284 0.0184868 0.0617898
41170 0.0203026 0.0221753 0.0181665 0.0606443
41175 0.0203358 0.0213901 0.0178258 0.0595517
41180 0.020473 0.0205878 0.0174719 0.0585328
41185 0.0206992 0.0197855 0.0171121 0.0575967
