# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 8640
  1 0.025 437.9 1508.72
  2 0.075 432 1507.14
  3 0.125 438 1554.64
  4 0.175 431 1453.59
  5 0.225 435.7 1456.93
  6 0.275 441.3 1450.51
  7 0.325 430.9 1530.06
  8 0.375 427.3 1498.98
  9 0.425 430.2 1496.65
  10 0.475 424.2 1521.17
  11 0.525 429.6 1490.21
  12 0.575 430.9 1538.51
  13 0.625 427.4 1520.08
  14 0.675 429.6 1417.32
  15 0.725 424.6 1475.73
  16 0.775 430.6 1491.66
  17 0.825 426.5 1532.84
  18 0.875 447 1471.31
  19 0.925 435.9 1500.21
  20 0.975 429.4 1531.11
2100 20 8640
  1 0.025 428.7 1416.48
  2 0.075 431.7 1499.65
  3 0.125 426.2 1484.93
  4 0.175 435.6 1447.89
  5 0.225 427.1 1465.91
  6 0.275 432.5 1479.05
  7 0.325 434.6 1506.39
  8 0.375 433.3 1529.81
  9 0.425 432.6 1519.72
  10 0.475 432.6 1527.07
  11 0.525 433.7 1577.53
  12 0.575 432.4 1527.21
  13 0.625 434.7 1550.57
  14 0.675 430.9 1471.76
  15 0.725 433.9 1488.03
  16 0.775 435.6 1506.38
  17 0.825 440.2 1518.43
  18 0.875 424.2 1520.34
  19 0.925 427.1 1496.73
  20 0.975 432.4 1423.85
3150 20 8640
  1 0.025 429 1462.07
  2 0.075 431.4 1476.98
  3 0.125 432.7 1470.46
  4 0.175 431 1403.56
  5 0.225 431.6 1478.36
  6 0.275 434.4 1503.41
  7 0.325 431.3 1488.32
  8 0.375 431.6 1538.44
  9 0.425 430.4 1532.34
  10 0.475 431.8 1586.97
  11 0.525 432.9 1589.39
  12 0.575 431.6 1547.19
  13 0.625 431.7 1549.91
  14 0.675 431.2 1506.39
  15 0.725 431 1518.42
  16 0.775 433 1497.59
  17 0.825 432.9 1505.22
  18 0.875 437.3 1510.71
  19 0.925 428.9 1501.66
  20 0.975 434.3 1405.46
4200 20 8640
  1 0.025 437.5 1410.88
  2 0.075 432.4 1414.62
  3 0.125 438.3 1465.13
