kappa Temperature Composition 
18.210090 300.000000 0.000000
9.792449 500.000000 0.000000
4.086337 750.000000 0.000000
3.292283 1000.000000 0.000000
2.813261 1250.000000 0.000000
2.850649 1500.000000 0.000000
0.010104 300.000000 0.000000
0.017410 500.000000 0.000000
0.111582 750.000000 0.000000
0.116559 1000.000000 0.000000
0.034710 1250.000000 0.000000
1.673967 1500.000000 0.000000
9.374172 300.000000 25.000000
7.259704 500.000000 25.000000
4.828939 1000.000000 25.000000
3.646389 1500.000000 25.000000
2.390880 2000.000000 25.000000
10.768276 300.000000 50.000000
8.053628 500.000000 50.000000
4.921975 1000.000000 50.000000
3.417514 1500.000000 50.000000
2.505561 2000.000000 50.000000
12.567562 300.000000 75.000000
8.282483 500.000000 75.000000
4.708528 1000.000000 75.000000
3.318274 1500.000000 75.000000
2.334884 2000.000000 75.000000
21.935775 300.000000 100.000000
11.815383 500.000000 100.000000
5.463660 1000.000000 100.000000
3.406936 1500.000000 100.000000
2.428851 2000.000000 100.000000
