# LAMMPS data file written by OVITO Basic 3.8.4

5888 atoms 
1000 bonds
4 atom types 
1 bond types

0.0 39.0999984741 xlo xhi
0.0 39.0999984741 ylo yhi
0.0 39.0999984741 zlo zhi

Masses

1 6.941  # Li
2 15.7994 # O, core  of type 2 
3 35.453  # Cl
4  0.2000 # O, shell of type 2 
 
Atoms  # full

117 1 1  0.0 19.549999 15.640000 1.955000       
118 1 1  0.0 19.549999 15.640000 21.505000       
119 1 1  0.0 19.549999 35.189998 1.955000       
120 1 1  0.0 19.549999 35.189998 21.505000       
121 1 1  0.0 0.000000 1.955000 15.640000       
122 1 1  0.0 0.000000 1.955000 35.189998       
123 1 1  0.0 0.000000 21.505000 15.640000       
124 1 1  0.0 0.000000 21.505000 35.189998       
125 1 1  0.0 19.549999 1.955000 15.640000       
126 1 1  0.0 19.549999 1.955000 35.189998       
127 1 1  0.0 19.549999 21.505000 15.640000       
128 1 1  0.0 19.549999 21.505000 35.189998       
129 1 1  0.0 0.000000 17.594999 3.910000       
130 1 1  0.0 0.000000 17.594999 23.460000       
131 1 1  0.0 0.000000 37.144996 3.910000       
132 1 1  0.0 0.000000 37.144996 23.460000       
133 1 1  0.0 19.549999 17.594999 3.910000       
134 1 1  0.0 19.549999 17.594999 23.460000       
135 1 1  0.0 19.549999 37.144996 3.910000       
136 1 1  0.0 19.549999 37.144996 23.460000       
137 1 1  0.0 0.000000 17.594999 15.640000       
138 1 1  0.0 0.000000 17.594999 35.189998       
139 1 1  0.0 0.000000 37.144996 15.640000       
140 1 1  0.0 0.000000 37.144996 35.189998       
141 1 1  0.0 19.549999 17.594999 15.640000       
142 1 1  0.0 19.549999 17.594999 35.189998       
143 1 1  0.0 19.549999 37.144996 15.640000       
144 1 1  0.0 19.549999 37.144996 35.189998       
145 1 1  0.0 0.000000 1.955000 3.910000       
146 1 1  0.0 0.000000 1.955000 23.460000       
147 1 1  0.0 0.000000 21.505000 3.910000       
148 1 1  0.0 0.000000 21.505000 23.460000       
149 1 1  0.0 19.549999 1.955000 3.910000       
150 1 1  0.0 19.549999 1.955000 23.460000       
151 1 1  0.0 19.549999 21.505000 3.910000       
152 1 1  0.0 19.549999 21.505000 23.460000       
153 1 1  0.0 1.955000 3.910000 0.000000       
154 1 1  0.0 1.955000 3.910000 19.549999       
155 1 1  0.0 1.955000 23.460000 0.000000       
156 1 1  0.0 1.955000 23.460000 19.549999       
157 1 1  0.0 21.505000 3.910000 0.000000       
158 1 1  0.0 21.505000 3.910000 19.549999       
159 1 1  0.0 21.505000 23.460000 0.000000       
160 1 1  0.0 21.505000 23.460000 19.549999       
161 1 1  0.0 17.594999 15.640000 0.000000       
162 1 1  0.0 17.594999 15.640000 19.549999       
163 1 1  0.0 17.594999 35.189998 0.000000       
164 1 1  0.0 17.594999 35.189998 19.549999       
165 1 1  0.0 37.144996 15.640000 0.000000       
166 1 1  0.0 37.144996 15.640000 19.549999       
167 1 1  0.0 37.144996 35.189998 0.000000       
168 1 1  0.0 37.144996 35.189998 19.549999       
169 1 1  0.0 17.594999 3.910000 0.000000       
170 1 1  0.0 17.594999 3.910000 19.549999       
171 1 1  0.0 17.594999 23.460000 0.000000       
172 1 1  0.0 17.594999 23.460000 19.549999       
173 1 1  0.0 37.144996 3.910000 0.000000       
174 1 1  0.0 37.144996 3.910000 19.549999       
175 1 1  0.0 37.144996 23.460000 0.000000       
176 1 1  0.0 37.144996 23.460000 19.549999       
177 1 1  0.0 1.955000 15.640000 0.000000       
178 1 1  0.0 1.955000 15.640000 19.549999       
179 1 1  0.0 1.955000 35.189998 0.000000       
180 1 1  0.0 1.955000 35.189998 19.549999       
181 1 1  0.0 21.505000 15.640000 0.000000       
182 1 1  0.0 21.505000 15.640000 19.549999       
183 1 1  0.0 21.505000 35.189998 0.000000       
184 1 1  0.0 21.505000 35.189998 19.549999       
185 1 1  0.0 3.910000 0.000000 17.594999       
186 1 1  0.0 3.910000 0.000000 37.144998       
187 1 1  0.0 3.910000 19.549999 17.594999       
188 1 1  0.0 3.910000 19.549999 37.144998       
189 1 1  0.0 23.460000 0.000000 17.594999       
190 1 1  0.0 23.460000 0.000000 37.144998       
191 1 1  0.0 23.460000 19.549999 17.594999       
192 1 1  0.0 23.460000 19.549999 37.144998       
193 1 1  0.0 15.640000 0.000000 1.955000       
194 1 1  0.0 15.640000 0.000000 21.505000       
195 1 1  0.0 15.640000 19.549999 1.955000       
196 1 1  0.0 15.640000 19.549999 21.505000       
197 1 1  0.0 35.189998 0.000000 1.955000       
198 1 1  0.0 35.189998 0.000000 21.505000       
199 1 1  0.0 35.189998 19.549999 1.955000       
200 1 1  0.0 35.189998 19.549999 21.505000       
201 1 1  0.0 3.910000 0.000000 1.955000       
202 1 1  0.0 3.910000 0.000000 21.505000       
203 1 1  0.0 3.910000 19.549999 1.955000       
204 1 1  0.0 3.910000 19.549999 21.505000       
205 1 1  0.0 23.460000 0.000000 1.955000       
206 1 1  0.0 23.460000 0.000000 21.505000       
