# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 18000
  1 0.025 898.3 1968.23
  2 0.075 902.4 1978.77
  3 0.125 895.1 1973.4
  4 0.175 891.9 2013.87
  5 0.225 895.7 2082.61
  6 0.275 900.4 2010.99
  7 0.325 901.4 1981.29
  8 0.375 898 2092.27
  9 0.425 911.6 2027.67
  10 0.475 912 2038.67
  11 0.525 899.3 2044.3
  12 0.575 902.2 1964.94
  13 0.625 898.6 1998.53
  14 0.675 890.3 1993.82
  15 0.725 892.2 2019.02
  16 0.775 900.6 2025.13
  17 0.825 901 2021.46
  18 0.875 898.4 2045.15
  19 0.925 903.9 1998.68
  20 0.975 906.7 1998.93
2100 20 18000
  1 0.025 904.8 1943.86
  2 0.075 902.4 1983.75
  3 0.125 903.3 1994.29
  4 0.175 893.4 2048.73
  5 0.225 896.7 2051.2
  6 0.275 898.7 1997.02
  7 0.325 898.8 2018.76
  8 0.375 892.8 2067.68
  9 0.425 903.3 2055.91
  10 0.475 908.2 2022.19
  11 0.525 891.6 2066.86
  12 0.575 903.7 2010.43
  13 0.625 901.5 1986.9
  14 0.675 894.8 2029.98
  15 0.725 896.5 2029.35
  16 0.775 899.6 2029.07
  17 0.825 903.4 2021.03
  18 0.875 899.4 2030.15
  19 0.925 900.7 2032.49
  20 0.975 906.4 2001.03
3150 20 18000
  1 0.025 907.8 1930.38
  2 0.075 907.9 1956.74
  3 0.125 901.3 2029.16
  4 0.175 900.1 1993.84
  5 0.225 900.4 2074.57
  6 0.275 900.9 2048.81
  7 0.325 897.7 2010.05
  8 0.375 893.1 2022.15
  9 0.425 889.5 1984.08
  10 0.475 891.7 2043.73
  11 0.525 886.5 2050.06
  12 0.575 897.6 1989.11
  13 0.625 898.5 2038.27
  14 0.675 899.4 2005.49
  15 0.725 901.1 2019.69
  16 0.775 901.3 1998.83
  17 0.825 902.2 2018.43
  18 0.875 900.7 2051.92
  19 0.925 905.8 2029.85
  20 0.975 916.5 2006.5
4200 20 18000
  1 0.025 898.6 1976.94
  2 0.075 903.3 1891.34
  3 0.125 895.6 1978.16
  4 0.175 894.6 1988.92
  5 0.225 897.4 2059.54
  6 0.275 901 2076.94
  7 0.325 905.2 2033.87
  8 0.375 900.4 2050.43
  9 0.425 904.5 2004.87
  10 0.475 908.8 2073.64
  11 0.525 895.2 2079.88
  12 0.575 901.8 2070.21
  13 0.625 900.8 2113.13
  14 0.675 895.5 2016.7
  15 0.725 900.2 2001.04
  16 0.775 898.2 2002.36
  17 0.825 899.2 2017.78
  18 0.875 895.9 2021.29
  19 0.925 896.7 1980.85
  20 0.975 907.1 1937.34
5250 20 18000
  1 0.025 907.6 1968.85
  2 0.075 903.4 1932.35
  3 0.125 901.2 1917.95
  4 0.175 893.4 2042.42
  5 0.225 898.6 2020.66
  6 0.275 895.4 2033.36
  7 0.325 898.2 2075.76
  8 0.375 896.4 2019
  9 0.425 897.6 2042.81
  10 0.475 904.6 2058.55
  11 0.525 887.7 2117.05
  12 0.575 901.1 2038.29
  13 0.625 893.1 2112.49
  14 0.675 894.4 1987.39
  15 0.725 898.5 1996.93
  16 0.775 901.4 1998.69
  17 0.825 899.8 2011.58
  18 0.875 900.8 1978.28
  19 0.925 911.1 1977.9
  20 0.975 915.7 1933.91
6300 20 18000
  1 0.025 907.6 1929.6
  2 0.075 905.2 1953.82
  3 0.125 900.8 1966.2
  4 0.175 898.4 1990.23
  5 0.225 901.3 2000.62
  6 0.275 898.4 2059.89
  7 0.325 900.1 2053.63
  8 0.375 896.3 1998.6
  9 0.425 888.7 2058.83
  10 0.475 897 2035.47
  11 0.525 879.9 2132.27
  12 0.575 897.8 2055.11
  13 0.625 898.8 2081.24
  14 0.675 898.5 2028.39
  15 0.725 900.1 1987.63
  16 0.775 900.9 2047.42
  17 0.825 904.1 1989.56
  18 0.875 900.7 2027.99
  19 0.925 909.6 1981.74
  20 0.975 915.8 1921.66
7350 20 18000
  1 0.025 900 1868.97
  2 0.075 904.4 1904.06
  3 0.125 897.3 1967.05
  4 0.175 894.2 2010.14
  5 0.225 901.8 2025.55
  6 0.275 906.7 2023.65
  7 0.325 903.7 2073.24
  8 0.375 902.4 2040.76
  9 0.425 901.3 2077.97
  10 0.475 900.3 2132.88
  11 0.525 893.6 2121.95
  12 0.575 899.2 2157.52
  13 0.625 905.5 2057.2
  14 0.675 898.8 2034.65
  15 0.725 901 2006.39
  16 0.775 899.8 2005.82
  17 0.825 897.1 1998.08
  18 0.875 892 1998.22
  19 0.925 898.7 1951.01
  20 0.975 902.2 1935.78
8400 20 18000
  1 0.025 911.2 1890.31
  2 0.075 905.9 1899.75
  3 0.125 900.6 1978.64
  4 0.175 897.7 2012.28
  5 0.225 896.7 2028.86
  6 0.275 900.1 2025.93
  7 0.325 899.8 2035.23
  8 0.375 896.1 2023.54
  9 0.425 896.9 2055.99
  10 0.475 897 2110
  11 0.525 882.4 2155.16
  12 0.575 895.5 2023.83
  13 0.625 898.7 2059.39
  14 0.675 895.1 2021.75
  15 0.725 897.6 1955.85
  16 0.775 900.7 2046.51
  17 0.825 900.2 2012.27
  18 0.875 901.5 1988.02
  19 0.925 906.9 1987.81
  20 0.975 919.4 1927.85
9450 20 18000
  1 0.025 910.3 1863.97
  2 0.075 903 1904.98
  3 0.125 899.4 1964.24
  4 0.175 895.2 2011.79
  5 0.225 899.5 2016.15
  6 0.275 900.1 2009.62
  7 0.325 902 2029.08
  8 0.375 893.7 2070.29
  9 0.425 896.1 2089.16
  10 0.475 895.2 2111.81
  11 0.525 885.9 2119.68
  12 0.575 897.8 2122.89
  13 0.625 896.3 2136.49
  14 0.675 897.1 2029.77
  15 0.725 900.1 1955.11
  16 0.775 900.8 2058.77
  17 0.825 900.1 2017.68
  18 0.875 899.9 1971.28
  19 0.925 909.9 1937.49
  20 0.975 917.6 1889.29
10500 20 18000
  1 0.025 903.2 1843.32
  2 0.075 902.1 1899.49
