Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -199.86065925, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.12, 0.61
Ag, -559.36936274, Ag_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 19.00, SG15, 0.09, 0.09
Al, -46.35765155, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.01, 0.01
Am, -1412.66500287, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 1.00, 1.04
Ar, -93.78083439, Ar_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 8.00, SG15-1.1, -0.00, 0.00
As, -40.40136267, As.pbe-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, -0.00, 0.00
At, -450.96104348, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.01, 0.02
Au, -530.98332487, Au_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 19.00, SG15, -0.01, 0.01
Ba, -570.27194344, Ba.pbe-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, -0.00, 0.00
Be, -37.91458381, be_pbe_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, 0.00, 0.00
Bi, -355.90563117, Bi_pbe_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.04, 0.04
Bk, -1583.02758394, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 1.40, 2.46
Br, -86.56339206, br_pbe_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, -0.00, 0.00
B, -12.97424162, b_pbe_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, 1.07, 1.07
C, -30.31482626, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.05
Ca, -150.46705544, Ca_pbe_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -224.17194315, Cd.pbe-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, 0.00, 0.00
Ce, -608.12021911, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.01, 0.79
Cf, -1672.39954756, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -0.00, 0.00
Cl, -78.14478561, cl_pbe_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, 0.00, 0.00
Cm, -1486.05356347, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.87, 1.03
Co, -491.72332873, Co_pbe_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 2.25, 2.26
Cr, -318.35097940, cr_pbe_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, -0.00, 0.00
Cs, -144.44952467, Cs_pbe_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 1.06, 1.06
Cu, -299.12064241, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.04, 0.56
Dy, -1100.02132258, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.00, 0.79
Er, -1285.32798915, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 0.02, 0.51
Es, -1762.54135711, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -0.00, 0.00
