# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 3600
  1 0.025 180 289.373
  2 0.075 180 289.718
  3 0.125 180 293.892
  4 0.175 180 298.985
  5 0.225 180 298.321
  6 0.275 180 297.688
  7 0.325 180 299.856
  8 0.375 180 298.734
  9 0.425 180 290.717
  10 0.475 180 303.09
  11 0.525 180 307.018
  12 0.575 180 300.254
  13 0.625 180 305.326
  14 0.675 180 299.765
  15 0.725 180 295.356
  16 0.775 180 298.284
  17 0.825 180 302.027
  18 0.875 180 295.594
  19 0.925 180 300.319
  20 0.975 180 301.288
2100 20 3600
  1 0.025 180 301.641
  2 0.075 180 286.739
  3 0.125 180 296.851
  4 0.175 180 283.95
  5 0.225 180 301.342
  6 0.275 180 303.77
  7 0.325 180 309.841
  8 0.375 180 294.756
  9 0.425 180 305.312
  10 0.475 180 291.436
  11 0.525 180 298.822
  12 0.575 180 307.039
  13 0.625 180 286.596
  14 0.675 180 302.338
  15 0.725 180 297.051
  16 0.775 180 304.139
  17 0.825 180 302.551
  18 0.875 180 304.027
  19 0.925 180 304.085
  20 0.975 180 294.877
3150 20 3600
  1 0.025 180 291.721
  2 0.075 180 283.717
  3 0.125 180 288.782
  4 0.175 180 310.595
  5 0.225 180 296.759
  6 0.275 180 298.872
  7 0.325 180 297.133
  8 0.375 180 301.025
  9 0.425 180 322.928
  10 0.475 180 315.683
  11 0.525 180 322.195
  12 0.575 180 301.713
  13 0.625 180 287.741
  14 0.675 180 303.911
  15 0.725 180 300.49
  16 0.775 180 306.355
  17 0.825 180 290.003
  18 0.875 180 288.1
  19 0.925 180 284.888
  20 0.975 180 272.195
4200 20 3600
  1 0.025 180 298.744
  2 0.075 180 294.194
  3 0.125 180 292.805
  4 0.175 180 286.347
  5 0.225 180 302.7
  6 0.275 180 298.308
  7 0.325 180 294.597
  8 0.375 180 286.529
  9 0.425 180 285.805
  10 0.475 180 306.403
  11 0.525 180 310.013
  12 0.575 180 306.729
  13 0.625 180 305.893
  14 0.675 180 289.83
  15 0.725 180 316.401
  16 0.775 180 308.498
  17 0.825 180 300.694
  18 0.875 180 293.615
  19 0.925 180 290.779
  20 0.975 180 295.465
5250 20 3600
  1 0.025 180 301.194
  2 0.075 180 296.801
  3 0.125 180 307.731
  4 0.175 180 305.156
  5 0.225 180 312.186
  6 0.275 180 299.64
  7 0.325 180 292.928
  8 0.375 180 285.684
  9 0.425 180 278.459
  10 0.475 180 295.592
  11 0.525 180 291.498
  12 0.575 180 288.532
  13 0.625 180 301.936
  14 0.675 180 302.522
  15 0.725 180 300.084
  16 0.775 180 297.405
  17 0.825 180 299.249
  18 0.875 180 283.097
  19 0.925 180 307.861
  20 0.975 180 298.475
6300 20 3600
  1 0.025 180 286.592
  2 0.075 180 302.332
  3 0.125 180 288.737
  4 0.175 180 300.938
  5 0.225 180 301.024
  6 0.275 180 296.054
  7 0.325 180 299.672
  8 0.375 180 303.372
  9 0.425 180 312.316
  10 0.475 180 302.372
  11 0.525 180 314.144
  12 0.575 180 306.783
  13 0.625 180 312.454
  14 0.675 180 297.49
  15 0.725 180 301.803
  16 0.775 180 288.136
  17 0.825 180 290.987
  18 0.875 180 295.976
  19 0.925 180 300.265
  20 0.975 180 288.607
7350 20 3600
  1 0.025 180 285.671
  2 0.075 180 290.928
  3 0.125 180 301.306
  4 0.175 180 302.153
  5 0.225 180 304.171
  6 0.275 180 305.005
  7 0.325 180 294.596
  8 0.375 180 297.888
  9 0.425 180 302.378
  10 0.475 180 295.902
  11 0.525 180 297.849
  12 0.575 180 293.139
  13 0.625 180 301.304
  14 0.675 180 300.148
  15 0.725 180 288.258
  16 0.775 180 303.675
  17 0.825 180 315.94
  18 0.875 180 302.202
  19 0.925 180 293.007
  20 0.975 180 296.066
8400 20 3600
  1 0.025 180 294.409
  2 0.075 180 301.457
  3 0.125 180 289.113
  4 0.175 180 291.42
  5 0.225 180 301.841
  6 0.275 180 296.175
  7 0.325 180 293.737
  8 0.375 180 298.142
  9 0.425 180 308.293
  10 0.475 180 293.995
  11 0.525 180 289.184
  12 0.575 180 306.166
  13 0.625 180 310.335
  14 0.675 180 311.59
  15 0.725 180 302.614
  16 0.775 180 303.781
  17 0.825 180 296.219
  18 0.875 180 301.348
  19 0.925 180 301.526
  20 0.975 180 286.738
9450 20 3600
  1 0.025 180 283.87
  2 0.075 180 286.803
  3 0.125 180 298.983
  4 0.175 180 288.258
  5 0.225 180 291.227
  6 0.275 180 284.467
  7 0.325 180 297.338
  8 0.375 180 300.177
  9 0.425 180 302.166
  10 0.475 180 313.078
  11 0.525 180 305.27
  12 0.575 180 305.74
  13 0.625 180 307.428
  14 0.675 180 300.873
  15 0.725 180 294.16
  16 0.775 180 299.321
  17 0.825 180 286.805
  18 0.875 180 307.823
  19 0.925 180 303.032
  20 0.975 180 295.901
10500 20 3600
  1 0.025 180 296.987
  2 0.075 180 293.666
  3 0.125 180 300.735
  4 0.175 180 306.339
  5 0.225 180 290.918
  6 0.275 180 302.885
  7 0.325 180 289.915
  8 0.375 180 298.363
  9 0.425 180 289.08
  10 0.475 180 297.104
  11 0.525 180 299.672
  12 0.575 180 308.764
  13 0.625 180 299.366
  14 0.675 180 306.557
  15 0.725 180 315.202
  16 0.775 180 293.197
  17 0.825 180 299.214
  18 0.875 180 290.843
  19 0.925 180 298.77
  20 0.975 180 289.673
11550 20 3600
  1 0.025 180 288.212
  2 0.075 180 292.909
  3 0.125 180 286.91
  4 0.175 180 302.841
  5 0.225 180 301.419
  6 0.275 180 304.06
  7 0.325 180 297.149
  8 0.375 180 294.512
  9 0.425 180 300.602
  10 0.475 180 295.324
  11 0.525 180 312.476
  12 0.575 180 310.716
  13 0.625 180 291.118
  14 0.675 180 301.325
  15 0.725 180 293.293
  16 0.775 180 306.536
  17 0.825 180 293.034
  18 0.875 180 292.328
  19 0.925 180 290.597
  20 0.975 180 291.019
12600 20 3600
  1 0.025 180 307.472
  2 0.075 180 304.781
  3 0.125 180 307.287
  4 0.175 180 311.694
  5 0.225 180 305.189
  6 0.275 180 292.96
  7 0.325 180 292.107
  8 0.375 180 292.902
  9 0.425 180 299.634
  10 0.475 180 311.896
  11 0.525 180 299.883
  12 0.575 180 301.963
  13 0.625 180 296.442
  14 0.675 180 290.046
  15 0.725 180 299.538
  16 0.775 180 289.389
  17 0.825 180 302.808
  18 0.875 180 296.542
  19 0.925 180 294.555
  20 0.975 180 294.938
13650 20 3600
  1 0.025 180 295.318
  2 0.075 180 289.213
  3 0.125 180 284.244
  4 0.175 180 280.54
  5 0.225 180 289.301
  6 0.275 180 291.341
  7 0.325 180 291.431
  8 0.375 180 297.814
  9 0.425 180 317.129
