# Lattice constant (Angstroms), Volume (Angstrom), Total energy (eV), Cohesive energy (eV/atom)
2.77980614364756, 21.4804577151097, -11.4434927535987, -5.72174637679936
2.78675565900668, 21.6419642421873, -11.5215209985881, -5.76076049929403
2.79372254815419, 21.8046850989889, -11.595450084778, -5.79772504238901
2.80070685452458, 21.9686294157752, -11.6653519025647, -5.83267595128236
2.80770862166089, 22.1338063914549, -11.7312976633802, -5.86564883169012
2.81472789321504, 22.3002252941013, -11.7933579004172, -5.89667895020858
2.82176471294808, 22.4678954614724, -11.8516024695776, -5.92580123478881
2.82881912473045, 22.6368263015342, -11.9061005506708, -5.95305027533541
2.83589117254228, 22.8070272929893, -11.9569206485049, -5.97846032425247
2.84298090047363, 22.9785079858082, -12.0041305940315, -6.00206529701573
2.85008835272482, 23.1512780017657, -12.0477975455418, -6.02389877277092
2.85721357360663, 23.3253470349802, -12.0879879897319, -6.04399399486594
2.86435660754064, 23.500724852458, -12.1247677430022, -6.06238387150111
2.8715174990595, 23.6774212946412, -12.1582019530434, -6.07910097652169
2.87869629280714, 23.85544627596, -12.1883551002817, -6.09417755014083
2.88589303353916, 24.0348097853887, -12.2152909993811, -6.10764549969055
2.89310776612301, 24.2155218870065, -12.2390728007128, -6.11953640035642
2.90034053553832, 24.397592720562, -12.2597629917083, -6.12988149585416
2.90759138687716, 24.5810325020421, -12.2774233987809, -6.13871169939044
2.91486036534436, 24.7658515242454, -12.2921151891339, -6.14605759456697
2.92214751625772, 24.9520601573598, -12.3038988725396, -6.1519494362698
2.92945288504836, 25.1396688495439, -12.3128343030895, -6.15641715154475
2.93677651726098, 25.3286881275137, -12.318980680792, -6.159490340396
2.94411845855413, 25.5191285971332, -12.3223965537844, -6.1611982768922
2.95147875470052, 25.7110009440093, -12.3231398204327, -6.16156991021636
2.95885745158727, 25.9043159340914, -12.3212677313782, -6.16063386568911
2.96625459521624, 26.0990844142758, -12.3168368914417, -6.15841844572083
2.97367023170428, 26.2953173130138, -12.3099032616123, -6.15495163080614
2.98110440728354, 26.4930256409254, -12.3005221615786, -6.15026108078931
2.98855716830175, 26.6922204914166, -12.2887482720216, -6.1443741360108
2.9960285612225, 26.8929130413024, -12.27463563685, -6.13731781842501
3.00351863262556, 27.0951145514334, -12.2582376652106, -6.12911883260529
3.01102742920712, 27.2988363673282, -12.2396071341564, -6.11980356707818
3.01855499778014, 27.5040899198094, -12.2187961911673, -6.10939809558365
3.02610138527459, 27.7108867256453, -12.1958563564043, -6.09792817820214
3.03366663873778, 27.9192383881964, -12.1708385250904, -6.0854192625452
3.04125080533462, 28.1291565980657, -12.1437929703205, -6.07189648516024
3.04885393234796, 28.3406531337555, -12.1147693459269, -6.05738467296344
3.05647606717883, 28.5537398623276, -12.0838166891167, -6.04190834455836
3.06411725734677, 28.7684287400697, -12.05098342283, -6.02549171141501
3.07177755049014, 28.9847318131658, -12.016317358722, -6.00815867936099
3.07945699436637, 29.2026612183724, -11.9798657001935, -5.98993285009676
3.08715563685228, 29.4222291836997, -11.9416750451416, -5.97083752257081
3.09487352594441, 29.6434480290969, -11.9017913885047, -5.95089569425233
3.10261070975927, 29.8663301671446, -11.860260125375, -5.9301300626875
3.11036723653367, 30.0908881037502, -11.8171260536826, -5.9085630268413
3.118143154625, 30.3171344388504, -11.7724333773689, -5.88621668868443
3.12593851251157, 30.5450818671177, -11.7262257094426, -5.86311285472132
3.13375335879285, 30.774743178673, -11.6785460754518, -5.83927303772591
