Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64268562, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.00, 0.01
Ag, -286.99934124, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, -0.01, 0.01
Al, -38.21866421, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.01, 0.01
Am, -1124.97557956, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 1.00, 2.89
Ar, -93.55116400, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, 0.00, 0.00
As, -211.46047397, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, -0.01, 0.01
At, -220.01311132, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.00, 0.01
Au, -274.46461935, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.02, 0.02
Ba, -55.98961110, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, 0.00, 0.00
Be, -26.15838440, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, -0.00, 0.00
Bi, -184.66425077, bi_pbesol_v1.uspp.F.UPF, 50, 400, 15.00, GBRV-1.2, -0.00, 0.01
Bk, -1211.72522971, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.01, 2.15
B, -5.84434924, b_pbesol_v1.4.uspp.F.UPF, 55, 440, 3.00, GBRV-1.2, -0.00, 0.00
Br, -40.38315519, br_pbesol_v1.4.uspp.F.UPF, 90, 720, 7.00, GBRV-1.4, 0.00, 0.00
Ca, -74.77659498, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -600.88057595, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, -0.00, 0.00
Ce, -475.05026154, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.29, 1.49
Cf, -1259.43554038, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.02, 2.07
Cl, -34.35164174, Cl.pbesol-n-rrkjus_psl.1.0.0.UPF, 100, 800, 7.00, 100US, -0.00, 0.00
Cm, -4342.98482592, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 0.00
Co, -297.78619588, co_pbesol_v1.2.uspp.F.UPF, 90, 1080, 17.00, GBRV-1.2, 1.00, 2.00
C, -17.42039581, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
Cr, -175.07389185, cr_pbesol_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 6.00, 6.00
Cs, -46.53941929, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45, 180, 9.00, Dojo, -0.00, 0.00
Cu, -210.13279942, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -1.00, 1.10
Dy, -769.00158747, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, 0.00, 1.01
Er, -877.43995271, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 0.05, 0.55
Es, -1310.18092040, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 0.19, 1.36
Eu, -863.27341395, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 0.97, 1.22
Fe, -326.52756139, Fe.pbesol-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -4.00, 4.01
Fm, -1364.13280794, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 1.99, 1.99
F, -48.81282704, F.oncvpsp.upf, 90, 360, 7.00, Dojo, 0.00, 0.00
Fr, -1059.38314372, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.02, 0.02
Ga, -274.76866696, Ga.pbesol-dn-kjpaw_psl.1.0.0.UPF, 90, 720, 13.00, 100PAW, -0.00, 0.04
Gd, -675.81559398, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, -0.00, 0.76
Ge, -212.83050394, ge_pbesol_v1.4.uspp.F.UPF, 45, 360, 14.00, GBRV-1.4, -0.00, 0.01
He, -5.51625750, He_ONCV_PBEsol-1.0.upf, 55, 220, 2.00, SG15, -0.00, 0.00
Hf, -112.26512577, Hf-sp.oncvpsp.upf, 55, 220, 12.00, Dojo, 0.00, 0.01
