ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-5.5227508216644594e-01 1.4448827508216965e+02 0.0000000000000000e+00
-8.6237668909999954e-02 2.1676637668910097e+01 0.0000000000000000e+00
-2.1996831918351312e-01 2.5979968319183335e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
6 1 0.353853 0.615415 2.17165 -7.88901 -0.0601749 1.33686 -0.0164454 
1446 1 0.196194 0.726475 7.09302 -8.05024 0.384684 1.38921 2.21813 
983 1 11.1363 15.4126 4.72792 -7.4848 0.0724823 0.473825 -0.773105 
246 1 0.146077 4.49316 2.22668 -7.95607 1.9 -1.09662 0.838947 
1686 1 0.276645 4.47984 7.48959 -8.26796 1.12968 -0.0950879 0.256265 
15 1 9.23108 2.59146 -0.00681578 -7.75265 1.18731 0.249288 -0.795732 
486 1 0.472545 8.07502 2.23757 -8.01544 0.438766 -0.472965 -1.02876 
1926 1 0.0922663 7.98443 7.30864 -8.30527 2.63611 0.407844 -0.0428145 
1703 1 11.3323 4.21208 9.9618 -8.08245 -1.25204 1.0697 1.31076 
726 1 0.39488 11.4741 2.31461 -7.95615 -0.216287 1.06594 0.0218245 
2166 1 0.280435 11.703 7.48092 -7.60847 -0.20607 1.13111 0.236091 
2423 1 11.15 15.3858 9.96541 -8.2036 0.729394 0.537375 -0.449035 
966 1 0.318111 15.2264 2.08481 -7.82704 0.666145 1.24242 0.031978 
2406 1 0.433674 15.2274 7.24657 -8.47864 -0.753114 0.605381 1.34443 
3606 1 0.176552 11.7045 12.5757 -7.59782 0.035753 -0.242097 -0.442543 
1206 1 0.0562099 19.0282 2.09183 -7.32402 0.934681 -0.605835 -0.438774 
2646 1 0.260223 18.8366 7.18493 -7.42156 1.54125 1.22496 2.18403 
2898 1 7.60998 0.645157 12.5383 -8.04541 -0.494429 0.819145 -0.959518 
12 1 3.98658 0.808932 2.12848 -8.31905 0.555937 -0.761757 0.800021 
1452 1 3.54982 0.854927 7.38265 -7.69174 1.3944 -0.429912 -0.222498 
984 1 11.3706 15.5291 2.15902 -7.9244 -0.133463 0.136983 0.585846 
