############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 512
# dimension of the system                  : 3 D
# number of atoms per unit cell            : 1
# dimension of the FFT mesh                : 8 x 8 x 8
# number of wait steps before measurement  : 50000
# frequency of the measurement             : 10
# output result after this many measurement: 5000
# number of processors used by this run    : 1
############################################################
# mapping information between lattice indices and atom id
# nx ny nz nucell
8 8 8 1
# l1 l2 l3 k atom_id
3 2 3 0 212
3 2 4 0 276
3 2 5 0 340
3 2 6 0 404
3 2 7 0 468
3 3 0 0 28
3 3 1 0 92
3 3 2 0 156
3 3 3 0 220
3 3 4 0 284
3 3 5 0 348
3 3 6 0 412
3 3 7 0 476
3 4 0 0 36
3 4 1 0 100
3 4 2 0 164
3 4 3 0 228
3 4 4 0 292
3 4 5 0 356
3 4 6 0 420
3 4 7 0 484
3 5 0 0 44
3 5 1 0 108
3 5 2 0 172
3 5 3 0 236
3 5 4 0 300
3 5 5 0 364
3 5 6 0 428
3 5 7 0 492
3 6 0 0 52
3 6 1 0 116
3 6 2 0 180
3 6 3 0 244
3 6 4 0 308
3 6 5 0 372
3 6 6 0 436
3 6 7 0 500
3 7 0 0 60
3 7 1 0 124
3 7 2 0 188
3 7 3 0 252
3 7 4 0 316
3 7 5 0 380
3 7 6 0 444
3 7 7 0 508
4 0 0 0 5
4 0 1 0 69
4 0 2 0 133
4 0 3 0 197
4 0 4 0 261
4 0 5 0 325
4 0 6 0 389
4 0 7 0 453
4 1 0 0 13
4 1 1 0 77
4 1 2 0 141
4 1 3 0 205
4 1 4 0 269
4 1 5 0 333
4 1 6 0 397
4 1 7 0 461
4 2 0 0 21
4 2 1 0 85
4 2 2 0 149
4 2 3 0 213
4 2 4 0 277
4 2 5 0 341
4 2 6 0 405
4 2 7 0 469
4 3 0 0 29
4 3 1 0 93
4 3 2 0 157
4 3 3 0 221
4 3 4 0 285
4 3 5 0 349
4 3 6 0 413
4 3 7 0 477
4 4 0 0 37
4 4 1 0 101
4 4 2 0 165
4 4 3 0 229
4 4 4 0 293
4 4 5 0 357
4 4 6 0 421
4 4 7 0 485
4 5 0 0 45
4 5 1 0 109
4 5 2 0 173
4 5 3 0 237
4 5 4 0 301
4 5 5 0 365
4 5 6 0 429
4 5 7 0 493
4 6 0 0 53
4 6 1 0 117
4 6 2 0 181
4 6 3 0 245
4 6 4 0 309
4 6 5 0 373
4 6 6 0 437
4 6 7 0 501
4 7 0 0 61
4 7 1 0 125
4 7 2 0 189
4 7 3 0 253
4 7 4 0 317
4 7 5 0 381
4 7 6 0 445
4 7 7 0 509
5 0 0 0 6
5 0 1 0 70
5 0 2 0 134
5 0 3 0 198
5 0 4 0 262
5 0 5 0 326
5 0 6 0 390
5 0 7 0 454
5 1 0 0 14
5 1 1 0 78
5 1 2 0 142
5 1 3 0 206
5 1 4 0 270
5 1 5 0 334
5 1 6 0 398
5 1 7 0 462
5 2 0 0 22
5 2 1 0 86
5 2 2 0 150
5 2 3 0 214
5 2 4 0 278
5 2 5 0 342
5 2 6 0 406
5 2 7 0 470
5 3 0 0 30
5 3 1 0 94
5 3 2 0 158
5 3 3 0 222
5 3 4 0 286
5 3 5 0 350
5 3 6 0 414
5 3 7 0 478
5 4 0 0 38
5 4 1 0 102
5 4 2 0 166
5 4 3 0 230
5 4 4 0 294
5 4 5 0 358
5 4 6 0 422
5 4 7 0 486
5 5 0 0 46
5 5 1 0 110
5 5 2 0 174
5 5 3 0 238
5 5 4 0 302
5 5 5 0 366
5 5 6 0 430
5 5 7 0 494
5 6 0 0 54
5 6 1 0 118
5 6 2 0 182
5 6 3 0 246
5 6 4 0 310
5 6 5 0 374
5 6 6 0 438
5 6 7 0 502
5 7 0 0 62
5 7 1 0 126
5 7 2 0 190
5 7 3 0 254
5 7 4 0 318
5 7 5 0 382
5 7 6 0 446
5 7 7 0 510
6 0 0 0 7
6 0 1 0 71
6 0 2 0 135
6 0 3 0 199
6 0 4 0 263
6 0 5 0 327
6 0 6 0 391
6 0 7 0 455
6 1 0 0 15
6 1 1 0 79
6 1 2 0 143
6 1 3 0 207
6 1 4 0 271
6 1 5 0 335
6 1 6 0 399
6 1 7 0 463
6 2 0 0 23
6 2 1 0 87
6 2 2 0 151
6 2 3 0 215
6 2 4 0 279
6 2 5 0 343
6 2 6 0 407
6 2 7 0 471
6 3 0 0 31
6 3 1 0 95
6 3 2 0 159
6 3 3 0 223
6 3 4 0 287
6 3 5 0 351
6 3 6 0 415
6 3 7 0 479
6 4 0 0 39
6 4 1 0 103
6 4 2 0 167
6 4 3 0 231
6 4 4 0 295
6 4 5 0 359
6 4 6 0 423
6 4 7 0 487
6 5 0 0 47
6 5 1 0 111
6 5 2 0 175
6 5 3 0 239
6 5 4 0 303
6 5 5 0 367
6 5 6 0 431
6 5 7 0 495
6 6 0 0 55
6 6 1 0 119
6 6 2 0 183
6 6 3 0 247
6 6 4 0 311
6 6 5 0 375
6 6 6 0 439
6 6 7 0 503
6 7 0 0 63
6 7 1 0 127
6 7 2 0 191
6 7 3 0 255
6 7 4 0 319
6 7 5 0 383
6 7 6 0 447
6 7 7 0 511
7 0 0 0 8
7 0 1 0 72
7 0 2 0 136
7 0 3 0 200
7 0 4 0 264
7 0 5 0 328
7 0 6 0 392
7 0 7 0 456
7 1 0 0 16
7 1 1 0 80
7 1 2 0 144
7 1 3 0 208
7 1 4 0 272
7 1 5 0 336
7 1 6 0 400
7 1 7 0 464
7 2 0 0 24
7 2 1 0 88
7 2 2 0 152
7 2 3 0 216
7 2 4 0 280
7 2 5 0 344
7 2 6 0 408
7 2 7 0 472
7 3 0 0 32
7 3 1 0 96
7 3 2 0 160
7 3 3 0 224
7 3 4 0 288
7 3 5 0 352
7 3 6 0 416
7 3 7 0 480
7 4 0 0 40
7 4 1 0 104
7 4 2 0 168
7 4 3 0 232
7 4 4 0 296
7 4 5 0 360
7 4 6 0 424
7 4 7 0 488
7 5 0 0 48
7 5 1 0 112
7 5 2 0 176
7 5 3 0 240
7 5 4 0 304
7 5 5 0 368
7 5 6 0 432
7 5 7 0 496
7 6 0 0 56
7 6 1 0 120
7 6 2 0 184
7 6 3 0 248
7 6 4 0 312
7 6 5 0 376
7 6 6 0 440
7 6 7 0 504
7 7 0 0 64
7 7 1 0 128
7 7 2 0 192
7 7 3 0 256
7 7 4 0 320
7 7 5 0 384
7 7 6 0 448
7 7 7 0 512
############################################################
############################################################
# Current time step                      : 100000
# Total number of measurements           : 5000
# Average temperature of the measurement : 299.372
# Boltzmann constant under current units : 8.61734e-05
# basis vector A1 = [2.56873 0 0]
# basis vector A2 = [1.28437 2.22459 0]
# basis vector A3 = [1.28437 0.741529 2.09736]
############################################################
# qx	 qy 	 qz 		 Phi(q)
0 0 0 0 0 0 0 0 0 0 0 0 -0 0 -0 0 0 0 0 0 0
0 0 0.125 0.00875479 -4.43309e-23 0.000790668 0.00143685 -0.000133932 6.37068e-05 0.000790668 -0.00143685 0.0105848 1.50109e-20 6.83342e-05 -8.50007e-05 -0.000133932 -6.37068e-05 6.83342e-05 8.50007e-05 0.0316998 -6.55862e-23
0 0 0.25 0.0228139 0 0.000643889 0.00201739 0.000236414 0.000252784 0.000643889 -0.00201739 0.023223 -4.37374e-23 -0.000285202 -0.00015588 0.000236414 -0.000252784 -0.000285202 0.00015588 0.128217 0
0 0 0.375 0.0355746 -2.09957e-20 -0.00356078 0.000992798 -0.00017236 -0.000101086 -0.00356078 -0.000992798 0.0276797 1.11968e-20 -0.00045017 0.000371131 -0.00017236 0.000101086 -0.00045017 -0.000371131 0.205193 -7.72893e-22
0 0 0.5 0.0383954 0 -0.00469511 0 -0.000425173 0 -0.00469511 0 0.0401311 0 -0.000452821 0 -0.000425173 0 -0.000452821 0 0.235754 0
0 0 0.625 0.0355746 -1.10827e-23 -0.00356078 -0.000992798 -0.00017236 0.000101086 -0.00356078 0.000992798 0.0276797 -2.23936e-20 -0.00045017 -0.000371131 -0.00017236 -0.000101086 -0.00045017 0.000371131 0.205193 -6.87016e-22
0 0 0.75 0.0228139 0 0.000643889 -0.00201739 0.000236414 -0.000252784 0.000643889 0.00201739 0.023223 4.37374e-23 -0.000285202 0.00015588 0.000236414 0.000252784 -0.000285202 -0.00015588 0.128217 0
0 0 0.875 0.00875479 0 0.000790668 -0.00143685 -0.000133932 -6.37068e-05 0.000790668 0.00143685 0.0105848 -1.50546e-20 6.83342e-05 8.50007e-05 -0.000133932 6.37068e-05 6.83342e-05 -8.50007e-05 0.0316998 1.31172e-22
0 0.125 0 0.00883171 -1.77134e-19 -5.98247e-05 0.00064081 -0.000178762 0.0010746 -5.98247e-05 -0.00064081 0.0280924 -1.65428e-16 -0.00838413 -6.85215e-05 -0.000178762 -0.0010746 -0.00838413 6.85215e-05 0.00750454 -4.48315e-17
0 0.125 0.125 0.0154267 -1.56045e-20 -0.00111599 -0.000172137 0.00145286 0.000364958 -0.00111599 0.000172137 0.0256057 2.20268e-20 0.00857596 0.000117106 0.00145286 -0.000364958 0.00857596 -0.000117106 0.0195161 1.32706e-19
0 0.125 0.25 0.0285459 -6.22011e-21 0.000588842 0.000489549 0.000188053 -8.32244e-05 0.000588842 -0.000489549 0.030211 1.0567e-19 0.0204461 1.65875e-05 0.000188053 8.32244e-05 0.0204461 -1.65875e-05 0.0868333 3.18588e-19
0 0.125 0.375 0.0387097 -7.09294e-21 0.0112643 0.0027557 -0.00136922 -0.000661118 0.0112643 -0.0027557 0.0398181 7.83774e-20 0.0214073 0.000450836 -0.00136922 0.000661118 0.0214073 -0.000450836 0.170703 2.09208e-19
0 0.125 0.5 0.0465672 2.34213e-21 6.57499e-05 0.00026933 0.000253782 -0.000324367 6.57499e-05 -0.00026933 0.0441436 -3.43339e-20 0.0104473 5.3391e-05 0.000253782 0.000324367 0.0104473 -5.3391e-05 0.228331 -1.74179e-19
0 0.125 0.625 0.0467889 3.16412e-21 0.000585141 0.000230999 9.32894e-06 -0.000477723 0.000585141 -0.000230999 0.0665862 6.83827e-21 -0.00755302 -9.88028e-05 9.32894e-06 0.000477723 -0.00755302 9.88028e-05 0.205951 7.35356e-21
0 0.125 0.75 0.0199717 9.75279e-22 0.000360633 -0.000135815 0.00029556 -0.000176932 0.000360633 0.000135815 0.0707679 6.90712e-20 -0.0137648 -0.000123047 0.00029556 0.000176932 -0.0137648 0.000123047 0.128852 1.2516e-19
0 0.125 0.875 0.00832194 -5.54136e-23 0.000114112 -3.7333e-05 4.99503e-05 8.94309e-06 0.000114112 3.7333e-05 0.0524447 1.00494e-19 -0.0209194 0.000305612 4.99503e-05 -8.94309e-06 -0.0209194 -0.000305612 0.0669592 1.49919e-19
0 0.25 0 0.0143622 1.62647e-18 0.000103483 -5.04658e-05 0.000887305 -0.000495877 0.000103483 5.04658e-05 0.107243 -5.80541e-17 -0.0313086 0.000303846 0.000887305 0.000495877 -0.0313086 -0.000303846 0.0307525 -1.30465e-17
0 0.25 0.125 0.0314083 -9.3311e-22 -0.00011973 -0.000126913 -0.000185821 0.0014754 -0.00011973 0.000126913 0.100273 9.89625e-22 -0.0013987 -9.07265e-05 -0.000185821 -0.0014754 -0.0013987 9.07265e-05 0.0305545 -1.23117e-21
0 0.25 0.25 0.0406714 3.12089e-20 -0.00109022 -0.00165745 0.00218743 0.00228743 -0.00109022 0.00165745 0.0909135 -1.73546e-19 0.0301532 0.00050612 0.00218743 -0.00228743 0.0301532 -0.00050612 0.069691 -2.17878e-19
0 0.25 0.375 0.0539762 6.38364e-21 -0.000416435 -0.00116376 -0.000485999 0.000746247 -0.000416435 0.00116376 0.102854 -2.88766e-20 0.0329538 7.45996e-05 -0.000485999 -0.000746247 0.0329538 -7.45996e-05 0.134202 -3.17382e-20
0 0.25 0.5 0.0541985 5.44161e-21 -0.00059508 -0.00072704 -0.000306046 -3.98754e-05 -0.00059508 0.00072704 0.109788 1.98499e-20 0.02719 0.000118988 -0.000306046 3.98754e-05 0.02719 -0.000118988 0.176655 3.27165e-20
0 0.25 0.625 0.0536739 -2.65985e-22 0.0001953 0.000502202 -6.35911e-05 0.00030894 0.0001953 -0.000502202 0.113331 7.22469e-21 0.000997831 9.14145e-05 -6.35911e-05 -0.00030894 0.000997831 -9.14145e-05 0.168077 1.07748e-20
0 0.25 0.75 0.0310556 -8.86617e-22 0.000392197 -0.000222219 -0.00066918 -0.000212713 0.000392197 0.000222219 0.114203 -2.09367e-20 -0.0351396 0.000469924 -0.00066918 0.000212713 -0.0351396 -0.000469924 0.139684 -4.71187e-20
0 0.25 0.875 0.0227665 0 -0.000189505 0.000186056 4.69645e-05 0.000220568 -0.000189505 -0.000186056 0.115152 4.48519e-19 -0.0422407 -0.000433584 4.69645e-05 -0.000220568 -0.0422407 0.000433584 0.074522 3.15975e-19
0 0.375 0 0.0310107 -2.07398e-18 0.0020204 0.00122108 0.00603803 0.00383154 0.0020204 -0.00122108 0.187178 5.35872e-17 -0.0524071 -6.59819e-06 0.00603803 -0.00383154 -0.0524071 6.59819e-06 0.0574543 1.23414e-17
0 0.375 0.125 0.0421878 6.20632e-21 -0.000369458 0.000502268 -0.000866492 0.00433174 -0.000369458 -0.000502268 0.159838 -2.3469e-19 -0.0215448 7.38156e-05 -0.000866492 -0.00433174 -0.0215448 -7.38156e-05 0.0495393 -6.33173e-20
0 0.375 0.25 0.0641448 8.80462e-20 0.00131649 0.000133385 -0.00208719 -0.00357515 0.00131649 -0.000133385 0.16798 -1.40714e-19 0.0255099 -0.000627581 -0.00208719 0.00357515 0.0255099 0.000627581 0.0641784 2.25128e-20
0 0.375 0.375 0.107302 5.10692e-20 -0.00156544 -0.0039084 0.00262486 0.00567137 -0.00156544 0.0039084 0.151383 0 0.035999 0.000426797 0.00262486 -0.00567137 0.035999 -0.000426797 0.125658 5.72749e-20
0 0.375 0.5 0.124519 -2.21654e-22 0.000734639 0.000232348 0.000263607 -0.000297726 0.000734639 -0.000232348 0.178422 -2.33688e-19 0.042506 -0.000293617 0.000263607 0.000297726 0.042506 0.000293617 0.171666 -2.14138e-19
0 0.375 0.625 0.0757882 4.25576e-21 0.00143745 0.000465071 -0.000704779 0.000682584 0.00143745 -0.000465071 0.189763 -6.85219e-20 0.0232361 -0.00395111 -0.000704779 -0.000682584 0.0232361 0.00395111 0.174733 -9.00513e-20
0 0.375 0.75 0.0665894 -1.68457e-21 0.000341059 -0.0011816 0.000156212 -0.000371985 0.000341059 0.0011816 0.19175 -4.58386e-20 -0.0183263 -0.000128822 0.000156212 0.000371985 -0.0183263 0.000128822 0.136539 -2.44376e-20
0 0.375 0.875 0.0419369 -4.70046e-21 0.00013447 -7.6757e-06 0.000532223 -0.000588986 0.00013447 7.6757e-06 0.155359 -1.5283e-19 -0.0357655 0.000600418 0.000532223 0.000588986 -0.0357655 -0.000600418 0.0839013 -7.65067e-20
0 0.5 0 0.0457432 0 -0.000476119 0 0.00159471 0 -0.000476119 0 0.219991 0 -0.0665917 0 0.00159471 0 -0.0665917 0 0.0556679 0
0 0.5 0.125 0.0470567 2.08355e-21 -0.000250017 -0.000336811 -0.000333248 -7.06087e-05 -0.000250017 0.000336811 0.22427 3.94384e-19 -0.0485069 -0.000105665 -0.000333248 7.06087e-05 -0.0485069 0.000105665 0.073604 1.37982e-19
0 0.5 0.25 0.0609202 -3.09208e-21 -0.0001347 0.000107243 -0.000859839 6.17943e-05 -0.0001347 -0.000107243 0.190111 1.40807e-21 0.000341177 0.000560885 -0.000859839 -6.17943e-05 0.000341177 -0.000560885 0.137444 -6.36402e-21
0 0.5 0.375 0.0597697 3.81245e-21 -0.000133611 0.000771158 0.00138297 -0.00102717 -0.000133611 -0.000771158 0.179116 7.15743e-20 0.025761 -0.000656255 0.00138297 0.00102717 0.025761 0.000656255 0.145397 2.77541e-20
0 0.5 0.5 0.142528 0 0.00101041 0 -0.000762437 0 0.00101041 0 0.177621 0 0.0665847 0 -0.000762437 0 0.0665847 0 0.13305 0
0 0.5 0.625 0.0597697 1.1792e-20 -0.000133611 -0.000771158 0.00138297 0.00102717 -0.000133611 0.000771158 0.179116 9.57833e-20 0.025761 0.000656255 0.00138297 -0.00102717 0.025761 -0.000656255 0.145397 9.37448e-20
0 0.5 0.75 0.0609202 3.09208e-21 -0.0001347 -0.000107243 -0.000859839 -6.17943e-05 -0.0001347 0.000107243 0.190111 -1.40807e-21 0.000341177 -0.000560885 -0.000859839 6.17943e-05 0.000341177 0.000560885 0.137444 6.36402e-21
0 0.5 0.875 0.0470567 -3.72379e-21 -0.000250017 0.000336811 -0.000333248 7.06087e-05 -0.000250017 -0.000336811 0.22427 -4.99993e-19 -0.0485069 0.000105665 -0.000333248 -7.06087e-05 -0.0485069 -0.000105665 0.073604 -1.69717e-19
0 0.625 0 0.0310107 2.35486e-19 0.0020204 -0.00122108 0.00603803 -0.00383154 0.0020204 0.00122108 0.187178 2.46734e-16 -0.0524071 6.59819e-06 0.00603803 0.00383154 -0.0524071 -6.59819e-06 0.0574543 7.74453e-17
0 0.625 0.125 0.0419369 5.77132e-21 0.00013447 7.6757e-06 0.000532223 0.000588986 0.00013447 -7.6757e-06 0.155359 4.0385e-20 -0.0357655 -0.000600418 0.000532223 -0.000588986 -0.0357655 0.000600418 0.0839013 1.19576e-20
0 0.625 0.25 0.0665894 2.03922e-21 0.000341059 0.0011816 0.000156212 0.000371985 0.000341059 -0.0011816 0.19175 3.61884e-21 -0.0183263 0.000128822 0.000156212 -0.000371985 -0.0183263 -0.000128822 0.136539 -5.17732e-22
0 0.625 0.375 0.0757882 -7.09294e-22 0.00143745 -0.000465071 -0.000704779 -0.000682584 0.00143745 0.000465071 0.189763 7.32476e-20 0.0232361 0.00395111 -0.000704779 0.000682584 0.0232361 -0.00395111 0.174733 9.29411e-20
0 0.625 0.5 0.124519 2.28304e-21 0.000734639 -0.000232348 0.000263607 0.000297726 0.000734639 0.000232348 0.178422 8.30311e-20 0.042506 0.000293617 0.000263607 -0.000297726 0.042506 -0.000293617 0.171666 6.86029e-20
0 0.625 0.625 0.107302 -6.24179e-20 -0.00156544 0.0039084 0.00262486 -0.00567137 -0.00156544 -0.0039084 0.151383 5.53362e-19 0.035999 -0.000426797 0.00262486 0.00567137 0.035999 0.000426797 0.125658 3.41831e-19
0 0.625 0.75 0.0641448 -8.51153e-21 0.00131649 -0.000133385 -0.00208719 0.00357515 0.00131649 0.000133385 0.16798 4.22143e-19 0.0255099 0.000627581 -0.00208719 -0.00357515 0.0255099 -0.000627581 0.0641784 1.68846e-19
0 0.625 0.875 0.0421878 1.06394e-21 -0.000369458 -0.000502268 -0.000866492 -0.00433174 -0.000369458 0.000502268 0.159838 1.00581e-19 -0.0215448 -7.38156e-05 -0.000866492 0.00433174 -0.0215448 7.38156e-05 0.0495393 2.53269e-20
0 0.75 0 0.0143622 -1.62647e-18 0.000103483 5.04658e-05 0.000887305 0.000495877 0.000103483 -5.04658e-05 0.107243 5.80541e-17 -0.0313086 -0.000303846 0.000887305 -0.000495877 -0.0313086 0.000303846 0.0307525 1.30465e-17
0 0.75 0.125 0.0227665 5.76301e-22 -0.000189505 -0.000186056 4.69645e-05 -0.000220568 -0.000189505 0.000186056 0.115152 2.79726e-19 -0.0422407 0.000433584 4.69645e-05 0.000220568 -0.0422407 -0.000433584 0.074522 1.79818e-19
0 0.75 0.25 0.0310556 8.86617e-22 0.000392197 0.000222219 -0.00066918 0.000212713 0.000392197 -0.000222219 0.114203 1.55298e-19 -0.0351396 -0.000469924 -0.00066918 -0.000212713 -0.0351396 0.000469924 0.139684 1.89748e-19
0 0.75 0.375 0.0536739 1.2191e-21 0.0001953 -0.000502202 -6.35911e-05 -0.00030894 0.0001953 0.000502202 0.113331 2.17937e-22 0.000997831 -9.14145e-05 -6.35911e-05 0.00030894 0.000997831 9.14145e-05 0.168077 -3.05381e-21
0 0.75 0.5 0.0541985 -5.44161e-21 -0.00059508 0.00072704 -0.000306046 3.98754e-05 -0.00059508 -0.00072704 0.109788 -1.98499e-20 0.02719 -0.000118988 -0.000306046 -3.98754e-05 0.02719 0.000118988 0.176655 -3.27165e-20
0 0.75 0.625 0.0539762 7.44759e-21 -0.000416435 0.00116376 -0.000485999 -0.000746247 -0.000416435 -0.00116376 0.102854 7.26305e-20 0.0329538 -7.45996e-05 -0.000485999 0.000746247 0.0329538 7.45996e-05 0.134202 8.11087e-20
0 0.75 0.75 0.0406714 -3.12089e-20 -0.00109022 0.00165745 0.00218743 -0.00228743 -0.00109022 -0.00165745 0.0909135 1.04127e-19 0.0301532 -0.00050612 0.00218743 0.00228743 0.0301532 0.00050612 0.069691 1.27827e-19
0 0.75 0.875 0.0314083 7.55787e-22 -0.00011973 0.000126913 -0.000185821 -0.0014754 -0.00011973 -0.000126913 0.100273 -1.08034e-20 -0.0013987 9.07265e-05 -0.000185821 0.0014754 -0.0013987 -9.07265e-05 0.0305545 -3.16586e-21
0 0.875 0 0.00883171 7.94321e-19 -5.98247e-05 -0.00064081 -0.000178762 -0.0010746 -5.98247e-05 0.00064081 0.0280924 1.49083e-16 -0.00838413 6.85215e-05 -0.000178762 0.0010746 -0.00838413 -6.85215e-05 0.00750454 4.0993e-17
0 0.875 0.125 0.00832194 -1.70397e-22 0.000114112 3.7333e-05 4.99503e-05 -8.94309e-06 0.000114112 -3.7333e-05 0.0524447 6.62127e-20 -0.0209194 -0.000305612 4.99503e-05 8.94309e-06 -0.0209194 0.000305612 0.0669592 7.44564e-20
0 0.875 0.25 0.0199717 -2.65985e-22 0.000360633 0.000135815 0.00029556 0.000176932 0.000360633 -0.000135815 0.0707679 -4.51389e-20 -0.0137648 0.000123047 0.00029556 -0.000176932 -0.0137648 -0.000123047 0.128852 -7.20617e-20
0 0.875 0.375 0.0467889 1.05009e-21 0.000585141 -0.000230999 9.32894e-06 0.000477723 0.000585141 0.000230999 0.0665862 -2.69607e-20 -0.00755302 9.88028e-05 9.32894e-06 -0.000477723 -0.00755302 -9.88028e-05 0.205951 -8.95404e-20
0 0.875 0.5 0.0465672 -3.58331e-22 6.57499e-05 -0.00026933 0.000253782 0.000324367 6.57499e-05 0.00026933 0.0441436 -5.33596e-21 0.0104473 -5.3391e-05 0.000253782 -0.000324367 0.0104473 5.3391e-05 0.228331 -2.82855e-20
0 0.875 0.625 0.0387097 1.06394e-20 0.0112643 -0.0027557 -0.00136922 0.000661118 0.0112643 0.0027557 0.0398181 1.11968e-20 0.0214073 -0.000450836 -0.00136922 -0.000661118 0.0214073 0.000450836 0.170703 2.92891e-19
0 0.875 0.75 0.0285459 5.41871e-21 0.000588842 -0.000489549 0.000188053 8.32244e-05 0.000588842 0.000489549 0.030211 2.30934e-20 0.0204461 -1.65875e-05 0.000188053 -8.32244e-05 0.0204461 1.65875e-05 0.0868333 5.4195e-20
0 0.875 0.875 0.0154267 -3.26275e-20 -0.00111599 0.000172137 0.00145286 -0.000364958 -0.00111599 -0.000172137 0.0256057 -7.70939e-20 0.00857596 -0.000117106 0.00145286 0.000364958 0.00857596 0.000117106 0.0195161 -1.13821e-19
