################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.9081028208048778E-01 a       117     0     6     1    17
 -1.8991883760474355E+00 a       118     0     6     1    18
  1.6429695286852117E-01 a       119     0     6     1    19
  4.0949828723930815E-01 a       120     0     6     1    20
  3.0368084821969199E-01 a       121     0     7     1     1
 -7.7180252304916458E-02 a       122     0     7     1     2
 -2.8088485782750561E-01 a       123     0     7     1     3
  5.9291419438533188E-01 a       124     0     7     1     4
 -5.8899091433297179E-01 a       125     0     7     1     5
 -2.3757053800655642E-01 a       126     0     7     1     6
  3.5503165117953867E-01 a       127     0     7     1     7
  1.5520330308688664E-02 a       128     0     7     1     8
 -2.3432512490551280E-01 a       129     0     7     1     9
  2.4010717581945665E-01 a       130     0     7     1    10
  2.5645014229579453E-02 a       131     0     7     1    11
  1.3226036345869313E-01 a       132     0     7     1    12
  2.6199486661005605E-01 a       133     0     7     1    13
  5.9582110165814557E-02 a       134     0     7     1    14
 -3.2943812845986847E-01 a       135     0     7     1    15
  2.0484990755903423E-01 a       136     0     7     1    16
  2.6590058893915716E-03 a       137     0     7     1    17
  9.6019359038938656E-02 a       138     0     7     1    18
 -3.5572229438635028E-02 a       139     0     7     1    19
 -8.6611691660392592E-02 a       140     0     7     1    20
  3.5551540065990656E-01 a       141     0     8     1     1
 -1.3967366226949623E-01 a       142     0     8     1     2
 -6.6241760392322802E-01 a       143     0     8     1     3
  5.3891947309656940E-01 a       144     0     8     1     4
 -7.3555194791544198E-01 a       145     0     8     1     5
 -4.2090776901463078E-01 a       146     0     8     1     6
  6.2379601192132472E-01 a       147     0     8     1     7
 -1.6900249307541149E-01 a       148     0     8     1     8
 -2.8652025943661352E-01 a       149     0     8     1     9
  8.4741436831984693E-02 a       150     0     8     1    10
  4.9815922306572349E-02 a       151     0     8     1    11
 -2.2229228957160750E-02 a       152     0     8     1    12
  6.1205042715989422E-02 a       153     0     8     1    13
 -1.7833327279008038E-01 a       154     0     8     1    14
 -2.4144384877662503E-01 a       155     0     8     1    15
  4.3645037451177382E-01 a       156     0     8     1    16
 -8.8061059124111482E-02 a       157     0     8     1    17
  1.4356669650602594E-01 a       158     0     8     1    18
 -3.8426483535779954E-01 a       159     0     8     1    19
 -8.0192072257235708E-02 a       160     0     8     1    20
  3.4431776940313297E-01 a       161     0     9     1     1
 -3.1779705092971533E-01 a       162     0     9     1     2
 -9.2198915263067249E-01 a       163     0     9     1     3
  5.6439097250819292E-01 a       164     0     9     1     4
 -5.8928844432221072E-01 a       165     0     9     1     5
 -4.9147998491384970E-01 a       166     0     9     1     6
  6.7231335531693992E-01 a       167     0     9     1     7
  1.8148839987060073E-02 a       168     0     9     1     8
 -2.6987755390325863E-01 a       169     0     9     1     9
 -4.7265045532867547E-02 a       170     0     9     1    10
 -3.2807957630715312E-01 a       171     0     9     1    11
 -1.1703170177570334E-01 a       172     0     9     1    12
 -1.2523405547675442E-01 a       173     0     9     1    13
 -2.8294470682620193E-01 a       174     0     9     1    14
  1.1876537609040128E-01 a       175     0     9     1    15
  5.5089854980291986E-01 a       176     0     9     1    16
 -1.4010804753168260E-01 a       177     0     9     1    17
 -8.1150777460619068E-03 a       178     0     9     1    18
  5.4990090384962276E-02 a       179     0     9     1    19
 -2.1245517079646081E-01 a       180     0     9     1    20
  1.8520283636909068E-01 a       181     0    10     1     1
 -6.7698473874137199E-01 a       182     0    10     1     2
 -2.8772683943161120E-01 a       183     0    10     1     3
  2.8961698949985315E-01 a       184     0    10     1     4
  4.5891264824277231E-02 a       185     0    10     1     5
 -4.5343384068965292E-01 a       186     0    10     1     6
  3.0412079506855760E-01 a       187     0    10     1     7
  4.6744607159191492E-01 a       188     0    10     1     8
 -1.5387824155656457E-01 a       189     0    10     1     9
 -3.9719777795999200E-01 a       190     0    10     1    10
 -1.0946990423343772E-01 a       191     0    10     1    11
  1.9966356917361286E-01 a       192     0    10     1    12
 -2.7758547217868873E-01 a       193     0    10     1    13
  4.7195553227485011E-02 a       194     0    10     1    14
  3.8601247645083364E-01 a       195     0    10     1    15
  3.8516265237680966E-02 a       196     0    10     1    16
  7.7251811877763074E-02 a       197     0    10     1    17
  2.0740784212866503E-01 a       198     0    10     1    18
  2.4594141193869423E-01 a       199     0    10     1    19
 -1.1623456070751885E-01 a       200     0    10     1    20
 -4.8493135307339021E-04 a       201     0    11     1     1
 -5.9854436258593957E-01 a       202     0    11     1     2
  1.8509693261354906E-01 a       203     0    11     1     3
 -4.9102433798133477E-02 a       204     0    11     1     4
  5.7241289210110602E-01 a       205     0    11     1     5
 -1.8050706412766673E-01 a       206     0    11     1     6
 -1.5992795697348530E-01 a       207     0    11     1     7
  5.6030566158610640E-01 a       208     0    11     1     8
  1.8763526209112633E-01 a       209     0    11     1     9
 -5.5824753849250075E-01 a       210     0    11     1    10
 -2.1269322624517617E-01 a       211     0    11     1    11
  1.5615529528969146E-01 a       212     0    11     1    12
 -1.3471520339134374E-01 a       213     0    11     1    13
  3.2135315592603519E-01 a       214     0    11     1    14
  5.9357682358406816E-01 a       215     0    11     1    15
 -2.7938736630059169E-01 a       216     0    11     1    16
  6.7436332949594405E-02 a       217     0    11     1    17
  1.5444184689644080E-01 a       218     0    11     1    18
  4.1620602650401922E-01 a       219     0    11     1    19
 -2.6542347291608903E-01 a       220     0    11     1    20
 -1.1472386563072200E-01 a       221     0    12     1     1
 -4.0599710887437362E-01 a       222     0    12     1     2
  6.1230853287280074E-01 a       223     0    12     1     3
 -3.5557892348048925E-01 a       224     0    12     1     4
  5.8792482199435503E-01 a       225     0    12     1     5
 -6.8003522162781618E-02 a       226     0    12     1     6
 -4.7992931597517713E-01 a       227     0    12     1     7
  3.9296628028903857E-01 a       228     0    12     1     8
  2.8277289874774575E-01 a       229     0    12     1     9
 -5.3318346530618377E-01 a       230     0    12     1    10
 -8.3637444209420791E-02 a       231     0    12     1    11
  2.4056785553775398E-01 a       232     0    12     1    12
 -7.4729472680476097E-02 a       233     0    12     1    13
  4.1382380698282789E-01 a       234     0    12     1    14
  3.3684878966710952E-01 a       235     0    12     1    15
 -4.6647783206210436E-01 a       236     0    12     1    16
  1.9724174124661420E-01 a       237     0    12     1    17
  1.4525113473875353E-01 a       238     0    12     1    18
  3.6979345283521431E-01 a       239     0    12     1    19
 -2.1957228381641994E-01 a       240     0    12     1    20
 -1.3804999236540436E-01 a       241     0    13     1     1
 -5.0810058731616134E-02 a       242     0    13     1     2
  4.6141119093288713E-01 a       243     0    13     1     3
 -1.7745033852360073E-01 a       244     0    13     1     4
  3.7667108092194457E-01 a       245     0    13     1     5
  6.5768006832547063E-02 a       246     0    13     1     6
 -3.6372577504844134E-01 a       247     0    13     1     7
  1.4532238412915893E-01 a       248     0    13     1     8
  6.4355252786225961E-02 a       249     0    13     1     9
 -2.5339115378326499E-01 a       250     0    13     1    10
  7.3831526454719396E-02 a       251     0    13     1    11
  1.8886727707314632E-01 a       252     0    13     1    12
  1.4457106743022440E-02 a       253     0    13     1    13
  2.3933982770746257E-01 a       254     0    13     1    14
  1.3041205036499490E-01 a       255     0    13     1    15
 -3.9434555694741752E-01 a       256     0    13     1    16
  7.3596267742236682E-02 a       257     0    13     1    17
  2.2843722456294185E-01 a       258     0    13     1    18
  2.9599245270459984E-02 a       259     0    13     1    19
 -1.8701970214433697E-01 a       260     0    13     1    20
  1.1921432505928324E-01 a       261     0    14     1     1
 -7.3428120095105986E-01 a       262     0    14     1     2
 -1.5793482033614661E-01 a       263     0    14     1     3
 -1.7280278874119172E-02 a       264     0    14     1     4
 -3.8878686754241998E-02 a       265     0    14     1     5
 -2.4622603042658378E-01 a       266     0    14     1     6
  2.6496821148601285E-01 a       267     0    14     1     7
  1.0223524982808402E-01 a       268     0    14     1     8
 -1.2182492627815321E-01 a       269     0    14     1     9
 -3.0878634510779052E-01 a       270     0    14     1    10
  2.2537307137703957E-01 a       271     0    14     1    11
  4.7527369365614705E-02 a       272     0    14     1    12
 -4.5086848693655812E-01 a       273     0    14     1    13
  1.1104864343736534E-01 a       274     0    14     1    14
 -3.6412116762412960E-01 a       275     0    14     1    15
  2.7715244021904606E-01 a       276     0    14     1    16
  4.2972383816620469E-01 a       277     0    14     1    17
  1.7080386807863935E-02 a       278     0    14     1    18
  6.7055448239736326E-01 a       279     0    14     1    19
  3.4573827424529147E-01 a       280     0    14     1    20
 -2.1915496105712990E+00 a       281     0    15     1     1
  2.0943524360526600E+00 a       282     0    15     1     2
 -9.9737051473151417E-01 a       283     0    15     1     3
 -2.4188626529890012E-01 a       284     0    15     1     4
  1.4841730457698421E+00 a       285     0    15     1     5
 -1.6237247058816320E+00 a       286     0    15     1     6
  9.4864597717494525E-01 a       287     0    15     1     7
 -4.2284512138298913E-01 a       288     0    15     1     8
  5.6864254535525438E-01 a       289     0    15     1     9
  4.6338270426452871E-01 a       290     0    15     1    10
 -7.3408520359819984E-01 a       291     0    15     1    11
  1.0782670157821947E+00 a       292     0    15     1    12
  2.5775043603949364E+00 a       293     0    15     1    13
  7.0571588265359519E-01 a       294     0    15     1    14
  1.3526611051411095E+00 a       295     0    15     1    15
  7.0703624038057400E-01 a       296     0    15     1    16
 -3.7261010151223112E-01 a       297     0    15     1    17
 -7.2744425446849570E-01 a       298     0    15     1    18
 -1.0617378782065350E+00 a       299     0    15     1    19
 -1.3634592632292022E+00 a       300     0    15     1    20
  5.4545917117361890E-02 a       301     0    16     1     1
  5.3281734199998709E-01 a       302     0    16     1     2
 -2.1808567055985431E+00 a       303     0    16     1     3
 -1.2794480931426405E-01 a       304     0    16     1     4
 -1.5134692482139909E+00 a       305     0    16     1     5
  1.2385204807140588E+00 a       306     0    16     1     6
 -2.3165596952309570E-01 a       307     0    16     1     7
  6.1718803609591044E-01 a       308     0    16     1     8
 -3.4027634082096441E-03 a       309     0    16     1     9
  1.2570497808165328E+00 a       310     0    16     1    10
  2.2561307682801285E-01 a       311     0    16     1    11
 -1.8152766504790339E+00 a       312     0    16     1    12
  8.8436966008023721E-01 a       313     0    16     1    13
 -2.3791268615956809E+00 a       314     0    16     1    14
 -1.3643424827397326E+00 a       315     0    16     1    15
 -1.2116308736448154E+00 a       316     0    16     1    16
 -7.0954496068233064E-01 a       317     0    16     1    17
  2.8771729626485948E-01 a       318     0    16     1    18
 -3.6430467374561498E-01 a       319     0    16     1    19
 -8.0192546401276232E-01 a       320     0    16     1    20
  4.9833277228403705E-01 a       321     0    17     1     1
  1.4780437498507952E+00 a       322     0    17     1     2
 -6.1408758789377926E-01 a       323     0    17     1     3
 -1.1380040331819503E-01 a       324     0    17     1     4
 -9.0504202350513863E-01 a       325     0    17     1     5
  4.3451737544889091E-01 a       326     0    17     1     6
 -1.5525458084938433E+00 a       327     0    17     1     7
  9.1550862463317684E-01 a       328     0    17     1     8
 -3.7266444951324285E-01 a       329     0    17     1     9
  2.3311428836410575E+00 a       330     0    17     1    10
  4.4414021665255787E-01 a       331     0    17     1    11
 -5.7211041871355195E-01 a       332     0    17     1    12
  5.4595315558086965E-01 a       333     0    17     1    13
 -1.2417205730310676E+00 a       334     0    17     1    14
 -9.7575734136875891E-01 a       335     0    17     1    15
 -1.0567608984289936E+00 a       336     0    17     1    16
  1.3042436698343496E-01 a       337     0    17     1    17
  7.3402796035312623E-01 a       338     0    17     1    18
 -1.6859265020659644E+00 a       339     0    17     1    19
 -1.5392520454667209E+00 a       340     0    17     1    20
  1.3898106058564521E+00 a       341     0    18     1     1
