################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4085864187054176E-01 a       522     0    27     1     2
  3.2590167204526321E-01 a       523     0    27     1     3
 -2.1670189511935209E-01 a       524     0    27     1     4
 -1.9423612421408243E-01 a       525     0    27     1     5
  1.1134673907793015E-01 a       526     0    27     1     6
  8.9758648676007802E-01 a       527     0    27     1     7
 -2.0118655081911091E-01 a       528     0    27     1     8
 -1.8297533944032082E-01 a       529     0    27     1     9
 -1.2018129075978619E-01 a       530     0    27     1    10
 -5.6092193818802794E-01 a       531     0    27     1    11
  2.7902622307757469E-01 a       532     0    27     1    12
  8.3116277903076874E-01 a       533     0    27     1    13
 -3.7775685966725936E-01 a       534     0    27     1    14
  7.4400366796522388E-01 a       535     0    27     1    15
 -1.2227639854524137E-01 a       536     0    27     1    16
 -1.2021238263306102E+00 a       537     0    27     1    17
 -5.9794873004506122E-01 a       538     0    27     1    18
  3.8770889999460478E-01 a       539     0    27     1    19
 -2.5670370527097641E-01 a       540     0    27     1    20
  4.3992781267585164E-02 a       541     0    28     1     1
  3.7172806191548174E-01 a       542     0    28     1     2
  2.3946227633594530E-01 a       543     0    28     1     3
 -5.7029433078088310E-01 a       544     0    28     1     4
 -7.4114357073057613E-01 a       545     0    28     1     5
 -1.6567074353271366E-01 a       546     0    28     1     6
  8.6599677331487124E-01 a       547     0    28     1     7
  4.9412707875390240E-02 a       548     0    28     1     8
 -1.7213118512281692E-01 a       549     0    28     1     9
 -1.0911998965576422E-02 a       550     0    28     1    10
 -2.2102360085216871E-01 a       551     0    28     1    11
 -2.1741653840117638E-03 a       552     0    28     1    12
  3.3334496839692423E-01 a       553     0    28     1    13
 -7.0552799919046472E-01 a       554     0    28     1    14
  4.2263460234932648E-01 a       555     0    28     1    15
 -3.0391505467349916E-01 a       556     0    28     1    16
 -6.9836179645043051E-01 a       557     0    28     1    17
 -1.6394266972004443E-01 a       558     0    28     1    18
 -5.9367538353413851E-01 a       559     0    28     1    19
 -3.7957580120798684E-01 a       560     0    28     1    20
  5.3059715335411506E-01 a       561     0    29     1     1
  9.5657726103217156E-02 a       562     0    29     1     2
 -2.2136797798006044E-01 a       563     0    29     1     3
  3.1402893239898383E-01 a       564     0    29     1     4
 -6.8075682969419860E-01 a       565     0    29     1     5
 -4.0500252793291980E-01 a       566     0    29     1     6
  4.2404388668355208E-01 a       567     0    29     1     7
  3.1149845025647699E-01 a       568     0    29     1     8
 -5.1245515124757321E-02 a       569     0    29     1     9
  2.8742925038068595E-01 a       570     0    29     1    10
 -2.7651399001745225E-01 a       571     0    29     1    11
 -1.3525472738670094E-01 a       572     0    29     1    12
  3.6959820262238868E-01 a       573     0    29     1    13
 -6.6488471255131987E-01 a       574     0    29     1    14
  6.1616301091034076E-01 a       575     0    29     1    15
 -3.2872395466864857E-01 a       576     0    29     1    16
 -6.4167219998536251E-01 a       577     0    29     1    17
  1.4072533492281442E-01 a       578     0    29     1    18
 -5.1376869566365102E-01 a       579     0    29     1    19
 -2.1595073420262151E-01 a       580     0    29     1    20
  3.7206086407432537E-01 a       581     0    30     1     1
 -4.3470817745248558E-01 a       582     0    30     1     2
 -1.8936390145289714E-01 a       583     0    30     1     3
  6.9030141253196386E-01 a       584     0    30     1     4
 -3.4982169308308214E-01 a       585     0    30     1     5
 -3.5668978608517976E-01 a       586     0    30     1     6
  2.7132870062116837E-01 a       587     0    30     1     7
  4.0036324503781912E-01 a       588     0    30     1     8
 -1.0164841165977778E-01 a       589     0    30     1     9
  1.8491995988100862E-01 a       590     0    30     1    10
  4.3892899904669512E-02 a       591     0    30     1    11
  1.2401246885519721E-01 a       592     0    30     1    12
  3.4168895915942010E-01 a       593     0    30     1    13
  1.2868056199665329E-01 a       594     0    30     1    14
 -6.2260109154394921E-02 a       595     0    30     1    15
  4.9150748399321653E-02 a       596     0    30     1    16
 -1.1238210601548838E-01 a       597     0    30     1    17
  2.5721501399086993E-01 a       598     0    30     1    18
  1.1688809819462706E-01 a       599     0    30     1    19
 -7.0354067578177068E-02 a       600     0    30     1    20
  7.5168095707702876E-01 a       601     0    31     1     1
 -1.9038440667141215E-01 a       602     0    31     1     2
  1.0422745678251630E+00 a       603     0    31     1     3
 -1.9194104730827337E+00 a       604     0    31     1     4
  2.3403745691040747E+00 a       605     0    31     1     5
  3.1414117769533259E+00 a       606     0    31     1     6
  7.0092162379626899E-02 a       607     0    31     1     7
 -4.8832398898228444E+00 a       608     0    31     1     8
 -1.3362064407417278E+00 a       609     0    31     1     9
 -1.7302493627453939E+00 a       610     0    31     1    10
 -3.2458601985216435E+00 a       611     0    31     1    11
 -2.3547642006335705E+00 a       612     0    31     1    12
 -1.2514565536784024E+00 a       613     0    31     1    13
 -1.6559597835634869E+00 a       614     0    31     1    14
 -1.5825715728707803E+00 a       615     0    31     1    15
 -2.3170064268778452E-02 a       616     0    31     1    16
 -1.4250534484713859E+00 a       617     0    31     1    17
 -1.2903177320266437E+00 a       618     0    31     1    18
  3.3231286882726097E+00 a       619     0    31     1    19
  5.5297943043761962E-02 a       620     0    31     1    20
  4.0307424359060313E+00 a       621     0    32     1     1
 -1.9517226291156633E+00 a       622     0    32     1     2
 -1.8018793814431389E+00 a       623     0    32     1     3
 -4.7284365588696931E+00 a       624     0    32     1     4
  1.9521225807652216E+00 a       625     0    32     1     5
 -2.3989204142218923E+00 a       626     0    32     1     6
  2.9955184037930485E+00 a       627     0    32     1     7
  6.2152487275757426E+00 a       628     0    32     1     8
 -2.8103327220591341E+00 a       629     0    32     1     9
 -4.4493833648426978E-01 a       630     0    32     1    10
  6.7015218794709175E-01 a       631     0    32     1    11
  4.8443555511198451E+00 a       632     0    32     1    12
  2.4992216590302565E+00 a       633     0    32     1    13
  4.7303187343188480E-01 a       634     0    32     1    14
  3.6511578876621757E+00 a       635     0    32     1    15
 -3.7991395302288815E+00 a       636     0    32     1    16
  5.5197372908813547E-01 a       637     0    32     1    17
  3.0132883587011672E+00 a       638     0    32     1    18
  1.6099604764509081E+00 a       639     0    32     1    19
 -1.8807132978359264E+00 a       640     0    32     1    20
  3.6796280857594907E+00 a       641     0    33     1     1
 -1.8007181513213004E+00 a       642     0    33     1     2
 -3.1375470132860479E+00 a       643     0    33     1     3
 -1.3132408194875174E+00 a       644     0    33     1     4
  1.5072804646345699E+00 a       645     0    33     1     5
  1.7817207312549926E-01 a       646     0    33     1     6
  6.2140050633538967E-02 a       647     0    33     1     7
  2.6744633370431781E+00 a       648     0    33     1     8
  5.2181191850574082E-01 a       649     0    33     1     9
  2.4522410590182039E-01 a       650     0    33     1    10
  5.9591062262026817E+00 a       651     0    33     1    11
  2.0210541838985727E+00 a       652     0    33     1    12
 -1.7728489109922470E+00 a       653     0    33     1    13
  5.5627202522681185E-01 a       654     0    33     1    14
  1.9991306123354660E+00 a       655     0    33     1    15
  3.5305534397059796E-01 a       656     0    33     1    16
  2.3685985448647129E+00 a       657     0    33     1    17
 -1.2053855135291576E+00 a       658     0    33     1    18
  4.2939943185414489E+00 a       659     0    33     1    19
 -5.1082735840396438E+00 a       660     0    33     1    20
 -1.1521697398064816E+00 a       661     0    34     1     1
  8.2741761970772032E-01 a       662     0    34     1     2
  2.8321902458152142E+00 a       663     0    34     1     3
  2.4651434071269329E+00 a       664     0    34     1     4
  4.9732439433371667E-01 a       665     0    34     1     5
 -1.1843629040016379E+00 a       666     0    34     1     6
  1.1378580044706075E+00 a       667     0    34     1     7
 -1.5316737485070022E+00 a       668     0    34     1     8
 -8.8781151171578210E-01 a       669     0    34     1     9
 -2.2081445670243243E+00 a       670     0    34     1    10
 -2.5295690903853674E-01 a       671     0    34     1    11
  3.5981291456687214E-01 a       672     0    34     1    12
  3.8890166858199321E-01 a       673     0    34     1    13
 -1.4774943827155138E+00 a       674     0    34     1    14
 -3.8405841333572059E+00 a       675     0    34     1    15
 -5.9951122679588062E-02 a       676     0    34     1    16
 -2.3450475976524752E+00 a       677     0    34     1    17
  1.9936599984870313E+00 a       678     0    34     1    18
  3.5811382221991100E-01 a       679     0    34     1    19
  3.1003997612647549E-01 a       680     0    34     1    20
 -4.3983045746050298E-01 a       681     0    35     1     1
  4.9032483495739865E-01 a       682     0    35     1     2
 -2.2885394303634438E-01 a       683     0    35     1     3
  1.1055319142054376E+00 a       684     0    35     1     4
  1.4679144067132938E-01 a       685     0    35     1     5
  1.5887049157194728E+00 a       686     0    35     1     6
  6.5017935495651291E-01 a       687     0    35     1     7
  1.1730189761989536E-01 a       688     0    35     1     8
 -2.6580082697834956E-01 a       689     0    35     1     9
 -2.8689924569310354E-01 a       690     0    35     1    10
  4.2406345666505285E-01 a       691     0    35     1    11
  6.1376905695975537E-02 a       692     0    35     1    12
  1.5498337130670117E+00 a       693     0    35     1    13
  1.0544947547480652E+00 a       694     0    35     1    14
 -5.4563043316909055E-01 a       695     0    35     1    15
  6.5852550098505658E-01 a       696     0    35     1    16
 -4.1403203545161910E-01 a       697     0    35     1    17
 -2.1819412327671903E-01 a       698     0    35     1    18
 -8.3838008548366608E-02 a       699     0    35     1    19
 -9.0049156772206107E-01 a       700     0    35     1    20
 -1.1831688987412130E-01 a       701     0    36     1     1
 -4.5313092428398827E-01 a       702     0    36     1     2
 -1.2479187446019222E+00 a       703     0    36     1     3
 -1.1441771988378925E-01 a       704     0    36     1     4
 -4.8420743797436250E-01 a       705     0    36     1     5
 -8.5532131732022654E-01 a       706     0    36     1     6
  1.3341337922337122E+00 a       707     0    36     1     7
  7.0502473745046945E-01 a       708     0    36     1     8
  2.8543442234610167E-01 a       709     0    36     1     9
 -9.5586988038459342E-01 a       710     0    36     1    10
 -2.8019261377062925E+00 a       711     0    36     1    11
 -8.1364291799767574E-01 a       712     0    36     1    12
 -1.3188340905030786E+00 a       713     0    36     1    13
 -6.0315711674588920E-02 a       714     0    36     1    14
  1.2282148320034916E+00 a       715     0    36     1    15
 -9.3333242028645502E-01 a       716     0    36     1    16
  3.5139301878740603E-01 a       717     0    36     1    17
  1.8946808217183182E+00 a       718     0    36     1    18
  3.0673380049540427E-01 a       719     0    36     1    19
 -9.3552514186121960E-01 a       720     0    36     1    20
  4.7314452180666250E-01 a       721     0    37     1     1
 -5.1764085158159867E-01 a       722     0    37     1     2
 -6.2869296755448736E-02 a       723     0    37     1     3
  2.4070591360947633E+00 a       724     0    37     1     4
 -3.9186454555189593E-01 a       725     0    37     1     5
 -1.5424164848162736E-01 a       726     0    37     1     6
  4.1995573790054475E-01 a       727     0    37     1     7
  6.0913609560089477E-01 a       728     0    37     1     8
 -5.7952815877934560E-01 a       729     0    37     1     9
  6.8929313232256473E-01 a       730     0    37     1    10
  1.5582165134544281E+00 a       731     0    37     1    11
  9.5766658918436431E-01 a       732     0    37     1    12
  3.6530723969257584E-01 a       733     0    37     1    13
  2.9248494862088736E-01 a       734     0    37     1    14
 -1.4884912943611658E-01 a       735     0    37     1    15
  1.4332164995358218E-01 a       736     0    37     1    16
 -4.7883538456834365E-02 a       737     0    37     1    17
  5.9092827846570017E-01 a       738     0    37     1    18
  3.4912678046125423E-01 a       739     0    37     1    19
  5.5729217497873873E-01 a       740     0    37     1    20
  2.7175515283493525E-02 a       741     0    38     1     1
  5.5729361346426454E-01 a       742     0    38     1     2
 -8.6300061057680760E-02 a       743     0    38     1     3
  7.9798171303644738E-01 a       744     0    38     1     4
  3.3249914976343553E-01 a       745     0    38     1     5
 -1.6039420385946193E+00 a       746     0    38     1     6
 -1.8273951006807327E+00 a       747     0    38     1     7
  3.7604069350642244E-01 a       748     0    38     1     8
  1.5813602664196275E-01 a       749     0    38     1     9
  1.1208902376814101E+00 a       750     0    38     1    10
  1.0995102316032863E+00 a       751     0    38     1    11
  6.4217534826592015E-01 a       752     0    38     1    12
 -4.2451759966676678E-01 a       753     0    38     1    13
 -1.9256823765318765E-01 a       754     0    38     1    14
  1.2296079880865829E+00 a       755     0    38     1    15
 -9.3571850573358664E-02 a       756     0    38     1    16
  1.9108627003099791E-02 a       757     0    38     1    17
  3.4641018336890295E-01 a       758     0    38     1    18
  5.0162836545217859E-01 a       759     0    38     1    19
  1.5012811336711160E+00 a       760     0    38     1    20
  7.7632106934719697E-02 a       761     0    39     1     1
 -6.6863279156288224E-01 a       762     0    39     1     2
 -4.9537800458876666E-02 a       763     0    39     1     3
 -7.6714955745549518E-01 a       764     0    39     1     4
 -3.0786538574480687E-01 a       765     0    39     1     5
  2.6298855770648999E-01 a       766     0    39     1     6
  5.3859403325408228E-01 a       767     0    39     1     7
  4.5224288272949532E-02 a       768     0    39     1     8
  1.2524822966708911E-02 a       769     0    39     1     9
 -2.0590213496648532E-01 a       770     0    39     1    10
  1.9675485547143820E-01 a       771     0    39     1    11
 -1.3354397604960255E-01 a       772     0    39     1    12
 -1.0749313893896373E-01 a       773     0    39     1    13
 -8.7374026633240481E-02 a       774     0    39     1    14
  1.0268710947053273E-02 a       775     0    39     1    15
 -3.2105963299650048E-01 a       776     0    39     1    16
  1.1408394449956175E-01 a       777     0    39     1    17
 -2.4064175355909406E-01 a       778     0    39     1    18
  7.2352073604892139E-02 a       779     0    39     1    19
  2.9804530850564386E-02 a       780     0    39     1    20
 -4.3307623680916425E+00 a       781     0    40     1     1
 -2.6352784388632862E+00 a       782     0    40     1     2
  1.0298121921312222E+00 a       783     0    40     1     3
  1.0624875834235799E+00 a       784     0    40     1     4
 -5.8118350226888471E-01 a       785     0    40     1     5
 -3.7699988271925724E+00 a       786     0    40     1     6
 -2.8218570856731617E-01 a       787     0    40     1     7
 -4.0596030313591897E-01 a       788     0    40     1     8
  1.2417622199372826E+00 a       789     0    40     1     9
 -2.0741696944610638E-01 a       790     0    40     1    10
 -9.2300739219896943E-01 a       791     0    40     1    11
 -1.1778076477121767E-01 a       792     0    40     1    12
  2.1320202650128692E+00 a       793     0    40     1    13
 -8.6709629597454718E-01 a       794     0    40     1    14
  2.0839142193596660E+00 a       795     0    40     1    15
  7.1422814482681574E-01 a       796     0    40     1    16
  2.0462237842723074E+00 a       797     0    40     1    17
 -1.2556162127375698E+00 a       798     0    40     1    18
 -6.6712851712228782E-01 a       799     0    40     1    19
  2.0109602772778443E-01 a       800     0    40     1    20
  3.4306791683828602E-01 a       801     0    41     1     1
  2.7260110231667642E+00 a       802     0    41     1     2
 -4.9916681653105283E-02 a       803     0    41     1     3
 -2.4028008746649792E+00 a       804     0    41     1     4
  5.2302938088189388E-01 a       805     0    41     1     5
 -8.4855390142319065E-01 a       806     0    41     1     6
  1.2241354844039493E-01 a       807     0    41     1     7
  2.8695890086403004E+00 a       808     0    41     1     8
  1.6222192185917312E+00 a       809     0    41     1     9
  8.3584132935205266E-02 a       810     0    41     1    10
 -1.5995918435284573E+00 a       811     0    41     1    11
 -1.0716628163122004E+00 a       812     0    41     1    12
 -4.1563913335608843E-01 a       813     0    41     1    13
  2.9302184335634727E-02 a       814     0    41     1    14
  1.4055451580900857E+00 a       815     0    41     1    15
 -3.7677344203732068E+00 a       816     0    41     1    16
 -3.8574751746158309E-01 a       817     0    41     1    17
 -1.4783734998731917E+00 a       818     0    41     1    18
 -4.6665118459216459E-01 a       819     0    41     1    19
  1.2388859371457051E-01 a       820     0    41     1    20
  2.0746675942512232E+00 a       821     0    42     1     1
 -1.2370114908389502E+00 a       822     0    42     1     2
 -3.6840357927917339E-01 a       823     0    42     1     3
 -1.7151516788269427E+00 a       824     0    42     1     4
 -7.6966095319171157E-01 a       825     0    42     1     5
  2.2122523525442914E+00 a       826     0    42     1     6
  3.6009239577367849E+00 a       827     0    42     1     7
 -1.0984202551282896E+00 a       828     0    42     1     8
 -1.8706877767948151E+00 a       829     0    42     1     9
  4.6049829940998183E-01 a       830     0    42     1    10
  2.9185803603703120E-01 a       831     0    42     1    11
 -6.6563367503676152E-01 a       832     0    42     1    12
  1.6143767620746938E+00 a       833     0    42     1    13
 -4.5828540149841307E-01 a       834     0    42     1    14
 -1.2115697580617750E+00 a       835     0    42     1    15
 -2.0802579687675443E-01 a       836     0    42     1    16
 -6.0700396369278620E-01 a       837     0    42     1    17
 -1.3146004953178501E+00 a       838     0    42     1    18
 -1.4353182339915189E+00 a       839     0    42     1    19
 -3.9801241031829215E-01 a       840     0    42     1    20
 -1.0795788829581250E+00 a       841     0    43     1     1
 -7.4661940787415126E-01 a       842     0    43     1     2
 -8.6992487951483588E-01 a       843     0    43     1     3
  8.6634664155615670E-01 a       844     0    43     1     4
 -1.6505316403174959E+00 a       845     0    43     1     5
  9.1083158587188129E-01 a       846     0    43     1     6
  2.0295923364275699E+00 a       847     0    43     1     7
 -2.2362420091292734E-01 a       848     0    43     1     8
 -1.7276201500250759E+00 a       849     0    43     1     9
  7.7381501794918839E-01 a       850     0    43     1    10
  9.4157287992635708E-01 a       851     0    43     1    11
 -1.7000031452839931E-01 a       852     0    43     1    12
 -8.0125330175207132E-01 a       853     0    43     1    13
  1.1070442852863072E+00 a       854     0    43     1    14
 -1.4323533074939439E+00 a       855     0    43     1    15
  2.0414568652136116E+00 a       856     0    43     1    16
 -8.0536581317223954E-01 a       857     0    43     1    17
  1.2907635069977443E+00 a       858     0    43     1    18
  1.3213300668367371E+00 a       859     0    43     1    19
 -4.0000431872142855E-01 a       860     0    43     1    20
 -1.4912935264140700E-01 a       861     0    44     1     1
  6.2742838034307813E-01 a       862     0    44     1     2
  1.4382398272323704E-01 a       863     0    44     1     3
  1.2501949985352570E+00 a       864     0    44     1     4
  7.9083813892230237E-01 a       865     0    44     1     5
 -6.1811395285355175E-01 a       866     0    44     1     6
 -3.5259667046225585E-01 a       867     0    44     1     7
  4.5881309136231958E-02 a       868     0    44     1     8
  4.1227915681187233E-01 a       869     0    44     1     9
  2.8826011121757839E-01 a       870     0    44     1    10
 -2.0464843262907437E-01 a       871     0    44     1    11
 -3.3927318831875983E-02 a       872     0    44     1    12
  5.6344086830912898E-01 a       873     0    44     1    13
  3.2504191949909417E-01 a       874     0    44     1    14
 -1.9007807274386487E-01 a       875     0    44     1    15
  7.1942025287101030E-01 a       876     0    44     1    16
 -3.2595756309166790E-01 a       877     0    44     1    17
  3.1196120749226552E-01 a       878     0    44     1    18
 -4.6767598398579585E-01 a       879     0    44     1    19
  5.0721263205298212E-03 a       880     0    44     1    20
  7.7640482393506527E-01 a       881     0    45     1     1
 -3.6840659071610116E-01 a       882     0    45     1     2
  4.7816050655579687E-02 a       883     0    45     1     3
  5.1223447908920949E-01 a       884     0    45     1     4
  2.0101906912712242E-01 a       885     0    45     1     5
 -6.5354941763893881E-01 a       886     0    45     1     6
  1.5378451511755489E-01 a       887     0    45     1     7
  2.3601625577789112E-01 a       888     0    45     1     8
  4.2713382372500344E-02 a       889     0    45     1     9
 -1.2549383489007479E-01 a       890     0    45     1    10
 -3.5247251932411527E-01 a       891     0    45     1    11
  2.7807186425986041E-01 a       892     0    45     1    12
 -5.9792876184702726E-01 a       893     0    45     1    13
 -1.2497920573530051E-02 a       894     0    45     1    14
  3.9858442607075151E-01 a       895     0    45     1    15
 -6.4350169139340330E-01 a       896     0    45     1    16
 -4.8194363396008993E-01 a       897     0    45     1    17
 -3.3527326010154207E-01 a       898     0    45     1    18
  4.2611637150198850E-01 a       899     0    45     1    19
 -3.4265522691695310E-01 a       900     0    45     1    20
 -7.6442000713449276E-01 a       901     0    46     1     1
  5.3753919932977974E+00 a       902     0    46     1     2
  1.0368097900759616E+00 a       903     0    46     1     3
 -1.0383256445647444E+00 a       904     0    46     1     4
 -4.5475759239692287E-01 a       905     0    46     1     5
 -3.6095176708441576E-02 a       906     0    46     1     6
  1.0722994075490653E+00 a       907     0    46     1     7
  9.0137394187267572E-01 a       908     0    46     1     8
  1.8384555484247367E+00 a       909     0    46     1     9
  2.1249082188642157E+00 a       910     0    46     1    10
 -1.9587240472892211E+00 a       911     0    46     1    11
  1.7932692814750202E+00 a       912     0    46     1    12
 -1.6944023834293318E+00 a       913     0    46     1    13
  1.0179704036301165E+00 a       914     0    46     1    14
 -1.9580400122846562E+00 a       915     0    46     1    15
 -2.4918053461369665E+00 a       916     0    46     1    16
 -3.5053109992416402E+00 a       917     0    46     1    17
  4.5479342498199689E+00 a       918     0    46     1    18
 -1.3942994988867674E+00 a       919     0    46     1    19
 -5.4786385629262135E-02 a       920     0    46     1    20
  7.2949549727097951E-01 a       921     0    47     1     1
 -3.9264357248938309E+00 a       922     0    47     1     2
  4.5804803835853031E-01 a       923     0    47     1     3
  2.8245991457083881E+00 a       924     0    47     1     4
 -2.0004910933520681E+00 a       925     0    47     1     5
  2.6747138990557606E-01 a       926     0    47     1     6
 -2.2302947141659093E+00 a       927     0    47     1     7
 -4.1959519458908723E+00 a       928     0    47     1     8
 -2.1492722456071038E+00 a       929     0    47     1     9
 -1.8240451124855324E+00 a       930     0    47     1    10
 -2.1459320387916545E+00 a       931     0    47     1    11
  1.2840950461656784E+00 a       932     0    47     1    12
  5.3359790956862216E+00 a       933     0    47     1    13
 -4.6109923254606222E-01 a       934     0    47     1    14
  2.5508861897316888E+00 a       935     0    47     1    15
  1.8435956781395126E+00 a       936     0    47     1    16
 -7.1140469117442662E-01 a       937     0    47     1    17
 -1.2222662639719954E+00 a       938     0    47     1    18
 -6.9779274521230039E-01 a       939     0    47     1    19
  3.0900147208908438E-02 a       940     0    47     1    20
 -1.4263822942284032E+00 a       941     0    48     1     1
  1.2308481143429228E+00 a       942     0    48     1     2
 -1.8363213373131962E-01 a       943     0    48     1     3
 -9.1411262244347716E-02 a       944     0    48     1     4
 -1.5816178664558980E-01 a       945     0    48     1     5
 -2.3747239982036121E+00 a       946     0    48     1     6
 -1.9282320157121902E+00 a       947     0    48     1     7
  9.9490834894477764E-01 a       948     0    48     1     8
  4.1076588224922608E+00 a       949     0    48     1     9
 -1.9497704571029177E+00 a       950     0    48     1    10
 -1.2155080503219906E+00 a       951     0    48     1    11
  3.6395497540513250E-01 a       952     0    48     1    12
 -1.8626607073156507E+00 a       953     0    48     1    13
  1.7864575322763641E+00 a       954     0    48     1    14
 -3.2511117024062575E-01 a       955     0    48     1    15
 -9.4704805410310822E-01 a       956     0    48     1    16
  1.5323087890609857E+00 a       957     0    48     1    17
 -3.7794470520626294E-01 a       958     0    48     1    18
  6.6890398026255526E-01 a       959     0    48     1    19
  1.5539716804596521E-01 a       960     0    48     1    20
 -2.0190880851804277E-01 a       961     0    49     1     1
 -4.0826528698814152E-01 a       962     0    49     1     2
  2.1109644647171177E+00 a       963     0    49     1     3
  7.4686446957888430E-01 a       964     0    49     1     4
  2.7503996203805707E+00 a       965     0    49     1     5
 -4.2273350958009864E-01 a       966     0    49     1     6
 -3.4488963959335667E-01 a       967     0    49     1     7
  2.3524540143261525E+00 a       968     0    49     1     8
  1.8153605923088854E+00 a       969     0    49     1     9
 -1.3206360705401399E-01 a       970     0    49     1    10
  1.2177446783977761E+00 a       971     0    49     1    11
 -1.1064357045480049E+00 a       972     0    49     1    12
 -2.2725668139105157E+00 a       973     0    49     1    13
 -1.5343894455110310E+00 a       974     0    49     1    14
  2.7005449450535712E+00 a       975     0    49     1    15
 -1.5355376046755209E+00 a       976     0    49     1    16
  5.6996017387914648E+00 a       977     0    49     1    17
  7.8186820928497780E-01 a       978     0    49     1    18
 -4.5360789717565337E+00 a       979     0    49     1    19
 -6.7501099189065328E-01 a       980     0    49     1    20
 -4.7091738370419939E-01 a       981     0    50     1     1
  4.8544892806306666E-02 a       982     0    50     1     2
  5.2445767710852698E-01 a       983     0    50     1     3
 -2.3189034524433394E+00 a       984     0    50     1     4
 -1.0137891015382228E+00 a       985     0    50     1     5
  1.8502742316017056E+00 a       986     0    50     1     6
 -1.0036273920582857E+00 a       987     0    50     1     7
 -4.0237050597986407E-01 a       988     0    50     1     8
 -5.7693198897112452E-01 a       989     0    50     1     9
 -2.1837506428287459E-01 a       990     0    50     1    10
  9.4908707457099772E-01 a       991     0    50     1    11
  6.6453117006641382E-01 a       992     0    50     1    12
 -1.1167973046317441E+00 a       993     0    50     1    13
 -2.5481218491552454E-01 a       994     0    50     1    14
  5.6942731195975205E-01 a       995     0    50     1    15
 -2.0917902543736600E+00 a       996     0    50     1    16
  2.5721667658253666E-01 a       997     0    50     1    17
  4.1868925567151921E-01 a       998     0    50     1    18
  1.4808228729594533E+00 a       999     0    50     1    19
 -7.5093369086259487E-01 a      1000     0    50     1    20
 -8.9070929586720859E-01 a      1001     0    51     1     1
  6.6876076963943265E-01 a      1002     0    51     1     2
 -1.6749952034204024E-01 a      1003     0    51     1     3
 -5.3800958739879101E-01 a      1004     0    51     1     4
  1.1958229439463378E-01 a      1005     0    51     1     5
 -4.3361049589814182E-01 a      1006     0    51     1     6
  6.3437368601604727E-01 a      1007     0    51     1     7
  2.5769499366068049E-01 a      1008     0    51     1     8
 -1.1902071917328449E+00 a      1009     0    51     1     9
  9.7798020814158804E-01 a      1010     0    51     1    10
  1.3342918503363574E-01 a      1011     0    51     1    11
 -1.8010564957727595E-02 a      1012     0    51     1    12
 -3.0546118757130081E-01 a      1013     0    51     1    13
 -1.2641958075407012E+00 a      1014     0    51     1    14
 -9.9863902295465923E-01 a      1015     0    51     1    15
  8.7584743200765292E-01 a      1016     0    51     1    16
  4.7015353222794493E-01 a      1017     0    51     1    17
  3.7893262588223738E-02 a      1018     0    51     1    18
  1.4851166950007030E-01 a      1019     0    51     1    19
  5.7527573837233281E-01 a      1020     0    51     1    20
  4.1072947848298762E+00 a      1021     0    52     1     1
  2.2069829160681902E+00 a      1022     0    52     1     2
  1.0268853001295661E+00 a      1023     0    52     1     3
 -1.6865752711163926E+00 a      1024     0    52     1     4
  3.1041773868525935E+00 a      1025     0    52     1     5
  4.4314779817810157E+00 a      1026     0    52     1     6
 -5.6737803473703794E+00 a      1027     0    52     1     7
 -9.2738570725040070E-01 a      1028     0    52     1     8
 -1.8862322622169154E+00 a      1029     0    52     1     9
 -2.4053020152227475E-01 a      1030     0    52     1    10
  3.9635805843365053E+00 a      1031     0    52     1    11
 -1.5155777648642355E-01 a      1032     0    52     1    12
 -3.0701442977804558E+00 a      1033     0    52     1    13
 -1.0083170512786308E+00 a      1034     0    52     1    14
 -2.8661241038164729E+00 a      1035     0    52     1    15
  3.5100591544968318E+00 a      1036     0    52     1    16
 -2.1533989371170086E+00 a      1037     0    52     1    17
 -6.1262179740512079E-01 a      1038     0    52     1    18
  2.4939057355090091E+00 a      1039     0    52     1    19
 -1.7627047138630050E-01 a      1040     0    52     1    20
 -1.4350520513489613E+00 a      1041     0    53     1     1
 -2.0844704174463757E+00 a      1042     0    53     1     2
  5.2334993054294954E-01 a      1043     0    53     1     3
  1.2467903606231936E+00 a      1044     0    53     1     4
 -3.3741848920574018E+00 a      1045     0    53     1     5
 -2.0970075488101165E+00 a      1046     0    53     1     6
  5.5789172376085370E+00 a      1047     0    53     1     7
 -3.2223136331853448E+00 a      1048     0    53     1     8
 -9.6355676392117695E-01 a      1049     0    53     1     9
  1.7154280251087606E+00 a      1050     0    53     1    10
  5.8837110136170455E-02 a      1051     0    53     1    11
 -1.4067332762768621E+00 a      1052     0    53     1    12
  6.1567410798424191E+00 a      1053     0    53     1    13
  3.2471312077187755E+00 a      1054     0    53     1    14
  8.5605934110596813E+00 a      1055     0    53     1    15
  3.3507588700747322E+00 a      1056     0    53     1    16
  5.2254162955884835E+00 a      1057     0    53     1    17
  2.1862963006019394E+00 a      1058     0    53     1    18
