# Lammps sturcture data file
# ntot =           48
          48   atoms
          12 atom types

          0.00000000         11.25833025   xlo xhi
          0.00000000         13.00000000   ylo yhi
          0.00000000        106.00000000   zlo zhi

Atoms

           1           1      0.1000      0.1000     53.0000
           2           2      1.0382      1.7250     51.3329
           3           3      0.1000      0.1000     49.6658
           4           4      2.9146      1.7250     53.0000
           5           5      3.8528      0.1000     51.3329
           6           6      2.9146      1.7250     49.6658
           7           7      0.1000      3.3500     53.0000
           8           8      1.0382      4.9750     51.3329
           9           9      0.1000      3.3500     49.6658
          10          10      2.9146      4.9750     53.0000
          11          11      3.8528      3.3500     51.3329
          12          12      2.9146      4.9750     49.6658
          13           1      0.1000      6.6000     53.0000
          14           2      1.0382      8.2250     51.3329
          15           3      0.1000      6.6000     49.6658
          16           4      2.9146      8.2250     53.0000
          17           5      3.8528      6.6000     51.3329
          18           6      2.9146      8.2250     49.6658
          19           7      0.1000      9.8500     53.0000
          20           8      1.0382     11.4750     51.3329
          21           9      0.1000      9.8500     49.6658
          22          10      2.9146     11.4750     53.0000
          23          11      3.8528      9.8500     51.3329
          24          12      2.9146     11.4750     49.6658
          25           1      5.7292      0.1000     53.0000
          26           2      6.6674      1.7250     51.3329
          27           3      5.7292      0.1000     49.6658
          28           4      8.5437      1.7250     53.0000
          29           5      9.4819      0.1000     51.3329
          30           6      8.5437      1.7250     49.6658
          31           7      5.7292      3.3500     53.0000
          32           8      6.6674      4.9750     51.3329
          33           9      5.7292      3.3500     49.6658
          34          10      8.5437      4.9750     53.0000
          35          11      9.4819      3.3500     51.3329
          36          12      8.5437      4.9750     49.6658
          37           1      5.7292      6.6000     53.0000
          38           2      6.6674      8.2250     51.3329
          39           3      5.7292      6.6000     49.6658
          40           4      8.5437      8.2250     53.0000
          41           5      9.4819      6.6000     51.3329
          42           6      8.5437      8.2250     49.6658
          43           7      5.7292      9.8500     53.0000
          44           8      6.6674     11.4750     51.3329
          45           9      5.7292      9.8500     49.6658
          46          10      8.5437     11.4750     53.0000
          47          11      9.4819      9.8500     51.3329
          48          12      8.5437     11.4750     49.6658
