# Time-averaged data for fix f3
# TimeStep c_Nimsd[1] c_Nimsd[2] c_Nimsd[3] c_Nimsd[4]
41380 0.010635 0.0117307 0.00985574 0.0322214
41385 0.0103635 0.0119562 0.00977714 0.0320969
41390 0.0101449 0.0121615 0.00974747 0.0320539
41395 0.00997682 0.0123263 0.00978107 0.0320842
41400 0.00985366 0.0124398 0.00989052 0.032184
41405 0.00976967 0.0125008 0.0100828 0.0323533
41410 0.00972098 0.0125157 0.0103556 0.0325923
41415 0.00970606 0.0124953 0.0106956 0.032897
41420 0.00972472 0.0124513 0.0110778 0.0332539
41425 0.00977702 0.012393 0.0114682 0.0336381
41430 0.00986298 0.0123246 0.0118281 0.0340157
41435 0.00998335 0.0122449 0.0121212 0.0343494
41440 0.0101413 0.0121471 0.0123185 0.0346069
41445 0.0103432 0.0120216 0.0124036 0.0347684
41450 0.0105971 0.0118588 0.0123741 0.03483
41455 0.0109087 0.0116531 0.0122407 0.0348025
41460 0.0112759 0.0114053 0.0120245 0.0347057
41465 0.0116854 0.0111242 0.0117517 0.0345613
41470 0.0121119 0.0108255 0.0114498 0.0343872
41475 0.0125213 0.0105293 0.0111433 0.0341939
41480 0.0128771 0.0102557 0.0108513 0.0339842
41485 0.0131472 0.0100212 0.0105869 0.0337553
41490 0.0133099 0.00983544 0.010357 0.0335024
41495 0.0133567 0.00970065 0.010163 0.0332203
41500 0.013292 0.00961144 0.0100018 0.0329052
41505 0.013131 0.00955648 0.00986686 0.0325543
41510 0.0128962 0.00952111 0.0097493 0.0321666
41515 0.0126151 0.00949092 0.00964028 0.0317463
41520 0.0123178 0.00945596 0.009534 0.0313077
41525 0.0120355 0.00941389 0.0094305 0.0308799
41530 0.0117985 0.00937116 0.00933726 0.0305069
41535 0.0116326 0.0093416 0.00926836 0.0302426
41540 0.011556 0.00934308 0.00924114 0.0301402
41545 0.0115766 0.00939327 0.00927089 0.0302407
41550 0.011691 0.0095053 0.0093653 0.0305616
41555 0.0118851 0.00968394 0.00952025 0.0310893
41560 0.0121361 0.00992339 0.00971849 0.031778
41565 0.0124159 0.0102071 0.00993127 0.0325542
41570 0.0126944 0.0105097 0.0101229 0.0333271
