# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

102 1 0.0 21.73452676 5.384298107 19.967283368
103 1 0.0 19.910014005 5.384298107 29.955424331
104 1 0.0 18.085500707 5.384298107 39.943568271
105 1 0.0 16.260987953 5.384298107 49.931709235
106 1 0.0 23.559039514 14.69325023 9.979142405
107 1 0.0 21.73452676 14.69325023 19.967283368
108 1 0.0 19.910014005 14.69325023 29.955424331
109 1 0.0 18.085500707 14.69325023 39.943568271
110 1 0.0 16.260987953 14.69325023 49.931709235
111 1 0.0 23.559039514 24.002203394 9.979142405
112 1 0.0 21.73452676 24.002203394 19.967283368
113 1 0.0 19.910014005 24.002203394 29.955424331
114 1 0.0 18.085500707 24.002203394 39.943568271
115 1 0.0 16.260987953 24.002203394 49.931709235
116 1 0.0 23.559039514 33.311155171 9.979142405
117 1 0.0 21.73452676 33.311155171 19.967283368
118 1 0.0 19.910014005 33.311155171 29.955424331
119 1 0.0 18.085500707 33.311155171 39.943568271
120 1 0.0 16.260987953 33.311155171 49.931709235
121 1 0.0 23.559039514 42.620106947 9.979142405
122 1 0.0 21.73452676 42.620106947 19.967283368
123 1 0.0 19.910014005 42.620106947 29.955424331
124 1 0.0 18.085500707 42.620106947 39.943568271
125 1 0.0 16.260987953 42.620106947 49.931709235
126 1 0.0 0.49392149 5.384298107 5.003069784
127 1 0.0 -1.3305914 5.384298107 14.991211492
128 1 0.0 -3.155104155 5.384298107 24.979352455
129 1 0.0 -4.979616909 5.384298107 34.967493418
130 1 0.0 -6.804130207 5.384298107 44.955637359
131 1 0.0 0.49392149 14.69325023 5.003069784
132 1 0.0 -1.3305914 14.69325023 14.991211492
133 1 0.0 -3.155104155 14.69325023 24.979352455
134 1 0.0 -4.979616909 14.69325023 34.967493418
135 1 0.0 -6.804130207 14.69325023 44.955637359
136 1 0.0 0.49392149 24.002203394 5.003069784
137 1 0.0 -1.3305914 24.002203394 14.991211492
138 1 0.0 -3.155104155 24.002203394 24.979352455
139 1 0.0 -4.979616909 24.002203394 34.967493418
140 1 0.0 -6.804130207 24.002203394 44.955637359
141 1 0.0 0.49392149 33.311155171 5.003069784
142 1 0.0 -1.3305914 33.311155171 14.991211492
143 1 0.0 -3.155104155 33.311155171 24.979352455
144 1 0.0 -4.979616909 33.311155171 34.967493418
145 1 0.0 -6.804130207 33.311155171 44.955637359
146 1 0.0 0.49392149 42.620106947 5.003069784
147 1 0.0 -1.3305914 42.620106947 14.991211492
148 1 0.0 -3.155104155 42.620106947 24.979352455
149 1 0.0 -4.979616909 42.620106947 34.967493418
150 1 0.0 -6.804130207 42.620106947 44.955637359
151 1 0.0 5.851867784 5.384298107 5.003069784
152 1 0.0 4.027354894 5.384298107 14.991211492
153 1 0.0 2.202842139 5.384298107 24.979352455
154 1 0.0 0.378329385 5.384298107 34.967493418
155 1 0.0 -1.446183913 5.384298107 44.955637359
156 1 0.0 5.851867784 14.69325023 5.003069784
157 1 0.0 4.027354894 14.69325023 14.991211492
158 1 0.0 2.202842139 14.69325023 24.979352455
159 1 0.0 0.378329385 14.69325023 34.967493418
160 1 0.0 -1.446183913 14.69325023 44.955637359
161 1 0.0 5.851867784 24.002203394 5.003069784
162 1 0.0 4.027354894 24.002203394 14.991211492
163 1 0.0 2.202842139 24.002203394 24.979352455
164 1 0.0 0.378329385 24.002203394 34.967493418
165 1 0.0 -1.446183913 24.002203394 44.955637359
166 1 0.0 5.851867784 33.311155171 5.003069784
167 1 0.0 4.027354894 33.311155171 14.991211492
168 1 0.0 2.202842139 33.311155171 24.979352455
169 1 0.0 0.378329385 33.311155171 34.967493418
170 1 0.0 -1.446183913 33.311155171 44.955637359
171 1 0.0 5.851867784 42.620106947 5.003069784
172 1 0.0 4.027354894 42.620106947 14.991211492
173 1 0.0 2.202842139 42.620106947 24.979352455
174 1 0.0 0.378329385 42.620106947 34.967493418
175 1 0.0 -1.446183913 42.620106947 44.955637359
176 1 0.0 11.209813479 5.384298107 5.003069784
177 1 0.0 9.385300589 5.384298107 14.991211492
178 1 0.0 7.560787834 5.384298107 24.979352455
179 1 0.0 5.73627508 5.384298107 34.967493418
180 1 0.0 3.911761782 5.384298107 44.955637359
181 1 0.0 11.209813479 14.69325023 5.003069784
182 1 0.0 9.385300589 14.69325023 14.991211492
183 1 0.0 7.560787834 14.69325023 24.979352455
