# LAMMPS data file

4440 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 39.9525647336 zlo zhi
0.0 -7.2980511784 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni (TM 6.25% on Sn site)

Atoms  # charge

1 1 0.0 2.12725281 5.384302615 9.97914203
2 1 0.0 -1.521772779 5.384302615 29.955424397
3 1 0.0 2.12725281 14.693254391 9.97914203
4 1 0.0 -1.521772779 14.693254391 29.955424397
5 1 0.0 2.12725281 24.002206168 9.97914203
6 1 0.0 -1.521772779 24.002206168 29.955424397
7 1 0.0 2.12725281 33.311160719 9.97914203
8 1 0.0 -1.521772779 33.311160719 29.955424397
9 1 0.0 2.12725281 42.620112496 9.97914203
10 1 0.0 -1.521772779 42.620112496 29.955424397
11 1 0.0 7.485198505 5.384302615 9.97914203
12 1 0.0 3.836172916 5.384302615 29.955424397
13 1 0.0 7.485198505 14.693254391 9.97914203
14 1 0.0 3.836172916 14.693254391 29.955424397
15 1 0.0 7.485198505 24.002206168 9.97914203
16 1 0.0 3.836172916 24.002206168 29.955424397
17 1 0.0 7.485198505 33.311160719 9.97914203
18 1 0.0 3.836172916 33.311160719 29.955424397
19 1 0.0 7.485198505 42.620112496 9.97914203
20 1 0.0 3.836172916 42.620112496 29.955424397
21 1 0.0 12.843144999 5.384302615 9.97914203
22 1 0.0 9.19411941 5.384302615 29.955424397
23 1 0.0 12.843144999 14.693254391 9.97914203
24 1 0.0 9.19411941 14.693254391 29.955424397
25 1 0.0 12.843144999 24.002206168 9.97914203
26 1 0.0 9.19411941 24.002206168 29.955424397
27 1 0.0 12.843144999 33.311160719 9.97914203
28 1 0.0 9.19411941 33.311160719 29.955424397
29 1 0.0 12.843144999 42.620112496 9.97914203
30 1 0.0 9.19411941 42.620112496 29.955424397
31 1 0.0 18.201089097 5.384302615 9.97914203
32 1 0.0 14.552063508 5.384302615 29.955424397
33 1 0.0 18.201089097 14.693254391 9.97914203
34 1 0.0 14.552063508 14.693254391 29.955424397
35 1 0.0 18.201089097 24.002206168 9.97914203
36 1 0.0 14.552063508 24.002206168 29.955424397
37 1 0.0 18.201089097 33.311160719 9.97914203
38 1 0.0 14.552063508 33.311160719 29.955424397
39 1 0.0 18.201089097 42.620112496 9.97914203
40 1 0.0 14.552063508 42.620112496 29.955424397
41 1 0.0 23.559036389 5.384302615 9.97914203
42 1 0.0 19.9100108 5.384302615 29.955424397
43 1 0.0 23.559036389 14.693254391 9.97914203
44 1 0.0 19.9100108 14.693254391 29.955424397
45 1 0.0 23.559036389 24.002206168 9.97914203
46 1 0.0 19.9100108 24.002206168 29.955424397
47 1 0.0 23.559036389 33.311160719 9.97914203
48 1 0.0 19.9100108 33.311160719 29.955424397
49 1 0.0 23.559036389 42.620112496 9.97914203
50 1 0.0 19.9100108 42.620112496 29.955424397
51 1 0.0 0.302740016 5.384302615 19.967283213
52 1 0.0 -3.346285573 5.384302615 39.94356558
53 1 0.0 0.302740016 14.693254391 19.967283213
54 1 0.0 -3.346285573 14.693254391 39.94356558
55 1 0.0 0.302740016 24.002206168 19.967283213
56 1 0.0 -3.346285573 24.002206168 39.94356558
57 1 0.0 0.302740016 33.311160719 19.967283213
58 1 0.0 -3.346285573 33.311160719 39.94356558
59 1 0.0 0.302740016 42.620112496 19.967283213
60 1 0.0 -3.346285573 42.620112496 39.94356558
61 1 0.0 5.660685711 5.384302615 19.967283213
62 1 0.0 2.011660122 5.384302615 39.94356558
63 1 0.0 5.660685711 14.693254391 19.967283213
64 1 0.0 2.011660122 14.693254391 39.94356558
65 1 0.0 5.660685711 24.002206168 19.967283213
66 1 0.0 2.011660122 24.002206168 39.94356558
67 1 0.0 5.660685711 33.311160719 19.967283213
68 1 0.0 2.011660122 33.311160719 39.94356558
69 1 0.0 5.660685711 42.620112496 19.967283213
70 1 0.0 2.011660122 42.620112496 39.94356558
71 1 0.0 11.018632204 5.384302615 19.967283213
72 1 0.0 7.369606615 5.384302615 39.94356558
73 1 0.0 11.018632204 14.693254391 19.967283213
74 1 0.0 7.369606615 14.693254391 39.94356558
75 1 0.0 11.018632204 24.002206168 19.967283213
76 1 0.0 7.369606615 24.002206168 39.94356558
77 1 0.0 11.018632204 33.311160719 19.967283213
78 1 0.0 7.369606615 33.311160719 39.94356558
79 1 0.0 11.018632204 42.620112496 19.967283213
80 1 0.0 7.369606615 42.620112496 39.94356558
81 1 0.0 16.376577899 5.384302615 19.967283213
82 1 0.0 12.72755231 5.384302615 39.94356558
83 1 0.0 16.376577899 14.693254391 19.967283213
84 1 0.0 12.72755231 14.693254391 39.94356558
85 1 0.0 16.376577899 24.002206168 19.967283213
86 1 0.0 12.72755231 24.002206168 39.94356558
87 1 0.0 16.376577899 33.311160719 19.967283213
88 1 0.0 12.72755231 33.311160719 39.94356558
