Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64194645, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.01, 0.01
Ag, -286.99929342, Ag_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Al, -38.21672194, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.01, 0.02
Am, -1124.97975951, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -0.91, 3.02
Ar, -42.16680132, Ar_ONCV_PBEsol-1.1.upf, 60, 240, 8.00, SG15-1.1, 0.00, 0.00
As, -17.79738556, As.pbesol-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, 0.00, 0.00
At, -220.01116455, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.00, 0.00
Au, -274.46429016, Au_ONCV_PBEsol-1.0.upf, 45, 180, 19.00, SG15, 0.00, 0.00
Ba, -429.70424225, Ba.pbesol-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, 0.00, 1.35
Be, -27.82208021, be_pbesol_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, 0.00, 0.00
Bi, -184.66412647, bi_pbesol_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.01, 0.03
Bk, -1211.72208586, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.10, 2.14
B, -5.84217474, b_pbesol_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, 0.00, 0.00
Br, -40.38065426, br_pbesol_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, -0.00, 0.00
Ca, -74.77659486, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -121.55050339, Cd.pbesol-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, -0.00, 0.00
Ce, -475.06474574, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -1.12, 2.19
Cf, -1259.42677960, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.24, 2.01
Cl, -33.06472337, cl_pbesol_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, 0.00, 0.00
Cm, -4342.98482586, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.00, 0.00
Co, -297.85609104, co_pbesol_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, -3.00, 3.00
C, -17.41990376, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
Cr, -174.85707596, cr_pbesol_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, -1.99, 3.34
Cs, -62.91551360, cs_pbesol_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, -0.00, 0.00
Cu, -210.11487485, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.01, 0.02
Dy, -768.99907414, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.00, 1.06
Er, -877.43642711, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -0.05, 0.54
Es, -1310.25886978, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -3.00, 3.05
Eu, -634.56918765, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 0.92, 1.47
Fe, -326.38629523, Fe.pbesol-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -0.05, 2.27
Fm, -1364.13025552, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, -2.06, 2.07
F, -48.21981604, f_pbesol_v1.4.uspp.F.UPF, 45, 360, 7.00, GBRV-1.4, 0.00, 0.00
Fr, -1059.38314181, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
