Element, Ec [eV/atom],re [A],alpha,B [GPa],V [A^3/atom],E [GPa],v,"G(E,v) [GPa]","G(B,v) [GPa]",Tm [K],Structure (Assumption),1NN-MEAM,2NN-MEAM,# References
Sn,3.14,2.81,7.329,111,27.05,49.9,0.357,18.4,35.1,505.078,(tetr),yes,yes,
Ti,4.85,2.89,4.638,105.1,17.668,120.2,0.361,44.2,32.2,1943,hcp,yes,yes,
W,8.9,2.74,5.664,323.2,15.725,411,0.28,160.5,166.7,3687,bcc,yes,yes,
U,5.55,2.75,4.552,98.7,20.74,177,0.25,70.8,59.2,1407,(sc),,yes,
V,5.31,2.62,4.864,161.9,13.816,127.6,0.365,46.7,48,2190,bcc,yes,yes,
Xe,0.16,4.34,0,0,57.637,0,0,0,0,161.36,fcc,,yes,
Yb,1.6,3.88,4.389,13.3,41.248,23.9,0.207,9.9,9.7,1091,fcc,,,
Y,4.37,3.55,3.941,36.6,33.012,63.5,0.243,25.5,22.7,1795,hcp,yes,yes,
Zn,1.35,2.66,6.152,59.8,15.211,104.5,0.249,41.8,36.1,692.677,hcp,yes,yes,
Zr,6.25,3.17,4.176,83.3,23.287,97.1,0.38,35.2,21.7,2127,hcp,,yes,
