# LAMMPS data file written by OVITO
196 atoms
4 atom types
0.0 26.1108913 xlo xhi
0.0 22.6126938 ylo yhi
0.0 14.0797577 zlo zhi
-13.0554123 6.2887473e-04 -7.6809588e-04 xy xz yz

Masses

1  12.000
2  12.000
3  1.001
4  0.001

Atoms

98 1 2 -0.4925514 21.4505921 7.3003502
99 1 1 13.610364 1.9456346 7.0771799
100 1 1 14.6311703 1.2798047 7.79735
101 1 1 10.4226904 4.6838546 6.1659002
102 1 1 12.8292265 4.2310448 6.1659002
103 1 1 12.0181055 6.5415745 6.1659002
104 1 1 9.6053705 6.8482448 6.65344
105 1 1 7.4154806 10.0794439 7.6504698
106 1 1 9.6564408 10.8685446 8.3945799
107 1 1 16.977581 1.7819848 8.3217697
108 1 1 18.5925904 0.0523396 8.3217697
109 1 1 14.3011809 6.1672049 6.65344
110 1 1 13.6067601 8.3607645 7.0771799
111 1 1 13.6729908 9.5777245 7.7973399
112 1 1 20.9116898 0.4751036 8.3945799
113 1 1 19.283001 2.3158047 8.3217697
114 1 1 20.0213108 4.5989547 7.7973399
115 1 1 17.75733 4.1128249 8.3945799
116 1 1 18.1943913 6.4481249 7.6504698
117 1 1 16.091341 7.7897449 7.2014299
118 1 1 16.187891 10.2353439 7.6504698
119 1 1 24.4188805 2.4410348 6.65344
120 1 1 24.9289818 0.0794356 7.2014299
121 1 1 21.1083412 5.1500745 7.0771699
122 1 1 20.3605709 7.5873046 7.2014198
123 1 1 18.284401 8.9209442 7.2772999
124 1 2 12.3466606 1.3918545 6.7829099
125 1 2 11.5085011 3.7410646 6.06527
126 1 2 13.6732111 3.3848148 6.95083
127 1 2 10.65872 6.0726347 6.06527
128 1 2 8.3285008 11.179944 7.92981
129 1 2 15.6429501 2.1294248 8.3570004
130 1 2 17.2625904 0.4443267 8.3200703
131 1 2 17.98205 2.7378147 8.3200703
132 1 2 13.1028137 5.6427846 6.06528
133 1 2 14.7182007 7.5432549 6.7829099
134 1 2 12.3289719 7.6956048 6.95083
135 1 2 12.4313069 10.0291443 8.3570004
136 1 2 19.6085301 0.9679946 8.3200703
137 1 2 20.2512112 3.2979148 8.3570004
138 1 2 18.691 5.1071448 7.92981
139 1 2 16.7886811 6.6614647 7.7331901
140 1 2 14.7782507 10.4757443 7.92981
141 1 2 16.8218899 9.0074844 7.3003502
142 1 2 23.60318 0.0396586 7.7331901
143 1 2 22.3232803 4.3760548 6.95083
144 1 2 21.2606106 6.5213647 6.7828999
145 1 2 18.9407102 7.6110945 7.3003502
146 1 2 20.9890214 8.755354 7.7331801
147 1 2 19.090601 10.1442442 7.3003502
148 1 1 7.0826573 13.2519817 7.0771799
149 1 1 8.1034641 12.5861511 7.79735
150 1 1 3.8949846 15.990202 6.1659002
151 1 1 6.3015204 15.5373917 6.1659002
152 1 1 5.4903994 17.8479214 6.1659002
153 1 1 3.0776644 18.1545906 6.65344
154 1 1 0.8877746 21.3857918 7.6504698
155 1 1 3.1287344 22.1748924 8.3945799
156 1 1 10.4498749 13.0883312 8.3217697
157 1 1 12.0648842 11.3586865 8.3217697
158 1 1 7.7734747 17.4735527 6.65344
159 1 1 7.0790534 19.6671105 7.0771799
160 1 1 7.1452847 20.8840714 7.7973399
161 1 1 14.3839846 11.7814503 8.3945799
162 1 1 12.7552948 13.6221514 8.3217697
163 1 1 13.4936047 15.905302 7.7973399
164 1 1 11.2296238 15.4191723 8.3945799
165 1 1 11.6666851 17.7544709 7.6504698
166 1 1 9.5636349 19.0960922 7.2014299
167 1 1 9.6601849 21.5416909 7.6504698
168 1 1 17.8911744 13.7473812 6.65344
