Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.63782573, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.00, 0.02
Ag, -286.99651941, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, 0.00, 0.00
Al, -38.21239455, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, 0.00, 0.01
Am, -1124.98045729, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -1.00, 3.01
Ar, -93.55116400, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, 0.00, 0.00
As, -211.45201298, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, -0.02, 0.02
At, -220.00683828, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.01, 0.01
Au, -274.46179482, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Ba, -55.98961110, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, -0.00, 0.00
Be, -26.15838449, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, -0.00, 0.00
Bi, -184.65578788, bi_pbesol_v1.uspp.F.UPF, 50, 400, 15.00, GBRV-1.2, 0.00, 0.01
Bk, -1211.72189869, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.00, 2.17
B, -5.83807683, b_pbesol_v1.4.uspp.F.UPF, 55, 440, 3.00, GBRV-1.2, 0.00, 0.00
Br, -40.37688305, br_pbesol_v1.4.uspp.F.UPF, 90, 720, 7.00, GBRV-1.4, 0.01, 0.01
Ca, -74.77659497, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -600.88057595, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, -0.00, 0.00
Ce, -475.04301516, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.37, 1.54
Cf, -1259.43532765, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -0.01, 2.10
Cl, -34.34536819, Cl.pbesol-n-rrkjus_psl.1.0.0.UPF, 100, 800, 7.00, 100US, 0.00, 0.00
Cm, -4335.99577260, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 46.64
Co, -297.85704661, co_pbesol_v1.2.uspp.F.UPF, 90, 1080, 17.00, GBRV-1.2, 3.00, 3.00
C, -17.41243745, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, 0.00, 0.01
Cr, -174.82137053, cr_pbesol_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 0.03, 2.52
Cs, -46.53659911, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45, 180, 9.00, Dojo, -0.01, 0.01
Cu, -210.11782123, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -0.00, 0.00
Dy, -769.15340351, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, 4.03, 4.12
Er, -877.43830007, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 0.03, 0.60
Es, -1310.17527833, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -0.10, 1.57
Eu, -634.53606944, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, -0.01, 0.79
Fe, -326.37973175, Fe.pbesol-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, 0.42, 2.07
Fm, -1364.10076462, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, -0.26, 1.27
F, -48.80655401, F.oncvpsp.upf, 90, 360, 7.00, Dojo, -0.00, 0.00
Fr, -1059.38032089, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
Ga, -274.76237307, Ga.pbesol-dn-kjpaw_psl.1.0.0.UPF, 90, 720, 13.00, 100PAW, -0.01, 0.01
Gd, -675.81559840, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, -0.00, 0.76
Ge, -212.82254131, ge_pbesol_v1.4.uspp.F.UPF, 45, 360, 14.00, GBRV-1.4, 0.00, 0.00
He, -5.51625750, He_ONCV_PBEsol-1.0.upf, 55, 220, 2.00, SG15, -0.00, 0.00
