# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 12960
  1 0.025 648.1 1211.1
  2 0.075 647.9 1223.57
  3 0.125 648 1246.04
  4 0.175 647.4 1230.14
  5 0.225 644 1272.43
  6 0.275 651.5 1226.89
  7 0.325 647.3 1233.04
  8 0.375 647.7 1219.33
  9 0.425 648.9 1242.64
  10 0.475 648.8 1268.01
  11 0.525 648 1323.25
  12 0.575 648.1 1311.67
  13 0.625 650.8 1270.36
  14 0.675 648.4 1248.12
  15 0.725 645.3 1299.28
  16 0.775 648.1 1269.07
  17 0.825 647.9 1247.77
  18 0.875 649.1 1313.74
  19 0.925 647 1259.84
  20 0.975 647.7 1250.91
2100 20 12960
  1 0.025 648.1 1181.54
  2 0.075 650.1 1206.82
  3 0.125 645.6 1278.46
  4 0.175 648.1 1246.7
  5 0.225 648.5 1226.18
  6 0.275 647.4 1288.35
  7 0.325 647.7 1227.2
  8 0.375 647.5 1228.84
  9 0.425 647.3 1265.56
  10 0.475 648.7 1257.36
  11 0.525 645.5 1336.51
  12 0.575 648.3 1309.21
  13 0.625 646.8 1263.29
  14 0.675 652.3 1287.24
  15 0.725 647.7 1299.88
  16 0.775 648.3 1263.9
  17 0.825 648.3 1297.53
  18 0.875 649.6 1264.21
  19 0.925 646.3 1269.65
  20 0.975 647.9 1240.01
3150 20 12960
  1 0.025 648 1188.31
  2 0.075 645.4 1217.42
  3 0.125 650.1 1239.67
  4 0.175 648.3 1265.25
  5 0.225 645.7 1281.39
  6 0.275 650.5 1249.75
  7 0.325 647.5 1227.6
  8 0.375 648.1 1213.06
  9 0.425 648 1279.38
  10 0.475 648.2 1292.89
  11 0.525 647.6 1340.61
  12 0.575 648.8 1340.21
  13 0.625 650.5 1302.87
  14 0.675 647.2 1285.97
  15 0.725 646.4 1242.16
  16 0.775 647.9 1314.88
  17 0.825 648.5 1242.27
  18 0.875 649.1 1249.96
  19 0.925 646.3 1242.28
  20 0.975 647.9 1213.51
4200 20 12960
  1 0.025 648 1183.04
  2 0.075 651.9 1179.07
  3 0.125 643.7 1220.09
  4 0.175 648.3 1261.52
  5 0.225 649.9 1238.14
  6 0.275 645.7 1264.99
  7 0.325 647.9 1228.37
  8 0.375 647.5 1275.16
  9 0.425 645.7 1262.65
  10 0.475 649.6 1298.97
  11 0.525 641.7 1347.28
  12 0.575 648.3 1345.8
  13 0.625 647.3 1318.82
  14 0.675 655.5 1301.2
  15 0.725 648.2 1260.69
  16 0.775 648.2 1253.56
  17 0.825 648.2 1266.44
  18 0.875 650.8 1248.62
  19 0.925 645.9 1236.35
  20 0.975 647.7 1226.55
5250 20 12960
  1 0.025 648.1 1144.12
  2 0.075 645.5 1199.36
  3 0.125 650 1220.16
  4 0.175 648.3 1239.52
  5 0.225 647.3 1263.67
  6 0.275 648.9 1225.47
  7 0.325 647.8 1251.76
  8 0.375 647.9 1261.24
  9 0.425 649.2 1303.11
  10 0.475 647.2 1347.91
  11 0.525 647.5 1402.36
  12 0.575 648.1 1353.77
  13 0.625 649.6 1333.36
  14 0.675 648.8 1288.8
  15 0.725 646 1256.52
  16 0.775 648.1 1246.04
  17 0.825 648.6 1270.55
  18 0.875 648.7 1243.23
  19 0.925 646.5 1214.85
  20 0.975 647.9 1209.68
