Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64196020, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.04, 0.04
Ag, -286.99934429, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, -0.02, 0.02
Al, -38.21672827, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.02, 0.03
Am, -1124.96994150, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 1.36, 2.90
Ar, -93.55116297, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, 0.00, 0.00
As, -211.46047194, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, -0.00, 0.00
At, -220.01116477, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.00, 0.00
Au, -274.46461582, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Ba, -55.98960750, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, -0.00, 0.00
Be, -26.15838415, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, 0.00, 0.00
Bi, -184.66425518, bi_pbesol_v1.uspp.F.UPF, 50, 400, 15.00, GBRV-1.2, -0.00, 0.02
Bk, -1211.72221512, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.13, 2.15
B, -5.84240343, b_pbesol_v1.4.uspp.F.UPF, 55, 440, 3.00, GBRV-1.2, 0.00, 0.00
Br, -40.38120929, br_pbesol_v1.4.uspp.F.UPF, 90, 720, 7.00, GBRV-1.4, 0.00, 0.00
Ca, -74.77659481, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -600.88057561, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, 0.00, 0.00
Ce, -475.04729804, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.49, 1.51
Cf, -1259.43013726, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.10, 2.12
Cl, -34.34969593, Cl.pbesol-n-rrkjus_psl.1.0.0.UPF, 100, 800, 7.00, 100US, -0.00, 0.00
Cm, -4342.98482584, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.00, 0.00
Co, -297.78187715, co_pbesol_v1.2.uspp.F.UPF, 90, 1080, 17.00, GBRV-1.2, 1.14, 2.09
C, -17.41990375, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
Cr, -175.07562413, cr_pbesol_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 6.00, 6.00
Cs, -46.53941921, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45, 180, 9.00, Dojo, -0.00, 0.00
Cu, -210.11487376, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.01, 0.01
Dy, -768.99891723, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, 0.00, 1.06
Er, -877.43544256, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 0.04, 0.54
Es, -1310.17643456, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 0.13, 1.41
Eu, -634.55919348, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 0.89, 1.46
Fe, -326.52729642, Fe.pbesol-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -4.00, 4.01
Fm, -1364.13017388, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 2.06, 2.07
F, -48.81088135, F.oncvpsp.upf, 90, 360, 7.00, Dojo, 0.00, 0.00
Fr, -1059.38314182, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
Ga, -274.76670450, Ga.pbesol-dn-kjpaw_psl.1.0.0.UPF, 90, 720, 13.00, 100PAW, -0.01, 0.02
Gd, -675.81037293, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, 0.03, 0.79
Ge, -212.83000868, ge_pbesol_v1.4.uspp.F.UPF, 45, 360, 14.00, GBRV-1.4, -0.00, 0.00
He, -5.51625750, He_ONCV_PBEsol-1.0.upf, 55, 220, 2.00, SG15, 0.00, 0.00
Hf, -112.26250281, Hf-sp.oncvpsp.upf, 55, 220, 12.00, Dojo, -0.00, 0.00
Hg, -107.49401321, Hg.us.z_12.uspp.gbrv.v1.upf, 65, 390, 12.00, GBRV-v1.0, -0.00, 0.00
H, -0.90676970, H_ONCV_PBEsol-1.0.upf, 80, 320, 1.00, SG15, -0.00, 0.00
Ho, -821.23069773, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, -0.01, 0.83
I, -198.64116999, I.nc.z_17.oncvpsp4.sg15.v0.upf, 65, 260, 17.00, SG15, 0.00, 0.00
In, -144.18481393, In.pbesol-dn-rrkjus_psl.0.2.2.UPF, 50, 400, 13.00, 031US, -0.00, 0.00
Ir, -963.43111557, Ir.us.z_31.ld1.psl.v1.0.0-high.upf, 90, 720, 31.00, 100US, -1.31, 2.38
K, -111.37272657, K.pbesol-spn-kjpaw_psl.1.0.0.UPF, 60, 480, 9.00, 100PAW, -0.00, 0.00
Kr, -500.72278492, Kr.paw.z_18.ld1.psl.v1.0.0-high.upf, 200, 1200, 18.00, 100PAW, -0.00, 0.00
La, -451.42260237, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, -1.16, 1.83
Li, -14.27592565, li_pbesol_v1.4.uspp.F.UPF, 40, 320, 3.00, GBRV-1.4, 0.01, 0.01
Lr, -1545.30240026, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, -0.01, 0.02
Lu, -1071.07609194, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, 0.00, 0.02
Md, -1421.31380029, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, -1.10, 1.10
Mg, -125.02578878, mg_pbesol_v1.4.uspp.F.UPF, 45, 360, 10.00, GBRV-1.4, -0.00, 0.00
Mn, -210.78076961, mn_pbesol_v1.5.uspp.F.UPF, 90, 1080, 15.00, GBRV-1.5, 5.00, 5.18
Mo, -136.35487258, Mo_ONCV_PBEsol-1.0.upf, 35, 140, 14.00, SG15, 0.00, 0.01
Na, -108.41570648, Na.paw.z_9.ld1.psl.v1.0.0-low.upf, 100, 800, 9.00, 100PAW-low, -0.00, 0.00
Nb, -329.42485335, Nb.pbesol-spn-kjpaw_psl.0.3.0.UPF, 40, 320, 13.00, 031PAW, 1.04, 2.86
Nd, -530.20269139, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, -4.01, 4.06
Ne, -81.32716487, Ne.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 720, 8.00, 100PAW, 0.00, 0.00
Ni, -342.67964156, ni_pbesol_v1.4.uspp.F.UPF, 50, 400, 18.00, GBRV-1.4, -0.66, 1.59
N, -20.05551864, N.oncvpsp.upf, 80, 320, 5.00, Dojo, -0.00, 0.00
No, -1481.90631895, No.paw.z_24.ld1.uni-marburg.v0.upf, 60, 480, 24.00, MalteSachs, 0.00, 0.00
Np, -1048.83681680, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60, 480, 15.00, MalteSachs, 0.32, 2.61
O, -40.64955923, O.pbesol-n-kjpaw_psl.0.1.UPF, 75, 600, 6.00, 031PAW, 0.00, 0.01
Os, -197.81246447, os_pbesol_v1.2.uspp.F.UPF, 40, 320, 16.00, GBRV-1.2, 0.83, 2.65
Pa, -982.50295042, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60, 480, 13.00, MalteSachs, 0.84, 2.71
Pb, -859.13128444, Pb.pbesol-dn-kjpaw_psl.0.2.2.UPF, 45, 360, 14.00, 031PAW, 0.00, 0.01
Pd, -252.79031166, Pd_ONCV_PBEsol-1.0.upf, 50, 200, 18.00, SG15, -0.00, 0.02
Pm, -561.80939611, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40, 320, 15.00, Wentzcovitch, 0.17, 1.31
Po, -195.00367847, Po.pbesol-dn-rrkjus_psl.1.0.0.UPF, 80, 640, 16.00, 100US, -0.00, 0.00
P, -13.62883798, P.pbesol-n-rrkjus_psl.1.0.0.UPF, 30, 240, 5.00, 100US, 0.01, 0.01
Pr, -501.20954392, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, -0.29, 1.58
Pt, -1032.39264982, Pt.pbesol-spfn-rrkjus_psl.1.0.0.UPF, 100, 800, 32.00, 100US, -0.00, 0.01
Pu, -1085.83232416, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, 6.00, 6.25
Ra, -1105.94462338, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90, 720, 20.00, 100PAW, 0.00, 0.00
Rb, -48.92158512, Rb_ONCV_PBEsol-1.0.upf, 30, 120, 9.00, SG15, -0.00, 0.00
Re, -189.51071164, re_pbesol_v1.2.uspp.F.UPF, 30, 240, 15.00, GBRV-1.2, -0.01, 0.01
Rh, -216.39686126, Rh_ONCV_PBEsol-1.0.upf, 55, 220, 17.00, SG15, -0.00, 1.62
Rn, -1015.02204265, Rn.paw.z_18.ld1.psl.v1.0.0-high.upf, 200, 1600, 18.00, 100PAW, 0.00, 0.00
Ru, -187.83751442, Ru_ONCV_PBEsol-1.0.upf, 35, 140, 16.00, SG15, -0.02, 0.02
Sb, -184.26641013, sb_pbesol_v1.4.uspp.F.UPF, 55, 440, 15.00, GBRV-1.4, -0.00, 0.01
Sc, -154.85736347, Sc.pbesol-spn-kjpaw_psl.0.2.3.UPF, 90, 720, 11.00, 031PAW, -0.02, 0.90
Se, -43.02859211, se_pbesol_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.02, 0.02
Si, -10.91982569, Si.pbesol-n-rrkjus_psl.1.0.0.UPF, 30, 240, 4.00, 100US, 0.01, 0.01
Sm, -596.58372692, Sm.paw.z_16.atompaw.wentzcovitch.v1.2.upf, 40, 320, 16.00, Wentzcovitch, 0.02, 0.99
Sn, -158.60520497, sn_pbesol_v1.4.uspp.F.UPF, 70, 560, 14.00, GBRV-1.2, 0.02, 0.03
S, -23.70069596, s_pbesol_v1.4.uspp.F.UPF, 35, 280, 6.00, GBRV-1.4, 0.00, 0.00
Sr, -70.03566069, sr_pbesol_v1.uspp.F.UPF, 40, 320, 10.00, GBRV-1.2, 0.00, 0.00
Ta, -141.04829026, ta_pbesol_v1.uspp.F.UPF, 50, 400, 13.00, GBRV-1.2, 0.00, 0.01
Tb, -720.80076241, Tb.paw.z_19.atompaw.wentzcovitch.v1.2.upf, 40, 320, 19.00, Wentzcovitch, -5.47, 5.50
Tc, -160.57372876, Tc_ONCV_PBEsol-1.0.upf, 40, 160, 15.00, SG15, 0.37, 2.98
Te, -28.21564208, Te.us.z_6.ld1.psl.v1.0.0-low.upf, 50, 400, 6.00, US100-low, 0.00, 0.00
Th, -952.75777565, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 0.28, 1.79
