# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  1 0.025 294.2 1024.26
  2 0.075 302.7 1026.05
  3 0.125 300.4 1009.14
  4 0.175 303.4 987.073
  5 0.225 301.4 982.791
  6 0.275 301.8 942.6
  7 0.325 296.8 1018.87
  8 0.375 297.8 1047.3
  9 0.425 296.9 1018.55
  10 0.475 302.2 1045.76
  11 0.525 303 1044.57
  12 0.575 296.8 1015.6
  13 0.625 296.7 1022.22
  14 0.675 299.1 967.914
  15 0.725 300.5 965.117
  16 0.775 302.8 1008.38
  17 0.825 308.6 987.91
  18 0.875 300.2 1001.63
  19 0.925 300 1009.43
  20 0.975 294.7 976.941
2100 20 6000
  1 0.025 295.1 987.553
  2 0.075 303.3 1017.02
  3 0.125 298.7 1048.4
  4 0.175 304.1 1024.3
  5 0.225 302.3 1025.48
  6 0.275 302.5 1028.41
  7 0.325 294.7 1063.7
  8 0.375 298.9 1011.76
  9 0.425 298.4 1021.07
  10 0.475 301.8 1019.47
  11 0.525 301.4 1020.27
  12 0.575 299.7 979.145
  13 0.625 295.6 969.386
  14 0.675 300.1 966.229
  15 0.725 299.5 1012.22
  16 0.775 301.7 1012.99
  17 0.825 309.3 1008.21
  18 0.875 298.8 1019.41
  19 0.925 300.2 993.46
  20 0.975 293.9 974.391
3150 20 6000
  1 0.025 293.6 991.95
  2 0.075 304.2 999.012
  3 0.125 299.2 980.602
  4 0.175 301.6 1023.21
  5 0.225 301.9 1017.58
  6 0.275 298.9 1037.62
  7 0.325 297.8 1006.73
  8 0.375 298 979.142
  9 0.425 297.1 1004.68
  10 0.475 302.9 1042.5
  11 0.525 300 1014.03
  12 0.575 301.7 1018.56
  13 0.625 294 992.649
  14 0.675 302.7 1021.43
  15 0.725 299.3 1014.31
  16 0.775 304.5 1002.56
  17 0.825 306.6 972.351
  18 0.875 299.8 973.03
  19 0.925 300.2 1002.4
  20 0.975 296 997.597
4200 20 6000
  1 0.025 298.2 1007.49
  2 0.075 303 1008.84
  3 0.125 301.6 980.873
  4 0.175 301.7 994.495
  5 0.225 301.6 1047.94
  6 0.275 301.2 967.623
  7 0.325 299.5 985.449
  8 0.375 295.6 999.356
  9 0.425 298.1 1010.38
  10 0.475 303.4 1032.87
  11 0.525 302.3 1057.47
  12 0.575 298.3 1063.51
  13 0.625 292.7 998.113
  14 0.675 299.3 1025.97
  15 0.725 300.6 1010.21
  16 0.775 301.3 1018.53
  17 0.825 305.9 1013.74
  18 0.875 301.4 966.459
  19 0.925 298.2 946.427
  20 0.975 296.1 964.453
5250 20 6000
  1 0.025 294.9 983.936
  2 0.075 301.7 976.589
  3 0.125 300.5 955.286
  4 0.175 301.6 999.906
  5 0.225 303 1034.03
  6 0.275 301.3 988.14
  7 0.325 297 970.681
  8 0.375 297.1 1022.58
  9 0.425 298.6 1041.28
  10 0.475 303.5 1033
  11 0.525 302.6 1028.7
  12 0.575 297.5 1031.43
  13 0.625 294.2 1043.75
  14 0.675 297.5 1062.77
  15 0.725 301.4 1012.22
  16 0.775 303.1 973.114
  17 0.825 308.9 975.811
  18 0.875 300.3 966.235
  19 0.925 299.7 999.285
  20 0.975 295.6 977.738
6300 20 6000
  1 0.025 295.8 962.714
  2 0.075 303.5 1018.23
  3 0.125 301.2 995.719
  4 0.175 301 995.761
  5 0.225 302.1 1005.7
  6 0.275 301.1 997.681
  7 0.325 299.1 964.328
  8 0.375 296.1 1010.7
