# Lattice constant (Angstroms), Volume (Angstrom), Total energy (eV), Cohesive energy (eV/atom)
2.82912637782094, 22.644203221025, -8.83188358444425, -4.41594179222213
2.83619919376549, 22.8144596778088, -8.86470058102693, -4.43235029051346
2.84328969174991, 22.9859962529872, -8.89588888340561, -4.44794444170281
2.85039791597928, 23.1588225714706, -8.92546884278388, -4.46273442139194
2.85752391076923, 23.3329483305364, -8.95346071797487, -4.47673035898743
2.86466772054615, 23.5083833003739, -8.97988467473906, -4.48994233736953
2.87182938984752, 23.6851373246321, -9.00476078555142, -4.50238039277571
2.87900896332214, 23.863220320972, -9.02810902862795, -4.51405451431398
2.88620648573044, 24.0426422816231, -9.04994928661053, -4.52497464330527
2.89342200194477, 24.2234132739443, -9.07030134595895, -4.53515067297948
2.90065555694963, 24.4055434409886, -9.08918489601992, -4.54459244800996
2.907907195842, 24.5890430020722, -9.10661952808723, -4.55330976404362
2.91517696383161, 24.7739222533478, -9.12262473492338, -4.56131236746169
2.92246490624119, 24.9601915683827, -9.13721991024175, -4.56860995512087
2.92977106850679, 25.1478613987405, -9.15042434836186, -4.57521217418093
2.93709549617806, 25.3369422745676, -9.16225724303495, -4.58112862151747
2.9444382349185, 25.5274448051842, -9.17273768650498, -4.58636884325249
2.9517993305058, 25.7193796796795, -9.18188466848827, -4.59094233424414
2.95917882883206, 25.9127576675114, -9.18971707581953, -4.59485853790977
2.96657677590414, 26.1075896191108, -9.19625369179517, -4.59812684589758
2.9739932178439, 26.3038864664906, -9.20151319609861, -4.60075659804931
2.98142820088851, 26.5016592238588, -9.2055141642211, -4.60275708211055
2.98888177139073, 26.7009189882366, -9.20827506602891, -4.60413753301445
2.99635397581921, 26.9016769400812, -9.20981426485024, -4.60490713242512
3.00384486075876, 27.1039443439132, -9.21015001727364, -4.60507500863682
3.01135447291066, 27.3077325489481, -9.20930047246969, -4.60465023623484
3.01888285909293, 27.5130529897338, -9.20728367260235, -4.60364183630117
3.02643006624066, 27.7199171867918, -9.20411755180447, -4.60205877590224
3.03399614140627, 27.9283367472637, -9.19981993466318, -4.59990996733159
3.04158113175978, 28.1383233655625, -9.19440853586928, -4.59720426793464
3.04918508458918, 28.3498888240286, -9.18790095988809, -4.59395047994405
3.05680804730065, 28.5630449935913, -9.18031470106174, -4.59015735053087
3.0644500674189, 28.7778038344344, -9.17166714335729, -4.58583357167864
3.07211119258745, 28.9941773966677, -9.16197555863887, -4.58098777931944
3.07979147056892, 29.2121778210029, -9.1512571060604, -4.5756285530302
3.08749094924534, 29.4318173394349, -9.13952883209044, -4.56976441604522
3.09520967661846, 29.6531082759279, -9.12680767076195, -4.56340383538097
3.10294770081, 29.8760630471074, -9.11311044312189, -4.55655522156094
3.11070507006203, 30.1006941629563, -9.09845385570826, -4.54922692785413
3.11848183273718, 30.3270142275173, -9.08285449998835, -4.54142724999418
3.12627803731902, 30.5550359396001, -9.06632885290797, -4.53316442645399
3.13409373241232, 30.7847720934934, -9.04889327698828, -4.52444663849414
3.14192896674335, 31.0162355796834, -9.03056401909434, -4.51528200954717
3.14978378916021, 31.2494393855768, -9.01135720934318, -4.50567860467159
3.15765824863311, 31.4843965962296, -8.99128886113352, -4.49564443056676
3.16555239425469, 31.7211203950812, -8.97037487231878, -4.48518743615939
3.17346627524033, 31.9596240646942, -8.94863102354813, -4.47431551177406
3.18139994092843, 32.1999209874998, -8.92607297770448, -4.46303648885224
3.18935344078075, 32.4420246465483, -8.90271627916717, -4.45135813958359
