# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.883727 1.0461 1.35297
0.111111 0 0.111111 0.157135  1.67559 1.68923 2.53381
0.166667 0 0.166667 0.235702  2.44683 2.4773 3.60286
0.222222 0 0.222222 0.31427  3.17576 3.22292 4.6204
0.277778 0 0.277778 0.392837  3.74696 3.79817 5.50433
0.333333 0 0.333333 0.471405  4.1842 4.33861 6.29541
0.388889 0 0.388889 0.549972  4.51419 4.67395 6.83722
0.444444 0 0.444444 0.628539  4.80415 4.84064 7.22592
0.5 0 0.5 0.707107  4.82901 4.91234 7.36845
0.5 0 0.5 0.707107  4.82901 4.91234 7.36845
0.5 0.0625 0.5625 0.795495  4.89423 5.01204 7.29889
0.5 0.125 0.625 0.883883  4.938 5.33408 7.10792
0.5 0.1875 0.6875 0.972272  4.83045 5.80915 6.73719
0.5 0.25 0.75 1.06066  4.77701 6.3069 6.33315
0.5 0.25 0.75 1.06066  4.77701 6.3069 6.33315
0.5 0.1875 0.6875 1.14905  4.83045 5.80915 6.73719
0.5 0.125 0.625 1.23744  4.938 5.33408 7.10792
0.5 0.0625 0.5625 1.32583  4.89423 5.01204 7.29889
0.5 0 0.5 1.41421  4.82901 4.91234 7.36845
0.5 1 0.5 1.41421  4.82901 4.91234 7.36845
0.464286 0.928571 0.464286 1.5017  4.83433 5.01751 7.32374
0.428571 0.857143 0.428571 1.58918  4.75768 5.26603 7.19685
0.392857 0.785714 0.392857 1.67666  4.54461 5.64929 6.97253
0.357143 0.714286 0.357143 1.76414  4.24853 6.00606 6.63639
0.321429 0.642857 0.321429 1.85162  3.87312 6.18897 6.28872
0.285714 0.571429 0.285714 1.9391  3.49312 5.69295 6.38071
0.25 0.5 0.25 2.02659  3.04446 5.05035 6.24242
0.214286 0.428571 0.214286 2.11407  2.61685 4.43273 5.93132
0.178571 0.357143 0.178571 2.20155  2.1957 3.78114 5.41331
0.142857 0.285714 0.142857 2.28903  1.70628 3.05243 4.61586
0.107143 0.214286 0.107143 2.37651  1.30374 2.35252 3.72623
0.0714286 0.142857 0.0714286 2.46399  1.03668 1.62062 2.59624
0.0357143 0.0714286 0.0357143 2.55148  0.701667 0.936932 1.42141
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -8.86324e-09 5.08594e-15 8.86324e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.820219 0.858555 1.39089
0.111111 0.111111 0.111111 2.83141  1.07444 1.11463 2.63886
0.166667 0.166667 0.166667 2.92763  1.58837 1.6191 3.72076
0.222222 0.222222 0.222222 3.02386  1.99391 2.03704 4.79222
0.277778 0.277778 0.277778 3.12008  2.33024 2.36112 5.66626
0.333333 0.333333 0.333333 3.21631  2.66219 2.68834 6.37965
0.388889 0.388889 0.388889 3.31253  2.83165 2.86959 6.88543
0.444444 0.444444 0.444444 3.40876  3.0131 3.04013 7.24499
0.5 0.5 0.5 3.50498  2.97787 3.05978 7.47749
