ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.3969359240097674e+00 1.4533293592401117e+02 0.0000000000000000e+00
-1.9408916347967953e-01 2.1784489163479449e+01 0.0000000000000000e+00
4.8660990128253090e-02 2.5711339009871438e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
983 1 9.88063 15.3746 5.75658 -8.33286 1.14499 -3.39663 -1.52576 
2898 1 7.79549 0.893346 12.4941 -7.37033 0.248806 -2.12791 2.51327 
6485 1 -0.71296 11.529 0.590866 -7.86251 0.106872 2.58349 -1.28146 
5 1 -0.515615 1.30076 4.56286 -8.28321 -1.74257 -0.986123 -0.078606 
1445 1 -0.155402 1.17625 9.90322 -8.67251 -1.59916 0.305758 -1.83387 
249 1 5.18458 6.77859 0.424611 -7.0997 -1.0685 -1.55042 0.0240291 
2164 1 1.44539 12.5213 7.2135 -7.07809 1.01628 0.660767 2.82489 
485 1 -0.621838 8.63176 4.86807 -7.75722 2.83601 -1.33934 0.732034 
1925 1 -0.17078 8.61646 9.89289 -7.69749 -1.82214 -0.997946 1.75756 
1204 1 1.58789 20.1252 1.97564 -7.61893 -1.43175 -1.7269 1.01933 
2404 1 2.21015 17.125 8.25329 -8.01766 0.612831 0.368335 -0.36033 
965 1 -0.586125 15.8531 4.643 -8.14663 1.79959 2.23888 1.13411 
2405 1 -0.357031 15.9653 9.80938 -7.68616 -2.65389 -0.56056 -0.331646 
3132 1 4.05143 4.50613 12.3949 -7.74393 -1.01336 -0.512319 0.567398 
1220 2 10.4929 20.9148 1.1521 -29.2089 1.16215 -1.1995 0.343622 
11 1 2.83692 0.906495 5.63331 -7.92202 -0.0907756 -0.150106 -0.74549 
1451 1 2.83404 0.654248 10.8531 -8.5144 1.85196 -0.697672 -1.92497 
251 1 3.0463 4.8925 4.90955 -7.44884 -2.81928 -0.572875 0.13929 
1691 1 3.27982 4.97174 9.93596 -8.08741 -1.32108 0.0149037 -1.147 
491 1 2.34021 7.9759 5.78456 -8.57374 0.374183 -0.520901 -0.827776 
1931 1 2.86291 8.09699 10.8334 -8.60674 -0.575246 -0.997047 -1.81195 
731 1 3.20441 12.2806 5.0893 -8.2504 1.2963 -1.28504 -3.26761 
2171 1 3.30005 12.1122 9.99311 -8.13366 -0.461303 0.214246 -0.0568695 
971 1 2.72742 15.3615 5.4379 -7.74345 0.186291 -0.0849289 -0.0276747 
2411 1 2.75542 15.1993 10.7765 -7.57375 -0.290545 0.968136 0.597877 
1211 1 2.89632 19.4868 5.17753 -7.13843 1.95191 -1.96865 -0.386312 
2651 1 3.24535 19.8646 9.79185 -8.12554 0.90583 -1.16379 1.25732 
17 1 7.04927 1.1262 4.93731 -8.90887 -2.71312 -1.09727 0.182686 
1457 1 6.95438 1.38932 10.269 -7.01543 0.0734089 0.333416 -3.63475 
257 1 6.26516 4.17193 6.03416 -7.17791 -0.0775892 2.31575 -1.63402 
1697 1 6.32697 4.3113 11.2362 -7.32672 0.95018 2.96711 -2.01063 
497 1 6.88846 8.50634 4.73852 -7.24498 0.106425 0.963005 2.4293 
1937 1 6.73722 8.45287 10.1437 -8.38605 2.3672 -0.45184 1.15416 
737 1 6.25751 11.5637 5.71726 -8.82409 2.00503 1.031 2.59037 
2177 1 6.44285 11.7679 10.7511 -8.13812 -0.99169 0.333539 -0.751027 
977 1 6.95412 15.6222 5.28943 -6.72783 -0.778663 1.44695 -4.11308 
2417 1 7.07063 15.4717 10.0142 -8.31024 -2.34015 1.32902 -0.691173 
1217 1 6.25777 19.0127 5.91441 -7.82347 0.485284 1.52009 -1.62742 
2657 1 6.51236 18.9498 10.7903 -8.54248 1.07053 -1.36073 0.203574 
2890 1 5.20217 1.90365 12.3273 -8.16054 -1.49689 -1.93867 2.30697 
1464 1 10.6329 0.184233 8.19404 -8.96561 -2.00288 -2.05959 -2.00915 
1696 1 8.95141 5.41276 7.2675 -8.13018 -0.661755 1.73139 0.810544 
504 1 10.7512 7.05775 3.15578 -8.04776 -0.330526 0.537165 -0.075987 
2900 2 10.536 2.55437 11.5276 -27.988 1.97552 1.05528 1.845 
2644 1 1.5146 20.1065 7.43833 -8.19997 -0.056833 0.410018 -1.23429 
490 1 5.16877 8.95613 2.25769 -8.63686 -1.85789 1.44857 -0.680612 
2420 2 10.3861 16.9611 6.61582 -28.8151 1.50127 2.6039 -0.582964 
970 1 4.974 16.4704 2.46067 -8.03327 0.302221 1.0168 -0.628877 
256 1 8.54807 5.47429 2.30723 -8.125 1.94727 0.860242 -0.45911 
3370 1 4.94715 8.96651 12.491 -8.55614 1.64263 0.0788918 -0.655248 
1210 1 5.63116 20.7793 3.08247 -7.80831 1.361 0.52876 -0.422235 
2 2 -0.392623 2.34839 1.42307 -29.6923 0.717967 -0.0199176 -0.593029 
1442 2 -0.748231 2.23527 6.47359 -27.3869 4.07206 1.3251 -0.746238 
2882 2 -0.277115 2.15714 11.6234 -28.079 0.533228 2.25273 1.03398 
242 2 -0.30551 6.13221 1.34296 -29.668 -3.7498 1.14832 -1.55167 
1682 2 -0.708327 6.18992 6.35251 -28.3362 1.27408 -0.00697294 1.99038 
3122 2 -0.328297 6.16747 11.6998 -27.4162 0.828208 0.96531 -1.7739 
482 2 -0.431845 9.88753 1.67711 -30.0983 0.603672 -1.41595 -2.55045 
1922 2 -0.236004 9.83146 6.71417 -29.1026 -1.0157 0.61053 -0.346543 
3362 2 -0.491759 9.75491 11.5454 -29.3074 -2.14527 3.34937 -0.607783 
722 2 -0.292062 13.502 1.22586 -28.0613 -0.310632 -0.671856 1.18373 
2162 2 -0.266255 13.5525 6.60535 -29.1855 0.161515 -1.44126 -0.84709 
3602 2 -0.774345 13.8259 11.4849 -28.932 3.32004 -1.03787 -1.02612 
962 2 -0.527629 16.9529 1.2771 -28.7928 1.56127 0.24004 -0.857872 
2402 2 -0.637753 16.9335 6.5341 -27.9554 2.40331 1.08792 -2.10552 
3842 2 -0.371062 17.2528 11.561 -29.3068 0.809751 -0.598842 0.385733 
1202 2 -0.388123 20.7473 1.30859 -29.2334 1.44374 0.744217 -0.240286 
2642 2 -0.238745 20.5764 6.26696 -27.6231 0.967459 1.37711 1.7815 
4082 2 -0.529225 20.9368 11.676 -29.2797 1.06144 -2.80848 -0.987091 
8 2 3.06338 2.26709 1.45154 -29.3985 3.6498 0.702987 1.26813 
1448 2 3.55137 2.60652 6.68962 -28.9246 -1.79432 0.0558743 -1.18699 
2888 2 3.43117 2.60566 11.7403 -28.8484 0.91798 0.441346 -2.58569 
248 2 2.976 6.0883 1.50677 -29.2659 1.55225 -0.705371 0.64954 
1688 2 2.86888 6.06125 6.44403 -28.4153 0.796476 0.764678 0.358283 
3128 2 3.27574 6.17926 11.537 -28.7267 -0.253042 0.776165 1.58675 
488 2 3.43786 9.91829 1.50793 -28.116 -1.93796 -1.00791 -1.4437 
1928 2 3.18232 9.85757 6.43266 -28.1523 0.0932983 1.20085 1.66953 
3368 2 3.16177 9.9289 11.5295 -28.6999 2.48254 0.310392 1.78004 
728 2 3.17978 13.2367 1.35146 -28.6027 0.179325 2.91376 -1.28107 
2168 2 3.32665 13.6523 6.45453 -29.5126 -1.88192 0.468182 2.30552 
3608 2 3.31927 13.4 11.9276 -28.6792 -0.414283 1.454 -2.82238 
968 2 3.53909 17.1663 1.26912 -28.4495 -3.55666 -0.430656 1.07016 
2408 2 3.10367 17.2946 6.43049 -29.4407 0.186974 -0.0712852 1.83137 
3848 2 3.39336 17.0325 11.4801 -28.7197 -2.4235 0.190108 1.70652 
1208 2 3.29737 20.7609 1.41976 -28.4081 -0.514352 0.42511 1.14406 
2648 2 3.14211 21.104 6.41144 -28.6508 -0.38074 -3.67216 0.134384 
4088 2 3.49222 20.7114 11.5612 -28.1051 -2.19169 -0.127893 1.4968 
14 2 7.09109 2.70713 1.34743 -29.3341 -0.854203 -0.774589 1.76923 
1454 2 6.95612 2.52896 6.59767 -28.6563 0.493563 -0.143708 0.626542 
2894 2 7.00276 2.66212 11.8073 -29.6845 0.976881 -1.20465 -1.2391 
