# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 12000
  1 0.025 606.9 490.234
  2 0.075 600 494.273
  3 0.125 593.9 491.991
  4 0.175 600.8 488.179
  5 0.225 603.5 494.092
  6 0.275 588.6 496.114
  7 0.325 603.2 502.972
  8 0.375 596.5 511.474
  9 0.425 600 514.762
  10 0.475 602.6 519.513
  11 0.525 600.6 534.141
  12 0.575 605.5 522.559
  13 0.625 604.7 509.13
  14 0.675 610.4 505.787
  15 0.725 601.4 502.778
  16 0.775 602.4 489.788
  17 0.825 597.1 496.419
  18 0.875 602 499.493
  19 0.925 579.1 501.508
  20 0.975 600.8 497.541
2100 20 12000
  1 0.025 608.6 466.698
  2 0.075 602.8 483.278
  3 0.125 597.1 488.053
  4 0.175 603.6 489.135
  5 0.225 605.4 495.171
  6 0.275 586.8 508.92
  7 0.325 606.1 515.58
  8 0.375 593.9 514.869
  9 0.425 599.2 503.882
  10 0.475 601.8 515.947
  11 0.525 599.6 529.107
  12 0.575 608.1 513.736
  13 0.625 601.1 516.51
  14 0.675 608.6 510.709
  15 0.725 602 525.229
  16 0.775 600.6 500.205
  17 0.825 595.6 509.579
  18 0.875 601.4 498.263
  19 0.925 577.5 491.129
  20 0.975 600.2 493.043
3150 20 12000
  1 0.025 605.5 488.727
  2 0.075 606.1 491.073
  3 0.125 596.5 503.668
  4 0.175 604 502.233
  5 0.225 606.9 499.963
  6 0.275 589.3 501.427
  7 0.325 607.7 506.51
  8 0.375 598.9 502.318
  9 0.425 597.6 516.119
  10 0.475 602.1 508.725
  11 0.525 598.8 524.598
  12 0.575 602.6 526.007
  13 0.625 600.5 516.173
  14 0.675 606.6 526.97
  15 0.725 600.6 509.62
  16 0.775 598.7 492.515
  17 0.825 597.3 476.772
  18 0.875 602 493.618
  19 0.925 577.9 484.141
  20 0.975 600.4 473.654
4200 20 12000
  1 0.025 607 481.606
  2 0.075 601.8 490.453
  3 0.125 598.6 492.448
  4 0.175 604.1 501.47
  5 0.225 604.1 502.567
  6 0.275 589.9 487.063
  7 0.325 606 491.019
  8 0.375 594.8 507.743
  9 0.425 599 508.672
  10 0.475 602.2 534.766
  11 0.525 599.1 544.781
  12 0.575 608.4 520.788
