ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
12000
ITEM: BOX BOUNDS xy xz yz pp pp pp
-2.7890788547213319e-01 2.6003907885472358e+01 0.0000000000000000e+00
-2.1687346988555056e-01 2.5941873469885941e+01 0.0000000000000000e+00
-1.7009857640422013e+00 2.0750098576404724e+02 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
1 1 0.604101 1.34704 2.33457 -7.44392 -0.0767486 -0.276324 0.924075 
2 1 0.786384 0.939363 7.34249 -7.8488 -0.564926 0.720986 -0.776157 
3 1 0.947315 1.0617 12.7559 -8.25426 -0.420394 0.220148 -0.675174 
41 1 0.659612 6.43477 2.08409 -7.97269 -0.0390755 -0.218153 1.98198 
42 1 0.801926 6.34906 7.43634 -8.03257 -0.345549 -1.3784 -0.529492 
43 1 0.723762 6.28463 12.7348 -8.02461 0.513015 1.48921 -0.97492 
81 1 0.622198 11.5019 2.51406 -7.20395 -0.317289 0.67677 -1.40305 
82 1 0.866361 11.41 7.52918 -7.70055 -0.204418 -0.628859 0.494255 
83 1 0.893411 11.789 12.8206 -7.39768 -0.367723 -1.77339 -0.263433 
121 1 0.777849 16.8365 2.04022 -7.88054 -1.14851 -0.572732 0.0500147 
122 1 0.959984 16.6539 7.30091 -8.17725 -0.453145 0.793977 -0.151058 
123 1 0.813088 16.8076 12.5125 -7.81022 -1.02561 0.182555 1.72219 
161 1 0.934748 22.1854 2.24685 -8.12135 -0.818676 -0.471993 -0.0971815 
162 1 0.755596 21.939 7.36894 -7.61687 -0.127783 -0.345602 0.202232 
163 1 0.805311 21.8246 12.5596 -7.53645 -1.04861 1.92131 0.968363 
201 1 6.12419 1.14448 2.36745 -8.361 0.0227047 -0.0156579 -0.0105033 
202 1 6.0307 1.14255 7.47677 -7.95817 -0.150201 -0.61112 -0.124656 
203 1 6.11415 1.36134 12.7535 -7.67552 0.763304 0.050541 0.94533 
241 1 5.88084 6.40657 2.33208 -7.80568 -0.282212 0.0370796 -0.24429 
242 1 6.01931 6.39046 7.5917 -7.93486 0.729783 -0.463511 -1.63152 
243 1 6.00588 6.28564 12.8189 -7.90505 0.897318 1.33184 -0.419413 
281 1 5.96807 11.4645 2.42659 -7.27619 -1.12139 -0.270775 0.909974 
282 1 5.9783 11.511 7.5885 -8.11141 1.05536 1.10784 0.00154365 
283 1 6.14284 11.483 12.9203 -7.54575 -0.559816 -0.609847 -0.618065 
321 1 6.02162 16.5829 2.25492 -7.77017 -0.100468 0.826634 0.110835 
322 1 6.16439 16.9054 7.52677 -7.75946 -0.474999 -0.290366 0.0924117 
323 1 5.95843 16.8527 12.7687 -7.95624 1.11235 0.207749 -0.25803 
361 1 6.10182 22.0559 2.39942 -7.6084 1.37074 -0.339657 -0.972349 
362 1 6.05352 22.0124 7.56249 -8.08191 1.07782 0.00891145 0.50643 
363 1 6.17852 22.4002 12.7794 -7.92834 -0.0573218 -1.73334 0.111925 
401 1 11.405 1.21116 2.23923 -7.72475 -0.388385 -1.60468 -0.431911 
402 1 11.3511 1.19081 7.53163 -8.08936 0.796396 0.509312 0.0698399 
403 1 11.3405 1.30971 12.9008 -7.60614 -0.768224 -1.81889 -0.519163 
441 1 11.2899 6.25163 2.44867 -8.19612 -0.175873 0.534928 -1.12395 
442 1 11.347 6.41933 7.50773 -7.87999 -1.26108 -0.245551 -0.33297 
443 1 11.214 6.4309 12.7093 -7.89123 0.46461 -0.316786 0.077233 
481 1 11.3271 11.5344 2.274 -7.84325 -1.61412 0.376864 0.323986 
482 1 11.2213 11.5243 7.39334 -7.86468 -0.172026 0.534329 1.02622 
483 1 11.3682 11.7273 12.7152 -7.56411 -0.276336 -0.210865 -0.991607 
521 1 11.4293 16.8228 2.30675 -7.74164 -1.66053 -0.680075 -0.155473 
522 1 11.2895 16.9649 7.52456 -7.62788 -0.624157 -1.68821 0.549343 
523 1 11.1963 16.8688 12.8069 -7.74999 1.3622 0.522277 -0.324331 
561 1 11.3667 21.9056 2.24002 -7.93217 0.962963 -0.125874 0.0787242 
562 1 11.2569 21.8854 7.36616 -7.72619 1.24488 0.998399 1.13769 
563 1 11.4365 22.1371 12.6713 -7.94999 -0.772618 0.461075 -0.453859 
1001 1 0.87632 3.7573 -0.118675 -7.89131 -0.528099 -0.153438 -0.420761 
1002 1 0.570361 3.70621 4.92658 -7.9884 0.413839 -0.359532 0.917329 
1003 1 0.75133 3.87071 10.074 -7.76178 -0.843487 0.0434648 0.415919 
1004 1 0.829101 3.73388 15.3742 -7.75868 0.515066 -0.168856 -0.141316 
1041 1 0.710087 8.84384 -0.248085 -8.1968 -0.545796 1.0839 0.0735729 
1042 1 0.555703 8.74424 5.00668 -8.1863 0.771133 0.303121 0.0653748 
1043 1 0.78047 9.02745 10.3436 -7.66744 -0.0621553 0.19391 -1.46894 
1044 1 0.820673 8.74073 15.3637 -8.07324 -0.214068 1.24413 0.0963006 
1081 1 0.6763 14.0383 -0.389801 -7.93246 0.938244 0.578419 -0.722759 
1082 1 0.777816 14.0542 4.82112 -7.39492 0.32133 0.954983 -0.24618 
1083 1 0.835589 14.2443 10.179 -7.61409 -0.952711 -0.599647 0.159104 
1084 1 0.746428 14.044 15.6098 -7.36048 0.694207 0.446979 -0.427563 
1121 1 0.851819 19.3843 -0.525546 -8.55748 0.758266 -0.722096 0.394248 
1122 1 0.808016 19.3214 4.74953 -8.04434 -0.810827 -0.543168 1.45308 
1123 1 0.827566 19.4014 9.99943 -7.46309 -0.324016 -0.821585 0.309254 
1124 1 0.625294 19.198 15.315 -7.76578 -0.155676 1.09111 -1.28322 
1161 1 0.772826 24.6636 -0.445738 -7.55786 0.154348 0.508484 0.540484 
1162 1 0.783482 24.6373 4.95448 -8.16479 -0.802774 -0.571413 -1.60601 
1163 1 0.891535 24.6485 10.1645 -8.13586 -1.02592 -0.661925 -1.59785 
1164 1 0.831568 24.6397 15.2936 -7.72536 -1.18956 -0.54029 1.02679 
1201 1 6.12372 3.78628 -0.264002 -7.69433 0.482071 0.975736 -1.43355 
1202 1 5.95266 3.68316 4.79719 -7.69485 -0.320242 1.44884 -0.754778 
1203 1 5.95413 3.65155 9.79687 -7.74971 -0.103402 0.535184 1.14596 
1204 1 6.05792 3.71084 15.072 -8.61234 0.63447 -0.883492 0.646549 
1241 1 5.78804 8.97031 -0.240888 -7.00202 -0.300436 -0.468796 0.437143 
1242 1 5.9329 8.91221 4.85681 -8.15987 -0.442504 0.825318 -0.0488288 
1243 1 5.95981 9.01333 10.0463 -7.13385 -0.207693 -0.717505 0.251274 
1244 1 6.05092 8.94536 15.2525 -8.27695 0.924113 0.0951097 -0.860693 
1281 1 5.98241 14.1363 -0.363333 -7.81553 0.106051 -0.515973 -0.555534 
1282 1 5.96355 14.3347 4.89439 -7.91824 1.80279 -0.413177 -0.581925 
1283 1 5.99917 14.2274 10.0236 -8.04799 -0.0700814 -0.491083 0.00259994 
1284 1 6.19087 14.1702 15.2913 -7.91284 -0.464303 0.0410752 1.06431 
1321 1 6.22289 19.5354 -0.406742 -7.62995 -0.604327 -1.79459 -0.0967743 
1322 1 6.03551 19.5491 4.78447 -7.66981 -0.393361 -0.57632 0.181969 
1323 1 6.00259 19.4755 10.0182 -7.91427 1.31956 0.327257 -0.333209 
1324 1 5.90025 19.4644 15.3045 -8.03026 1.15131 -0.26217 -1.1256 
1361 1 6.26203 24.7045 -0.501901 -8.15788 -0.276256 -0.776173 1.48538 
1362 1 6.23141 24.7606 4.7806 -7.95496 -1.31551 0.353118 0.323064 
1363 1 6.21685 24.7603 10.0103 -7.42981 -1.30793 -0.972986 0.735957 
1364 1 6.03335 24.6307 15.2302 -7.63374 -0.440781 0.354357 0.031699 
1401 1 11.3704 3.78361 -0.327226 -7.92661 0.491974 -0.952462 -0.174934 
1402 1 11.2034 3.77008 4.92667 -7.85456 0.723917 0.058224 -0.200775 
1403 1 11.4063 3.75634 10.0528 -8.22878 -1.11689 -0.156072 0.595367 
1404 1 11.381 3.62415 15.398 -8.24346 0.00256148 0.292191 0.359673 
1441 1 11.2619 9.02367 -0.489994 -7.58303 -0.351828 -1.31558 1.2686 
1442 1 11.1955 8.92165 4.89596 -8.11147 0.226424 0.745257 -0.335049 
1443 1 11.0301 9.27588 10.1227 -7.52118 0.711154 -1.88987 0.110607 
1444 1 11.2755 8.92786 15.3294 -7.6709 1.00017 -0.737378 -0.358658 
1481 1 11.198 14.1436 -0.147365 -7.75644 0.226005 -0.372278 0.155835 
1482 1 11.3044 14.1874 5.03646 -7.45546 -0.647321 -0.208577 -0.539524 
1483 1 11.3055 14.29 9.98293 -7.71094 -0.790157 -0.289052 -0.505903 
1484 1 11.2801 14.2485 15.2428 -7.89688 2.35928 -1.32211 -0.177159 
1521 1 11.4036 19.3648 -0.260681 -7.78072 0.00465268 -0.394518 -0.261493 
1522 1 11.2573 19.4654 4.89511 -8.07396 -0.452338 -0.456908 0.739663 
1523 1 11.1806 19.3851 10.1535 -7.56655 -0.202613 0.27627 -0.0414285 
1524 1 11.4328 19.3199 15.3743 -7.84481 -0.571802 0.504217 -0.583554 
1561 1 11.5262 24.4451 -0.254725 -7.75931 -0.807745 0.981664 -0.725848 
1562 1 11.3222 24.6034 4.97627 -7.31041 -0.132383 0.830328 -0.525131 
1563 1 11.3617 24.7095 10.0458 -7.34341 -1.31612 -0.959674 1.01303 
1564 1 11.1993 24.6323 15.0598 -7.77669 -0.0499106 -0.666797 1.69438 
2001 1 3.53738 1.00519 -0.137373 -7.82802 0.927198 0.00537091 -0.755326 
2002 1 3.81282 1.10684 4.76667 -7.42672 1.60388 -0.28784 1.12386 
2003 1 3.60958 0.999392 10.1619 -7.33477 0.0316203 -0.802109 -1.02143 
2004 1 3.74745 0.956201 15.3599 -8.3493 0.61695 1.19038 -0.0976962 
2041 1 3.82066 6.2263 -0.0632258 -7.94145 -0.310629 -0.730415 -0.0854643 
2042 1 3.7828 6.13096 5.13077 -7.50995 0.879531 -0.0401746 -0.0719951 
2043 1 3.81068 6.18263 10.1242 -7.69287 0.360152 0.197231 1.24416 
2044 1 3.56025 6.25311 15.3661 -7.60205 1.8526 0.301549 -0.894774 
2081 1 3.55386 11.4535 -0.278886 -8.42353 -0.130923 -0.875151 -1.48721 
2082 1 3.77446 11.3612 4.8193 -7.49007 0.807509 -0.574667 -0.64431 
2083 1 3.71839 11.3566 9.99815 -7.88929 -0.966886 1.01233 0.869681 
2084 1 3.6882 11.5186 15.3839 -7.68041 -0.875571 0.3317 -1.23978 
2121 1 3.67026 16.7706 -0.416891 -7.41042 0.117166 -0.425961 -0.356082 
2122 1 3.79619 16.5043 5.02406 -7.98179 -0.19202 1.02201 0.124612 
2123 1 3.71568 16.6464 10.185 -7.39106 -0.458224 0.960633 1.13633 
2124 1 3.75292 16.8073 15.5399 -7.39207 0.100534 0.875793 -0.172842 
2161 1 3.48008 21.8777 -0.58616 -8.16288 -0.225729 0.116216 1.80043 
2162 1 3.77619 21.8875 4.78109 -7.90239 0.231912 0.588945 0.935131 
2163 1 3.71694 21.9617 10.1626 -7.41596 -0.112565 0.452793 -0.557772 
2164 1 3.57408 21.9195 15.4093 -7.73211 1.88444 0.571107 -0.290818 
2201 1 9.09116 1.12971 -0.299983 -8.20176 -2.32626 -0.778642 -1.63536 
2202 1 9.01238 1.19355 4.86955 -7.93697 0.85138 -0.130151 -0.0846709 
2203 1 8.68337 1.2638 10.0636 -7.92876 0.68818 -0.325879 0.24087 
2204 1 8.99096 1.17891 15.282 -7.50638 0.878955 -1.15139 -0.266053 
2241 1 8.9153 6.29008 -0.493925 -8.00496 1.51045 -0.0554693 -0.0740631 
2242 1 8.87273 6.41249 4.7815 -7.99167 0.754719 -1.16387 -0.118556 
2243 1 9.10065 6.40401 9.93487 -7.38962 -1.2059 0.0365211 -0.562803 
2244 1 9.07105 6.1932 15.3387 -7.82651 -1.94797 0.0926551 -1.1527 
2281 1 9.03362 11.3846 -0.20833 -7.86222 0.488272 0.523393 -0.480497 
2282 1 9.09125 11.5541 4.88665 -8.04544 -0.375567 0.0775334 0.744152 
2283 1 9.07016 11.5106 10.1823 -7.38366 -1.82204 0.604551 -0.31302 
2284 1 8.74078 11.4816 15.275 -7.40091 1.25782 -0.545391 -0.0856237 
2321 1 8.95159 16.7652 -0.424942 -7.85088 0.300603 -1.10022 1.5476 
2322 1 8.97181 16.9529 4.80821 -8.23987 0.59112 0.207937 1.19988 
2323 1 8.97489 16.8753 9.97598 -7.73288 -0.464468 0.523841 0.617651 
2324 1 9.08558 16.7281 15.3049 -8.16505 0.131739 1.12697 0.819661 
2361 1 8.88638 22.0814 -0.259697 -8.08652 0.82638 0.118392 -1.44001 
2362 1 9.18373 22.0723 4.82491 -7.40196 -0.5513 0.107877 -0.384488 
2363 1 8.93976 22.0771 10.0442 -8.54837 0.438954 0.741203 -0.163391 
2364 1 8.76526 22.0816 15.243 -7.91566 0.186866 0.916818 0.222101 
3001 1 3.76852 3.81376 2.44097 -7.7555 0.71672 -0.161341 0.17153 
3002 1 3.89231 3.75219 7.57803 -7.53051 -0.711427 -0.742006 -0.287072 
3003 1 3.68079 3.8371 12.7225 -7.62449 1.05807 -0.765183 0.825029 
3041 1 3.60573 8.93333 2.22494 -8.65445 0.218727 -0.624873 0.669827 
3042 1 4.03285 8.83226 7.58183 -7.54663 -0.716094 0.775776 0.310458 
3043 1 3.83558 8.91611 12.8283 -7.95121 -0.0120731 0.0399492 -0.580395 
3081 1 3.63982 14.1459 2.19904 -8.23102 -0.3453 0.395367 1.04477 
3082 1 3.58362 14.0783 7.49645 -7.32375 1.82392 0.926502 -0.305888 
3083 1 3.48019 14.187 12.6818 -7.51097 0.913762 0.223999 -0.0939836 
3121 1 3.72782 19.4249 2.36713 -7.88777 0.782877 0.295584 -0.598074 
3122 1 3.62389 19.521 7.45439 -7.88191 1.08793 -0.811633 0.671104 
3123 1 3.79201 19.3509 12.6629 -7.10479 0.424725 0.938333 -0.413905 
3161 1 3.64801 24.7748 2.40689 -7.70788 0.466904 0.381035 -0.978589 
3162 1 3.65839 24.6492 7.44618 -7.76915 -0.0317103 1.21873 0.46314 
