# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 4320
  1 0.025 216.1 936.202
  2 0.075 216.3 970.305
  3 0.125 216.1 1014.63
  4 0.175 215.4 1041.95
  5 0.225 215.2 989.125
  6 0.275 216.6 1007.02
  7 0.325 216.2 1024.17
  8 0.375 216.3 963.653
  9 0.425 216 963.957
  10 0.475 216.2 1008.73
  11 0.525 216.2 991.789
  12 0.575 215.6 1021.82
  13 0.625 216 1013.83
  14 0.675 216.3 1003.96
  15 0.725 215.8 992.959
  16 0.775 215.9 950.38
  17 0.825 216.2 1011.3
  18 0.875 216 933.966
  19 0.925 215.5 996.484
  20 0.975 216.1 954.591
2100 20 4320
  1 0.025 216 931.339
  2 0.075 216.4 949.198
  3 0.125 216 982.984
  4 0.175 215.8 992.7
  5 0.225 216.3 1032.07
  6 0.275 216.4 1037.44
  7 0.325 215.4 996.259
  8 0.375 215.7 984.64
  9 0.425 216.1 977.928
  10 0.475 215.6 985.861
  11 0.525 215.4 1020.31
  12 0.575 216.8 1025.67
  13 0.625 216.3 1052.3
  14 0.675 215.8 981.466
  15 0.725 216.3 1009.89
  16 0.775 215.5 974.407
  17 0.825 215.8 979.749
  18 0.875 216.9 974.939
  19 0.925 214.7 940.049
  20 0.975 216.8 973.762
3150 20 4320
  1 0.025 216.4 967.44
  2 0.075 215.9 978.764
  3 0.125 215.6 969.496
  4 0.175 216.7 1008.55
  5 0.225 215.5 1035.88
  6 0.275 215.6 998.144
  7 0.325 216.2 1003.92
  8 0.375 216.4 956.291
  9 0.425 215.7 971.327
  10 0.475 215.8 995.961
  11 0.525 216.5 993.353
  12 0.575 216.6 1053.7
  13 0.625 215.3 1019.15
  14 0.675 216.4 990.193
  15 0.725 215.5 1017.13
  16 0.775 216.3 987.918
  17 0.825 215.4 1023.44
  18 0.875 216.7 983.898
  19 0.925 215.4 1010.62
  20 0.975 216.1 963.231
4200 20 4320
  1 0.025 216.1 962.957
  2 0.075 215.9 994.174
  3 0.125 215.8 978.912
  4 0.175 215.7 1001.25
  5 0.225 216.2 990.402
  6 0.275 215.5 1025.88
  7 0.325 217.3 992.371
  8 0.375 215.6 974.183
  9 0.425 215.6 974.497
  10 0.475 216.4 1027.57
  11 0.525 215.8 1014.76
  12 0.575 216 1000.09
  13 0.625 215.9 962.406
  14 0.675 216 1008.69
  15 0.725 216.3 1003.73
  16 0.775 216.5 974.753
  17 0.825 215.6 972.927
  18 0.875 216.1 961.381
  19 0.925 216.1 971.403
  20 0.975 215.6 950.666
5250 20 4320
  1 0.025 216 952.246
  2 0.075 215.3 982.203
  3 0.125 216.5 1010.1
  4 0.175 216.5 1023.51
  5 0.225 215.4 992.376
  6 0.275 216.1 1003.31
  7 0.325 215.6 1010.68
  8 0.375 216.3 1016.07
  9 0.425 215.7 1000.5
  10 0.475 215.6 1004.21
  11 0.525 216 1003.74
  12 0.575 216 978.086
  13 0.625 215.4 1026.49
  14 0.675 216.5 1005.82
  15 0.725 216.5 993.432
  16 0.775 215.9 953.595
  17 0.825 215.9 964.499
  18 0.875 215.7 970.824
  19 0.925 216.4 981.346
  20 0.975 216.7 945.519
6300 20 4320
  1 0.025 215.5 895.733
  2 0.075 216.5 973.735
  3 0.125 215.9 987.449
  4 0.175 216.6 954.139
  5 0.225 216.3 1005.11
  6 0.275 215.2 1018.1
  7 0.325 216.3 979.756
  8 0.375 215.8 1038.41
  9 0.425 215.6 1071.91
  10 0.475 215.7 1049.32
  11 0.525 216.1 1054.37
  12 0.575 216.1 1036.96
  13 0.625 216.1 1056.14
  14 0.675 214.7 1065.78
  15 0.725 217 990.915
  16 0.775 216.3 927.926
  17 0.825 215.8 963.776
  18 0.875 215.9 943.972
  19 0.925 216.2 931.857
  20 0.975 216.4 903.838
7350 20 4320
