# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
41445 0.00941463 0.0119571 0.00960314 0.0309748
41450 0.00977617 0.0119777 0.00944062 0.0311945
41455 0.0102308 0.011941 0.00933255 0.0315044
41460 0.010742 0.0118662 0.00927457 0.0318828
41465 0.0112671 0.011771 0.00925978 0.0322978
41470 0.0117598 0.0116679 0.00928103 0.0327087
41475 0.0121772 0.0115598 0.00933223 0.0330692
41480 0.0124865 0.0114435 0.00940521 0.0333352
41485 0.0126702 0.0113116 0.00949154 0.0334733
41490 0.0127294 0.011157 0.0095839 0.0334703
41495 0.0126816 0.0109764 0.00967556 0.0333336
41500 0.0125546 0.0107746 0.00976113 0.0330904
41505 0.0123783 0.0105667 0.00983741 0.0327824
41510 0.0121764 0.0103769 0.00990349 0.0324568
41515 0.0119662 0.0102358 0.00995748 0.0321596
41520 0.0117602 0.0101746 0.00999748 0.0319323
41525 0.011568 0.0102205 0.0100244 0.0318129
41530 0.0113985 0.010393 0.0100396 0.0318311
41535 0.011259 0.0106969 0.0100435 0.0319994
41540 0.0111586 0.0111166 0.0100353 0.0323105
41545 0.0111002 0.0116217 0.0100136 0.0327354
41550 0.0110782 0.0121677 0.00997539 0.0332212
41555 0.0110805 0.0127003 0.00991812 0.033699
41560 0.0110955 0.0131658 0.00984092 0.0341022
41565 0.0111136 0.0135177 0.00974438 0.0343756
41570 0.0111272 0.0137247 0.00963373 0.0344857
41575 0.0111331 0.013774 0.00951606 0.0344232
41580 0.0111326 0.013671 0.00939683 0.0342004
41585 0.0111311 0.0134369 0.00928036 0.0338483
41590 0.0111372 0.0131047 0.00916848 0.0334104
41595 0.0111602 0.0127129 0.00906024 0.0329333
41600 0.0112072 0.0123009 0.00895306 0.0324612
41605 0.0112829 0.0119051 0.00884521 0.0320332
41610 0.0113869 0.0115576 0.00873767 0.0316822
41615 0.0115128 0.011281 0.00863557 0.0314293
41620 0.0116477 0.0110839 0.0085462 0.0312778
41625 0.0117738 0.0109643 0.00847843 0.0312166
41630 0.0118694 0.0109133 0.00844298 0.0312257
41635 0.0119128 0.0109199 0.00844951 0.0312822
41640 0.0118876 0.0109755 0.00850442 0.0313676
41645 0.0117874 0.0110773 0.00860719 0.0314718
41650 0.0116181 0.0112294 0.00875117 0.0315987
41655 0.0113996 0.0114401 0.00892553 0.0317652
41660 0.0111634 0.0117184 0.00911431 0.0319961
41665 0.0109501 0.0120661 0.0092984 0.0323146
41670 0.0108009 0.0124756 0.00945991 0.0327365
41675 0.0107492 0.0129285 0.0095846 0.0332623
41680 0.010814 0.0133955 0.00966321 0.0338727
41685 0.0109959 0.0138396 0.00969249 0.0345281
41690 0.0112762 0.0142207 0.0096756 0.0351726
41695 0.0116211 0.0145009 0.00962213 0.0357441
41700 0.0119873 0.0146507 0.0095465 0.0361845
41705 0.0123305 0.0146545 0.0094649 0.0364498
41710 0.0126114 0.014511 0.00939275 0.0365152
41715 0.0127995 0.0142346 0.00934052 0.0363746
41720 0.0128726 0.0138531 0.00931151 0.0360372
41725 0.0128151 0.0134081 0.00930541 0.0355286
41730 0.0126185 0.0129478 0.00931625 0.0348825
41735 0.0122839 0.0125168 0.00933612 0.0341368
41740 0.0118217 0.0121503 0.00935777 0.0333298
41745 0.0112519 0.011872 0.00937644 0.0325004
41750 0.0106014 0.0116925 0.00939454 0.0316885
41755 0.00990353 0.0116092 0.0094192 0.0309319
41760 0.00919341 0.0116102 0.0094607 0.0302643
41765 0.00850281 0.0116777 0.00952984 0.0297104
41770 0.00785708 0.0117914 0.00963497 0.0292835
41775 0.00727459 0.011932 0.00978207 0.0289887
41780 0.00677005 0.0120873 0.00997181 0.0288292
41785 0.0063587 0.0122533 0.0101974 0.0288094
41790 0.00605713 0.0124287 0.0104448 0.0289306
41795 0.00588389 0.0126127 0.0106994 0.029196
41800 0.00585903 0.0128035 0.0109473 0.0296098
41805 0.00599831 0.012997 0.0111767 0.030172
41810 0.00630797 0.0131856 0.0113787 0.0308723
41815 0.00677786 0.0133595 0.0115486 0.0316859
41820 0.00737758 0.0135063 0.0116871 0.032571
41825 0.00805649 0.0136129 0.0117987 0.0334681
41830 0.00875056 0.0136664 0.0118892 0.0343062
