# Time-averaged data for fix f5
# TimeStep c_Femsd[1] c_Femsd[2] c_Femsd[3] c_Femsd[4]
41000 0 0 0 0
41005 8.4886e-05 0.000151474 0.000127495 0.000363855
41010 0.000331996 0.000589528 0.00049441 0.00141593
41015 0.000723596 0.00127557 0.00107467 0.00307383
41020 0.00123444 0.00215665 0.0018411 0.0052322
41025 0.00183426 0.00317248 0.00276793 0.00777467
41030 0.00249156 0.00426302 0.00383215 0.0105867
41035 0.00317827 0.00537502 0.0050133 0.0135666
41040 0.00387399 0.00646628 0.00629178 0.016632
41045 0.00456869 0.0075073 0.0076464 0.0197224
41050 0.00526317 0.00848096 0.00905226 0.0227964
41055 0.00596733 0.00938048 0.0104799 0.0258277
41060 0.00669668 0.0102059 0.0118958 0.0287983
41065 0.00746758 0.0109594 0.0132642 0.0316911
41070 0.00829208 0.0116407 0.0145482 0.034481
41075 0.00917324 0.0122446 0.0157118 0.0371296
41080 0.0101022 0.0127605 0.0167218 0.0395846
41085 0.0110575 0.0131762 0.0175524 0.0417861
41090 0.0120068 0.0134817 0.0181893 0.0436778
41095 0.0129109 0.013674 0.0186335 0.0452184
41100 0.0137298 0.0137585 0.0189014 0.0463898
41105 0.014428 0.0137491 0.0190216 0.0471987
41110 0.0149804 0.0136651 0.019028 0.0476735
41115 0.0153757 0.013529 0.0189529 0.0478575
41120 0.0156185 0.0133627 0.0188223 0.0478034
41125 0.0157294 0.013186 0.0186538 0.0475692
41130 0.0157427 0.0130152 0.0184575 0.0472155
41135 0.0157015 0.0128635 0.018238 0.0468029
41140 0.0156518 0.0127403 0.0179961 0.0463882
41145 0.0156365 0.0126513 0.0177311 0.0460189
41150 0.0156888 0.0125981 0.0174409 0.0457277
41155 0.0158273 0.0125789 0.0171228 0.045529
41160 0.0160537 0.012589 0.0167741 0.0454167
41165 0.0163525 0.0126212 0.0163916 0.0453652
41170 0.0166928 0.0126659 0.0159723 0.045331
41175 0.0170329 0.012711 0.0155135 0.0452574
41180 0.0173256 0.0127422 0.0150137 0.0450815
41185 0.0175253 0.0127442 0.0144735 0.0447429
41190 0.0175945 0.0127015 0.0138978 0.0441937
41195 0.0175104 0.0126 0.0132962 0.0434066
41200 0.0172683 0.0124281 0.0126828 0.0423791
41205 0.0168835 0.0121776 0.0120737 0.0411348
41210 0.0163895 0.0118449 0.011485 0.0397195
41215 0.0158336 0.0114329 0.0109299 0.0381964
