# Time-averaged data for fix f7
# TimeStep c_allmsd[1] c_allmsd[2] c_allmsd[3] c_allmsd[4]
41000 0 0 0 0
41005 0.000105129 0.000112622 0.000119741 0.000337492
41010 0.000415884 0.000450133 0.000466803 0.00133282
41015 0.00092244 0.00100745 0.00101894 0.00294884
41020 0.00161111 0.00177242 0.00175037 0.0051339
41025 0.00246406 0.00272518 0.00263407 0.00782331
41030 0.00345901 0.00383848 0.00364306 0.0109406
41035 0.00456921 0.00507848 0.00475074 0.0143984
41040 0.00576379 0.00640567 0.00593017 0.0180996
41045 0.00700859 0.00777685 0.007153 0.0219384
41050 0.00826761 0.009148 0.00838898 0.0258046
41055 0.00950496 0.0104773 0.00960641 0.0295887
41060 0.0106879 0.0117283 0.0107735 0.0331896
41065 0.011789 0.0128719 0.0118599 0.0365209
41070 0.0127882 0.0138883 0.0128387 0.0395152
41075 0.0136727 0.0147656 0.0136879 0.0421262
41080 0.0144369 0.0154992 0.0143921 0.0443282
41085 0.0150813 0.0160898 0.0149428 0.046114
41090 0.0156106 0.0165414 0.0153403 0.0474922
41095 0.0160332 0.0168605 0.0155932 0.048487
41100 0.0163595 0.0170573 0.0157188 0.0491356
41105 0.0166001 0.0171444 0.0157391 0.0494836
41110 0.0167654 0.0171362 0.0156776 0.0495793
41115 0.0168646 0.0170482 0.0155555 0.0494684
41120 0.0169069 0.0168952 0.0153894 0.0491915
41125 0.0169018 0.0166917 0.0151906 0.0487841
41130 0.0168602 0.0164528 0.0149662 0.0482792
41135 0.0167944 0.016194 0.014721 0.0477094
41140 0.016718 0.0159311 0.0144585 0.0471076
41145 0.0166443 0.0156787 0.0141831 0.0465061
41150 0.016585 0.0154481 0.0139001 0.0459333
41155 0.016549 0.015247 0.013616 0.0454119
41160 0.0165426 0.0150779 0.0133387 0.0449592
41165 0.0165694 0.0149382 0.0130768 0.0445845
41170 0.0166295 0.0148201 0.0128378 0.0442874
41175 0.0167185 0.014711 0.0126267 0.0440562
41180 0.0168276 0.0145958 0.0124453 0.0438687
41185 0.0169449 0.0144605 0.0122919 0.0436973
41190 0.0170566 0.0142946 0.0121627 0.0435139
41195 0.0171492 0.0140923 0.0120524 0.0432938
41200 0.0172103 0.0138523 0.0119551 0.0430177
41205 0.0172301 0.0135771 0.0118648 0.0426719
41210 0.0172021 0.0132726 0.0117755 0.0422502
41215 0.0171248 0.0129484 0.011683 0.0417561
41220 0.0170011 0.0126169 0.0115855 0.0412035
41225 0.0168373 0.0122941 0.0114846 0.040616
41230 0.0166418 0.0119966 0.0113837 0.0400221
41235 0.0164241 0.0117397 0.0112877 0.0394515
41240 0.0161932 0.0115357 0.0112023 0.0389312
41245 0.0159563 0.011392 0.0111338 0.0384821
41250 0.0157188 0.01131 0.0110877 0.0381165
41255 0.0154839 0.011285 0.0110684 0.0378373
41260 0.0152525 0.0113079 0.0110792 0.0376396
41265 0.0150249 0.0113679 0.0111223 0.0375152
41270 0.0148003 0.0114558 0.0111997 0.0374558
41275 0.0145779 0.0115647 0.0113126 0.0374553
41280 0.0143582 0.0116918 0.0114616 0.0375117
41285 0.0141446 0.0118373 0.0116451 0.037627
41290 0.013944 0.0120027 0.0118581 0.0378048
41295 0.0137659 0.0121885 0.0120918 0.0380462
41300 0.0136202 0.0123924 0.0123337 0.0383464
41305 0.0135147 0.0126075 0.0125686 0.0386908
41310 0.0134527 0.0128226 0.0127798 0.0390551
41315 0.0134318 0.0130242 0.0129521 0.0394081
41320 0.0134436 0.0131986 0.0130741 0.0397163
41325 0.0134756 0.0133347 0.0131399 0.0399502
41330 0.0135132 0.0134254 0.0131501 0.0400887
41335 0.0135416 0.0134693 0.0131109 0.0401218
41340 0.0135483 0.0134707 0.0130321 0.040051
41345 0.0135242 0.0134374 0.0129268 0.0398884
41350 0.0134644 0.0133789 0.0128092 0.0396525
41355 0.0133681 0.0133042 0.0126924 0.0393646
41360 0.0132373 0.013221 0.0125877 0.039046
41365 0.0130764 0.0131354 0.012503 0.0387148
41370 0.012891 0.0130505 0.0124433 0.0383848
41375 0.0126865 0.0129672 0.0124102 0.0380639
41380 0.0124682 0.0128844 0.0124019 0.0377545
41385 0.0122414 0.0128009 0.0124132 0.0374555
41390 0.0120125 0.0127161 0.0124378 0.0371664
41395 0.0117899 0.0126319 0.0124701 0.0368919
41400 0.0115849 0.012553 0.0125061 0.036644
41405 0.0114115 0.0124864 0.0125436 0.0364415
41410 0.0112852 0.0124402 0.0125816 0.0363069
41415 0.0112198 0.0124228 0.0126185 0.0362612
41420 0.0112259 0.0124402 0.0126525 0.0363187
41425 0.0113084 0.0124946 0.0126804 0.0364835
41430 0.0114655 0.0125835 0.0126988 0.0367478
41435 0.0116891 0.0126994 0.0127055 0.037094
41440 0.0119665 0.0128314 0.0127014 0.0374994
41445 0.0122823 0.0129664 0.0126905 0.0379392
41450 0.0126207 0.0130913 0.0126795 0.0383915
41455 0.0129662 0.0131951 0.0126778 0.0388392
41460 0.0133051 0.0132715 0.0126947 0.0392713
41465 0.013625 0.0133176 0.012738 0.0396805
41470 0.0139155 0.0133338 0.0128115 0.0400608
41475 0.0141682 0.0133225 0.0129148 0.0404055
41480 0.0143777 0.0132871 0.0130413 0.0407061
41485 0.0145423 0.0132314 0.0131792 0.0409529
41490 0.0146648 0.0131591 0.0133136 0.0411375
41495 0.0147524 0.0130743 0.0134276 0.0412542
41500 0.0148152 0.0129818 0.0135055 0.0413025
41505 0.0148651 0.0128875 0.0135352 0.0412878
41510 0.0149132 0.0127986 0.0135101 0.0412219
41515 0.0149697 0.0127235 0.0134292 0.0411223
41520 0.0150422 0.0126708 0.0132977 0.0410108
41525 0.0151362 0.0126485 0.0131266 0.0409113
41530 0.015253 0.0126621 0.0129304 0.0408455
41535 0.0153897 0.0127124 0.0127251 0.0408273
41540 0.0155398 0.0127932 0.0125259 0.0408589
41545 0.0156928 0.0128926 0.0123446 0.04093
41550 0.0158363 0.0129937 0.0121886 0.0410186
41555 0.0159582 0.0130777 0.0120594 0.0410953
41560 0.0160496 0.0131269 0.0119542 0.0411307
41565 0.0161053 0.0131276 0.0118664 0.0410993
41570 0.0161229 0.0130725 0.011788 0.0409834
41575 0.0161018 0.0129606 0.0117113 0.0407738
41580 0.0160426 0.012797 0.0116293 0.0404689
41585 0.015946 0.0125913 0.011537 0.0400743
41590 0.0158132 0.0123559 0.0114315 0.0396006
41595 0.0156456 0.0121044 0.0113124 0.0390625
41600 0.0154458 0.0118506 0.0111817 0.0384782
41605 0.0152182 0.0116071 0.0110439 0.0378692
41610 0.0149697 0.0113853 0.0109054 0.0372604
41615 0.0147092 0.0111948 0.0107735 0.0366775
41620 0.0144469 0.0110417 0.0106544 0.036143
41625 0.0141925 0.0109292 0.0105514 0.0356731
41630 0.0139534 0.0108574 0.010465 0.0352757
41635 0.0137328 0.0108238 0.0103931 0.0349497
