# LAMMPS data file written by OVITO
168 atoms
4 atom types
1.5494194 89.3625488 xlo xhi
-0.5885881 75.2663269 ylo yhi
-80.0 80.0 zlo zhi
-44.0226059 0.0 0.0 xy xz yz

Masses

1  12.000
2  12.000
3   1.000
4   0.010

Atoms

98115 1 3 52.7028008 -1.93504 -45.8916016
64209 1 3 69.5904007 32.8350983 -46.4127998
72972 1 3 85.6647034 4.6876302 -46.8167
76118 1 3 84.6488037 9.5457297 -47.0018005
61264 1 3 48.5707016 -0.490488 -44.5595017
98420 1 3 83.1244965 -0.0878483 -42.1733017
77501 1 3 66.9259034 39.1409988 -46.6060982
67482 1 3 23.7418995 74.9207002 -49.0744019
72931 1 3 68.1776962 0.372359 -47.5637017
97975 1 3 63.4674988 -0.661524 -49.3167992
86150 1 3 72.0596008 30.3785 -43.4028015
72982 1 3 80.9729004 11.9386998 -47.5928002
86147 1 3 73.4367981 26.5093994 -41.1486015
76111 1 3 85.1666031 7.1100001 -46.9571992
76115 1 3 80.3057022 14.3526001 -47.9411012
76752 1 3 67.0053024 36.6559983 -47.0428009
73766 1 3 59.0565987 49.7429009 -47.669899
73756 1 3 63.7972985 42.4482994 -46.7988014
73753 1 3 25.656601 74.913498 -47.5929985
76717 1 3 89.0347977 1.6982302 -46.1085014
96840 1 3 36.7850991 -0.859814 -40.7658997
76125 1 3 78.617302 19.0958996 -48.3026009
73629 1 3 75.7398987 22.7082005 -43.0546989
86283 1 3 19.0587997 75.4392014 -48.5050011
73612 1 3 70.1492004 31.4925003 -44.4291992
98408 1 3 81.0658035 -0.502864 -40.9303018
64993 1 3 47.7340012 70.4096985 -46.7915001
86638 1 3 30.4536991 76.1095963 -41.905201
74396 1 3 48.3117981 69.2016983 -44.6717987
74413 1 3 53.7825012 60.4477997 -43.2024002
74380 1 3 54.1934013 59.2254982 -45.476799
76895 1 3 63.2965012 44.8721008 -46.9323998
98388 1 3 78.6592026 -0.928793 -41.3857994
74401 1 3 44.4033013 73.8361969 -46.4655991
76902 1 3 62.703701 47.2812004 -47.0945015
98665 1 3 85.774498 -1.00044 -45.6269989
86886 1 3 27.6411991 75.5212021 -46.1096001
86303 1 3 61.1307983 49.0854988 -46.6596985
76124 1 3 79.4411011 16.6865006 -48.3075981
97939 1 3 54.8189011 -1.09824 -46.9440002
98386 1 3 71.9093018 -1.18111 -42.2103996
97100 1 3 44.0764008 -0.984518 -45.7966004
98387 1 3 73.9819032 -0.772232 -40.9042016
97097 1 3 41.7851982 -1.5591902 -45.2226982
96819 1 3 29.6926995 -0.909539 -40.6260987
76899 1 3 58.3564987 52.1447983 -48.0309982
85519 1 3 83.0799027 11.3523998 -46.535801
86125 1 3 87.5720978 3.5794101 -45.5261002
98037 1 3 61.1223984 -1.43687 -48.8395996
86281 1 3 21.4633007 75.7752991 -49.0485992
86909 1 3 65.6436997 41.1012001 -45.968399
