# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 10800
  1 0.025 540 479.721
  2 0.075 540 497.287
  3 0.125 540 505.533
  4 0.175 540 500.173
  5 0.225 540 505.385
  6 0.275 540 502.768
  7 0.325 540 486.848
  8 0.375 540 482.099
  9 0.425 540 501.286
  10 0.475 540 500.173
  11 0.525 540 504.57
  12 0.575 540 501.605
  13 0.625 540 522.132
  14 0.675 540 506.811
  15 0.725 540 496.572
  16 0.775 540 509.113
  17 0.825 540 502.093
  18 0.875 540 508.634
  19 0.925 540 492.864
  20 0.975 540 479.979
2100 20 10800
  1 0.025 540 482.005
  2 0.075 540 490.156
  3 0.125 540 490.211
  4 0.175 540 498.042
  5 0.225 540 514.97
  6 0.275 540 495.941
  7 0.325 540 500.144
  8 0.375 540 508.959
  9 0.425 540 506.238
  10 0.475 540 501.066
  11 0.525 540 489.13
  12 0.575 540 503.884
  13 0.625 540 497.202
  14 0.675 540 509.942
  15 0.725 540 496.635
  16 0.775 540 521.467
  17 0.825 540 518.243
  18 0.875 540 490.026
  19 0.925 540 484.423
  20 0.975 540 476.872
3150 20 10800
  1 0.025 540 478.45
  2 0.075 540 474.785
  3 0.125 540 488.682
  4 0.175 540 492.034
  5 0.225 540 498.659
  6 0.275 540 493.175
  7 0.325 540 481.33
  8 0.375 540 507.481
  9 0.425 540 515.629
  10 0.475 540 498.338
  11 0.525 540 508.529
  12 0.575 540 513.76
  13 0.625 540 504.256
  14 0.675 540 507.137
  15 0.725 540 499.343
  16 0.775 540 504.659
  17 0.825 540 504.045
  18 0.875 540 499.475
  19 0.925 540 495.053
  20 0.975 540 489.731
4200 20 10800
  1 0.025 540 497.603
  2 0.075 540 487.902
  3 0.125 540 495.742
  4 0.175 540 508.463
  5 0.225 540 479.655
  6 0.275 540 476.611
  7 0.325 540 498.823
  8 0.375 540 504.722
  9 0.425 540 500.942
  10 0.475 540 521.963
  11 0.525 540 509.77
  12 0.575 540 498.755
  13 0.625 540 512.66
  14 0.675 540 515.266
  15 0.725 540 513.533
  16 0.775 540 508.851
  17 0.825 540 501.642
  18 0.875 540 472.63
  19 0.925 540 483.146
  20 0.975 540 487.324
5250 20 10800
  1 0.025 540 496.265
  2 0.075 540 486.23
  3 0.125 540 486.488
  4 0.175 540 492.452
  5 0.225 540 493.318
  6 0.275 540 488.876
  7 0.325 540 503.206
  8 0.375 540 504.395
  9 0.425 540 506.94
  10 0.475 540 516.477
  11 0.525 540 508.481
  12 0.575 540 518.147
  13 0.625 540 515.861
  14 0.675 540 500.305
  15 0.725 540 490.39
  16 0.775 540 500.477
  17 0.825 540 498.977
  18 0.875 540 511.1
  19 0.925 540 500.467
  20 0.975 540 480.047
6300 20 10800
  1 0.025 540 473.514
  2 0.075 540 489.7
  3 0.125 540 496.154
  4 0.175 540 505.646
  5 0.225 540 500.035
  6 0.275 540 506.086
  7 0.325 540 493.293
  8 0.375 540 515.888
  9 0.425 540 500.526
  10 0.475 540 499.827
  11 0.525 540 507.576
  12 0.575 540 506.013
  13 0.625 540 475.288
  14 0.675 540 509.434
  15 0.725 540 507.429
  16 0.775 540 500.387
  17 0.825 540 495.567
  18 0.875 540 497.68
  19 0.925 540 499.27
  20 0.975 540 479.85
7350 20 10800
  1 0.025 540 491.427
  2 0.075 540 487.458
  3 0.125 540 499.328
  4 0.175 540 496.955
  5 0.225 540 492.114
  6 0.275 540 512.401
  7 0.325 540 505.37
  8 0.375 540 518.83
  9 0.425 540 512.317
  10 0.475 540 509.9
  11 0.525 540 510.608
  12 0.575 540 504.111
  13 0.625 540 502.153
  14 0.675 540 496.447
  15 0.725 540 490.246
  16 0.775 540 478.838
  17 0.825 540 499.094
  18 0.875 540 490.423
  19 0.925 540 485.264
  20 0.975 540 480.424
8400 20 10800
  1 0.025 540 498.431
  2 0.075 540 485.251
  3 0.125 540 477.005
  4 0.175 540 495.404
  5 0.225 540 492.939
  6 0.275 540 500.368
  7 0.325 540 502.635
  8 0.375 540 517.884
  9 0.425 540 512.247
  10 0.475 540 499.797
  11 0.525 540 540.186
  12 0.575 540 510.049
  13 0.625 540 500.716
  14 0.675 540 484.778
  15 0.725 540 474.191
  16 0.775 540 482.011
  17 0.825 540 492.564
  18 0.875 540 499.811
  19 0.925 540 488.183
  20 0.975 540 496.073
9450 20 10800
  1 0.025 540 486.101
  2 0.075 540 481.168
  3 0.125 540 488.267
  4 0.175 540 496.384
  5 0.225 540 517.551
  6 0.275 540 513.034
  7 0.325 540 508.547
  8 0.375 540 496.7
  9 0.425 540 513.589
  10 0.475 540 509.028
  11 0.525 540 522.449
  12 0.575 540 507.341
  13 0.625 540 497.356
  14 0.675 540 496.74
  15 0.725 540 485.17
  16 0.775 540 503.197
  17 0.825 540 489.71
  18 0.875 540 492.362
  19 0.925 540 473.008
  20 0.975 540 489.723
10500 20 10800
  1 0.025 540 483.951
  2 0.075 540 488.311
  3 0.125 540 484.996
  4 0.175 540 490.68
  5 0.225 540 510.067
  6 0.275 540 489.111
  7 0.325 540 507.654
  8 0.375 540 505.314
  9 0.425 540 504.39
  10 0.475 540 513.072
  11 0.525 540 527.837
  12 0.575 540 526.792
  13 0.625 540 506.173
  14 0.675 540 488.761
  15 0.725 540 490.063
  16 0.775 540 497.465
  17 0.825 540 491.462
  18 0.875 540 492.569
  19 0.925 540 489.731
  20 0.975 540 487.334
11550 20 10800
  1 0.025 540 503.622
  2 0.075 540 477.627
  3 0.125 540 480.84
  4 0.175 540 485.074
  5 0.225 540 488.373
  6 0.275 540 497.711
  7 0.325 540 500.967
  8 0.375 540 509.288
  9 0.425 540 502.134
  10 0.475 540 504.287
  11 0.525 540 526.465
  12 0.575 540 525.771
  13 0.625 540 505.1
  14 0.675 540 490.542
  15 0.725 540 496.516
  16 0.775 540 488.172
  17 0.825 540 500.445
  18 0.875 540 487.483
  19 0.925 540 492.447
  20 0.975 540 482.972
12600 20 10800
  1 0.025 540 475.269
  2 0.075 540 477.422
  3 0.125 540 477.995
  4 0.175 540 480.401
  5 0.225 540 486.546
  6 0.275 540 484.594
  7 0.325 540 505.789
  8 0.375 540 493.546
  9 0.425 540 508.961
  10 0.475 540 518.54
  11 0.525 540 512.905
  12 0.575 540 519.879
  13 0.625 540 503.785
  14 0.675 540 504.2
  15 0.725 540 515.242
  16 0.775 540 501.397
  17 0.825 540 491.452
  18 0.875 540 517.21
  19 0.925 540 483.493
  20 0.975 540 490.508
13650 20 10800
  1 0.025 540 484.047
  2 0.075 540 479.633
  3 0.125 540 473.278
  4 0.175 540 483.673
  5 0.225 540 496.924
  6 0.275 540 524.95
  7 0.325 540 493.538
  8 0.375 540 504.78
  9 0.425 540 502.55
  10 0.475 540 501.75
  11 0.525 540 506.168
  12 0.575 540 503.017
  13 0.625 540 514.295
  14 0.675 540 494.757
  15 0.725 540 511.079
  16 0.775 540 508.511
  17 0.825 540 502.741
  18 0.875 540 503.938
  19 0.925 540 489.59
  20 0.975 540 490.216
14700 20 10800
  1 0.025 540 489.669
  2 0.075 540 480.82
  3 0.125 540 483.399
  4 0.175 540 499.068
  5 0.225 540 494.273
  6 0.275 540 488.337
  7 0.325 540 491.278
  8 0.375 540 504.652
  9 0.425 540 490.807
  10 0.475 540 508.918
  11 0.525 540 518.168
  12 0.575 540 519.536
  13 0.625 540 518.216
  14 0.675 540 512.933
  15 0.725 540 499.442
  16 0.775 540 495.698
  17 0.825 540 503.289
  18 0.875 540 489.286
  19 0.925 540 483.878
  20 0.975 540 474.725
15750 20 10800
  1 0.025 540 483.565
  2 0.075 540 482.08
  3 0.125 540 476.256
  4 0.175 540 500.558
  5 0.225 540 488.027
  6 0.275 540 497.94
  7 0.325 540 511.855
  8 0.375 540 502.297
  9 0.425 540 497.997
  10 0.475 540 503.035
  11 0.525 540 517.628
  12 0.575 540 523.271
  13 0.625 540 511.993
  14 0.675 540 509.454
  15 0.725 540 495.329
  16 0.775 540 497.709
  17 0.825 540 498.368
  18 0.875 540 471.549
  19 0.925 540 494.989
  20 0.975 540 475.757
16800 20 10800
  1 0.025 540 478.627
  2 0.075 540 483.538
  3 0.125 540 488.405
  4 0.175 540 505.517
  5 0.225 540 485.64
  6 0.275 540 506.787
  7 0.325 540 500.481
  8 0.375 540 516.722
  9 0.425 540 509.601
  10 0.475 540 499.858
  11 0.525 540 508.984
  12 0.575 540 514.193
  13 0.625 540 530.055
  14 0.675 540 501.423
  15 0.725 540 507.144
  16 0.775 540 485.554
  17 0.825 540 497.308
  18 0.875 540 476.13
  19 0.925 540 482.947
  20 0.975 540 482.82
17850 20 10800
  1 0.025 540 488.231
  2 0.075 540 465.17
  3 0.125 540 494.281
  4 0.175 540 498.928
  5 0.225 540 487.406
  6 0.275 540 506.564
  7 0.325 540 515.17
  8 0.375 540 511.298
  9 0.425 540 511.137
  10 0.475 540 525.532
  11 0.525 540 521.386
  12 0.575 540 510.506
  13 0.625 540 505.265
  14 0.675 540 484.499
  15 0.725 540 497.395
  16 0.775 540 503.631
  17 0.825 540 483.642
  18 0.875 540 479.644
  19 0.925 540 466.395
  20 0.975 540 480.256
18900 20 10800
  1 0.025 540 483.203
  2 0.075 540 484.903
  3 0.125 540 489.821
  4 0.175 540 488.26
  5 0.225 540 472.402
  6 0.275 540 516.243
  7 0.325 540 512.792
  8 0.375 540 503.438
  9 0.425 540 518.321
  10 0.475 540 521.052
  11 0.525 540 533.113
  12 0.575 540 512.971
  13 0.625 540 492.036
  14 0.675 540 496.046
  15 0.725 540 515.464
  16 0.775 540 495.951
  17 0.825 540 483.212
  18 0.875 540 479.583
  19 0.925 540 484.014
  20 0.975 540 492.195
19950 20 10800
  1 0.025 540 482.427
  2 0.075 540 489.628
  3 0.125 540 485.21
  4 0.175 540 489.637
  5 0.225 540 498.093
  6 0.275 540 497.567
  7 0.325 540 492.865
  8 0.375 540 500.333
  9 0.425 540 508.977
  10 0.475 540 510.439
  11 0.525 540 519.637
  12 0.575 540 509.939
  13 0.625 540 511.557
  14 0.675 540 509.168
  15 0.725 540 488.05
  16 0.775 540 506.18
  17 0.825 540 484.256
  18 0.875 540 493.767
  19 0.925 540 500.306
  20 0.975 540 462.324
21000 20 10800
  1 0.025 540 474.807
  2 0.075 540 488.465
  3 0.125 540 477.196
  4 0.175 540 483.905
  5 0.225 540 491.031
  6 0.275 540 496.672
  7 0.325 540 487.68
  8 0.375 540 509.805
  9 0.425 540 505.141
  10 0.475 540 519.442
  11 0.525 540 527.15
  12 0.575 540 518.068
  13 0.625 540 515.213
  14 0.675 540 521.634
  15 0.725 540 500.543
  16 0.775 540 501.335
  17 0.825 540 498.999
  18 0.875 540 496.197
  19 0.925 540 493.467
  20 0.975 540 495.946
22050 20 10800
  1 0.025 540 484.811
  2 0.075 540 481.805
  3 0.125 540 495.261
  4 0.175 540 495.125
  5 0.225 540 496.946
  6 0.275 540 495.611
  7 0.325 540 493.307
  8 0.375 540 505.074
  9 0.425 540 513.404
  10 0.475 540 517.737
  11 0.525 540 509.081
  12 0.575 540 499.633
  13 0.625 540 509.255
  14 0.675 540 506.791
  15 0.725 540 504.049
  16 0.775 540 489.862
  17 0.825 540 497.275
  18 0.875 540 489.809
  19 0.925 540 492.531
  20 0.975 540 492.69
23100 20 10800
  1 0.025 540 471.761
  2 0.075 540 486.834
  3 0.125 540 489.406
  4 0.175 540 487.655
  5 0.225 540 507.653
  6 0.275 540 507.27
  7 0.325 540 507.164
  8 0.375 540 496.476
  9 0.425 540 502.549
  10 0.475 540 513.332
  11 0.525 540 542.553
  12 0.575 540 525.621
  13 0.625 540 487.721
  14 0.675 540 484.214
  15 0.725 540 502.983
  16 0.775 540 498.023
  17 0.825 540 495.85
  18 0.875 540 482.47
  19 0.925 540 494.289
  20 0.975 540 475.985
24150 20 10800
  1 0.025 540 479.225
  2 0.075 540 496.6
  3 0.125 540 497.7
  4 0.175 540 493.107
  5 0.225 540 495.383
  6 0.275 540 487.1
  7 0.325 540 500.681
  8 0.375 540 505.878
  9 0.425 540 512.882
  10 0.475 540 501.84
  11 0.525 540 530.795
  12 0.575 540 524.999
  13 0.625 540 515.531
  14 0.675 540 514.301
  15 0.725 540 501.779
  16 0.775 540 504.888
  17 0.825 540 487.742
  18 0.875 540 477.69
  19 0.925 540 475.067
  20 0.975 540 481.001
25200 20 10800
  1 0.025 540 482.695
  2 0.075 540 487.416
  3 0.125 540 492.714
  4 0.175 540 495.846
  5 0.225 540 490.196
  6 0.275 540 494.593
  7 0.325 540 503.062
  8 0.375 540 504.93
  9 0.425 540 499.194
  10 0.475 540 507.732
  11 0.525 540 526.051
  12 0.575 540 517.593
  13 0.625 540 518.325
  14 0.675 540 511.829
  15 0.725 540 512.577
  16 0.775 540 498.691
  17 0.825 540 484.913
  18 0.875 540 471.761
  19 0.925 540 476.002
  20 0.975 540 470.093
26250 20 10800
  1 0.025 540 470.809
  2 0.075 540 476.08
  3 0.125 540 483.815
  4 0.175 540 494.475
  5 0.225 540 484.172
  6 0.275 540 495.716
  7 0.325 540 519.502
  8 0.375 540 507.971
  9 0.425 540 519.286
  10 0.475 540 513.664
  11 0.525 540 506.033
  12 0.575 540 516.256
  13 0.625 540 516.94
  14 0.675 540 494.371
  15 0.725 540 484.147
  16 0.775 540 502.412
  17 0.825 540 494.715
  18 0.875 540 491.418
  19 0.925 540 489.743
  20 0.975 540 493.278
27300 20 10800
  1 0.025 540 475.976
  2 0.075 540 474.528
  3 0.125 540 476.892
  4 0.175 540 490.99
  5 0.225 540 514.209
  6 0.275 540 497.767
  7 0.325 540 506.669
  8 0.375 540 504.759
  9 0.425 540 520.626
  10 0.475 540 510.671
  11 0.525 540 534.643
  12 0.575 540 523.528
  13 0.625 540 499.232
  14 0.675 540 492.595
  15 0.725 540 510.421
  16 0.775 540 490.584
  17 0.825 540 484.625
  18 0.875 540 476.331
  19 0.925 540 492.055
  20 0.975 540 481.377
28350 20 10800
  1 0.025 540 475.78
  2 0.075 540 461.396
  3 0.125 540 482.214
  4 0.175 540 500.299
  5 0.225 540 511.201
  6 0.275 540 515.677
  7 0.325 540 501.444
  8 0.375 540 503.185
  9 0.425 540 497.649
  10 0.475 540 521.351
  11 0.525 540 522.675
  12 0.575 540 511.929
  13 0.625 540 500.586
  14 0.675 540 494.946
  15 0.725 540 495.152
  16 0.775 540 500.847
  17 0.825 540 501.609
  18 0.875 540 479.267
  19 0.925 540 494.39
  20 0.975 540 486.313
29400 20 10800
  1 0.025 540 480.638
  2 0.075 540 460.255
  3 0.125 540 490.353
  4 0.175 540 490.635
  5 0.225 540 501.867
  6 0.275 540 503.413
  7 0.325 540 486.326
  8 0.375 540 501.166
  9 0.425 540 512.001
  10 0.475 540 523.183
  11 0.525 540 528.247
  12 0.575 540 532.05
  13 0.625 540 516.341
  14 0.675 540 484.34
  15 0.725 540 496.859
  16 0.775 540 489.8
  17 0.825 540 500.92
  18 0.875 540 491.832
  19 0.925 540 499.644
  20 0.975 540 475.19
30450 20 10800
  1 0.025 540 442.677
  2 0.075 540 466.064
  3 0.125 540 489.825
  4 0.175 540 478.298
  5 0.225 540 504.046
  6 0.275 540 504.545
  7 0.325 540 501.026
  8 0.375 540 500.127
  9 0.425 540 540.403
  10 0.475 540 517.4
  11 0.525 540 533.069
  12 0.575 540 512.533
  13 0.625 540 503.41
  14 0.675 540 507.765
  15 0.725 540 501.065
  16 0.775 540 500.153
  17 0.825 540 490.872
  18 0.875 540 497.22
  19 0.925 540 502.305
  20 0.975 540 485.603
31500 20 10800
  1 0.025 540 465.551
  2 0.075 540 482.713
  3 0.125 540 483.322
  4 0.175 540 477.335
  5 0.225 540 484.166
  6 0.275 540 496.45
  7 0.325 540 517.308
  8 0.375 540 514.715
  9 0.425 540 529.249
  10 0.475 540 537.468
  11 0.525 540 511.09
  12 0.575 540 496.978
  13 0.625 540 508.42
  14 0.675 540 490.974
  15 0.725 540 492.62
  16 0.775 540 505.637
  17 0.825 540 491.786
  18 0.875 540 481.958
  19 0.925 540 498.407
  20 0.975 540 476.625
32550 20 10800
  1 0.025 540 488.735
  2 0.075 540 467.342
  3 0.125 540 499.755
  4 0.175 540 489.043
  5 0.225 540 491.78
  6 0.275 540 498.579
  7 0.325 540 499.491
  8 0.375 540 502.901
  9 0.425 540 519.127
  10 0.475 540 533.996
  11 0.525 540 522.873
  12 0.575 540 506.85
  13 0.625 540 490.565
  14 0.675 540 485.857
  15 0.725 540 493.049
  16 0.775 540 507.413
  17 0.825 540 496.531
  18 0.875 540 490.311
  19 0.925 540 479.765
  20 0.975 540 484.095
33600 20 10800
  1 0.025 540 476.884
  2 0.075 540 482.984
  3 0.125 540 487.257
  4 0.175 540 506.469
  5 0.225 540 497.034
  6 0.275 540 491.784
  7 0.325 540 481.709
  8 0.375 540 491.594
  9 0.425 540 502.715
  10 0.475 540 512.049
  11 0.525 540 521.758
  12 0.575 540 523.916
  13 0.625 540 519.979
  14 0.675 540 502.929
  15 0.725 540 515.811
  16 0.775 540 490.11
  17 0.825 540 493.703
  18 0.875 540 495.638
  19 0.925 540 465.712
  20 0.975 540 481.173
34650 20 10800
  1 0.025 540 491.488
  2 0.075 540 471.524
  3 0.125 540 484.376
  4 0.175 540 492.884
  5 0.225 540 495.499
  6 0.275 540 516.573
  7 0.325 540 494.833
  8 0.375 540 503.61
  9 0.425 540 501.25
  10 0.475 540 509.215
  11 0.525 540 524.058
  12 0.575 540 529.122
  13 0.625 540 501.896
  14 0.675 540 510.108
  15 0.725 540 511.47
  16 0.775 540 496.606
  17 0.825 540 480.938
  18 0.875 540 478.495
  19 0.925 540 482.615
  20 0.975 540 479.699
35700 20 10800
  1 0.025 540 489.551
  2 0.075 540 482.122
  3 0.125 540 486.246
  4 0.175 540 499.56
  5 0.225 540 487.414
  6 0.275 540 487.776
  7 0.325 540 490.816
  8 0.375 540 494.873
  9 0.425 540 519.744
  10 0.475 540 517.616
  11 0.525 540 549.009
  12 0.575 540 511.619
  13 0.625 540 511.852
  14 0.675 540 511.577
  15 0.725 540 488.288
  16 0.775 540 484.594
  17 0.825 540 501.792
  18 0.875 540 488.056
  19 0.925 540 490.578
  20 0.975 540 477.492
36750 20 10800
  1 0.025 540 477.94
  2 0.075 540 465.808
  3 0.125 540 478.068
  4 0.175 540 497.04
  5 0.225 540 503.962
  6 0.275 540 494.642
  7 0.325 540 496.233
  8 0.375 540 490.77
  9 0.425 540 506.392
  10 0.475 540 525.303
  11 0.525 540 524.31
  12 0.575 540 534.444
  13 0.625 540 519.688
  14 0.675 540 510.396
  15 0.725 540 522.392
  16 0.775 540 484.822
  17 0.825 540 483.69
  18 0.875 540 492.308
  19 0.925 540 481.672
  20 0.975 540 469.946
37800 20 10800
  1 0.025 540 473.642
  2 0.075 540 470.584
  3 0.125 540 488.724
  4 0.175 540 499.954
  5 0.225 540 502.08
  6 0.275 540 497.064
  7 0.325 540 490.143
  8 0.375 540 498.262
  9 0.425 540 511.837
  10 0.475 540 522.936
  11 0.525 540 509.885
  12 0.575 540 528.261
  13 0.625 540 540.099
  14 0.675 540 508.173
