ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
12960
ITEM: BOX BOUNDS xy xz yz pp pp pp
-2.1300586426096402e-01 2.1803405864260888e+01 0.0000000000000000e+00
-2.1487285383260257e-01 2.1805272853832129e+01 0.0000000000000000e+00
6.1471058551430247e-01 3.0850528941448414e+02 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
420 1 11.6546 19.4629 7.43766 -9.17675 -0.549697 -0.0562604 0.40766 
388 1 17.138 17.3693 7.87533 -7.96023 -1.22212 -1.37917 3.78391 
30 1 15.6655 1.00512 2.38628 -7.78439 1.02586 1.81858 0.331832 
246 1 15.2234 0.854309 7.4298 -7.09908 1.2278 0.516389 0.255428 
12797 1 7.19466 4.86936 0.685138 -8.39375 -1.08603 -0.752131 -0.595721 
66 1 14.8826 4.41941 3.14726 -8.16558 4.72497 0.473379 -0.388852 
282 1 15.3737 4.622 8.21058 -8.3686 -1.7658 1.79888 -1.40293 
492 1 11.0239 4.24106 12.78 -7.73081 1.61716 0.853703 -1.53256 
102 1 15.5538 8.40208 2.24435 -7.74869 2.03782 -0.199418 1.36381 
318 1 15.6032 8.3529 7.77597 -7.96236 -1.07033 -0.136859 -1.46751 
346 1 13.1725 13.683 8.09172 -8.66487 2.96081 1.01242 -0.157212 
138 1 15.4499 11.4517 3.28279 -7.90097 0.431509 1.49398 1.09181 
354 1 15.5298 11.9405 8.4595 -8.74596 -1.82535 0.877349 -1.55827 
172 1 16.9214 17.5834 3.4144 -7.44409 3.20256 0.907629 -1.22035 
174 1 15.7641 15.7712 2.5224 -7.67305 -1.00968 -1.70104 -2.48035 
390 1 15.2436 15.5642 7.60122 -8.85205 1.09236 -0.128167 -0.622875 
382 1 13.5772 17.564 7.47636 -7.64898 -0.772921 0.972427 0.364152 
210 1 15.116 19.2299 3.19819 -7.97786 -1.24642 -0.318899 -0.398497 
426 1 15.3167 19.2431 8.25497 -8.4962 2.06507 0.646304 -0.432394 
166 1 13.5721 17.0025 2.20389 -7.89913 -1.24694 1.8566 1.55571 
36 1 18.8392 0.772006 2.90094 -8.51621 -1.34724 0.181866 1.29201 
252 1 18.934 1.17708 8.37693 -8.252 1.2613 -1.85123 -0.667029 
100 1 17.6206 9.88593 3.21963 -7.89385 -0.171067 2.6924 -0.348491 
72 1 19.3126 4.56845 2.43794 -7.87783 0.0212803 1.20693 -0.729624 
288 1 19.0761 4.46904 7.43637 -8.04198 -1.12594 2.16648 1.03372 
280 1 17.2153 6.51891 7.46485 -8.53855 0.738591 -2.00063 0.750311 
108 1 19.0839 7.79792 3.35583 -7.60767 -1.18916 -0.645721 -0.788111 
324 1 19.0932 8.34323 8.24207 -8.7171 0.109463 -1.85067 -2.5707 
322 1 21.0534 9.96519 7.64519 -7.67726 -2.39653 0.771795 0.946316 
144 1 19.2332 12.0447 2.70062 -7.79225 -3.03791 0.984979 -1.95786 
360 1 19.1452 11.9355 7.38543 -7.49623 0.00734534 -1.07327 0.538501 
28 1 17.4338 3.05029 3.11443 -8.6128 -1.64977 -1.80231 -1.33524 
180 1 18.8342 15.3428 3.09064 -8.26188 -1.36284 1.96108 2.48504 
396 1 19.108 15.7907 8.31637 -8.44744 -1.32579 -0.425679 -0.416279 
106 1 20.5932 10.0776 2.4866 -7.32369 -0.156983 -2.48621 -1.6077 
216 1 18.8895 19.3991 2.56573 -7.01617 0.520255 -2.14727 -0.219396 
432 1 19.059 19.1221 7.9839 -8.20063 -0.530704 0.313648 -1.81825 
458 2 15.636 2.64576 11.5367 -28.6072 -0.483154 -1.57268 -0.363399 
5 1 0.717311 1.86261 5.1098 -7.56857 -3.23147 -1.16254 -2.83192 
221 1 0.837321 0.0483001 9.84806 -7.38446 -1.45334 -0.374952 4.01778 
41 1 21.598 4.7979 5.58098 -7.73925 0.832785 -0.368783 2.03238 
257 1 1.46711 4.64764 11.0408 -7.63429 1.55287 -2.84923 -0.842544 
77 1 0.263244 9.20654 4.83624 -7.47098 4.86819 0.326726 1.28392 
293 1 0.707909 6.83616 9.84125 -7.43943 2.13229 2.06185 0.125113 
113 1 21.599 12.2401 5.89195 -7.92645 0.821417 0.46625 1.41507 
329 1 1.33179 11.9152 10.6115 -7.61472 0.275898 -1.14786 0.0158528 
149 1 0.153978 16.7935 4.67839 -8.05409 -0.169326 -0.802367 0.195617 
365 1 0.457195 14.6359 10.0543 -7.87877 1.15019 1.01841 -0.572053 
185 1 21.7496 19.4001 5.58991 -8.37936 -0.000372502 -1.07063 0.0550183 
