# Time-averaged data for fix f3
# TimeStep c_Nimsd[1] c_Nimsd[2] c_Nimsd[3] c_Nimsd[4]
41000 0 0 0 0
41005 2.40553e-05 2.62998e-05 2.94838e-05 7.98389e-05
41010 9.09508e-05 0.000104711 0.00011607 0.000311732
41015 0.000192688 0.000234266 0.00025602 0.000682974
41020 0.000321665 0.0004136 0.000444513 0.00117978
41025 0.000471256 0.000640624 0.000675783 0.00178766
41030 0.000636235 0.000912025 0.000943158 0.00249142
41035 0.000812928 0.00122276 0.00123905 0.00327474
41040 0.000999086 0.0015657 0.00155497 0.00411976
41045 0.00119346 0.00193162 0.0018816 0.00500667
41050 0.0013952 0.00230949 0.00220899 0.00591369
41055 0.0016032 0.00268722 0.0025269 0.00681733
41060 0.00181548 0.00305245 0.00282526 0.00769319
41065 0.00202872 0.00339351 0.00309478 0.00851701
41070 0.00223809 0.0037002 0.00332769 0.00926598
41075 0.00243738 0.00396432 0.00351831 0.00992001
41080 0.00261947 0.00417996 0.0036635 0.0104629
41085 0.00277711 0.00434348 0.00376276 0.0108833
41090 0.00290393 0.00445342 0.003818 0.0111754
41095 0.00299538 0.0045104 0.003833 0.0113388
41100 0.00304947 0.00451708 0.00381276 0.0113793
41105 0.00306717 0.0044783 0.00376297 0.0113084
41110 0.00305232 0.00440098 0.00368956 0.0111429
41115 0.00301114 0.00429398 0.00359859 0.0109037
41120 0.00295138 0.00416748 0.00349627 0.0106151
41125 0.00288136 0.00403214 0.00338904 0.0103025
41130 0.00280911 0.0038981 0.0032837 0.00999092
41135 0.00274161 0.00377406 0.00318733 0.00970299
41140 0.00268432 0.00366671 0.00310703 0.00945806
41145 0.00264106 0.0035805 0.00304959 0.00927115
41150 0.00261397 0.00351781 0.00302095 0.00915273
41155 0.00260378 0.00347922 0.00302572 0.00910872
41160 0.00260992 0.00346408 0.00306666 0.00914065
41165 0.00263069 0.00347079 0.00314427 0.00924576
41170 0.00266325 0.0034971 0.0032565 0.00941686
41175 0.0027035 0.00354008 0.00339857 0.00964215
41180 0.00274603 0.00359603 0.00356308 0.00990515
41185 0.00278429 0.00366047 0.0037403 0.0101851
41190 0.00281104 0.00372815 0.00391887 0.0104581
41195 0.00281921 0.00379341 0.00408667 0.0106993
41200 0.00280288 0.00385079 0.00423188 0.0108855
41205 0.00275835 0.0038957 0.004344 0.0109981
41210 0.00268493 0.00392522 0.00441481 0.011025
41215 0.00258529 0.0039385 0.00443899 0.0109628
41220 0.0024654 0.00393694 0.00441457 0.0108169
41225 0.00233376 0.00392383 0.00434305 0.0106006
41230 0.00220042 0.00390375 0.00422923 0.0103334
41235 0.00207553 0.00388162 0.00408083 0.010038
41240 0.00196798 0.00386183 0.00390785 0.00973766
41245 0.00188424 0.00384749 0.00372169 0.00945342
