# Time-averaged data for fix f5
# TimeStep c_Femsd[1] c_Femsd[2] c_Femsd[3] c_Femsd[4]
41000 0 0 0 0
41005 2.8383e-05 2.47004e-05 2.23843e-05 7.54677e-05
41010 0.000112092 0.000102276 8.86736e-05 0.000303041
41015 0.000247065 0.000236505 0.000198874 0.000682443
41020 0.000426992 0.000427878 0.000354495 0.00120937
41025 0.000643783 0.000672329 0.00055775 0.00187386
41030 0.000888156 0.000960748 0.000810291 0.00265919
41035 0.00115029 0.00127944 0.00111177 0.0035415
41040 0.00142048 0.00161145 0.00145849 0.00449042
41045 0.00168968 0.00193852 0.00184243 0.00547063
41050 0.00194996 0.00224332 0.00225082 0.00644411
41055 0.0021947 0.0025115 0.00266666 0.00737286
41060 0.00241864 0.00273333 0.00306993 0.0082219
41065 0.00261782 0.00290452 0.0034397 0.00896204
41070 0.00278949 0.00302644 0.00375647 0.0095724
41075 0.00293193 0.00310533 0.00400472 0.010042
41080 0.00304451 0.00315098 0.00417482 0.0103703
41085 0.00312755 0.00317476 0.00426422 0.0105665
41090 0.00318233 0.00318761 0.0042776 0.0106475
41095 0.00321092 0.00319814 0.00422583 0.0106349
41100 0.00321601 0.00321147 0.0041242 0.0105517
41105 0.00320071 0.00322882 0.00399011 0.0104196
41110 0.00316834 0.0032481 0.00384069 0.0102571
41115 0.00312231 0.0032652 0.00369078 0.0100783
41120 0.00306609 0.00327574 0.00355146 0.00989329
41125 0.00300318 0.00327673 0.00342921 0.00970913
41130 0.00293723 0.00326779 0.00332583 0.00953085
41135 0.00287217 0.00325165 0.00323888 0.0093627
41140 0.00281232 0.00323385 0.00316279 0.00920895
41145 0.00276234 0.00322187 0.00309014 0.00907435
41150 0.00272706 0.00322371 0.00301333 0.0089641
41155 0.00271095 0.00324653 0.00292607 0.00888355
41160 0.00271764 0.00329529 0.00282478 0.00883771
41165 0.00274918 0.00337192 0.00270944 0.00883053
41170 0.00280551 0.00347476 0.0025839 0.00886417
41175 0.00288401 0.00359867 0.00245541 0.00893809
41180 0.00297936 0.00373547 0.00233342 0.00904826
41185 0.00308373 0.00387498 0.00222793 0.00918665
41190 0.00318734 0.00400622 0.00214762 0.00934119
41195 0.0032794 0.00411888 0.00209824 0.00949652
41200 0.00334935 0.00420461 0.00208154 0.0096355
41205 0.00338831 0.00425798 0.00209489 0.00974118
41210 0.00339041 0.00427693 0.00213165 0.00979899
41215 0.00335383 0.0042627 0.00218221 0.00979874
41220 0.00328128 0.00421924 0.00223541 0.00973592
41225 0.0031797 0.00415237 0.00228022 0.00961229
41230 0.00305945 0.00406879 0.00230736 0.00943559
41235 0.00293289 0.00397523 0.00231068 0.0092188
41240 0.00281284 0.00387782 0.00228825 0.0089789
41245 0.00271093 0.00378185 0.00224281 0.00873559
41250 0.00263643 0.00369173 0.00218176 0.00850991
41255 0.00259529 0.00361119 0.00211632 0.0083228
41260 0.00258978 0.00354352 0.00206021 0.00819351
41265 0.00261849 0.00349173 0.00202771 0.00813794
