Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Pr, -501.27599645, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, -3.00, 3.03
Pt, -210.08460717, pt_pbesol_v1.4.uspp.F.UPF, 35, 280, 16.00, GBRV-1.4, 1.29, 1.65
Pu, -1085.61858835, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, 0.10, 2.57
Ra, -1105.94462350, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90, 720, 20.00, 100PAW, 0.00, 0.00
Rb, -48.91876657, Rb_ONCV_PBEsol-1.0.upf, 30, 120, 9.00, SG15, -0.02, 0.02
Re, -189.49677036, re_pbesol_v1.2.uspp.F.UPF, 30, 240, 15.00, GBRV-1.2, -0.00, 0.01
Rh, -216.39407966, Rh_ONCV_PBEsol-1.0.upf, 35, 140, 17.00, SG15, -0.00, 1.55
Rn, -1015.02177495, Rn.pbesol-dn-kjpaw_psl.1.0.0.UPF, 120, 960, 18.00, 100PAW, -0.00, 0.00
Ru, -187.90122592, Ru_ONCV_PBEsol-1.0.upf, 35, 140, 16.00, SG15, -0.00, 2.47
Sb, -184.25706461, sb_pbesol_v1.4.uspp.F.UPF, 40, 320, 15.00, GBRV-1.4, 0.00, 0.01
Sc, -91.51984401, Sc_ONCV_PBEsol-1.0.upf, 40, 160, 11.00, SG15, -0.15, 0.92
Se, -43.02112327, se_pbesol_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.01
Si, -10.91235876, Si.pbesol-n-rrkjus_psl.1.0.0.UPF, 30, 240, 4.00, 100US, 0.01, 0.01
Sm, -596.58692161, Sm.paw.z_16.atompaw.wentzcovitch.v1.2.upf, 40, 320, 16.00, Wentzcovitch, -0.00, 0.94
Sn, -158.59740613, sn_pbesol_v1.4.uspp.F.UPF, 60, 480, 14.00, GBRV-1.2, 0.01, 0.01
S, -23.69323249, s_pbesol_v1.4.uspp.F.UPF, 35, 280, 6.00, GBRV-1.4, -0.00, 0.01
Sr, -70.03534206, sr_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Ta, -141.08190030, ta_pbesol_v1.uspp.F.UPF, 45, 360, 13.00, GBRV-1.2, -0.01, 2.11
Tb, -720.56429519, Tb.paw.z_19.atompaw.wentzcovitch.v1.2.upf, 40, 320, 19.00, Wentzcovitch, 0.06, 0.77
Tc, -160.56853888, Tc_ONCV_PBEsol-1.0.upf, 30, 120, 15.00, SG15, 1.00, 2.91
Te, -26.16937317, te_pbesol_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, -0.00, 0.02
Th, -952.75751582, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 0.32, 1.80
Ti, -118.72690871, ti_pbesol_v1.4.uspp.F.UPF, 35, 280, 12.00, GBRV-1.4, -0.01, 1.95
Tl, -144.50734064, tl_pbesol_v1.2.uspp.F.UPF, 50, 400, 13.00, GBRV-1.2, -0.01, 0.01
Tm, -937.77548886, Tm.paw.z_23.atompaw.wentzcovitch.v1.2.upf, 40, 320, 23.00, Wentzcovitch, 1.00, 1.02
U, -1014.51177700, U.paw.z_14.ld1.uni-marburg.v0.upf, 60, 480, 14.00, MalteSachs, -0.03, 2.56
V, -144.47054000, v_pbesol_v1.4.uspp.F.UPF, 35, 280, 13.00, GBRV-1.4, -0.95, 2.62
W, -158.25404326, w_pbesol_v1.2.uspp.F.UPF, 30, 240, 14.00, GBRV-1.2, 0.83, 2.83
Xe, -231.79816034, Xe_ONCV_PBEsol-1.1.upf, 60, 240, 18.00, SG15-1.1, 0.00, 0.00
Yb, -1002.37701565, Yb.paw.z_24.atompaw.wentzcovitch.v1.2.upf, 40, 320, 24.00, Wentzcovitch, 0.00, 0.00
Y, -92.39303344, y_pbesol_v1.4.uspp.F.UPF, 35, 280, 11.00, GBRV-1.2, 0.00, 0.01
Zn, -461.13843597, zn_pbesol_v1.uspp.F.UPF, 40, 320, 20.00, GBRV-1.2, -0.00, 0.00
Zr, -98.64067135, zr_pbesol_v1.uspp.F.UPF, 30, 240, 12.00, GBRV-1.2, -0.00, 0.00
