# Time-averaged data for fix f6
# TimeStep c_Mnmsd[1] c_Mnmsd[2] c_Mnmsd[3] c_Mnmsd[4]
41000 0 0 0 0
41005 2.79958e-05 3.21203e-05 2.81287e-05 8.82447e-05
41010 0.00011018 0.000131618 0.000114508 0.000356307
41015 0.000242132 0.000300606 0.000261861 0.000804598
41020 0.000417347 0.000537307 0.000471745 0.0014264
41025 0.000627655 0.000835824 0.000743499 0.00220698
41030 0.000863776 0.00118629 0.00107333 0.0031234
41035 0.001116 0.00157539 0.00145379 0.00414518
41040 0.00137491 0.00198716 0.00187372 0.00523579
41045 0.00163206 0.00240408 0.00231884 0.00635498
41050 0.00188061 0.00280838 0.00277271 0.00746169
41055 0.00211563 0.00318344 0.00321803 0.00851711
41060 0.00233433 0.0035152 0.00363818 0.00948772
41065 0.00253596 0.00379342 0.00401863 0.010348
41070 0.00272155 0.00401262 0.00434824 0.0110824
41075 0.00289353 0.00417257 0.0046203 0.0116864
41080 0.00305518 0.00427814 0.004833 0.0121663
41085 0.00320999 0.00433858 0.0049893 0.0125379
41090 0.00336099 0.00436631 0.00509621 0.0128235
41095 0.00351003 0.00437523 0.00516342 0.0130487
41100 0.00365716 0.00437902 0.00520173 0.0132379
41105 0.00380028 0.00438955 0.0052214 0.0134112
41110 0.00393496 0.00441572 0.00523086 0.0135815
41115 0.00405483 0.00446278 0.00523587 0.0137535
41120 0.00415224 0.00453229 0.00523932 0.0139239
41125 0.00421925 0.0046225 0.0052415 0.0140833
41130 0.00424883 0.0047291 0.00524085 0.0142188
41135 0.00423602 0.00484612 0.00523474 0.0143169
41140 0.00417892 0.00496696 0.00522027 0.0143662
41145 0.00407924 0.00508512 0.00519486 0.0143592
41150 0.00394243 0.00519487 0.00515657 0.0142939
41155 0.00377733 0.00529168 0.00510441 0.0141734
41160 0.0035953 0.0053724 0.00503824 0.0140059
41165 0.00340909 0.00543527 0.00495877 0.0138031
41170 0.00323141 0.00547978 0.00486739 0.0135786
41175 0.00307353 0.00550645 0.004766 0.013346
41180 0.00294412 0.00551654 0.0046569 0.0131176
41185 0.00284835 0.00551181 0.00454262 0.0129028
41190 0.00278761 0.00549433 0.00442591 0.0127079
41195 0.00275976 0.00546642 0.00430971 0.0125359
41200 0.00275983 0.00543066 0.00419714 0.0123876
41205 0.00278102 0.00538991 0.00409156 0.0122625
41210 0.00281577 0.00534717 0.00399649 0.0121594
41215 0.00285675 0.00530544 0.00391545 0.0120776
41220 0.00289748 0.00526744 0.00385167 0.0120166
41225 0.00293274 0.00523528 0.00380777 0.0119758
41230 0.00295865 0.00521032 0.00378539 0.0119544
41235 0.00297263 0.00519302 0.00378502 0.0119507
41240 0.00297323 0.00518302 0.00380601 0.0119623
41245 0.00296003 0.0051793 0.00384665 0.011986
41250 0.00293358 0.00518034 0.00390456 0.0120185
41255 0.00289545 0.00518433 0.00397699 0.0120568
41260 0.00284817 0.00518931 0.0040612 0.0120987
41265 0.00279515 0.00519328 0.00415475 0.0121432
41270 0.00274049 0.00519427 0.00425561 0.0121904
41275 0.00268862 0.00519043 0.00436213 0.0122412
41280 0.0026439 0.00518021 0.0044729 0.012297
41285 0.00261027 0.00516254 0.00458638 0.0123592
41290 0.0025909 0.00513694 0.00470058 0.0124284
41295 0.00258796 0.00510365 0.00481274 0.0125044
41300 0.00260256 0.00506355 0.00491907 0.0125852
41305 0.00263463 0.00501787 0.00501475 0.0126672
41310 0.00268302 0.00496791 0.00509392 0.0127449
41315 0.0027455 0.00491454 0.0051501 0.0128101
41320 0.00281905 0.00485799 0.00517662 0.0128537
41325 0.00290011 0.00479792 0.00516744 0.0128655
41330 0.00298492 0.00473373 0.00511797 0.0128366
41335 0.00306996 0.0046651 0.0050258 0.0127609
41340 0.0031522 0.00459249 0.00489135 0.012636
41345 0.00322927 0.00451762 0.00471806 0.0124649
41350 0.00329937 0.00444356 0.00451234 0.0122553
41355 0.00336115 0.00437432 0.00428301 0.0120185
41360 0.0034134 0.00431419 0.00404048 0.0117681
41365 0.00345485 0.0042668 0.00379572 0.0115174
41370 0.00348399 0.00423427 0.00355922 0.0112775
41375 0.00349913 0.00421668 0.00333994 0.0110558
41380 0.00349862 0.00421188 0.00314473 0.0108552
41385 0.00348108 0.00421596 0.00297798 0.010675
41390 0.00344581 0.00422405 0.0028416 0.0105115
41395 0.00339324 0.00423126 0.00273532 0.0103598
41400 0.00332534 0.00423361 0.00265712 0.0102161
41405 0.00324579 0.00422876 0.00260383 0.0100784
41410 0.00316005 0.00421644 0.00257168 0.00994817
41415 0.00307499 0.00419854 0.00255678 0.00983031
41420 0.00299824 0.00417879 0.00255555 0.00973259
41425 0.00293741 0.00416221 0.002565 0.00966463
41430 0.00289916 0.00415429 0.00258293 0.00963638
41435 0.00288842 0.00416004 0.00260807 0.00965652
41440 0.00290788 0.00418305 0.00264015 0.00973107
41445 0.00295778 0.00422467 0.00267979 0.00986224
41450 0.00303599 0.00428349 0.00272827 0.0100477
41455 0.00313831 0.00435505 0.00278711 0.0102805
41460 0.00325896 0.00443216 0.00285746 0.0105486
41465 0.00339104 0.00450558 0.00293961 0.0108362
41470 0.00352709 0.00456515 0.00303251 0.0111248
41475 0.00365966 0.00460129 0.00313358 0.0113945
41480 0.00378177 0.00460647 0.00323872 0.011627
41485 0.00388745 0.0045766 0.00334261 0.0118067
41490 0.00397208 0.00451185 0.00343913 0.0119231
41495 0.00403261 0.00441685 0.00352191 0.0119714
41500 0.00406757 0.00430023 0.00358493 0.0119527
41505 0.00407697 0.00417336 0.00362313 0.0118735
41510 0.00406205 0.00404884 0.00363315 0.011744
41515 0.00402508 0.00393878 0.00361394 0.0115778
41520 0.00396915 0.00385321 0.00356727 0.0113896
41525 0.00389803 0.00379894 0.00349792 0.0111949
41530 0.00381609 0.00377899 0.00341357 0.0110086
41535 0.00372811 0.00379259 0.00332413 0.0108448
41540 0.00363915 0.00383578 0.00324066 0.0107156
41545 0.0035543 0.00390234 0.00317392 0.0106306
41550 0.00347835 0.00398483 0.00313269 0.0105959
41555 0.00341537 0.00407564 0.00312241 0.0106134
41560 0.00336832 0.00416787 0.00314407 0.0106803
41565 0.00333863 0.004256 0.00319387 0.0107885
41570 0.00332592 0.0043363 0.00326371 0.0109259
41575 0.00332785 0.00440693 0.00334229 0.0110771
41580 0.00334026 0.00446773 0.00341689 0.0112249
41585 0.00335744 0.00451982 0.00347539 0.0113526
41590 0.00337275 0.00456498 0.00350823 0.011446
41595 0.00337939 0.00460503 0.00351006 0.0114945
41600 0.00337129 0.0046412 0.00348064 0.0114931
41605 0.00334396 0.00467377 0.00342509 0.0114428
41610 0.00329504 0.00470184 0.00335314 0.01135
41615 0.00322461 0.00472339 0.00327772 0.0112257
41620 0.00313493 0.00473557 0.00321287 0.0110834
41625 0.00303007 0.00473512 0.00317152 0.0109367
41630 0.00291523 0.00471888 0.00316334 0.0107975
41635 0.00279615 0.00468426 0.00319318 0.0106736
41640 0.00267864 0.0046297 0.00326023 0.0105686
41645 0.00256828 0.00455488 0.00335817 0.0104813
41650 0.0024702 0.00446087 0.00347616 0.0104072
41655 0.00238901 0.00435003 0.00360064 0.0103397
41660 0.00232861 0.0042258 0.00371738 0.0102718
41665 0.00229198 0.00409231 0.00381359 0.0101979
41670 0.002281 0.00395391 0.00387959 0.0101145
41675 0.00229622 0.00381472 0.00390982 0.0100208
41680 0.00233681 0.00367828 0.0039031 0.0099182
41685 0.00240062 0.00354738 0.0038622 0.00981021
41690 0.00248447 0.00342409 0.0037929 0.00970146
41695 0.00258448 0.00331005 0.00370281 0.00959734
41700 0.00269649 0.00320684 0.00360021 0.00950353
41705 0.00281634 0.00311628 0.00349313 0.00942575
41710 0.00294011 0.00304073 0.00338872 0.00936957
41715 0.00306415 0.00298306 0.00329297 0.00934019
41720 0.00318499 0.00294644 0.00321068 0.00934212
41725 0.00329919 0.00293389 0.00314567 0.00937875
41730 0.00340316 0.0029478 0.00310094 0.0094519
41735 0.00349311 0.00298939 0.00307885 0.00956134
41740 0.003565 0.00305836 0.00308107 0.00970443
41745 0.00361478 0.00315266 0.00310853 0.00987597
41750 0.0036386 0.00326845 0.00316118 0.0100682
41755 0.00363331 0.00340039 0.00323774 0.0102714
41760 0.00359687 0.00354203 0.00333562 0.0104745
41765 0.00352884 0.0036865 0.00345085 0.0106662
41770 0.0034307 0.00382711 0.00357825 0.0108361
41775 0.00330608 0.00395793 0.0037118 0.0109758
41780 0.00316068 0.00407418 0.00384501 0.0110799
41785 0.003002 0.00417238 0.00397144 0.0111458
41790 0.00283882 0.0042502 0.00408516 0.0111742
41795 0.00268051 0.00430621 0.00418119 0.0111679
41800 0.00253618 0.00433964 0.00425577 0.0111316
41805 0.00241381 0.00435013 0.00430663 0.0110706
41810 0.00231945 0.00433769 0.00433292 0.0109901
41815 0.00225662 0.00430278 0.00433515 0.0108945
41820 0.002226 0.00424639 0.00431491 0.0107873
41825 0.00222544 0.00417029 0.00427456 0.0106703
41830 0.0022503 0.00407713 0.0042169 0.0105443
41835 0.00229409 0.00397054 0.004145 0.0104096
41840 0.00234941 0.0038552 0.004062 0.0102666
41845 0.00240884 0.00373659 0.00397121 0.0101166
41850 0.00246588 0.00362069 0.00387612 0.0099627
41855 0.00251563 0.00351356 0.00378038 0.00980958
41860 0.00255512 0.00342075 0.00368771 0.00966358
41865 0.00258336 0.00334672 0.00360164 0.00953172
41870 0.00260108 0.0032943 0.00352517 0.00942056
41875 0.00261027 0.00326427 0.00346041 0.00933495
41880 0.00261361 0.0032552 0.00340821 0.00927702
41885 0.002614 0.00326367 0.00336795 0.00924562
41890 0.00261414 0.0032847 0.00333758 0.00923641
41895 0.00261622 0.0033125 0.00331384 0.00924255
41900 0.00262177 0.00334127 0.00329278 0.00925582
41905 0.00263165 0.00336595 0.00327035 0.00926795
41910 0.00264608 0.00338276 0.00324313 0.00927196
41915 0.00266479 0.00338943 0.00320888 0.0092631
