# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
41000 0 0 0 0
41005 2.53751e-05 2.90023e-05 2.37646e-05 7.8142e-05
41010 0.000106126 0.00011342 9.48888e-05 0.000314435
41015 0.000247367 0.000246262 0.000212382 0.000706011
41020 0.00045056 0.000417032 0.000374729 0.00124232
41025 0.000712066 0.000612423 0.00058016 0.00190465
41030 0.00102314 0.000818669 0.000826345 0.00266815
41035 0.00137067 0.00102392 0.00111013 0.00350472
41040 0.00173793 0.00121926 0.00142729 0.00438447
41045 0.00210654 0.00139958 0.00177239 0.00527851
41050 0.00245876 0.0015641 0.00213787 0.00616072
41055 0.00277883 0.00171573 0.00251335 0.00700791
41060 0.00305434 0.00185966 0.00288545 0.00779945
41065 0.00327753 0.00200128 0.00323809 0.00851691
41070 0.00344538 0.00214517 0.00355338 0.00914393
41075 0.00355988 0.0022943 0.00381355 0.00966772
41080 0.00362711 0.00244807 0.00400411 0.0100793
41085 0.00365548 0.00260181 0.0041164 0.0103737
41090 0.00365396 0.00274732 0.00414843 0.0105497
41095 0.00363118 0.00287438 0.00410485 0.0106104
41100 0.00359466 0.0029726 0.00399653 0.0105638
41105 0.00354994 0.00303336 0.00383903 0.0104223
41110 0.00350036 0.00305132 0.00364974 0.0102014
41115 0.00344694 0.00302506 0.00344615 0.00991816
41120 0.00338836 0.00295708 0.0032445 0.00958994
41125 0.00332248 0.00285398 0.00305746 0.00923392
41130 0.00324738 0.00272641 0.00289326 0.00886705
41135 0.00316152 0.00258703 0.00275631 0.00850486
41140 0.00306486 0.00244852 0.00264769 0.00816107
41145 0.00295895 0.00232257 0.00256606 0.00784758
41150 0.00284679 0.00221822 0.00250855 0.00757356
41155 0.00273236 0.00214059 0.00247115 0.0073441
41160 0.00261975 0.0020908 0.00244946 0.00716
41165 0.00251366 0.00206556 0.00243927 0.00701849
41170 0.00241869 0.00205873 0.00243656 0.00691398
41175 0.0023382 0.00206283 0.00243753 0.00683856
41180 0.00227361 0.00206992 0.00243878 0.00678232
41185 0.00222445 0.00207265 0.00243734 0.00673444
41190 0.00218882 0.00206527 0.00243086 0.00668495
41195 0.00216415 0.00204457 0.00241814 0.00662686
41200 0.00214774 0.00201078 0.00239907 0.00655759
41205 0.00213757 0.00196805 0.00237501 0.00648063
41210 0.00213282 0.00192337 0.00234872 0.00640491
41215 0.00213408 0.00188523 0.00232403 0.00634334
41220 0.00214347 0.00186225 0.00230527 0.006311
41225 0.00216343 0.00186226 0.00229662 0.0063223
41230 0.00219633 0.001891 0.00230139 0.00638872
41235 0.00224413 0.0019511 0.00232134 0.00651657
41240 0.0023077 0.00204137 0.0023561 0.00670517
41245 0.00238669 0.00215673 0.0024028 0.00694621
41250 0.00247941 0.00228899 0.00245646 0.00722486
41255 0.00258324 0.0024279 0.00251097 0.00752211
41260 0.00269487 0.0025625 0.00255995 0.00781732
41265 0.00281103 0.00268276 0.00259767 0.00809147
41270 0.00292836 0.00278066 0.0026199 0.00832891
41275 0.00304229 0.00285039 0.00262467 0.00851735
41280 0.00314766 0.00288887 0.00261236 0.00864889
41285 0.00324007 0.0028962 0.00258483 0.0087211
41290 0.00331664 0.00287507 0.00254476 0.00873647
41295 0.00337587 0.00283006 0.00249647 0.00870239
41300 0.0034176 0.002767 0.00244501 0.00862961
41305 0.00344268 0.00269224 0.00239534 0.00853025
41310 0.00345265 0.00261236 0.00235166 0.00841667
41315 0.00344919 0.00253339 0.002317 0.00829957
41320 0.0034337 0.00246019 0.00229304 0.00818694
41325 0.00340687 0.00239605 0.00228054 0.00808346
