# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
41220 0.00447029 0.0093719 0.00704346 0.0208857
41225 0.00434681 0.0095252 0.00715828 0.0210303
41230 0.00421452 0.00963754 0.00725671 0.0211088
41235 0.00408008 0.00971014 0.00733259 0.0211228
41240 0.00394906 0.00974242 0.00738082 0.0210723
41245 0.00382558 0.00973133 0.00739834 0.0209553
41250 0.00371231 0.00967166 0.00738493 0.0207689
41255 0.00361068 0.00955722 0.00734355 0.0205114
41260 0.00352144 0.00938267 0.00728021 0.0201843
41265 0.00344521 0.0091455 0.00720323 0.0197939
41270 0.00338299 0.0088477 0.00712208 0.0193528
41275 0.00333655 0.00849642 0.00704587 0.0188788
41280 0.0033085 0.00810372 0.00698186 0.0183941
41285 0.00330212 0.00768514 0.00693412 0.0179214
41290 0.00332102 0.00725793 0.00690268 0.0174816
41295 0.00336852 0.00683899 0.00688335 0.0170909
41300 0.00344708 0.0064432 0.0068682 0.0167585
41305 0.00355764 0.00608222 0.00684669 0.0164865
41310 0.00369904 0.00576376 0.0068073 0.0162701
41315 0.00386761 0.00549143 0.00673907 0.0160981
41320 0.00405719 0.00526497 0.00663318 0.0159553
41325 0.00425934 0.00508091 0.00648446 0.0158247
41330 0.00446394 0.00493338 0.00629222 0.0156895
41335 0.00465995 0.00481508 0.00606041 0.0155354
41340 0.00483621 0.00471838 0.00579736 0.015352
41345 0.00498246 0.00463627 0.00551495 0.0151337
41350 0.00509022 0.00456314 0.00522737 0.0148807
41355 0.00515369 0.00449523 0.00494967 0.0145986
41360 0.0051705 0.00443073 0.00469611 0.0142973
41365 0.00514207 0.00436963 0.00447869 0.0139904
41370 0.00507352 0.00431333 0.00430588 0.0136927
41375 0.00497316 0.00426404 0.00418195 0.0134192
41380 0.0048514 0.0042243 0.00410674 0.0131824
41385 0.00471944 0.00419656 0.00407626 0.0129923
41390 0.00458782 0.00418277 0.00408349 0.0128541
41395 0.00446501 0.00418413 0.00411948 0.0127686
41400 0.00435651 0.00420081 0.00417452 0.0127318
41405 0.00426442 0.00423179 0.00423921 0.0127354
41410 0.00418778 0.00427473 0.00430545 0.012768
41415 0.00412339 0.00432597 0.00436714 0.0128165
41420 0.00406717 0.00438081 0.00442061 0.0128686
41425 0.00401538 0.00443379 0.00446471 0.0129139
41430 0.00396566 0.0044792 0.00450032 0.0129452
41435 0.00391754 0.00451172 0.0045295 0.0129588
41440 0.0038724 0.00452699 0.00455434 0.0129537
41445 0.00383301 0.00452239 0.00457599 0.0129314
41450 0.00380287 0.00449764 0.00459406 0.0128946
41455 0.00378541 0.00445524 0.00460663 0.0128473
41460 0.00378328 0.00440049 0.00461059 0.0127944
41465 0.00379781 0.00434116 0.0046024 0.0127414
41470 0.00382872 0.00428658 0.00457894 0.0126942
41475 0.00387412 0.00424663 0.00453817 0.0126589
41480 0.00393066 0.0042304 0.00447956 0.0126406
41485 0.00399406 0.00424516 0.00440412 0.0126433
41490 0.00405973 0.00429544 0.00431426 0.0126694
41495 0.00412344 0.00438259 0.00421354 0.0127196
