# Time-averaged data for fix f7
# TimeStep c_allmsd[1] c_allmsd[2] c_allmsd[3] c_allmsd[4]
41000 0 0 0 0
41005 2.74056e-05 2.89561e-05 2.84475e-05 8.48093e-05
41010 0.000108413 0.000116146 0.000113057 0.000337616
41015 0.000239696 0.000260406 0.000252014 0.000752116
41020 0.000415973 0.000458201 0.000442596 0.00131677
41025 0.000630181 0.0007035 0.00068106 0.00201474
41030 0.000873962 0.000988167 0.000962368 0.0028245
41035 0.00113827 0.00130259 0.00127995 0.00372081
41040 0.00141391 0.00163625 0.00162558 0.00467574
41045 0.00169212 0.00197849 0.00198949 0.00566011
41050 0.0019652 0.00231928 0.00236047 0.00664495
41055 0.00222673 0.00264986 0.0027262 0.00760279
41060 0.00247169 0.00296308 0.00307394 0.00850871
41065 0.00269657 0.00325355 0.0033913 0.00934142
41070 0.0028991 0.00351768 0.00366726 0.010084
41075 0.00307818 0.00375356 0.00389321 0.010725
41080 0.00323355 0.0039603 0.00406414 0.011258
41085 0.00336538 0.00413748 0.00417917 0.011682
41090 0.00347403 0.00428475 0.00424155 0.0120003
41095 0.00355994 0.00440162 0.00425794 0.0122195
41100 0.00362364 0.00448752 0.00423756 0.0123487
41105 0.00366569 0.0045421 0.00419089 0.0123987
41110 0.00368677 0.00456575 0.00412836 0.0123809
41115 0.00368771 0.00455999 0.00405937 0.0123071
41120 0.00366957 0.00452784 0.0039917 0.0121891
41125 0.00363395 0.00447409 0.00393092 0.012039
41130 0.0035832 0.0044054 0.00388035 0.011869
41135 0.00352044 0.00432974 0.00384134 0.0116915
41140 0.00344961 0.00425564 0.00381363 0.0115189
41145 0.00337533 0.00419152 0.00379585 0.0113627
41150 0.0033026 0.00414489 0.00378605 0.0112335
41155 0.00323629 0.00412149 0.00378208 0.0111399
41160 0.00318062 0.00412485 0.00378216 0.0110876
41165 0.00313887 0.00415578 0.00378514 0.0110798
41170 0.00311291 0.0042125 0.00379057 0.011116
41175 0.00310274 0.00429087 0.00379862 0.0111922
41180 0.0031063 0.00438483 0.00380978 0.0113009
41185 0.00311963 0.00448699 0.00382453 0.0114312
41190 0.00313731 0.00458949 0.00384297 0.0115698
41195 0.00315324 0.00468496 0.00386467 0.0117029
41200 0.00316147 0.00476752 0.00388857 0.0118176
41205 0.00315718 0.00483353 0.00391305 0.0119038
41210 0.0031374 0.00488184 0.00393618 0.0119554
41215 0.00310158 0.00491355 0.00395585 0.011971
41220 0.00305158 0.00493155 0.00397008 0.0119532
41225 0.00299129 0.00493979 0.00397719 0.0119083
41230 0.00292588 0.00494228 0.00397601 0.0118442
41235 0.00286105 0.00494222 0.00396609 0.0117694
41240 0.00280216 0.00494129 0.0039478 0.0116913
41245 0.00275349 0.00493934 0.00392246 0.0116153
41250 0.00271787 0.00493454 0.00389236 0.0115448
41255 0.00269653 0.00492392 0.00386078 0.0114812
41260 0.00268931 0.00490409 0.00383169 0.0114251
41265 0.00269499 0.00487216 0.00380929 0.0113764
41270 0.00271162 0.00482641 0.00379746 0.0113355
41275 0.00273666 0.00476662 0.0037992 0.0113025
41280 0.00276743 0.00469417 0.00381603 0.0112776
41285 0.00280165 0.00461194 0.00384745 0.011261
41290 0.00283773 0.00452386 0.00389082 0.0112524
41295 0.00287486 0.00443431 0.00394184 0.011251
41300 0.00291297 0.00434761 0.00399497 0.0112556
41305 0.00295247 0.00426749 0.00404409 0.0112641
41310 0.00299397 0.00419666 0.0040832 0.0112738
41315 0.00303789 0.00413642 0.00410703 0.0112813
41320 0.00308411 0.00408646 0.00411159 0.0112822
41325 0.00313175 0.00404488 0.00409462 0.0112713
41330 0.00317906 0.00400839 0.00405572 0.0112432
41335 0.00322341 0.00397277 0.00399625 0.0111924
41340 0.00326161 0.00393361 0.0039191 0.0111143
41345 0.00329028 0.00388717 0.00382836 0.0110058
41350 0.00330646 0.00383097 0.00372887 0.0108663
41355 0.00330813 0.00376429 0.00362576 0.0106982
41360 0.00329462 0.00368825 0.00352391 0.0105068
41365 0.00326677 0.00360562 0.00342736 0.0102997
41370 0.00322685 0.0035203 0.00333902 0.0100862
41375 0.00317815 0.00343672 0.0032605 0.00987537
41380 0.00312444 0.00335918 0.00319224 0.00967585
41385 0.00306938 0.0032913 0.00313378 0.00949445
41390 0.00301597 0.00323565 0.00308412 0.00933574
41395 0.00296634 0.00319365 0.00304204 0.00920203
41400 0.00292185 0.00316553 0.00300655 0.00909392
41405 0.00288317 0.00315056 0.0029771 0.00901083
41410 0.00285056 0.00314717 0.00295364 0.00895137
41415 0.00282407 0.00315312 0.0029366 0.00891379
41420 0.00280384 0.00316565 0.00292662 0.0088961
41425 0.0027902 0.00318184 0.00292422 0.00889626
41430 0.00278361 0.00319926 0.00292947 0.00891234
41435 0.00278456 0.00321598 0.00294195 0.00894249
41440 0.00279326 0.00323065 0.00296075 0.00898467
41445 0.00280956 0.00324251 0.00298462 0.00903668
41450 0.00283259 0.00325148 0.00301194 0.00909601
41455 0.00286092 0.00325795 0.00304099 0.00915987
41460 0.00289275 0.00326246 0.00307018 0.00922538
41465 0.00292604 0.00326535 0.00309804 0.00928943
41470 0.00295877 0.00326662 0.00312317 0.00934856
41475 0.00298916 0.00326584 0.00314424 0.00939924
41480 0.00301591 0.00326232 0.00316 0.00943823
41485 0.00303829 0.00325552 0.00316934 0.00946315
41490 0.00305637 0.00324545 0.00317137 0.0094732
41495 0.00307094 0.00323308 0.00316566 0.00946967
41500 0.00308344 0.00322046 0.00315222 0.00945612
41505 0.0030957 0.00321062 0.00313159 0.00943791
41510 0.00310932 0.00320707 0.0031049 0.00942129
41515 0.00312525 0.0032132 0.00307397 0.00941241
41520 0.00314341 0.00323172 0.00304109 0.00941622
41525 0.00316265 0.0032641 0.00300872 0.00943548
41530 0.003181 0.00331022 0.0029792 0.00947042
41535 0.00319633 0.0033682 0.00295455 0.00951908
41540 0.00320696 0.0034347 0.00293635 0.009578
41545 0.0032122 0.00350533 0.0029255 0.00964303
41550 0.00321275 0.00357541 0.0029225 0.00971066
41555 0.00321071 0.0036405 0.0029275 0.00977872
41560 0.00320917 0.00369674 0.00294028 0.00984619
41565 0.00321154 0.00374118 0.0029602 0.00991293
41570 0.0032208 0.00377204 0.0029861 0.00997894
41575 0.00323866 0.00378853 0.00301644 0.0100436
41580 0.00326511 0.00379088 0.00304925 0.0101052
41585 0.00329825 0.00378026 0.00308244 0.010161
41590 0.00333466 0.00375856 0.00311415 0.0102074
41595 0.00336996 0.00372824 0.00314305 0.0102412
41600 0.00339956 0.00369221 0.00316849 0.0102603
