0.0097847,4.48E-10,7.61E-10,-2.9868
0.0097863,-0.96507,1.6939,-2.9935
0.0097911,-1.9304,3.3876,-3.0137
0.0097992,-2.8961,5.0808,-3.0471
0.0098105,-3.8625,6.7734,-3.0937
0.0098252,-4.8298,8.4651,-3.1531
0.0098433,-5.7981,10.156,-3.225
0.0098648,-6.7677,11.845,-3.309
0.0098896,-7.7387,13.533,-3.4046
0.0099177,-8.7113,15.22,-3.5112
0.0099487,-9.6856,16.905,-3.6282
0.0099826,-10.662,18.589,-3.7551
0.010019,-11.64,20.271,-3.8911
0.010057,-12.62,21.951,-4.0356
0.010096,-13.601,23.629,-4.1877
0.010136,-14.585,25.306,-4.3467
0.010175,-15.571,26.982,-4.5119
0.010214,-16.559,28.656,-4.6824
0.01025,-17.549,30.328,-4.8574
0.010284,-18.541,32,-5.0362
0.010314,-19.535,33.67,-5.2179
0.010338,-20.53,35.34,-5.4017
0.010358,-21.527,37.008,-5.5868
0.010371,-22.525,38.677,-5.7725
0.010378,-23.525,40.344,-5.958
0.010378,-24.525,42.012,-6.1425
0.010371,-25.527,43.68,-6.3254
0.010356,-26.53,45.348,-6.5059
0.010334,-27.533,47.016,-6.6834
0.010306,-28.537,48.685,-6.8571
0.010271,-29.541,50.354,-7.0265
0.01023,-30.545,52.025,-7.1911
0.010182,-31.549,53.696,-7.3501
0.01013,-32.553,55.369,-7.5032
0.010077,-33.557,57.042,-7.6498
0.010025,-34.56,58.717,-7.7894
0.0099663,-35.562,60.394,-7.9217
0.0098926,-36.563,62.072,-8.0462
0.0098049,-37.564,63.752,-8.1627
0.0097203,-38.563,65.433,-8.271
0.009664,-39.561,67.116,-8.3708
0.0096514,-40.558,68.801,-8.4618
0.0096784,-41.553,70.487,-8.544
0.0097267,-42.546,72.175,-8.617
0.0097761,-43.538,73.865,-8.6807
0.0098127,-44.528,75.556,-8.7349
0.0098309,-45.516,77.248,-8.7794
0.0098325,-46.502,78.942,-8.8142
0.0098239,-47.487,80.637,-8.839
0.0098129,-48.47,82.333,-8.8539
0.0098058,-49.452,84.03,-8.8589
