# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  1 0.025 291.7 293.109
  2 0.075 304.1 297.418
  3 0.125 301.1 288.136
  4 0.175 304.5 283.236
  5 0.225 302.8 295.82
  6 0.275 302.2 299.893
  7 0.325 296.5 292.644
  8 0.375 296.4 306.203
  9 0.425 294.7 299.853
  10 0.475 305.6 301.978
  11 0.525 302.2 309.544
  12 0.575 298 294.727
  13 0.625 295.2 301.828
  14 0.675 299.5 293.163
  15 0.725 299.5 298.077
  16 0.775 301.6 301.784
  17 0.825 314.4 300.195
  18 0.875 299.7 294.085
  19 0.925 299.9 300.007
  20 0.975 290.4 295.477
2100 20 6000
  1 0.025 293.8 296.252
  2 0.075 303.7 285.277
  3 0.125 302.4 287.604
  4 0.175 302.2 291.568
  5 0.225 305.3 296.322
  6 0.275 302.5 306.88
  7 0.325 295.3 308.768
  8 0.375 296 299.137
  9 0.425 294.8 303.069
  10 0.475 306.1 304.65
  11 0.525 302.5 302.36
  12 0.575 295.1 307.798
  13 0.625 292.6 306.588
  14 0.675 300.4 309.039
  15 0.725 299.3 298.64
  16 0.775 302.1 286.576
  17 0.825 315.3 285.731
  18 0.875 298.5 290.674
  19 0.925 301.3 295.346
  20 0.975 290.8 304.373
3150 20 6000
  1 0.025 292.6 282.403
  2 0.075 304.2 282.978
  3 0.125 298.2 293.12
  4 0.175 302.2 287.57
  5 0.225 306 286.525
  6 0.275 300.7 300.819
  7 0.325 295.7 299.688
  8 0.375 296.7 301.524
  9 0.425 295.3 301.608
  10 0.475 304.4 300.97
  11 0.525 303.3 305.132
  12 0.575 296.4 309.592
  13 0.625 293.6 309.242
  14 0.675 300.8 307.367
  15 0.725 301.9 297.704
  16 0.775 302 298.689
  17 0.825 313.9 303.375
  18 0.875 300.2 299.752
  19 0.925 300.6 294.609
  20 0.975 291.3 295.602
4200 20 6000
  1 0.025 294.2 289.094
  2 0.075 304.3 289.493
  3 0.125 300.4 290.759
  4 0.175 304.1 298.25
  5 0.225 304.7 295.296
  6 0.275 302.2 303.223
  7 0.325 296.2 299.889
  8 0.375 297.3 293.824
  9 0.425 293.8 294.402
  10 0.475 308.1 294.014
  11 0.525 302.9 306.09
  12 0.575 295.4 302.138
  13 0.625 292.7 306.184
  14 0.675 297.8 312.523
  15 0.725 301.1 306.463
  16 0.775 302.2 297.448
  17 0.825 313.3 292.748
  18 0.875 297.8 301.942
  19 0.925 301.2 303.856
  20 0.975 290.3 285.247
5250 20 6000
  1 0.025 292.3 294.223
  2 0.075 304.3 289.694
  3 0.125 300.8 292.753
  4 0.175 302.2 285.186
  5 0.225 303.9 311.339
  6 0.275 300.5 319.482
  7 0.325 294.2 305.64
  8 0.375 297.2 300.637
  9 0.425 295.4 300.625
  10 0.475 305.5 297.559
  11 0.525 302.9 301.621
  12 0.575 297.4 293.158
  13 0.625 293.2 320.166
  14 0.675 299.9 305.442
  15 0.725 300.9 300.472
  16 0.775 304 293.915
  17 0.825 314.7 285.023
  18 0.875 299.5 286.668
  19 0.925 299.1 287.545
  20 0.975 292.1 297.74
6300 20 6000
  1 0.025 293.5 289.319
  2 0.075 306.8 292.465
  3 0.125 300.2 294.044
  4 0.175 302.1 296.29
  5 0.225 303.4 309.658
  6 0.275 302.1 301.557
  7 0.325 295.3 295.29
  8 0.375 298.5 296.378
  9 0.425 295.2 301.077
  10 0.475 306.1 308.607
  11 0.525 303.1 314.231
  12 0.575 294.8 315.469
  13 0.625 292.9 305.267
  14 0.675 298.6 302.189
  15 0.725 302.9 300.878
  16 0.775 300.6 295.775
  17 0.825 314.1 289.934
  18 0.875 299.5 291.639
  19 0.925 299.3 302.329
  20 0.975 291 297.62
7350 20 6000
  1 0.025 292.7 281.963
  2 0.075 304.9 279.588
  3 0.125 301.6 280.85
  4 0.175 300.7 295.049
  5 0.225 303.5 301.096
  6 0.275 301.7 286.646
  7 0.325 294.1 314.054
  8 0.375 297.5 308.318
  9 0.425 293.8 296.829
  10 0.475 306.5 305.001
  11 0.525 301.9 308.473
  12 0.575 296.4 301.789
  13 0.625 293.5 301.625
  14 0.675 299.7 303.114
  15 0.725 301.7 301.438
  16 0.775 302.4 297.199
  17 0.825 314.1 285.819
  18 0.875 300.3 299.643
  19 0.925 300.6 300.973
