# Time-averaged data for fix fout1
# TimeStep v_energy v_temperature
100 -1264.41 298
200 -1264.54 298
300 -1264.61 298
400 -1265.07 298
500 -1265.8 298
600 -1266.57 298
700 -1267.08 298
800 -1266.82 298
900 -1266.88 298
1000 -1267.49 298
1100 -1267.37 298
1200 -1268.06 298
1300 -1267.73 298
1400 -1268.25 298
1500 -1268.14 298
1600 -1268.8 298
1700 -1268.38 298
1800 -1269.4 298
1900 -1269.41 298
2000 -1269.3 298
2100 -1269.72 298
2200 -1269.76 298
2300 -1269.76 298
2400 -1269.58 298
2500 -1269.79 298
2600 -1270.09 298
2700 -1269.75 298
2800 -1269.83 298
2900 -1269.8 298
3000 -1269.64 298
3100 -1269.79 298
3200 -1270.04 298
3300 -1270.08 298
3400 -1269.94 298
3500 -1270.04 298
3600 -1270.06 298
3700 -1269.92 298
3800 -1269.9 298
3900 -1269.93 298
4000 -1270.14 298
4100 -1269.96 298
4200 -1270.31 298
4300 -1269.97 298
4400 -1270.35 298
4500 -1270.32 298
4600 -1270.35 298
4700 -1270.35 298
4800 -1270.11 298
4900 -1270.56 298
5000 -1270.47 298
5100 -1270.24 298
5200 -1270.24 298
5300 -1270.49 298
5400 -1270.68 298
5500 -1270.6 298
5600 -1270.95 298
5700 -1270.66 298
5800 -1271.32 298
5900 -1271 298
6000 -1270.87 298
6100 -1271.27 298
6200 -1271.26 298
6300 -1271.21 298
6400 -1271.3 298
6500 -1271.03 298
6600 -1271.37 298
6700 -1271.59 298
6800 -1271.59 298
6900 -1271.42 298
7000 -1271.41 298
7100 -1271.56 298
7200 -1271.55 298
7300 -1271.64 298
7400 -1271.68 298
7500 -1271.63 298
7600 -1271.53 298
7700 -1271.41 298
7800 -1271.84 298
7900 -1271.65 298
8000 -1271.45 298
8100 -1271.65 298
8200 -1271.79 298
8300 -1271.96 298
8400 -1271.88 298
8500 -1272.1 298
8600 -1272.25 298
8700 -1272.27 298
8800 -1272.46 298
8900 -1272.34 298
9000 -1272.09 298
9100 -1272.35 298
9200 -1272.15 298
9300 -1272.1 298
9400 -1272.21 298
9500 -1272.1 298
9600 -1272.04 298
9700 -1272.21 298
9800 -1271.95 298
9900 -1272.55 298
10000 -1272.17 298
10100 -1272.32 298
10200 -1272.56 298
10300 -1272.51 298
10400 -1272.21 298
10500 -1272.25 298
10600 -1272.21 298
10700 -1272.09 298
10800 -1272.22 298
10900 -1272.16 298
11000 -1272.21 298
11100 -1272.66 298
11200 -1272.55 298
11300 -1272.31 298
11400 -1272.35 298
11500 -1272.32 298
11600 -1272.55 298
11700 -1272.73 298
11800 -1272.39 298
11900 -1272.61 298
12000 -1272.85 298
12100 -1272.61 298
12200 -1273.04 298
12300 -1272.63 298
12400 -1272.5 298
12500 -1272.88 298
12600 -1272.8 298
12700 -1272.89 298
12800 -1272.85 298
12900 -1272.84 298
13000 -1273 298
13100 -1272.97 298
13200 -1273 298
13300 -1273.38 298
13400 -1273.34 298
13500 -1273.26 298
13600 -1273.45 298
13700 -1273.32 298
13800 -1273.51 298
13900 -1273.52 298
14000 -1273.66 298
14100 -1273.53 298
14200 -1273.54 298
14300 -1273.87 298
14400 -1273.82 298
14500 -1274.06 298
14600 -1273.81 298
14700 -1274.06 298
14800 -1274.35 298
14900 -1274.24 298
15000 -1274.01 298
15100 -1274.05 298
15200 -1274.05 298
15300 -1273.85 298
15400 -1274.01 298
15500 -1273.76 298
15600 -1273.97 298
15700 -1273.84 298
15800 -1274.09 298
15900 -1274.07 298
16000 -1274.19 298
16100 -1273.98 298
16200 -1274.06 298
16300 -1274.33 298
16400 -1274.01 298
16500 -1274.12 298
16600 -1274.22 298
16700 -1274.15 298
16800 -1274.23 298
16900 -1274.16 298
17000 -1274.58 298
17100 -1274.25 298
17200 -1274.52 298
17300 -1274.72 298
17400 -1274.4 298
17500 -1274.12 298
17600 -1274.41 298
17700 -1273.88 298
17800 -1274.34 298
17900 -1274.12 298
18000 -1274.23 298
18100 -1274.15 298
18200 -1274.32 298
18300 -1274.07 298
18400 -1274.19 298
18500 -1274.27 298
18600 -1274.45 298
18700 -1274.4 298
18800 -1274.54 298
18900 -1274.21 298
19000 -1274.23 298
19100 -1274.45 298
19200 -1274.44 298
19300 -1274.48 298
19400 -1274.52 298
19500 -1274.48 298
19600 -1274.39 298
19700 -1274.68 298
19800 -1274.4 298
19900 -1274.85 298
20000 -1274.43 298
20100 -1274.7 298
20200 -1274.65 298
20300 -1274.67 298
20400 -1274.5 298
20500 -1275 298
20600 -1274.8 298
20700 -1274.57 298
20800 -1274.93 298
20900 -1274.84 298
21000 -1274.71 298
21100 -1274.74 298
21200 -1274.95 298
21300 -1274.4 298
21400 -1274.53 298
21500 -1274.89 298
21600 -1274.6 298
21700 -1274.53 298
21800 -1274.23 298
21900 -1274.57 298
22000 -1274.4 298
22100 -1274.62 298
22200 -1274.85 298
22300 -1274.61 298
22400 -1274.54 298
22500 -1274.52 298
22600 -1274.91 298
22700 -1274.43 298
22800 -1274.57 298
22900 -1274.78 298
23000 -1274.51 298
23100 -1274.78 298
23200 -1274.77 298
23300 -1274.46 298
23400 -1274.88 298
23500 -1274.54 298
23600 -1274.35 298
23700 -1274.77 298
23800 -1274.71 298
23900 -1274.84 298
24000 -1274.54 298
24100 -1275.05 298
24200 -1274.82 298
24300 -1274.96 298
24400 -1275.05 298
24500 -1274.84 298
24600 -1275.03 298
24700 -1274.76 298
24800 -1275.01 298
24900 -1275.07 298
25000 -1274.74 298
25100 -1274.96 298
25200 -1274.9 298
25300 -1274.97 298
25400 -1275.05 298
25500 -1274.78 298
25600 -1274.96 298
25700 -1275.03 298
25800 -1275.15 298
25900 -1274.49 298
26000 -1275.02 298
26100 -1275.15 298
26200 -1274.61 298
26300 -1274.76 298
26400 -1275.09 298
26500 -1274.89 298
26600 -1274.65 298
26700 -1274.97 298
26800 -1275.08 298
26900 -1275.23 298
27000 -1274.61 298
27100 -1274.76 298
27200 -1275.16 298
27300 -1275.31 298
27400 -1275.46 298
27500 -1275.28 298
27600 -1275.17 298
27700 -1275.48 298
27800 -1275.16 298
27900 -1275.42 298
28000 -1275 298
28100 -1275.01 298
28200 -1275.05 298
28300 -1275.02 298
28400 -1275.44 298
28500 -1275.2 298
28600 -1275.37 298
28700 -1274.91 298
28800 -1275.38 298
28900 -1275.32 298
29000 -1275.92 298
29100 -1276.03 298
29200 -1275.76 298
29300 -1275.65 298
29400 -1275.87 298
29500 -1275.55 298
29600 -1275.55 298
29700 -1275.89 298
29800 -1275.61 298
