ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
10800
ITEM: BOX BOUNDS xy xz yz pp pp pp
-6.6445437701023025e-01 2.1656845437701239e+02 0.0000000000000000e+00
-5.8435811700901397e-02 2.1648835811700451e+01 0.0000000000000000e+00
-1.9061702000646719e-01 2.5950617020006881e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
6 1 0.319799 0.823714 2.1917 -7.79911 0.200855 0.511828 -0.641361 
2166 1 0.0411153 0.759757 7.46181 -8.02514 1.05635 0.297498 -0.560948 
4326 1 0.441487 0.991096 12.5351 -8.01684 -0.368949 -0.966171 0.933653 
366 1 0.212056 4.55089 2.13324 -8.49521 -0.832051 -1.46732 0.457298 
2526 1 0.482356 4.23777 7.31797 -7.78404 -0.705606 0.401146 -0.240871 
4686 1 0.0803715 4.51445 12.6096 -7.76254 -0.586341 -0.20383 -0.111303 
726 1 0.270282 7.94427 2.22478 -7.62287 -0.0958983 -0.12592 -0.933558 
2886 1 0.278352 8.03542 7.40999 -8.15758 -0.35569 0.729992 -1.01738 
1443 1 2.20073 17.2648 0.0920333 -7.95245 -1.76039 -0.587151 -0.182383 
1086 1 0.306671 11.6396 2.29147 -7.60636 -0.0631321 0.75928 -0.815303 
3246 1 0.253694 11.545 7.41919 -7.96429 -0.0910512 0.649192 -0.345719 
5772 1 3.75582 15.3857 12.6002 -8.25239 -0.245521 -0.270059 0.051455 
1446 1 0.390527 15.3375 2.11375 -7.9395 -0.274933 -0.0137383 -0.528764 
3606 1 0.0860487 15.2479 7.37689 -8.52312 0.813808 -0.494475 0.0359451 
1809 1 5.82785 20.8521 0.125618 -7.47404 -0.738456 -0.66225 -0.14743 
1806 1 0.22865 18.9573 2.24203 -7.83484 -0.732255 -1.15073 -0.495229 
3966 1 0.25142 18.996 7.35109 -8.02721 0.0728617 -1.88505 0.469729 
6126 1 0.0955755 18.9384 12.5548 -7.54713 0.949493 0.628425 -1.03594 
12 1 3.8494 0.886591 2.14083 -8.14395 -0.49096 -0.631039 0.0226306 
2172 1 4.16433 0.799862 7.41765 -7.88588 -1.00437 -0.469512 0.262656 
4332 1 3.83806 0.940464 12.7418 -8.4652 0.814981 -0.0870144 0.114799 
372 1 4.1195 4.44017 2.05673 -7.64308 -0.370266 -1.59237 -0.0468094 
2532 1 3.90135 4.30168 7.425 -8.16204 -0.305279 0.392333 -1.24305 
4692 1 4.06397 4.39649 12.5807 -7.98253 -0.326126 2.06182 0.544376 
732 1 3.76672 8.02758 2.16034 -7.59404 1.77073 0.432675 -0.675613 
2892 1 3.83029 7.92093 7.24251 -7.42765 -0.501935 0.152449 0.205194 
5430 1 14.9011 11.5574 12.6513 -7.66622 -0.382259 0.694663 0.342381 
1092 1 3.72072 11.6158 2.10124 -7.60639 -0.0599116 -0.606881 0.620175 
3252 1 3.87498 11.6634 7.34988 -7.91691 -0.293671 0.36966 -0.15313 
5412 1 3.98174 11.5874 12.539 -7.71019 0.396108 1.73958 0.768781 
1452 1 3.8816 15.3338 2.29214 -7.486 0.570794 1.19273 -1.60583 
3612 1 3.903 15.2857 7.36886 -8.40513 -0.986404 0.121231 0.321072 
6132 1 3.90558 19.0504 12.6522 -8.41658 -0.114065 -0.611408 0.280981 
1812 1 4.00508 19.0765 2.27793 -8.26712 0.165549 -0.294796 -0.28582 
3972 1 3.72131 18.8288 7.5763 -7.78087 0.00680453 1.94429 -1.90234 
4350 1 14.8798 0.93388 12.6507 -7.57374 -0.25911 0.402737 0.0443391 
18 1 7.68302 0.92704 2.08039 -7.48927 0.269754 -0.861033 1.21941 
2178 1 7.34871 0.899401 7.46784 -7.89977 2.05746 -2.27929 -0.330945 
4338 1 7.50267 0.978812 12.57 -7.85584 0.793949 -0.871438 1.00378 
378 1 7.62665 4.45126 2.13374 -7.83555 -0.457417 -0.487849 0.686182 
2538 1 7.47082 4.36357 7.28508 -7.47434 -0.35022 1.57994 1.27443 
4698 1 7.54593 4.57448 12.5817 -7.66683 -1.06341 -0.389597 -0.482479 
738 1 7.42737 8.03781 2.27039 -7.85883 -0.292712 -0.261881 -0.492179 
2898 1 7.41771 8.02165 7.43691 -8.01609 -0.131971 0.340931 0.237765 
5058 1 7.69827 8.10361 12.505 -7.56529 -0.46033 1.18049 1.11947 
1098 1 7.68161 11.8107 2.19665 -7.13138 -1.36718 -1.39457 0.101355 
3258 1 7.35616 11.5946 7.37391 -8.042 -0.430339 1.30027 -0.146107 
729 1 5.50241 10.0245 0.129185 -7.22521 1.93395 -0.296818 -0.0359785 
1458 1 7.49947 15.1481 2.1791 -7.61171 -0.886609 0.137441 -0.537053 
3618 1 7.41674 15.4295 7.35491 -8.3283 -0.0336691 -0.579522 0.635453 
5778 1 7.61971 15.3505 12.6233 -8.40525 -0.623767 -0.243896 0.346972 
1818 1 7.54461 18.8549 2.25308 -8.38642 1.15459 0.566229 1.06282 
3978 1 7.50777 18.8329 7.21977 -7.43953 0.444528 0.169033 2.89977 
5766 1 0.527042 15.1416 12.6777 -7.82486 -0.857685 1.22555 -1.7311 
24 1 11.1932 0.863577 2.22245 -8.32088 0.882271 -0.84032 0.700492 
2184 1 11.2536 0.71215 7.54572 -7.91661 -1.52248 0.947282 -0.984179 
4344 1 10.8594 0.751322 12.6545 -8.29183 0.333676 0.404066 0.614487 
384 1 11.1936 4.4412 2.28463 -8.02893 -0.304527 -0.358772 -0.524193 
2544 1 11.0905 4.48304 7.34067 -7.76658 -0.248019 -0.0566182 1.2205 
4704 1 11.259 4.36318 12.6382 -7.85602 -0.867061 1.32938 -0.392215 
744 1 11.2258 8.1852 2.23195 -7.61081 -0.699073 -0.845635 0.509428 
2904 1 10.9478 8.0384 7.44047 -8.04532 -0.301985 -0.470834 -0.449099 
1449 1 5.62075 17.0473 0.0779068 -7.71754 0.203031 -0.217998 -0.168195 
1104 1 10.99 11.5189 2.20317 -7.29429 0.513723 0.777125 -1.30546 
3264 1 11.0383 11.6397 7.41844 -8.3392 0.246393 0.142486 -1.22167 
5424 1 11.4311 11.6409 12.4142 -7.24893 -0.647457 0.545362 0.101064 
1464 1 11.1125 15.249 2.18638 -7.73756 1.52414 -0.259774 -1.00864 
3624 1 11.067 15.2582 7.31931 -7.8191 -0.0252831 -1.44511 1.08819 
5784 1 11.0876 15.4217 12.6472 -7.72347 1.3445 -0.829569 0.356879 
1824 1 11.016 18.8413 2.18184 -7.52593 -1.10603 0.192148 -1.17191 
3984 1 11.2453 18.9456 7.32703 -7.92489 -0.646537 1.0072 0.844874 
5052 1 3.70738 8.11828 12.5437 -8.07878 0.606446 -0.440822 0.112084 
30 1 14.7229 0.800063 2.13099 -7.80852 0.0610906 -0.291996 0.333259 
2190 1 14.6735 0.90187 7.42076 -7.62753 0.79732 0.131142 0.174902 
723 1 1.88944 9.98869 0.0528847 -7.44087 -0.315857 -1.18772 0.721979 
390 1 14.727 4.55879 2.13978 -8.19881 0.421819 0.263694 0.74086 
2550 1 14.6027 4.36336 7.45361 -8.10284 0.911886 0.0632502 0.0335616 
4710 1 14.6802 4.36814 12.6832 -8.30002 -0.107861 0.20693 -0.0461344 
750 1 14.5988 8.11623 2.31138 -7.92347 1.26953 -1.11171 -0.9282 
2910 1 14.7856 7.96363 7.43454 -7.25621 -0.715963 0.838408 0.216548 
5070 1 14.7468 7.96169 12.7861 -7.78555 -0.197244 -0.474121 -1.7315 
1110 1 14.91 11.7526 2.27344 -7.92485 -0.584117 -0.891258 -1.42483 
3270 1 14.5991 11.5481 7.49227 -8.24298 0.149096 1.24347 -0.892696 
1089 1 5.6615 13.3767 0.0853753 -8.00987 -0.818012 1.02979 -1.56208 
1470 1 14.6832 15.1177 2.28267 -8.14368 -0.557633 0.545963 0.0592045 
3630 1 14.6198 15.2766 7.35398 -7.49184 -0.155981 0.825737 1.51318 
5790 1 14.4847 15.3378 12.6661 -7.79414 0.632645 0.766776 -0.0798529 
1830 1 14.9446 18.9027 2.28589 -7.65821 -1.28729 0.388298 -0.493252 
3990 1 14.6991 18.8169 7.46033 -7.72899 -0.0802335 0.00553777 -0.68144 
6150 1 14.6692 19.0629 12.6911 -8.0322 -0.284793 -1.89766 -0.0193598 
5 1 0.554514 0.829812 4.80907 -8.10014 -0.468364 0.958804 0.734122 
2165 1 0.101077 0.811097 10.0356 -7.88375 1.33302 -0.818209 -0.25266 
365 1 0.060923 4.58904 4.75777 -8.20506 2.37911 -0.365929 -0.0544223 
2525 1 0.325616 4.37833 9.99457 -7.90142 -0.771228 0.577801 0.0582473 
725 1 0.299194 8.2012 4.69562 -7.98112 0.194003 -0.378825 2.06226 
2885 1 0.156878 7.89019 10.013 -7.75811 -0.705485 0.284728 -0.376954 
1085 1 0.10974 11.5689 4.79213 -8.17197 1.07998 -0.196207 1.44902 
