Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Tc, -160.65304595, Tc_ONCV_PBE-1.0.oncvpsp.upf, 30, 120, 15.00, SG15, -1.04, 2.83
Te, -26.26874239, Te_pbe_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.00
Th, -965.83295850, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 2.04, 2.06
Ti, -118.87145132, ti_pbe_v1.4.uspp.F.UPF, 35, 280, 12.00, GBRV-1.4, 0.10, 1.90
Tl, -144.79390425, Tl_pbe_v1.2.uspp.F.UPF, 50, 400, 13.00, GBRV-1.2, 0.00, 0.01
Tm, -946.26644405, Tm.paw.z_23.atompaw.wentzcovitch.v1.2.upf, 40, 320, 23.00, Wentzcovitch, -0.22, 0.38
U, -1028.10709132, U.paw.z_14.ld1.uni-marburg.v0.upf, 60, 480, 14.00, MalteSachs, 0.01, 2.77
V, -144.60205360, v_pbe_v1.4.uspp.F.UPF, 35, 280, 13.00, GBRV-1.4, 0.11, 2.19
W, -158.44736723, W_pbe_v1.2.uspp.F.UPF, 30, 240, 14.00, GBRV-1.2, -2.03, 3.41
Xe, -231.78648038, Xe_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 18.00, SG15-1.1, -0.00, 0.00
Yb, -1011.04673457, Yb.paw.z_24.atompaw.wentzcovitch.v1.2.upf, 40, 320, 24.00, Wentzcovitch, -0.00, 0.00
Y, -87.26730212, Y_pbe_v1.uspp.F.UPF, 35, 280, 11.00, GBRV-1.2, 0.00, 0.00
Zn, -461.48592109, Zn_pbe_v1.uspp.F.UPF, 40, 320, 20.00, GBRV-1.2, -0.00, 0.00
Zr, -98.70946261, Zr_pbe_v1.uspp.F.UPF, 30, 240, 12.00, GBRV-1.2, 0.00, 0.00
