# Time-averaged data for fix f3
# TimeStep c_Mgmsd[1] c_Mgmsd[2] c_Mgmsd[3] c_Mgmsd[4]
1000 0.0519099 0.0526236 0.0371304 0.141664
2000 0.0524842 0.05352 0.0380962 0.1441
3000 0.0525558 0.0528603 0.0372472 0.142663
4000 0.0534407 0.0546091 0.0421381 0.150188
5000 0.0526274 0.0535273 0.0425919 0.148747
6000 0.0532136 0.0555826 0.0426478 0.151444
7000 0.0536453 0.0540983 0.0406199 0.148363
8000 0.0547 0.0549199 0.0424367 0.152057
9000 0.0542297 0.0536016 0.0444169 0.152248
10000 0.056954 0.0547201 0.0429998 0.154674
11000 0.0541601 0.0540021 0.0414899 0.149652
12000 0.0545056 0.0535294 0.0464483 0.154483
13000 0.0541372 0.052204 0.0454097 0.151751
14000 0.0549885 0.0529099 0.045556 0.153454
15000 0.0558862 0.0545943 0.0485357 0.159016
16000 0.0553591 0.054716 0.0445359 0.154611
17000 0.0537187 0.0537991 0.0457833 0.153301
18000 0.0530406 0.0525181 0.0466045 0.152163
19000 0.0546247 0.0526154 0.042062 0.149302
20000 0.0555953 0.0539313 0.0430186 0.152545
21000 0.0546893 0.0549043 0.0427333 0.152327
22000 0.0550068 0.0528083 0.0443785 0.152194
23000 0.054873 0.0546409 0.0448001 0.154314
24000 0.0526411 0.0533089 0.0438807 0.149831
25000 0.054858 0.0532043 0.0440104 0.152073
26000 0.0543985 0.0551012 0.0428274 0.152327
27000 0.0553748 0.0547318 0.0397945 0.149901
28000 0.0545751 0.05548 0.0427675 0.152823
29000 0.0542253 0.0515805 0.0445024 0.150308
30000 0.054909 0.0530324 0.0444426 0.152384
31000 0.0561635 0.0550392 0.045272 0.156475
32000 0.0551817 0.0546617 0.0466911 0.156534
33000 0.0547159 0.0551288 0.0511211 0.160966
34000 0.0565013 0.0548221 0.0523065 0.16363
35000 0.0544833 0.0546778 0.0486841 0.157845
36000 0.0531637 0.0538936 0.0474044 0.154462
37000 0.0543843 0.0554875 0.051113 0.160985
38000 0.0555542 0.0547201 0.0468053 0.15708
39000 0.0552292 0.0536045 0.0470269 0.155861
40000 0.0536298 0.054692 0.0456174 0.153939
41000 0.0535434 0.0566905 0.0447113 0.154945
42000 0.054127 0.0590508 0.0460368 0.159215
43000 0.0536727 0.0555929 0.0435982 0.152864
44000 0.0559717 0.0540836 0.0468492 0.156904
45000 0.0578647 0.0546462 0.0486028 0.161114
46000 0.0567798 0.0554638 0.0483756 0.160619
47000 0.056288 0.0556312 0.0439596 0.155879
48000 0.054545 0.0543572 0.0452801 0.154182
49000 0.0533903 0.0537996 0.044653 0.151843
50000 0.0537966 0.0535548 0.0441511 0.151503
51000 0.0536106 0.0549114 0.0434964 0.152018
52000 0.0537221 0.0556802 0.047714 0.157116
53000 0.056165 0.0567366 0.046447 0.159349
54000 0.0568869 0.057151 0.0435011 0.157539
55000 0.0559842 0.056448 0.0461189 0.158551
56000 0.0559919 0.0550205 0.045448 0.15646
57000 0.0572185 0.0561824 0.0476317 0.161032
58000 0.0584296 0.0539141 0.0474953 0.159839
59000 0.0582907 0.0577803 0.0532107 0.169282
60000 0.0577808 0.0568726 0.0534168 0.16807
61000 0.0573028 0.0568036 0.0538615 0.167968
62000 0.0573538 0.0571378 0.0532644 0.167756
63000 0.0567895 0.0571985 0.0554833 0.169471
64000 0.0558975 0.0583831 0.0508272 0.165108
65000 0.0571372 0.0584928 0.0516617 0.167292
66000 0.0568003 0.0557228 0.0450649 0.157588
67000 0.0588006 0.0562664 0.0470729 0.16214
68000 0.0574652 0.055486 0.0499001 0.162851
69000 0.0560322 0.0557135 0.0491938 0.160939
70000 0.0529923 0.0548429 0.0497469 0.157582
71000 0.0559818 0.0538285 0.0542131 0.164023
72000 0.0557369 0.055122 0.0493447 0.160204
73000 0.0555209 0.0561176 0.0488258 0.160464
74000 0.0551618 0.0561685 0.0538466 0.165177
75000 0.0554437 0.0565742 0.0505295 0.162548
76000 0.0560299 0.0552672 0.0495726 0.16087
77000 0.0556908 0.0541495 0.0503432 0.160183
78000 0.0553248 0.0551214 0.0479612 0.158407
79000 0.056647 0.0564439 0.0469551 0.160046
80000 0.0593466 0.0564535 0.0517021 0.167502
81000 0.0578098 0.0557311 0.0481678 0.161709
82000 0.058718 0.0560317 0.0518031 0.166553
83000 0.0580765 0.0547751 0.0475837 0.160435
84000 0.0561143 0.0558923 0.0467361 0.158743
85000 0.0569263 0.0555592 0.0497119 0.162197
86000 0.0559387 0.056001 0.0508484 0.162788
87000 0.0559725 0.0567801 0.0487778 0.16153
88000 0.05484 0.054633 0.0483358 0.157809
89000 0.0564055 0.0558713 0.0497104 0.161987
90000 0.0544003 0.0557023 0.0488369 0.158939
91000 0.0543135 0.0565489 0.0475036 0.158366
92000 0.0556517 0.0567206 0.0455466 0.157919
93000 0.0546457 0.0571349 0.0468313 0.158612
94000 0.053476 0.0572228 0.0490447 0.159744
95000 0.0539435 0.0559714 0.0463089 0.156224
96000 0.0558047 0.0566999 0.0463238 0.158828
97000 0.0550156 0.0574741 0.0473814 0.159871
98000 0.0555024 0.055569 0.0488757 0.159947
99000 0.0544658 0.0563837 0.0510568 0.161906
100000 0.055233 0.0580663 0.0489032 0.162202
