# Time-averaged data for fix f2
# TimeStep c_Almsd[1] c_Almsd[2] c_Almsd[3] c_Almsd[4]
1000 0.0516939 0.0507683 0.0401596 0.142622
2000 0.0519245 0.0512697 0.0413565 0.144551
3000 0.0523497 0.0513909 0.0403751 0.144116
4000 0.0534702 0.0540796 0.045886 0.153436
5000 0.0523852 0.0524939 0.0446775 0.149557
6000 0.0535382 0.0545512 0.0461376 0.154227
7000 0.0537795 0.0536332 0.0442135 0.151626
8000 0.0534456 0.0538783 0.0466022 0.153926
9000 0.0527499 0.0518637 0.0496755 0.154289
10000 0.0555319 0.0533568 0.046697 0.155586
11000 0.0527745 0.05271 0.0464765 0.151961
12000 0.053967 0.0519163 0.0494388 0.155322
13000 0.0550646 0.0512979 0.0501265 0.156489
14000 0.0561609 0.0524538 0.0503554 0.15897
15000 0.0559399 0.0538641 0.0552029 0.165007
16000 0.0577459 0.0540054 0.0501621 0.161913
17000 0.058476 0.054444 0.0545395 0.16746
18000 0.0581558 0.0544885 0.055285 0.167929
19000 0.0585598 0.0543795 0.0512897 0.164229
20000 0.0584247 0.0549189 0.0520388 0.165382
21000 0.0575884 0.0545827 0.0504915 0.162663
22000 0.0576931 0.0529022 0.0520695 0.162665
23000 0.0572277 0.0550918 0.0516466 0.163966
24000 0.0566116 0.053501 0.0500103 0.160123
25000 0.0580181 0.0546523 0.0523112 0.164982
26000 0.0587167 0.055587 0.0516422 0.165946
27000 0.0597207 0.05553 0.0480741 0.163325
28000 0.0591049 0.0564322 0.0524275 0.167965
29000 0.0605339 0.0547772 0.0541758 0.169487
30000 0.0623275 0.0574445 0.0550506 0.174823
31000 0.0658485 0.0600479 0.0572874 0.183184
32000 0.0672824 0.0612874 0.0598226 0.188392
33000 0.0691948 0.063433 0.0644272 0.197055
34000 0.0703377 0.0629712 0.0661601 0.199469
35000 0.0696577 0.0660834 0.0639948 0.199736
36000 0.0689813 0.065458 0.0636142 0.198053
37000 0.0708815 0.0666834 0.0664867 0.204052
38000 0.0717857 0.066878 0.0619846 0.200648
39000 0.0719484 0.0655905 0.0622915 0.19983
40000 0.0683059 0.0653634 0.0597786 0.193448
41000 0.0681722 0.0664016 0.0595019 0.194076
42000 0.069785 0.0691405 0.061085 0.200011
43000 0.0701886 0.0674834 0.059286 0.196958
44000 0.0700506 0.0662814 0.0627328 0.199065
45000 0.0734055 0.0662699 0.0634858 0.203161
46000 0.0728148 0.0662035 0.0636676 0.202686
47000 0.0725754 0.0665047 0.0598527 0.198933
48000 0.0697544 0.064889 0.0588734 0.193517
49000 0.0699761 0.0649669 0.0588492 0.193792
50000 0.0702097 0.0647667 0.05769 0.192666
51000 0.0701497 0.0655656 0.0577645 0.19348
52000 0.0706411 0.0668243 0.0623019 0.199767
53000 0.0709532 0.06767 0.06036 0.198983
54000 0.0713623 0.0680215 0.0578127 0.197197
55000 0.069345 0.0659854 0.0595226 0.194853
56000 0.0682838 0.0643454 0.0596931 0.192322
57000 0.0710453 0.0662158 0.0614396 0.198701
58000 0.0729274 0.064979 0.0631035 0.20101
59000 0.0710289 0.0668875 0.0616418 0.199558
60000 0.0721656 0.065745 0.0612119 0.199122
61000 0.0717994 0.0660233 0.062618 0.200441
62000 0.0700009 0.0639226 0.0593864 0.19331
63000 0.0700379 0.0645628 0.062059 0.19666
64000 0.0697356 0.0668383 0.0593939 0.195968
65000 0.070686 0.0666327 0.0586403 0.195959
66000 0.0698056 0.0651364 0.0532741 0.188216
67000 0.0731446 0.0661476 0.0545753 0.193867
68000 0.071301 0.0644298 0.0582386 0.193969
69000 0.0706312 0.0646247 0.057087 0.192343
70000 0.0681101 0.0639273 0.0565496 0.188587
71000 0.069446 0.0627776 0.0591193 0.191343
72000 0.0687784 0.063956 0.0566867 0.189421
73000 0.0693443 0.0653801 0.0570659 0.19179
74000 0.0691509 0.0655209 0.0600559 0.194728
75000 0.0703467 0.0660386 0.0579733 0.194359
76000 0.0705286 0.0647927 0.0573141 0.192635
77000 0.0703985 0.0642458 0.0608862 0.195531
78000 0.0696165 0.0648949 0.0569931 0.191504
79000 0.0691351 0.0632235 0.0541397 0.186498
80000 0.0702369 0.0624077 0.0569424 0.189587
81000 0.0674248 0.0605056 0.0545137 0.182444
82000 0.069321 0.0638313 0.0577061 0.190858
83000 0.0697336 0.0651977 0.0557745 0.190706
84000 0.0700131 0.0654261 0.055023 0.190462
85000 0.0695409 0.0655991 0.0564164 0.191556
86000 0.0698052 0.0659774 0.0586685 0.194451
87000 0.0690237 0.0654573 0.0567525 0.191234
88000 0.0691822 0.0643416 0.057455 0.190979
89000 0.0703263 0.0651974 0.055469 0.190993
90000 0.0699094 0.0655635 0.0551203 0.190593
91000 0.0708459 0.066303 0.0548892 0.192038
92000 0.0706301 0.0659121 0.0525622 0.189104
93000 0.0703293 0.0668749 0.0544488 0.191653
94000 0.0696346 0.0663036 0.0547634 0.190702
95000 0.0696697 0.0661971 0.0537659 0.189633
96000 0.0714116 0.0660321 0.0540474 0.191491
97000 0.0723532 0.0671028 0.0556477 0.195104
98000 0.0696334 0.0652772 0.0561389 0.19105
99000 0.0687548 0.0649389 0.058095 0.191789
100000 0.0697978 0.06749 0.0552079 0.192496
