# Time-averaged data for fix f5
# TimeStep c_allmsd[1] c_allmsd[2] c_allmsd[3] c_allmsd[4]
1000 0.0517517 0.0509112 0.0400032 0.142666
2000 0.0520183 0.0514593 0.0411786 0.144656
3000 0.0524139 0.0515287 0.0402037 0.144146
4000 0.0535374 0.0541567 0.0456884 0.153382
5000 0.0524555 0.0526278 0.044633 0.149716
6000 0.0535661 0.0546734 0.0459882 0.154228
7000 0.0538206 0.0537274 0.0440631 0.151611
8000 0.0535697 0.0539998 0.0463836 0.153953
9000 0.0529067 0.0520268 0.0494063 0.15434
10000 0.0556706 0.0534918 0.046549 0.155711
11000 0.0529143 0.0528384 0.0461844 0.151937
12000 0.0540613 0.0520666 0.0493302 0.155458
13000 0.0550499 0.0514017 0.0499154 0.156367
14000 0.0561184 0.0525297 0.0501226 0.158771
15000 0.0559856 0.0539509 0.0548345 0.164771
16000 0.0576133 0.0540515 0.0498478 0.161513
17000 0.0582007 0.0544327 0.0540525 0.166686
18000 0.0578403 0.0543857 0.0547662 0.166992
19000 0.0583466 0.0542999 0.0507228 0.163369
20000 0.0582942 0.0548998 0.0514975 0.164692
21000 0.0574322 0.0546317 0.0500205 0.162084
22000 0.0575489 0.0529192 0.0516122 0.16208
23000 0.0571155 0.0550939 0.0512553 0.163465
24000 0.056381 0.0535093 0.0496829 0.159573
25000 0.057851 0.0545887 0.0518305 0.16427
26000 0.0584723 0.0555847 0.0511047 0.165162
27000 0.0594586 0.0554984 0.0475313 0.162488
28000 0.0588394 0.0563727 0.051804 0.167016
29000 0.0601532 0.054589 0.0535949 0.168337
30000 0.061875 0.0571759 0.0543573 0.173408
31000 0.0652326 0.0597386 0.0565076 0.181479
32000 0.0664907 0.0608592 0.0589468 0.186297
33000 0.0682405 0.0628889 0.0635538 0.194683
34000 0.0694256 0.0624157 0.0652452 0.197087
35000 0.0686666 0.0653321 0.062997 0.196996
36000 0.0679398 0.0646727 0.062544 0.195156
37000 0.0697925 0.0659308 0.0654964 0.20122
38000 0.0707159 0.0660679 0.0609872 0.197771
39000 0.0708521 0.0647833 0.0613161 0.196952
40000 0.0673492 0.0646664 0.0588678 0.190883
41000 0.0672071 0.0657389 0.0585468 0.191493
42000 0.0687483 0.0684624 0.0601203 0.197331
43000 0.0690926 0.0666883 0.0582579 0.194039
44000 0.0691313 0.0654617 0.0616836 0.196277
45000 0.0724019 0.065487 0.0625146 0.200404
46000 0.0717626 0.0654828 0.062686 0.199931
47000 0.0714753 0.0657658 0.0587833 0.196024
48000 0.0687443 0.0641893 0.0580274 0.190961
49000 0.068875 0.0642382 0.0579745 0.191088
50000 0.0691052 0.0640219 0.0568402 0.189967
51000 0.0690521 0.0648635 0.0568551 0.190771
52000 0.069525 0.0660706 0.0613499 0.196945
53000 0.0699451 0.0669158 0.0594412 0.196302
54000 0.0703612 0.0672804 0.0568772 0.194519
55000 0.0684299 0.0653239 0.0586513 0.192405
56000 0.0674544 0.0637014 0.0587457 0.189901
57000 0.0701066 0.0655218 0.0605087 0.196137
58000 0.0719335 0.0642185 0.0620424 0.198194
59000 0.07016 0.066255 0.0610461 0.197461
60000 0.0711899 0.0651212 0.0606777 0.196989
61000 0.0708227 0.0653758 0.0620197 0.198218
62000 0.0691556 0.0634443 0.0590007 0.191601
63000 0.0691378 0.0640304 0.0616521 0.19482
64000 0.0688073 0.0662356 0.0588251 0.193868
65000 0.0697817 0.0660381 0.0581938 0.194014
66000 0.0689379 0.0644603 0.0527377 0.186136
67000 0.072162 0.0654341 0.0540898 0.191686
68000 0.0703547 0.0637819 0.0576987 0.191835
69000 0.0696424 0.0639919 0.0565492 0.190184
70000 0.067096 0.06327 0.0560846 0.186451
71000 0.0685378 0.062135 0.0588084 0.189481
72000 0.0679084 0.0633199 0.0562127 0.187441
73000 0.0684057 0.0647164 0.0565275 0.18965
74000 0.0682214 0.0648519 0.0596598 0.192733
75000 0.0693383 0.065365 0.0574639 0.192167
76000 0.0695487 0.0641168 0.0567961 0.190462
77000 0.0694131 0.0635338 0.0601827 0.19313
78000 0.0686572 0.0642033 0.0563983 0.189259
79000 0.0682809 0.0627641 0.0536484 0.184693
80000 0.0694967 0.0619961 0.0565744 0.188067
81000 0.0667629 0.0601684 0.0540733 0.181005
82000 0.0685973 0.0632962 0.0573104 0.189204
83000 0.0689207 0.0644782 0.0552592 0.188658
84000 0.0690702 0.0647751 0.0544517 0.188297
85000 0.068674 0.0649157 0.0559677 0.189557
86000 0.0688609 0.0652738 0.0581522 0.192287
87000 0.0681485 0.0648353 0.0562041 0.189188
88000 0.0682275 0.0636492 0.0568506 0.188727
89000 0.0693917 0.0645301 0.0551057 0.189028
90000 0.0688681 0.06486 0.0546935 0.188422
91000 0.0697308 0.0656004 0.0543945 0.189726
92000 0.0696286 0.0652633 0.0520829 0.186975
93000 0.0692792 0.066178 0.0539257 0.189383
94000 0.0685513 0.0656504 0.0543867 0.188588
95000 0.0686349 0.0654734 0.0532731 0.187381
96000 0.070413 0.0653553 0.0535732 0.189342
97000 0.0712238 0.0664124 0.0551317 0.192768
98000 0.0686847 0.0645806 0.0556485 0.188914
99000 0.0677904 0.0643172 0.0576604 0.189768
100000 0.0688178 0.0668233 0.0547847 0.190426
