#| No.|Asub | b0  | b1  | b2  | b3  | t1  | t2  | t3  |Cmin |Cmax | evalulate_value (min value is recommendation) |
#|iter| x0  | x1  | x2  | x3  | x4  | x5  | x6  | x7  | x8  | x9  | evalulate_value (min value is reccomendation) |
No.1040: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1041: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1042: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1043: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1044: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1045: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1046: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1047: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1048: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1049: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1050: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1051: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1052: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1053: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1054: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1055: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1056: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1057: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1058: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1059: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1060: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1061: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1062: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1063: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1064: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1065: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1066: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1067: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1068: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1069: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1070: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1071: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1072: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1073: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1074: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1075: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1076: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1077: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1078: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1079: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1080: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1081: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1082: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1083: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1084: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1085: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1086: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1087: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1088: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1089: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1090: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1091: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1092: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1093: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1094: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1095: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1096: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1097: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1098: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1099: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1100: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1101: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1102: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1103: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1104: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1105: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
No.1106: 0.81, 0.91, 0.21, 2.62, 4.23, 5.06, 1.17, -3.52, 0.18, 2.80, 0.0036664363564794427
