# Lattice constant (Angstroms), Volume (Angstrom), Total energy (eV), Cohesive energy (eV/atom)
4.34423351262312, 81.9859596795992, -56.756084064296, -7.094510508037
4.35509409640468, 82.6023928949708, -56.9588054636391, -7.11985068295488
4.36598183164569, 83.2234609272122, -57.1515004350716, -7.14393755438395
4.37689678622481, 83.8491986244253, -57.3342912179424, -7.1667864022428
4.38783902819037, 84.4796410967264, -57.5072995365968, -7.1884124420746
4.39880862576084, 85.1148237182168, -57.6706465939978, -7.20883082424973
4.40980564732524, 85.7547821289672, -57.8244530670923, -7.22805663338654
4.42083016144356, 86.3995522370179, -57.968839102317, -7.24610488778963
4.43188223684717, 87.0491702203929, -58.1039243092508, -7.26299053865635
4.44296194243928, 87.7036725291307, -58.2298277563514, -7.27872846954393
4.45406934729538, 88.363095887329, -58.3466679664957, -7.29333349581196
4.46520452066362, 89.0274772952052, -58.4545629108118, -7.30682036385148
4.47636753196528, 89.6968540311728, -58.5536300051192, -7.3192037506399
4.48755845079519, 90.371263653933, -58.6439861050661, -7.33049826313327
4.49877734692218, 91.050744004582, -58.725747500317, -7.34071843753962
4.51002429028948, 91.7353332087343, -58.7990299115264, -7.3498787389408
4.52129935101521, 92.4250696786621, -58.8639484847796, -7.35799356059745
4.53260259939274, 93.1199921154502, -58.9206177869255, -7.36507722336569
4.54393410589123, 93.8201395111681, -58.9691518024495, -7.37114397530618
4.55529394115595, 94.5255511510573, -59.0096639273964, -7.37620799092455
4.56668217600884, 95.2362666157361, -59.0422669663359, -7.38028337079198
4.57809888144886, 95.9523257834198, -59.0670731280466, -7.38338414100583
4.58954412865249, 96.6737688321589, -59.0841940202632, -7.38552425253291
4.60101798897412, 97.4006362420933, -59.0937406473949, -7.38671758092436
4.61252053394655, 98.1329687977235, -59.0958234047639, -7.38697792559549
4.62405183528142, 98.870807590199, -59.0905520756942, -7.38631900946177
4.63561196486962, 99.6141940196243, -59.0780358277154, -7.38475447846443
4.6472009947818, 100.363169797381, -59.0583832075992, -7.3822979009499
4.65881899726875, 101.11777694847, -59.0317021394797, -7.37896276743496
4.67046604476192, 101.878057813866, -58.9980999191784, -7.3747624898973
4.68214220987383, 102.644055052899, -58.9576832122314, -7.36971040152893
4.69384756539851, 103.415811645641, -58.9105580495336, -7.3638197561917
4.70558218431201, 104.193370895324, -58.8568298237696, -7.3571037279712
4.71734613977279, 104.976776430765, -58.7966032870406, -7.34957541088008
4.72913950512222, 105.766072208815, -58.7299825458521, -7.34124781823152
4.74096235388503, 106.56130251683, -58.6570710599576, -7.33213388249469
4.75281475976974, 107.362511975149, -58.5779716370581, -7.32224645463226
4.76469679666916, 108.169745539602, -58.4927864315977, -7.31159830394971
4.77660853866084, 108.98304850403, -58.401616940304, -7.300202117538
4.78855006000749, 109.80246650283, -58.3045640001099, -7.28807050001374
4.80052143515751, 110.628045513511, -58.2017277849952, -7.2752159731244
4.8125227387454, 111.459831859279, -58.0932078028982, -7.26165097536227
4.82455404559226, 112.297872211631, -57.9791028937681, -7.24738786172101
4.83661543070624, 113.142213592976, -57.8595112257059, -7.23243890321324
4.84870696928301, 113.992903379276, -57.73453029391, -7.21681628673875
4.86082873670622, 114.849989302698, -57.6042569163739, -7.20053211454673
4.87298080854798, 115.713519454298, -57.4687872333072, -7.1835984041634
4.88516326056935, 116.583542286719, -57.3282167027758, -7.16602708784697
4.89737616872078, 117.460106616905, -57.1826401005248, -7.1478300125656
