# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 12000
  1 0.025 598.3 967.227
  2 0.075 595.5 981.079
  3 0.125 598.1 961.287
  4 0.175 596.3 1005.99
  5 0.225 600.3 996.885
  6 0.275 599 951.929
  7 0.325 599.9 1019.46
  8 0.375 607 1020.08
  9 0.425 603.1 1033.87
  10 0.475 590.5 994.942
  11 0.525 601.5 1008.54
  12 0.575 601.6 1022.25
  13 0.625 599.2 1011.9
  14 0.675 598.9 1043.49
  15 0.725 612.2 996.021
  16 0.775 604.1 1010.13
  17 0.825 606.4 990.415
  18 0.875 593.8 995.268
  19 0.925 594.5 974.95
  20 0.975 599.8 986.513
2100 20 12000
  1 0.025 603.5 971.36
  2 0.075 600.9 981.743
  3 0.125 599.8 998.469
  4 0.175 602.6 999.99
  5 0.225 604.1 984.165
  6 0.275 596.5 950.578
  7 0.325 599.3 1024.17
  8 0.375 607.7 1008.89
  9 0.425 602.1 1027.47
  10 0.475 588.4 1043.79
  11 0.525 602.4 1056.49
  12 0.575 597.4 1033
  13 0.625 595.3 975.058
  14 0.675 592.6 983.298
  15 0.725 608.1 995.957
  16 0.775 601.7 985.671
  17 0.825 602.6 976.941
  18 0.875 593.1 1005.2
  19 0.925 595.5 1017.27
  20 0.975 606.4 982.703
3150 20 12000
  1 0.025 601.1 961.382
  2 0.075 596.6 992.698
  3 0.125 596.5 987.46
  4 0.175 599.5 966.94
  5 0.225 599.1 983.14
  6 0.275 591.6 988.264
  7 0.325 598.3 984.283
  8 0.375 606.4 1001.41
  9 0.425 603 1024.65
  10 0.475 588.4 1045.43
  11 0.525 601.2 1061.85
  12 0.575 603.5 1041.89
  13 0.625 600.6 1002.07
  14 0.675 598.9 1028.9
  15 0.725 613.6 1014.13
  16 0.775 606.7 990.101
  17 0.825 602.7 980.453
  18 0.875 594.8 1000.43
  19 0.925 593.8 948.746
  20 0.975 603.7 961.368
4200 20 12000
  1 0.025 600.8 945.331
  2 0.075 598.3 970.917
  3 0.125 604.4 994.184
  4 0.175 602.6 1018.4
  5 0.225 605.6 983.599
  6 0.275 598.9 976.817
  7 0.325 603.8 985.265
  8 0.375 606.7 997.03
  9 0.425 600.7 1019.68
  10 0.475 586.2 1053.33
  11 0.525 599.4 1039.21
  12 0.575 597.8 1044.51
  13 0.625 596.9 1026.7
  14 0.675 597.8 1012.99
  15 0.725 611.1 989.905
  16 0.775 603.6 1009
  17 0.825 603 998.518
  18 0.875 591.3 981.337
  19 0.925 590.1 979.072
  20 0.975 601 951.718
5250 20 12000
  1 0.025 602.1 921.188
  2 0.075 595.2 957.888
  3 0.125 599.8 996.341
  4 0.175 600.8 992.231
  5 0.225 603.2 995.835
  6 0.275 599.8 997.074
  7 0.325 598.5 994.429
  8 0.375 604.2 1005.71
  9 0.425 598.5 1031.28
  10 0.475 586.3 1026.13
  11 0.525 598.5 1043.22
  12 0.575 597.9 1037.38
  13 0.625 596 1077.36
  14 0.675 600.1 1020.49
  15 0.725 613.7 993.604
  16 0.775 607.6 979.402
  17 0.825 607.3 982.859
  18 0.875 596.5 1018.54
  19 0.925 593.3 991.444
  20 0.975 600.7 950.6
6300 20 12000
  1 0.025 600.7 942.228
  2 0.075 596.6 986.11
  3 0.125 596.2 981.683
  4 0.175 598.6 996.796
  5 0.225 603.2 977.718
  6 0.275 597.5 1001.61
  7 0.325 601.8 1000.61
  8 0.375 611.1 1008.23
  9 0.425 602.6 1017.96
  10 0.475 590.1 1042.4
  11 0.525 600.1 1071.5
  12 0.575 598.5 1067.68
  13 0.625 596.8 1045.88
  14 0.675 596.8 1013.13
  15 0.725 612.9 989.151
  16 0.775 604.2 992.108
  17 0.825 606.4 978.732
  18 0.875 594 960.907
  19 0.925 592 964.338
  20 0.975 599.9 943.492
7350 20 12000
  1 0.025 604.1 956.122
  2 0.075 599.9 956.354
  3 0.125 600.1 984.7
  4 0.175 600.6 981.357
  5 0.225 603.7 997.158
  6 0.275 594.4 978.382
  7 0.325 601.9 991.238
  8 0.375 608.3 1010.38
  9 0.425 602.5 1031.9
  10 0.475 589.7 1023.01
  11 0.525 597.5 1075.64
  12 0.575 595.8 1056.48
  13 0.625 597.8 1028.31
  14 0.675 592 1030.4
  15 0.725 608.2 1000.12
  16 0.775 602.9 972.637
  17 0.825 607.6 955.808
  18 0.875 593.9 981.165
  19 0.925 594.3 987.209
  20 0.975 604.8 963.589
8400 20 12000
  1 0.025 598.1 954.879
  2 0.075 597.3 958.932
  3 0.125 599.8 965.022
  4 0.175 596.4 966.218
  5 0.225 599.8 1011.85
  6 0.275 594.9 1017.48
  7 0.325 595.6 1002.75
  8 0.375 606.8 1012.16
  9 0.425 602.7 1031.92
  10 0.475 591.3 1031.04
  11 0.525 600.6 1047.62
  12 0.575 603.7 1049.36
  13 0.625 598 1019.23
  14 0.675 598.5 1016.94
  15 0.725 612.2 1012.96
  16 0.775 607.3 976.754
  17 0.825 604.1 970.664
  18 0.875 597.7 980.017
  19 0.925 591.8 969.635
  20 0.975 603.4 983.581
9450 20 12000
  1 0.025 598.7 961.4
  2 0.075 602.3 937.656
  3 0.125 600.9 990.112
  4 0.175 604.7 955.573
  5 0.225 604.3 992.258
  6 0.275 596.7 1039.58
  7 0.325 599.8 1020.41
  8 0.375 606.8 1035.94
  9 0.425 602.9 1042.85
  10 0.475 588.9 1033.16
  11 0.525 599 1023.05
  12 0.575 598.7 1007.23
  13 0.625 596.4 1040.36
  14 0.675 593.9 1032.84
  15 0.725 610 997.513
  16 0.775 603.9 988.553
  17 0.825 604.6 979.569
  18 0.875 591.4 978.421
  19 0.925 592.6 954.933
  20 0.975 603.5 953.87
10500 20 12000
  1 0.025 600 936.022
  2 0.075 598.4 946.606
  3 0.125 598.5 991.224
  4 0.175 598.9 983.738
  5 0.225 601.1 1006.46
  6 0.275 597.8 982.541
  7 0.325 599.5 978.335
  8 0.375 606 1012.21
  9 0.425 598.5 1092.17
  10 0.475 585.2 1023.23
  11 0.525 598 1049.74
  12 0.575 600.5 1030.26
  13 0.625 596.6 1065.1
  14 0.675 599.2 991.9
  15 0.725 614.2 1028.75
  16 0.775 607.7 1024.36
  17 0.825 606.6 988.434
  18 0.875 596.2 982.561
  19 0.925 594.7 932.135
  20 0.975 602.4 937.537
11550 20 12000
  1 0.025 600.7 955.831
  2 0.075 597.4 960.534
  3 0.125 597.9 981.833
  4 0.175 599.8 969.707
  5 0.225 603.6 1002.13
  6 0.275 597.4 1001.74
  7 0.325 601.4 966.453
  8 0.375 609.6 1015.05
  9 0.425 603.3 1067.58
  10 0.475 587.2 1101.12
  11 0.525 598.4 1075.75
  12 0.575 600.1 1025.6
  13 0.625 596.9 1029.71
  14 0.675 597.8 1023.84
  15 0.725 614.7 979.726
  16 0.775 602.6 998.977
  17 0.825 603.9 1009.73
  18 0.875 594.3 949.847
  19 0.925 592.5 945.504
  20 0.975 600.5 904.778
12600 20 12000
  1 0.025 604.2 939.572
  2 0.075 602 948.752
  3 0.125 603 977.571
  4 0.175 601.6 988.741
  5 0.225 600.9 999.01
  6 0.275 599.3 963.164
  7 0.325 598.6 992.869
  8 0.375 605.3 996.58
  9 0.425 601.1 1062.94
  10 0.475 585.3 1064.11
  11 0.525 596.6 1104.83
  12 0.575 596.6 1044.53
  13 0.625 595.8 1043.16
  14 0.675 596.1 1043.05
  15 0.725 607.5 1033.11
  16 0.775 602.3 988.041
  17 0.825 609.9 957.959
  18 0.875 594 931.852
  19 0.925 594.9 971.025
  20 0.975 605 957.518
13650 20 12000
  1 0.025 603 942.877
  2 0.075 597 939.675
  3 0.125 597.4 935.904
  4 0.175 598 932.981
  5 0.225 601.2 958.778
  6 0.275 594.1 982.889
  7 0.325 598.5 1011.52
  8 0.375 606 1068.03
  9 0.425 604.1 1016.92
  10 0.475 588.6 1066.41
  11 0.525 602 1080.56
  12 0.575 599.6 1121.59
  13 0.625 597.3 1053.42
  14 0.675 599.1 1041.55
  15 0.725 611.1 976.53
  16 0.775 606.8 967.355
  17 0.825 605.4 997.743
  18 0.875 594.9 974.632
  19 0.925 595.8 919.013
  20 0.975 600.1 970.013
14700 20 12000
  1 0.025 603.4 941.284
  2 0.075 601.4 928.53
  3 0.125 603 919.778
  4 0.175 603.9 962.14
  5 0.225 605.5 985.222
  6 0.275 596.2 1000.69
  7 0.325 602.4 1003.58
  8 0.375 605.9 978.188
  9 0.425 602.8 1051.77
  10 0.475 589 1071.51
  11 0.525 598.2 1111.66
  12 0.575 596.2 1079.26
  13 0.625 594.9 1070.05
  14 0.675 594.6 1047.39
  15 0.725 607.6 1020.12
  16 0.775 603.5 949.043
  17 0.825 602.8 1016
  18 0.875 592.3 989.011
  19 0.925 593.9 944.382
  20 0.975 602.5 970.52
15750 20 12000
  1 0.025 602.2 941.595
  2 0.075 597.7 942.501
  3 0.125 598.2 946.274
  4 0.175 600.3 943.826
  5 0.225 603.5 991.886
  6 0.275 594.6 964.361
  7 0.325 598.7 993.363
  8 0.375 606.3 1041.28
  9 0.425 600.3 1011.75
  10 0.475 586.3 1054.07
  11 0.525 596.7 1081.51
  12 0.575 597.8 1088.31
  13 0.625 599.2 1038.58
  14 0.675 598.6 1050.48
  15 0.725 612.7 1021.84
  16 0.775 608.8 1030.31
  17 0.825 606.3 979.218
  18 0.875 592.4 984.705
  19 0.925 597.2 950.836
  20 0.975 602.2 953.468
16800 20 12000
  1 0.025 601 896.492
  2 0.075 599 935.778
  3 0.125 600.7 933.442
  4 0.175 601.2 984.631
  5 0.225 604.6 974.1
  6 0.275 598.3 1006.44
  7 0.325 598.8 1014.56
  8 0.375 610 1017.58
  9 0.425 600.9 1045.85
  10 0.475 588.4 1040.1
  11 0.525 596.3 1099.29
  12 0.575 600.4 1070.41
  13 0.625 594.9 1068.63
  14 0.675 600.4 1014.39
  15 0.725 610.2 1022.89
  16 0.775 604.6 998.202
  17 0.825 605.7 976.914
  18 0.875 591.3 966.399
  19 0.925 590.9 956.349
  20 0.975 602.4 948.773
17850 20 12000
  1 0.025 604.1 939.389
  2 0.075 597.8 940.224
  3 0.125 603.8 955.706
  4 0.175 602.9 968.282
  5 0.225 606.2 953.85
  6 0.275 595.4 981.217
  7 0.325 598.4 1017.01
  8 0.375 605.5 1025.92
  9 0.425 600.1 1021.52
  10 0.475 584.2 1063.33
  11 0.525 596.1 1069.88
  12 0.575 600.7 1053.65
  13 0.625 593.4 1068.41
  14 0.675 597.3 1031.17
  15 0.725 609.1 1007.03
  16 0.775 605.7 988.948
  17 0.825 606.8 979.251
  18 0.875 593.9 969.752
  19 0.925 594.7 957.533
  20 0.975 603.9 950.4
18900 20 12000
  1 0.025 600.5 929.035
  2 0.075 595.8 913.633
  3 0.125 600.7 919.011
  4 0.175 597.7 958.595
  5 0.225 602.3 985.535
  6 0.275 594.5 983.512
  7 0.325 596.6 1028
  8 0.375 606.9 1010.44
  9 0.425 602.1 1046.92
  10 0.475 588.8 1077.11
  11 0.525 599.4 1098.69
  12 0.575 603.3 1066.68
  13 0.625 599.1 1062.23
  14 0.675 597 1044.44
  15 0.725 612.2 1004
  16 0.775 605.8 989.303
  17 0.825 605.9 995.155
  18 0.875 593.2 978.399
  19 0.925 595.9 959.856
  20 0.975 602.3 939.288
19950 20 12000
  1 0.025 603.6 917.271
  2 0.075 602.3 940.935
  3 0.125 600.9 960.505
  4 0.175 600.4 978.195
  5 0.225 606.5 983.686
  6 0.275 598.5 1005.05
  7 0.325 599.1 1003.67
  8 0.375 608.1 1049.41
  9 0.425 604.2 1043.39
  10 0.475 586.6 1069.7
  11 0.525 598 1080.42
  12 0.575 595.5 1070.99
  13 0.625 595.7 1024.69
  14 0.675 593.9 1019.51
  15 0.725 607.7 998.1
  16 0.775 602.7 992
  17 0.825 604.7 986.355
  18 0.875 592.6 984.485
  19 0.925 593.3 978.273
  20 0.975 605.7 924.537
21000 20 12000
  1 0.025 602.2 920.344
  2 0.075 598.5 937.275
  3 0.125 598.5 953.592
  4 0.175 596.6 981.706
  5 0.225 600.3 980.069
  6 0.275 596 987.094
  7 0.325 596.3 998.739
  8 0.375 604.9 1035.85
  9 0.425 601.2 1019.37
  10 0.475 586.6 1076.56
  11 0.525 595.9 1086.36
  12 0.575 599 1068.28
  13 0.625 600.3 1054.35
  14 0.675 599.6 1050.54
  15 0.725 611 1009.31
  16 0.775 608.1 959.493
  17 0.825 606.4 990.515
  18 0.875 600.3 965.839
  19 0.925 594.3 954.653
  20 0.975 604 935.346
22050 20 12000
  1 0.025 599.5 913.115
  2 0.075 597.8 950.898
  3 0.125 602.5 953.155
  4 0.175 600.5 978.543
  5 0.225 607 976.704
  6 0.275 601.2 1011.38
  7 0.325 599.7 1050.5
  8 0.375 608.8 1018.8
  9 0.425 602.7 1062.32
  10 0.475 590.1 1054.78
  11 0.525 598.9 1082.18
  12 0.575 599 1054.34
  13 0.625 597.1 1043.18
  14 0.675 595.7 1023.61
  15 0.725 609 1004.34
  16 0.775 602.9 965.722
  17 0.825 602.5 994.424
  18 0.875 591.5 966.446
  19 0.925 592.3 947.046
  20 0.975 601.3 916.745
23100 20 12000
  1 0.025 604.4 910.929
  2 0.075 600.9 941.805
  3 0.125 602.9 982.102
  4 0.175 599.2 965.848
  5 0.225 603.4 972.366
  6 0.275 596.9 991.748
  7 0.325 595.8 1029.8
  8 0.375 602.9 1036.53
  9 0.425 598.6 1056.83
  10 0.475 584.9 1082.17
  11 0.525 596.7 1070.04
  12 0.575 598.1 1038.05
  13 0.625 598.5 1028.5
  14 0.675 597.9 1019.3
  15 0.725 610.5 1022.36
  16 0.775 605.8 983.615
  17 0.825 608.3 977.171
  18 0.875 593.3 969.521
  19 0.925 596.6 958.372
  20 0.975 604.4 948.771
24150 20 12000
  1 0.025 600 933.168
  2 0.075 599.6 949.322
  3 0.125 599.6 953.889
  4 0.175 599.8 991.909
  5 0.225 604.4 970.237
  6 0.275 592.9 975.534
  7 0.325 600.9 1015.98
  8 0.375 605.7 1057.8
  9 0.425 601.7 1079.91
  10 0.475 590.5 1077.73
  11 0.525 600.8 1048.78
  12 0.575 601.1 1058.31
  13 0.625 597.9 1039.34
  14 0.675 598.4 1017.94
  15 0.725 613.1 973.381
  16 0.775 605.3 951.83
  17 0.825 604 993.19
  18 0.875 591.7 970.696
  19 0.925 592.7 971.554
  20 0.975 599.9 953.767
25200 20 12000
  1 0.025 604 934.854
  2 0.075 599.8 932.171
  3 0.125 601.5 952.629
  4 0.175 603.1 966.402
  5 0.225 601.2 1014.36
  6 0.275 597.6 997.012
  7 0.325 599.5 1002.87
  8 0.375 608.2 1023.97
  9 0.425 604.4 1055.6
  10 0.475 586.2 1076.62
  11 0.525 598.1 1111
  12 0.575 597.5 1069.2
  13 0.625 593.3 1034.12
  14 0.675 595 978.496
  15 0.725 608.8 1003.12
  16 0.775 603.3 979.715
  17 0.825 607 958.977
  18 0.875 594.1 970.743
  19 0.925 591.4 973.721
  20 0.975 606 963.37
26250 20 12000
  1 0.025 600.4 957.003
  2 0.075 599.4 931.646
  3 0.125 598.7 918.7
  4 0.175 594.9 944.755
  5 0.225 602 978.938
  6 0.275 594.3 1025.74
  7 0.325 597.9 1013.68
  8 0.375 605.3 1003.66
  9 0.425 602.5 1053.95
  10 0.475 586.5 1071.94
  11 0.525 597.8 1092.95
  12 0.575 598.3 1058.99
  13 0.625 599.6 1046.77
  14 0.675 596.7 1036.03
  15 0.725 613.1 991.624
  16 0.775 609 971.482
  17 0.825 605.7 988.431
  18 0.875 597.8 980.776
  19 0.925 596.5 970.532
  20 0.975 603.6 976.51
27300 20 12000
  1 0.025 599.7 958.702
  2 0.075 597.6 979.878
  3 0.125 600.1 917.872
  4 0.175 603.1 953.212
  5 0.225 604.8 986.768
  6 0.275 602.1 989.631
  7 0.325 603.4 1013.59
  8 0.375 608.1 1047.63
  9 0.425 601.7 1027.07
  10 0.475 588.4 1040.92
  11 0.525 599.5 1055.64
  12 0.575 601.6 1052.37
  13 0.625 595.5 1032.3
  14 0.675 594.8 1049.6
  15 0.725 609.8 1010.8
  16 0.775 602.8 1000.41
  17 0.825 605.6 956.021
  18 0.875 592.4 959.562
  19 0.925 590.8 954.894
  20 0.975 598.2 966.583
28350 20 12000
  1 0.025 602.8 931.176
  2 0.075 598.1 970.344
  3 0.125 605.5 949.445
  4 0.175 602.8 944.887
  5 0.225 603.4 976.255
  6 0.275 596.9 998.955
  7 0.325 596.1 1013.17
  8 0.375 603.3 1025.06
  9 0.425 599 1040.35
  10 0.475 585 1026.93
  11 0.525 594.2 1081.11
  12 0.575 598.6 1036.33
  13 0.625 598.4 1049.06
  14 0.675 598.1 1034.69
  15 0.725 609.4 1045.38
  16 0.775 606.7 1008.01
  17 0.825 608 975.052
  18 0.875 596.4 949.958
  19 0.925 591.5 987.142
  20 0.975 605.8 936.02
29400 20 12000
  1 0.025 600 961.88
  2 0.075 597.1 987.971
  3 0.125 601.7 929.073
  4 0.175 599.7 948.114
  5 0.225 603.3 969.092
  6 0.275 595.1 998.057
  7 0.325 598.3 1030.3
  8 0.375 608.1 1017.18
  9 0.425 602.7 1032.24
  10 0.475 588.9 1045.99
  11 0.525 602.4 1038.34
  12 0.575 600.2 1083.82
  13 0.625 599.4 1053.83
  14 0.675 597.5 1030.43
  15 0.725 612.4 1004.4
  16 0.775 604.4 1004.24
  17 0.825 604.6 973.465
  18 0.875 593.2 937.053
  19 0.925 591.3 938.856
  20 0.975 599.7 956.617
30450 20 12000
  1 0.025 603.4 949.566
  2 0.075 601.2 980.304
  3 0.125 601.9 949.119
  4 0.175 602.6 962.442
  5 0.225 604.3 962.982
  6 0.275 597.1 984.335
  7 0.325 600 1002.03
  8 0.375 608.7 1005.36
  9 0.425 600.6 1058.91
  10 0.475 587.1 1069.08
  11 0.525 599 1106.4
  12 0.575 597.8 1064.95
  13 0.625 595.2 1037.82
  14 0.675 595.7 1008.26
  15 0.725 607.5 1011.42
  16 0.775 603.2 969.372
  17 0.825 602.6 994.369
  18 0.875 591.2 975.953
  19 0.925 594.7 970.373
  20 0.975 606.2 935.018
31500 20 12000
  1 0.025 603.5 913.362
  2 0.075 596.8 948.501
  3 0.125 597.8 961.03
  4 0.175 597.5 953.879
  5 0.225 600.5 981.152
  6 0.275 593.7 1001.42
  7 0.325 598.4 1019.86
  8 0.375 606.4 1005.79
  9 0.425 600.2 1067.98
  10 0.475 589.3 1083.43
  11 0.525 597.8 1081.14
  12 0.575 598.8 1033.4
  13 0.625 601 1031.27
  14 0.675 596.7 1026.38
  15 0.725 612.5 1016.34
  16 0.775 604.1 995.897
  17 0.825 608.6 986.78
  18 0.875 595.9 1001.49
  19 0.925 597.4 959.317
  20 0.975 603.1 960.174
32550 20 12000
  1 0.025 600.4 943.099
  2 0.075 598 963.414
  3 0.125 600.2 984.998
  4 0.175 602.7 958.059
  5 0.225 605.3 977.297
  6 0.275 600 998.685
  7 0.325 602.3 1017.11
  8 0.375 606.1 1043.44
  9 0.425 604.8 1079.83
  10 0.475 589 1057.48
  11 0.525 597.6 1059.7
  12 0.575 601.3 1026.5
  13 0.625 591.8 1064.83
  14 0.675 598 1020.4
  15 0.725 611 972.355
  16 0.775 606.1 955.122
  17 0.825 605.1 973.889
  18 0.875 589.8 986.062
  19 0.925 592.7 951.272
  20 0.975 597.8 945.473
33600 20 12000
  1 0.025 601.3 953.838
  2 0.075 599.8 938.425
  3 0.125 599 964.823
  4 0.175 604.3 973.775
  5 0.225 602.7 979.395
  6 0.275 598.3 962.318
  7 0.325 595.9 1063.17
  8 0.375 603.7 1042.29
  9 0.425 597 1010.39
  10 0.475 583.7 1026.79
  11 0.525 598.6 1059.51
  12 0.575 597.2 1075.7
  13 0.625 597.1 1037.89
  14 0.675 599.2 1005.87
  15 0.725 610.9 985.762
  16 0.775 609.2 1009.21
  17 0.825 610 959.364
  18 0.875 596.5 967.27
  19 0.925 593.2 976.034
  20 0.975 602.4 962.447
34650 20 12000
  1 0.025 599.3 916.573
  2 0.075 599.7 935.696
  3 0.125 599.2 990.57
  4 0.175 599.2 1007.63
  5 0.225 601.7 1007.42
  6 0.275 598.8 981.464
  7 0.325 599.4 1029.57
  8 0.375 608.7 1016.61
  9 0.425 603.4 1018.35
  10 0.475 587 1068.84
  11 0.525 598.6 1080.05
  12 0.575 602.1 1056.5
  13 0.625 598.3 1036.83
