# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  1 0.025 294.6 3021.06
  2 0.075 302.5 3033.94
  3 0.125 297.7 3060.47
  4 0.175 297.7 2882.25
  5 0.225 296 3061.62
  6 0.275 298.4 2959.44
  7 0.325 296.1 3071.01
  8 0.375 301.5 2999.81
  9 0.425 294.6 3111.84
  10 0.475 302.6 3102.76
  11 0.525 300.9 2911.06
  12 0.575 304.5 3028.22
  13 0.625 298.5 2981.02
  14 0.675 302.2 2973.35
  15 0.725 300.4 2978.99
  16 0.775 302.2 2940.01
  17 0.825 307.4 2966.12
  18 0.875 303.9 2980.2
  19 0.925 297.5 3035.14
  20 0.975 300.8 3087.41
2100 20 6000
  1 0.025 302.5 2854.87
  2 0.075 299.4 2945.17
  3 0.125 303.7 3014.98
  4 0.175 297.5 3045.21
  5 0.225 299.8 2967.88
  6 0.275 302.8 2921.29
  7 0.325 299.7 2930.7
  8 0.375 300.6 3083.69
  9 0.425 293.6 3129.44
  10 0.475 303.1 3129.56
  11 0.525 299 3028.75
  12 0.575 301 3030.54
  13 0.625 298.7 3003.71
  14 0.675 299.5 2836.53
  15 0.725 299.6 2990.64
  16 0.775 303.4 2961.27
  17 0.825 299.7 2929.79
  18 0.875 299.5 2936.4
  19 0.925 297.6 3014.94
  20 0.975 299.3 3116.23
3150 20 6000
  1 0.025 306.2 2832.14
  2 0.075 307.2 2838.69
  3 0.125 297.1 3080.54
  4 0.175 303.2 2979.82
  5 0.225 301.4 2991.84
  6 0.275 302.6 2946
  7 0.325 299.6 3002.98
  8 0.375 299.3 3022.84
  9 0.425 298.5 3043.1
  10 0.475 297.5 3103.4
  11 0.525 294.9 3135.56
  12 0.575 298 3128.37
  13 0.625 301.1 3008.5
  14 0.675 301.7 2889.6
  15 0.725 291.9 2932.05
  16 0.775 300.3 3004.93
  17 0.825 300.7 3050.68
  18 0.875 302 2971.9
  19 0.925 296.1 3038.25
  20 0.975 300.7 2964.4
4200 20 6000
  1 0.025 300.8 2763.04
  2 0.075 300.5 2856.14
  3 0.125 300.1 2985.76
  4 0.175 300.4 3189.19
  5 0.225 299.7 3098.78
  6 0.275 301.7 3003.38
  7 0.325 302.3 3051
  8 0.375 303.4 2979.7
  9 0.425 300.1 3015.08
  10 0.475 293.7 3268.9
  11 0.525 299.5 3177.05
  12 0.575 298 3073.91
  13 0.625 302.8 3005.34
  14 0.675 296.2 2969.33
  15 0.725 303.2 2992.67
  16 0.775 297 3147.43
  17 0.825 297.3 3032.57
  18 0.875 296.5 2982.16
  19 0.925 302.8 2914.09
  20 0.975 304 2688.06
5250 20 6000
  1 0.025 296.5 2785.64
  2 0.075 304.5 2857.79
  3 0.125 302.6 2926.77
  4 0.175 294.6 2967.21
  5 0.225 294.8 3042.83
  6 0.275 298.4 3057.56
  7 0.325 308.5 3016.21
  8 0.375 298 3037.38
  9 0.425 300.7 3068.09
  10 0.475 296.2 3106.32
  11 0.525 298.6 3234.79
  12 0.575 300 3045.05
  13 0.625 301.1 3036.27
  14 0.675 300.6 3113.82
  15 0.725 301.5 3052.61
  16 0.775 297 3113.82
  17 0.825 299.9 2996.42
  18 0.875 301 2790.79
  19 0.925 303.1 2824.34
  20 0.975 302.4 2822.94
6300 20 6000
  1 0.025 307.5 2837.9
  2 0.075 303.7 2884.65
  3 0.125 297.7 2891.05
  4 0.175 302.5 2940.92
  5 0.225 297.6 2882.07
  6 0.275 303 3015.46
  7 0.325 293.7 3139.08
  8 0.375 297.1 3082.95
  9 0.425 298.6 3138.79
  10 0.475 300.8 3088.87
  11 0.525 297.7 3237.04
  12 0.575 299.1 3125.8
  13 0.625 296.5 3106.55
  14 0.675 299.3 3007.96
  15 0.725 301 3022.13
  16 0.775 300.4 3083.28
  17 0.825 299.9 2985.05
  18 0.875 299.7 2923.86
  19 0.925 306.6 2867.29
  20 0.975 297.6 2879.36
7350 20 6000
  1 0.025 304.7 2741.75
  2 0.075 307.5 2728.54
  3 0.125 303.6 2977.56
  4 0.175 296.5 2974.85
  5 0.225 306 3052.04
  6 0.275 303.7 2986.5
  7 0.325 297.9 3028.39
  8 0.375 299.6 3062.38
  9 0.425 296.5 3144.23
  10 0.475 300.5 3123.98
  11 0.525 293.5 3165.91
  12 0.575 300.7 3105.41
  13 0.625 292.5 3030.45
  14 0.675 299.7 3111.97
  15 0.725 293.8 2967.27
  16 0.775 300.1 3002.1
  17 0.825 299.9 2967.81
  18 0.875 302.7 2929.09
  19 0.925 299.5 2730.66
  20 0.975 301.1 2847.71
8400 20 6000
  1 0.025 299.1 2737.58
  2 0.075 305 2858.9
  3 0.125 302 2860.02
  4 0.175 301.4 2896.34
  5 0.225 301.3 3005.82
  6 0.275 298 2991.97
  7 0.325 302.3 3140.21
  8 0.375 301 3138.97
  9 0.425 299.4 3182.77
  10 0.475 297.8 3090.42
  11 0.525 296.5 3101.19
  12 0.575 300.6 3165.28
  13 0.625 296.1 3264.88
  14 0.675 294.4 3071.99
  15 0.725 302.2 3119.46
  16 0.775 298.4 2981.88
  17 0.825 300.1 2881.58
  18 0.875 300.4 2862.29
  19 0.925 297.3 2941.67
  20 0.975 306.7 2736.17
9450 20 6000
  1 0.025 304.5 2794.4
  2 0.075 302.3 2869.97
  3 0.125 304.2 2911.49
  4 0.175 301.7 2946.62
  5 0.225 303.2 2936.48
  6 0.275 300.7 3062.33
  7 0.325 295.1 2980.35
  8 0.375 303.3 3071.49
  9 0.425 294.1 3258.32
  10 0.475 295.8 3228.85
  11 0.525 296 3277.7
  12 0.575 295.2 3193.22
  13 0.625 300.5 3160.3
  14 0.675 303.9 2938.2
  15 0.725 298.2 3084.22
  16 0.775 299.9 2905.74
  17 0.825 301.5 2905.26
  18 0.875 299.2 2972.42
  19 0.925 303.9 2960.07
  20 0.975 296.8 2818.98
10500 20 6000
