# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 9000
  1 0.025 446.2 1871.51
  2 0.075 449.5 1949
  3 0.125 449.7 2005.28
  4 0.175 440.7 2025.59
  5 0.225 454.5 1944.56
  6 0.275 445.9 1995.34
  7 0.325 437.9 1998.34
  8 0.375 451.9 2025.58
  9 0.425 457.7 2001
  10 0.475 457.8 2038.12
  11 0.525 443.7 2057.19
  12 0.575 459.2 2031.27
  13 0.625 446.9 1928.63
  14 0.675 454.9 1984.41
  15 0.725 450.8 2080.21
  16 0.775 444.9 2141.13
  17 0.825 454.3 2056.1
  18 0.875 450.7 2054.65
  19 0.925 451.5 1967.34
  20 0.975 451.3 2011.87
2100 20 9000
  1 0.025 454.1 1866.53
  2 0.075 448 1940.1
  3 0.125 447.8 2036.28
  4 0.175 447.5 2063.04
  5 0.225 462.8 1946.09
  6 0.275 451.7 1962.17
  7 0.325 441.3 2041.14
  8 0.375 456.9 2056.08
  9 0.425 454.5 2007.37
  10 0.475 452.5 2085.6
  11 0.525 446.4 2047.1
  12 0.575 449.3 2041.17
  13 0.625 448.7 1973.8
  14 0.675 452.6 2023.95
  15 0.725 448.6 2033.81
  16 0.775 444.6 2033.54
  17 0.825 446.8 2123.81
  18 0.875 447.5 1984.23
  19 0.925 456.6 1953.31
  20 0.975 441.8 1988.84
3150 20 9000
  1 0.025 446.7 1850.81
  2 0.075 453.9 1969.25
  3 0.125 447.3 2009.13
  4 0.175 446.7 2014.5
  5 0.225 459.3 1987.98
  6 0.275 449 2026.2
  7 0.325 441.9 2070.92
  8 0.375 452.5 2016.29
  9 0.425 452.6 2015.29
  10 0.475 454.3 2134.14
  11 0.525 439.8 2128.98
  12 0.575 455.8 2117.83
  13 0.625 449.4 2024.75
  14 0.675 452.5 2018.05
  15 0.725 450.6 2092.85
  16 0.775 444.9 2092.82
  17 0.825 445.6 1984.03
  18 0.875 450.8 2020.99
  19 0.925 458.2 2014.06
  20 0.975 448.2 1932.12
4200 20 9000
  1 0.025 444 1875.82
  2 0.075 454.6 1896.85
  3 0.125 446.3 2058.1
  4 0.175 444.5 1927.91
  5 0.225 455.4 2012.25
  6 0.275 452.2 2103.24
  7 0.325 441.7 2000.61
  8 0.375 461.3 2063.52
  9 0.425 453.6 2121.66
  10 0.475 453.1 2125.71
  11 0.525 446.3 2138.04
  12 0.575 450.1 2204.74
  13 0.625 451.4 1984.44
  14 0.675 448.2 2041.73
  15 0.725 452.6 2090.9
  16 0.775 446.2 2016.06
  17 0.825 451 2075.37
  18 0.875 448.7 1911.46
  19 0.925 454.2 2003.67
  20 0.975 444.6 1894.71
5250 20 9000
  1 0.025 448 1881.95
  2 0.075 459.1 1866.76
  3 0.125 455.3 2000.99
  4 0.175 447.8 1971.1
  5 0.225 455.2 2051.22
  6 0.275 452.7 2033.82
  7 0.325 442.1 1997.66
  8 0.375 455.4 2069.22
  9 0.425 450.4 2065.81
  10 0.475 450.2 2081.19
  11 0.525 444.9 2159.79
  12 0.575 450.2 2160.25
  13 0.625 446.1 2056.43
  14 0.675 450.7 2090.56
  15 0.725 449.3 2095.57
  16 0.775 442.9 2079.45
  17 0.825 451.9 1947.24
  18 0.875 448.4 1987.36
  19 0.925 456.1 1932.87
  20 0.975 443.3 1866.83
6300 20 9000
  1 0.025 448.5 1736.65
  2 0.075 455.2 1877.97
  3 0.125 449.9 1950.88
  4 0.175 441.2 1953.08
  5 0.225 457.8 1953.77
  6 0.275 451.8 1972.73
  7 0.325 439.3 2003.15
  8 0.375 455.1 2033.24
  9 0.425 450.7 2126.3
  10 0.475 452.7 2203.98
  11 0.525 442.2 2217.92
  12 0.575 454.7 2110.72
  13 0.625 447.7 2068.65
  14 0.675 448.6 2125.79
  15 0.725 452.8 1974.95
  16 0.775 448.5 2058.76
  17 0.825 448.8 1999.86
  18 0.875 452.4 2002.87
  19 0.925 454.9 1889.7
  20 0.975 447.2 1853.79
7350 20 9000
  1 0.025 450.2 1774.67
  2 0.075 453.7 1900.97
  3 0.125 455.1 1860.21
  4 0.175 444.5 1975.97
  5 0.225 453.2 1958.29
  6 0.275 450.8 1982.57
  7 0.325 439.1 2050.26
  8 0.375 457.1 2087.99
  9 0.425 452.5 2129.73
  10 0.475 452 2163.33
  11 0.525 444.3 2269.9
  12 0.575 454.4 2072.49
  13 0.625 450.1 2180.29
  14 0.675 446 2113.25
  15 0.725 448.2 1989.95
  16 0.775 445.5 1980.01
  17 0.825 442.1 2071.31
  18 0.875 453.5 1945.73
  19 0.925 458.6 1890.25
  20 0.975 449.1 1813.79
8400 20 9000
  1 0.025 447 1798.32
  2 0.075 456.7 1819.28
  3 0.125 453.8 1868.14
  4 0.175 445 1856.21
  5 0.225 454.1 1991.73
  6 0.275 451.3 1974.44
  7 0.325 440.8 2050.45
  8 0.375 453 2142.01
  9 0.425 453.4 2151.41
  10 0.475 451.3 2146.87
  11 0.525 446.8 2275.81
  12 0.575 451.2 2189.78
  13 0.625 446 2111.4
  14 0.675 449 2056.04
  15 0.725 448.1 2028.42
  16 0.775 445.8 1995.45
  17 0.825 444.9 1971.19
  18 0.875 455.7 1961.76
  19 0.925 455.1 1890.84
  20 0.975 451 1800.68
9450 20 9000
  1 0.025 449.7 1660.98
  2 0.075 454.4 1783.02
  3 0.125 451.5 1964.23
  4 0.175 446 1960.91
  5 0.225 454.5 1933.96
  6 0.275 451.2 2008.64
  7 0.325 441 2049.87
  8 0.375 454.1 2091.13
  9 0.425 454.7 2134.9
  10 0.475 450.6 2208.31
  11 0.525 444.9 2287.3
  12 0.575 452.9 2185.8
  13 0.625 445.6 2162.29
  14 0.675 450.4 2046.37
  15 0.725 453.4 2014.33
  16 0.775 445.6 2056.69
  17 0.825 448.5 2030.79
  18 0.875 450.1 1986.9
  19 0.925 456 1869.41
  20 0.975 444.9 1833.57
10500 20 9000
  1 0.025 447.1 1684.84
  2 0.075 463.2 1767.85
  3 0.125 448.3 1922.99
  4 0.175 450.5 1943.95
  5 0.225 454.2 1960.47
  6 0.275 454.5 2050.34
  7 0.325 440.5 2038.33
  8 0.375 455.7 2065.18
  9 0.425 452.7 2111.41
  10 0.475 450.6 2241.95
  11 0.525 447.8 2295.25
  12 0.575 448.9 2241.58
  13 0.625 443.3 2156.14
  14 0.675 452.7 2029.68
  15 0.725 449.7 2015.87
  16 0.775 443.1 2033.99
  17 0.825 445.5 1984.03
  18 0.875 450.5 2036.92
  19 0.925 453.8 1772.35
  20 0.975 447.4 1776.14
11550 20 9000
  1 0.025 449.7 1650.05
  2 0.075 455.3 1810.5
  3 0.125 452 1908.21
  4 0.175 446.2 1889.03
  5 0.225 450.6 1917.06
  6 0.275 450.2 2019.84
  7 0.325 438.6 2037.89
  8 0.375 456.5 2070.53
  9 0.425 451.6 2140.03
  10 0.475 449 2160.16
  11 0.525 443.6 2287.77
  12 0.575 451.9 2281.77
  13 0.625 441.4 2152.47
  14 0.675 457.4 2089.11
  15 0.725 453.9 2037.22
  16 0.775 443.3 2018.51
  17 0.825 450.8 2024.15
  18 0.875 454 2001.52
  19 0.925 456.5 1842.45
  20 0.975 447.5 1785.22
12600 20 9000
  1 0.025 450.7 1708.87
  2 0.075 458.2 1769.73
  3 0.125 451 1876.44
  4 0.175 449.1 1911.86
  5 0.225 456.3 1891.44
  6 0.275 449.6 2065.55
  7 0.325 439 2085.85
  8 0.375 459.2 2024.15
  9 0.425 452.2 2158.88
  10 0.475 447.3 2237.23
  11 0.525 447.4 2376.66
  12 0.575 451.5 2410.22
  13 0.625 445.9 2165.12
  14 0.675 453.4 2079.69
  15 0.725 445 2061.45
  16 0.775 443.6 1989.76
  17 0.825 447 1980.93
  18 0.875 450.5 1954.82
  19 0.925 460 1810.83
  20 0.975 443.1 1753.46
13650 20 9000
  1 0.025 451.5 1694.54
  2 0.075 456.2 1790.07
  3 0.125 452.6 1864.4
  4 0.175 447.3 1911.03
  5 0.225 453.7 1933.3
  6 0.275 449.1 1964.85
  7 0.325 444.6 1992.59
  8 0.375 454.9 2041.17
  9 0.425 452 2099.81
  10 0.475 445.5 2301.15
  11 0.525 447.4 2418.37
  12 0.575 447.9 2363.99
  13 0.625 442.3 2117.12
  14 0.675 451.9 2179.7
  15 0.725 449.6 2011.66
  16 0.775 442 2030.35
  17 0.825 448.7 1935.26
  18 0.875 455.3 1966.27
  19 0.925 459.1 1876.88
  20 0.975 448.4 1748.11
14700 20 9000
  1 0.025 451.6 1620.96
  2 0.075 451 1780.16
  3 0.125 450.5 1896.74
  4 0.175 448.7 1907.61
  5 0.225 450.5 1990.52
  6 0.275 451.4 1941.58
  7 0.325 443.6 1944.7
  8 0.375 455.5 2068.35
  9 0.425 450.5 2134.64
  10 0.475 447.9 2281.66
  11 0.525 444.9 2412.05
  12 0.575 449.3 2364.37
  13 0.625 444.8 2188.76
  14 0.675 451.8 2111.48
  15 0.725 452.7 2058.6
  16 0.775 442.7 2032.33
  17 0.825 451.6 2011.42
  18 0.875 453.7 1919.62
  19 0.925 461.1 1871.48
  20 0.975 446.2 1768.73
15750 20 9000
  1 0.025 449.9 1611.54
  2 0.075 456.6 1694.93
  3 0.125 451 1875.44
  4 0.175 447.1 1916.29
  5 0.225 456.5 2006.63
  6 0.275 451.7 1936.58
  7 0.325 443.5 1957.8
  8 0.375 454.5 2046.66
  9 0.425 454.4 2205.86
  10 0.475 450.4 2307.57
  11 0.525 443.6 2427.55
  12 0.575 454.1 2271.82
  13 0.625 441.7 2142.63
  14 0.675 455.5 2123.75
  15 0.725 446.1 2044.19
  16 0.775 442.6 1978.04
  17 0.825 446.3 2008.26
  18 0.875 451.4 1919.24
  19 0.925 455.3 1867.82
  20 0.975 447.8 1746.96
16800 20 9000
  1 0.025 454.1 1618.35
  2 0.075 451.1 1710.05
  3 0.125 448.9 1848.92
  4 0.175 448.5 1879.12
  5 0.225 454 1985.3
  6 0.275 447.8 1965.1
  7 0.325 445.1 1950.24
  8 0.375 453.7 2043.84
  9 0.425 451.3 2226
  10 0.475 445.3 2285.07
  11 0.525 436.3 2390.8
  12 0.575 451.6 2307.61
  13 0.625 447.6 2241.43
  14 0.675 449.1 2151.91
  15 0.725 451.3 2082.14
  16 0.775 448.4 1991.99
  17 0.825 453.4 2010.9
  18 0.875 449.2 1969.31
  19 0.925 462.4 1826.2
  20 0.975 450.9 1787.75
17850 20 9000
  1 0.025 451.6 1621.72
  2 0.075 454 1740.25
  3 0.125 449.7 1798
  4 0.175 446 1898.28
  5 0.225 456.9 1974.14
  6 0.275 450 2040.63
  7 0.325 446 1965.02
  8 0.375 456.2 2127.21
  9 0.425 451.6 2193.02
  10 0.475 447.1 2295.6
  11 0.525 445.8 2400.93
  12 0.575 451.4 2258.47
  13 0.625 449.2 2108.28
  14 0.675 448.8 2133.33
  15 0.725 452.6 2151.57
  16 0.775 441 1998.06
  17 0.825 450.1 2021.42
  18 0.875 445 1883.89
  19 0.925 460.3 1874.83
  20 0.975 446.7 1666.85
18900 20 9000
  1 0.025 449.9 1714.13
  2 0.075 456.8 1658.6
  3 0.125 448.9 1849.87
  4 0.175 447.9 1837.62
  5 0.225 456.4 2008.98
  6 0.275 448.3 1966.05
  7 0.325 444.9 2004.79
  8 0.375 455.1 2096.33
  9 0.425 447.8 2266.82
  10 0.475 451.4 2415.04
  11 0.525 444.4 2385.66
  12 0.575 452 2293.63
  13 0.625 442.1 2116.25
  14 0.675 451 2199.07
  15 0.725 451.9 2100.11
  16 0.775 441.2 2031.29
  17 0.825 449.2 1953.32
  18 0.875 448.8 1967.09
  19 0.925 460.2 1742.89
