# frequency  DOS
#THz  number
0 2.60271e-05
0.075 0
0.15 0.000156163
0.225 0.000156163
0.3 0.000659353
0.375 0.00086757
0.45 0.0011799
0.525 0.0018219
0.6 0.00272417
0.675 0.00300179
0.75 0.0043205
0.825 0.00567391
0.9 0.00740905
0.975 0.00933505
1.05 0.0126145
1.125 0.014766
1.2 0.0162756
1.275 0.0186875
1.35 0.0206135
1.425 0.0236673
1.5 0.0254024
1.575 0.0283522
1.65 0.0303649
1.725 0.0346334
1.8 0.0375658
1.875 0.039995
1.95 0.0466753
2.025 0.0495382
2.1 0.0550907
2.175 0.0610422
2.25 0.0648769
2.325 0.0715745
2.4 0.0763462
2.475 0.0831132
2.55 0.0910601
2.625 0.0980875
2.7 0.108047
2.775 0.118389
2.85 0.130396
2.925 0.146307
3 0.170183
3.075 0.19352
3.15 0.202387
3.225 0.2061
3.3 0.208564
3.375 0.210316
3.45 0.212294
3.525 0.217205
3.6 0.222393
3.675 0.223538
3.75 0.229698
3.825 0.23027
3.9 0.232543
3.975 0.236274
4.05 0.238096
4.125 0.239016
4.2 0.244637
4.275 0.245175
4.35 0.249114
4.425 0.251838
4.5 0.251248
4.575 0.254389
4.65 0.259091
4.725 0.264505
4.8 0.229923
4.875 0.186649
4.95 0.162773
5.025 0.16057
5.1 0.155868
5.175 0.154879
5.25 0.154809
5.325 0.153404
5.4 0.153057
5.475 0.152311
5.55 0.151148
5.625 0.152276
5.7 0.151356
5.775 0.150142
5.85 0.147712
5.925 0.143427
6 0.137111
6.075 0.129823
6.15 0.120488
6.225 0.108759
6.3 0.124496
6.375 0.1968
6.45 0.237627
6.525 0.268513
6.6 0.295494
6.675 0.325981
6.75 0.358862
6.825 0.357821
6.9 0.28406
6.975 0.226835
7.05 0.188315
7.125 0.154566
7.2 0.12021
7.275 0.0626906
7.35 0.0257495
7.425 0.0077474
7.5 0.000416434
